from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,O Xylene,AT,WS,WD,RH,BP,SR,RF,to date,station
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Jun-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
