from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
