from date,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,AT,WS,RH,WD,BP,SR,RF,to date,station
21-Sep-2019 - 00:00,15.21,3.27,30.49,27.47,0.81,45.22,115.77,54.97,0.2,1.0,29.4,0.39,59.09,165.95,740.0,64.97,7.25,22-Sep-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Sep-2019 - 00:00,11.38,1.39,27.58,25.21,0.75,32.29,54.38,23.51,0.13,0.76,25.21,0.66,65.44,179.04,740.33,58.06,3.0,23-Sep-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Sep-2019 - 00:00,12.89,2.58,27.09,21.59,0.72,25.55,55.09,24.46,0.16,0.73,27.42,0.4,61.57,159.79,740.71,81.86,,24-Sep-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Sep-2019 - 00:00,14.37,2.59,28.9,29.78,0.7,30.58,71.27,33.79,0.17,0.76,28.39,0.39,60.4,178.27,740.74,74.58,,25-Sep-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Sep-2019 - 00:00,11.36,2.22,27.27,24.58,0.69,31.37,67.39,32.02,0.19,0.58,28.62,0.43,60.99,176.98,740.9,77.24,,26-Sep-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Sep-2019 - 00:00,10.13,1.42,25.59,20.12,0.63,19.88,60.17,24.6,0.14,0.43,28.37,0.68,61.82,185.83,740.85,73.46,,27-Sep-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Sep-2019 - 00:00,8.89,2.91,26.16,9.61,0.63,17.08,41.04,12.86,0.09,0.47,27.03,0.86,63.79,169.2,740.77,67.96,,28-Sep-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Sep-2019 - 00:00,13.05,4.45,24.76,17.58,0.67,13.51,44.15,15.45,0.12,0.57,24.95,0.76,68.23,148.45,740.38,51.74,,29-Sep-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Sep-2019 - 00:00,12.41,3.36,23.02,20.83,0.68,16.22,57.94,18.34,0.13,0.58,24.46,0.56,67.99,170.43,740.6,45.57,,30-Sep-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Sep-2019 - 00:00,8.88,1.61,25.03,10.39,0.61,22.56,41.17,16.75,0.13,0.49,25.35,0.44,65.62,187.48,740.19,50.23,,01-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Oct-2019 - 00:00,17.8,3.81,28.7,29.58,0.85,20.46,68.51,30.47,0.22,0.96,24.82,0.35,67.26,168.81,740.17,52.07,5.0,02-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Oct-2019 - 00:00,19.91,7.05,29.65,9.65,0.82,30.44,95.81,53.14,0.27,1.44,26.76,0.31,63.12,145.89,740.26,72.65,,03-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Oct-2019 - 00:00,23.61,6.52,31.67,20.16,0.84,43.56,129.19,67.76,0.31,1.8,27.45,0.3,59.71,103.55,740.3,67.32,,04-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Oct-2019 - 00:00,18.45,5.47,31.27,7.27,0.94,34.89,106.51,53.18,0.2,1.67,26.0,0.4,59.57,120.53,740.31,74.7,,05-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Oct-2019 - 00:00,17.52,3.37,30.46,7.69,0.91,32.7,97.38,55.05,0.22,1.47,25.07,0.32,58.42,133.07,740.27,83.36,,06-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Oct-2019 - 00:00,17.46,3.05,28.16,16.36,0.95,36.98,117.0,69.52,0.21,1.53,25.37,0.31,58.56,122.5,740.53,78.65,,07-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Oct-2019 - 00:00,17.7,3.29,29.72,9.93,0.71,35.96,137.3,75.41,0.24,1.93,24.92,0.32,60.45,142.3,740.88,63.03,,08-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Oct-2019 - 00:00,17.51,2.94,27.15,7.06,0.76,46.91,104.28,52.28,0.19,1.06,25.33,0.3,55.7,139.49,740.71,80.95,,09-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Oct-2019 - 00:00,28.39,5.42,31.22,14.69,0.94,45.39,181.92,100.39,0.3,1.48,25.98,0.31,53.58,109.41,740.81,72.81,,10-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Oct-2019 - 00:00,26.8,4.95,32.64,13.63,0.98,50.87,172.76,98.42,0.31,1.5,25.6,0.31,53.94,88.31,740.6,75.27,,11-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Oct-2019 - 00:00,31.63,6.75,39.05,11.44,1.12,58.13,228.11,141.55,0.36,1.66,25.96,0.3,55.2,99.09,740.35,69.6,,12-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Oct-2019 - 00:00,28.67,5.68,37.3,15.89,1.01,46.25,202.32,120.27,0.4,1.77,26.22,0.3,57.11,129.05,740.74,65.82,,13-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Oct-2019 - 00:00,24.55,3.01,37.25,13.51,0.94,43.6,210.8,135.66,0.37,2.39,26.2,0.31,56.11,81.03,740.97,67.45,,14-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Oct-2019 - 00:00,32.44,6.49,42.63,7.53,1.15,36.56,263.29,163.65,0.41,1.73,26.53,0.31,58.73,88.43,741.0,60.66,,15-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Oct-2019 - 00:00,27.33,4.11,38.52,18.0,1.18,31.56,229.0,133.54,0.39,1.36,26.17,0.3,60.74,127.57,741.0,57.47,,16-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Oct-2019 - 00:00,27.5,4.92,34.5,29.61,0.68,32.44,205.31,113.94,0.36,1.26,25.52,0.3,59.06,140.47,741.0,57.48,,17-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Oct-2019 - 00:00,24.08,3.73,30.06,20.89,0.9,29.54,183.3,100.16,0.28,0.94,25.17,0.3,57.95,144.88,741.0,62.66,,18-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
