from date,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,AT,WS,RH,WD,BP,SR,RF,to date,station
18-Dec-2019 - 00:00,16.57,3.13,32.66,14.68,1.44,2.75,,,0.26,0.97,9.49,0.31,70.84,156.61,741.1,15.62,,19-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Dec-2019 - 00:00,28.64,3.45,48.46,24.31,2.51,2.74,,,0.53,1.54,10.71,0.3,71.88,195.68,741.11,24.66,,20-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Dec-2019 - 00:00,27.37,3.05,46.17,18.79,1.99,2.73,,,0.44,1.33,13.71,0.3,68.64,262.85,741.0,36.72,,21-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Dec-2019 - 00:00,41.21,4.85,54.2,18.12,2.04,2.84,,,0.39,1.41,12.81,0.3,74.94,238.81,741.0,20.6,,22-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Dec-2019 - 00:00,18.74,3.21,48.34,10.25,1.59,2.85,,,0.26,1.18,12.61,0.31,71.16,241.08,741.0,32.09,,23-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Dec-2019 - 00:00,35.0,4.09,45.39,8.72,1.75,2.82,,,0.32,1.11,10.4,0.31,73.49,229.66,741.0,18.27,,24-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Dec-2019 - 00:00,21.81,8.32,44.67,12.84,1.63,7.96,,,0.27,0.93,13.14,0.3,66.39,123.56,741.12,32.49,,25-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Dec-2019 - 00:00,12.86,6.56,27.07,11.82,1.53,17.68,,,0.26,1.7,8.03,0.31,78.09,243.9,741.0,16.1,,26-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Dec-2019 - 00:00,13.32,6.52,30.9,12.33,1.53,13.25,,,0.27,1.8,7.98,0.31,68.52,252.96,741.0,22.03,,27-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Dec-2019 - 00:00,14.65,6.56,27.82,9.37,1.57,12.32,,,0.28,0.85,7.8,0.3,68.3,212.09,741.0,28.4,,28-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Dec-2019 - 00:00,17.7,6.68,25.74,6.85,1.93,16.62,,,0.37,1.18,4.86,0.3,78.33,227.68,741.1,15.89,,29-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Dec-2019 - 00:00,17.96,6.55,28.86,7.56,2.48,12.37,,,0.5,1.71,7.11,0.3,74.5,233.34,741.17,29.47,,30-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Dec-2019 - 00:00,15.5,6.68,29.71,10.28,2.33,16.79,,,0.53,1.19,4.94,0.3,80.2,134.03,741.0,14.54,,31-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
31-Dec-2019 - 00:00,10.5,6.85,21.8,8.45,1.48,16.04,,,0.25,0.55,6.3,0.3,75.0,40.5,741.0,7.0,,01-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
