from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,SR,WD,VWS,WS,RF,AT,to date,station
01-Jan-2019 - 00:00,56.17,98.27,13.39,22.24,95.3,68.76,11.22,0.31,65.58,1.21,1.93,0.13,29.65,73.14,,67.5,205.28,0.0,1.54,0.0,16.77,02-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
02-Jan-2019 - 00:00,49.91,88.12,10.65,6.41,51.25,32.47,13.11,0.23,97.27,0.98,1.31,1.18,29.92,78.84,,59.58,157.25,-0.07,1.62,0.0,17.14,03-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
03-Jan-2019 - 00:00,54.22,93.06,10.49,8.52,56.48,36.94,12.97,0.25,85.01,1.03,1.34,0.07,30.0,76.81,,68.58,176.24,-0.07,1.41,0.0,17.71,04-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
04-Jan-2019 - 00:00,55.24,91.75,9.08,8.56,61.9,39.88,12.69,0.24,73.7,1.07,1.37,0.06,30.56,74.61,,61.86,190.76,-0.07,1.59,0.0,17.39,05-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
05-Jan-2019 - 00:00,56.7,97.47,10.42,6.61,52.36,33.23,12.87,0.29,77.77,1.08,1.31,0.06,30.43,79.92,,38.65,207.25,-0.05,2.05,0.0,17.51,06-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
06-Jan-2019 - 00:00,59.41,101.19,9.84,6.78,54.27,34.38,12.41,0.3,74.21,1.2,1.3,0.04,30.57,80.05,,40.2,195.32,-0.04,1.77,0.0,17.47,07-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
07-Jan-2019 - 00:00,49.86,90.54,9.7,18.76,80.68,58.16,10.62,0.41,47.45,1.47,1.96,0.11,30.41,74.53,,52.32,175.64,-0.01,1.39,0.0,18.05,08-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
08-Jan-2019 - 00:00,48.66,83.67,11.18,9.33,71.56,45.65,11.2,0.3,66.27,1.14,1.59,0.07,30.51,57.56,,67.12,183.42,-0.04,1.84,0.0,18.74,09-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
09-Jan-2019 - 00:00,50.74,87.24,12.41,29.13,110.37,82.38,11.02,0.46,49.9,1.05,1.84,0.12,29.62,53.97,,71.59,135.73,-0.04,1.15,0.0,18.74,10-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
10-Jan-2019 - 00:00,60.54,99.33,10.55,16.32,82.47,57.14,14.39,0.33,57.76,0.84,1.8,0.12,30.33,73.98,,63.15,133.91,-0.06,1.29,0.0,17.66,11-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
11-Jan-2019 - 00:00,65.35,111.96,9.83,7.15,49.19,31.98,14.32,0.37,68.06,1.14,1.39,0.06,29.62,79.64,,51.55,165.94,-0.07,1.63,0.0,17.98,12-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
12-Jan-2019 - 00:00,60.61,105.75,10.96,13.28,65.11,45.42,12.59,0.3,60.55,1.21,1.5,0.78,29.66,78.59,,60.5,204.05,-0.03,1.85,0.0,17.71,13-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
13-Jan-2019 - 00:00,52.4,90.27,9.6,18.37,77.31,56.07,11.2,0.33,47.33,1.02,1.57,0.1,30.52,77.04,,66.53,187.97,-0.03,1.59,0.0,17.75,14-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
14-Jan-2019 - 00:00,95.19,149.08,15.15,11.62,75.09,49.39,15.34,0.54,59.0,2.46,2.26,0.09,30.3,74.88,,60.88,209.84,-0.04,1.89,0.0,17.61,15-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
15-Jan-2019 - 00:00,56.65,92.06,12.81,7.46,59.74,37.84,12.27,0.27,78.89,1.0,1.07,0.04,30.11,61.89,,52.39,179.5,-0.07,2.0,0.0,18.35,16-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
16-Jan-2019 - 00:00,67.09,111.82,11.07,9.76,65.95,43.01,13.73,0.31,65.79,1.1,1.19,0.04,29.63,73.48,,45.77,156.48,-0.06,1.44,0.0,18.04,17-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
17-Jan-2019 - 00:00,77.11,121.51,10.64,8.55,66.91,42.54,14.92,0.37,62.55,1.16,1.29,0.07,29.86,73.35,,54.07,142.4,-0.05,1.23,0.0,18.45,18-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
18-Jan-2019 - 00:00,85.76,131.96,10.2,10.34,66.03,43.48,15.47,0.41,59.9,1.31,1.26,0.06,30.06,79.65,,50.23,142.53,-0.06,1.37,0.0,17.89,19-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
19-Jan-2019 - 00:00,60.65,102.36,10.31,10.92,66.27,44.16,12.03,0.27,59.88,1.13,1.4,0.08,29.86,74.52,,65.34,159.58,-0.04,1.67,0.0,17.86,20-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
20-Jan-2019 - 00:00,46.78,82.6,12.54,14.45,79.03,53.74,10.47,0.37,57.63,0.84,1.17,0.05,29.51,69.26,,47.88,127.93,-0.05,1.29,0.0,17.85,21-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
21-Jan-2019 - 00:00,68.33,111.64,10.78,19.76,86.93,62.32,13.79,0.34,55.22,1.08,1.53,0.09,30.31,75.77,,56.55,135.9,-0.05,1.39,0.0,17.45,22-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
22-Jan-2019 - 00:00,56.78,110.19,12.24,15.3,73.2,51.38,11.95,0.33,47.35,0.92,1.35,0.07,29.46,75.86,,67.0,101.39,-0.01,0.94,0.0,18.35,23-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
23-Jan-2019 - 00:00,46.32,88.27,9.22,12.81,62.58,43.69,11.32,0.24,44.82,0.9,1.39,0.06,30.04,77.58,,54.27,126.84,-0.01,1.17,0.0,18.91,24-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
24-Jan-2019 - 00:00,35.61,75.09,8.78,12.86,60.19,42.47,10.37,0.29,37.81,0.84,1.22,0.06,29.47,75.89,,61.1,106.12,-0.02,0.97,0.0,19.34,25-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
