from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,SR,RF,to date,BP,station
01-Jan-2019 - 00:00,0.24,36.77,15.99,104.26,55.37,159.63,16.2,350.41,233.39,13.11,25.28,3.02,5.19,16.96,0.3,0.03,232.41,55.5,134.26,0.0,02-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
02-Jan-2019 - 00:00,0.25,40.69,13.76,104.27,52.19,156.46,17.49,285.94,186.17,12.16,27.97,2.42,4.15,17.68,0.27,0.04,216.2,54.62,133.73,0.0,03-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
03-Jan-2019 - 00:00,0.24,35.37,27.58,155.54,172.4,327.94,10.76,472.41,299.45,26.11,39.69,8.83,8.79,17.32,0.2,0.04,227.11,58.46,115.84,0.0,04-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
04-Jan-2019 - 00:00,0.25,50.86,17.0,108.25,73.25,178.71,27.43,447.39,302.08,22.48,32.74,11.7,7.14,16.99,0.3,0.04,173.11,53.11,119.79,0.0,05-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
05-Jan-2019 - 00:00,0.24,31.54,14.53,113.37,72.53,185.9,23.85,379.01,253.62,17.24,36.83,3.57,6.04,17.28,0.22,0.03,218.55,56.68,135.57,0.0,06-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
06-Jan-2019 - 00:00,0.25,30.72,15.06,97.73,65.59,163.32,23.44,284.27,183.18,14.09,19.89,4.17,5.53,17.97,0.22,0.04,202.06,56.97,147.05,0.0,07-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
07-Jan-2019 - 00:00,0.24,27.47,18.96,128.39,109.34,234.54,22.78,306.86,179.81,21.01,28.74,11.41,8.03,18.54,0.22,0.04,253.37,57.03,144.08,0.0,08-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
08-Jan-2019 - 00:00,0.26,33.68,18.48,73.15,97.21,164.26,23.23,302.64,191.1,18.21,44.76,3.66,6.91,18.16,0.32,0.06,245.89,57.81,120.23,0.0,09-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
09-Jan-2019 - 00:00,0.24,41.03,17.79,51.19,117.88,163.19,18.68,345.63,206.16,19.37,35.14,3.39,7.42,18.04,0.22,0.04,240.78,58.92,110.12,0.0,10-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
10-Jan-2019 - 00:00,0.24,53.41,15.95,85.58,51.16,136.74,14.89,389.84,263.23,22.62,35.92,7.24,6.58,17.48,0.32,0.04,180.51,58.99,116.58,0.0,11-Jan-2019 - 00:00,991.0,"Rabindra Bharati University, Kolkata - WBPCB"
11-Jan-2019 - 00:00,0.25,57.66,19.73,68.84,86.88,155.11,15.5,391.61,249.44,23.79,42.93,6.34,7.14,17.19,0.29,0.03,184.23,52.58,123.77,0.0,12-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
