from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,SR,RF,to date,BP,station
12-Jan-2019 - 00:00,0.25,38.06,16.5,58.13,157.42,210.7,10.51,431.69,258.72,22.36,53.46,4.64,7.7,17.78,0.26,0.04,233.05,58.28,119.83,0.0,13-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
13-Jan-2019 - 00:00,0.24,39.47,15.19,62.12,128.11,178.93,13.14,395.15,255.18,20.42,22.85,4.85,4.38,18.11,0.2,0.04,196.92,58.65,124.07,0.0,14-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
14-Jan-2019 - 00:00,0.24,35.77,25.4,104.64,120.01,224.5,14.36,470.01,287.23,26.3,40.22,4.46,8.83,18.5,0.2,0.04,193.06,60.49,85.2,0.0,15-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
15-Jan-2019 - 00:00,0.16,41.36,15.85,86.45,26.06,112.51,36.96,363.01,221.79,16.39,33.7,3.66,6.26,18.31,0.3,0.04,182.3,51.61,112.2,0.0,16-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
16-Jan-2019 - 00:00,0.94,45.87,23.94,41.36,74.5,99.9,43.36,319.13,193.07,14.42,22.45,2.56,5.29,16.92,0.45,0.03,193.21,46.83,138.64,0.0,17-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
17-Jan-2019 - 00:00,1.19,30.36,34.43,38.75,163.57,163.52,57.23,445.01,257.62,29.25,38.14,7.15,9.37,16.94,0.3,0.03,226.9,51.79,128.22,0.0,18-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
18-Jan-2019 - 00:00,1.3,37.3,23.39,55.29,133.81,144.84,54.14,504.24,292.88,25.56,45.5,5.46,10.02,17.69,0.31,0.04,197.31,59.2,115.24,0.0,19-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
19-Jan-2019 - 00:00,1.45,28.02,23.23,45.98,187.03,175.92,56.56,492.35,318.5,30.91,57.22,6.05,12.15,17.64,0.26,0.04,215.16,55.67,118.47,0.0,20-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
20-Jan-2019 - 00:00,1.27,29.17,20.02,39.83,135.62,157.32,47.74,482.38,311.63,27.13,34.28,6.29,9.73,17.95,0.21,0.04,187.79,58.97,112.0,0.0,21-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
21-Jan-2019 - 00:00,1.62,29.54,20.4,31.51,235.36,215.42,54.22,527.31,317.42,32.7,45.74,7.57,12.38,18.55,0.24,0.04,191.59,59.14,111.77,0.0,22-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
22-Jan-2019 - 00:00,1.59,31.02,22.85,57.88,214.82,232.37,50.94,551.03,334.92,63.77,76.55,10.1,15.49,19.08,0.2,0.04,124.6,59.38,109.73,0.0,23-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
23-Jan-2019 - 00:00,1.92,28.79,15.11,44.62,245.2,259.11,31.03,582.82,341.61,64.02,77.1,11.73,16.12,19.88,0.24,0.03,104.04,60.18,113.34,0.0,24-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
24-Jan-2019 - 00:00,1.09,29.02,17.02,67.06,111.26,168.49,34.17,395.52,256.49,34.06,36.08,7.03,8.18,20.6,0.34,0.03,147.13,59.57,104.73,0.0,25-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
25-Jan-2019 - 00:00,0.64,30.57,10.54,72.83,43.4,116.24,29.9,293.1,188.25,7.51,8.07,1.76,1.68,20.72,0.52,0.03,125.78,59.47,114.65,0.0,26-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
26-Jan-2019 - 00:00,0.37,29.58,12.86,66.46,11.8,78.26,24.32,227.87,147.17,2.18,2.32,0.48,0.55,21.05,0.58,0.03,179.97,58.28,104.9,0.0,27-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
27-Jan-2019 - 00:00,0.43,23.64,15.58,76.12,13.58,89.71,21.14,221.68,142.08,1.29,1.12,0.3,0.31,20.78,0.44,0.03,228.56,59.43,87.73,0.0,28-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
28-Jan-2019 - 00:00,0.31,21.08,12.28,76.19,18.83,95.02,19.67,213.9,136.44,0.73,0.94,0.23,0.23,19.35,0.37,0.03,258.74,66.14,71.62,0.0,29-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
29-Jan-2019 - 00:00,0.45,27.22,11.0,79.76,16.69,96.44,18.62,217.35,118.72,0.6,0.92,0.37,0.3,18.39,0.41,0.03,235.9,49.45,112.47,0.0,30-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
30-Jan-2019 - 00:00,0.48,24.73,14.73,88.22,14.97,103.19,16.37,201.02,125.18,0.4,0.68,0.19,0.19,17.03,0.32,0.03,216.17,41.14,137.4,0.0,31-Jan-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
31-Jan-2019 - 00:00,0.75,25.72,16.5,74.2,87.83,161.62,15.32,300.26,179.44,0.72,0.58,0.22,0.19,17.92,0.56,0.03,159.66,53.57,121.3,0.0,01-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
01-Feb-2019 - 00:00,0.79,23.6,14.12,83.93,61.76,143.98,18.29,294.14,187.74,0.36,0.45,0.18,0.16,19.22,0.22,0.04,199.27,53.86,115.67,0.0,02-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
02-Feb-2019 - 00:00,1.47,21.95,17.86,67.7,193.51,244.86,14.97,477.22,307.95,0.4,0.38,0.19,0.15,19.71,0.26,0.03,163.89,54.11,117.39,0.0,03-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
03-Feb-2019 - 00:00,1.57,21.67,14.81,68.44,142.96,209.47,14.1,389.5,227.04,0.23,0.23,0.1,0.1,20.33,0.32,0.03,172.88,50.7,123.68,0.0,04-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
04-Feb-2019 - 00:00,1.25,19.2,15.08,91.32,80.9,172.2,17.47,339.67,203.24,0.17,0.14,0.08,0.06,20.54,0.26,0.03,183.95,48.08,120.19,0.0,05-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
05-Feb-2019 - 00:00,1.22,19.53,19.38,79.03,106.58,185.33,14.69,323.13,195.78,0.2,0.23,0.12,0.1,19.82,0.3,0.04,214.29,50.44,122.3,0.0,06-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
06-Feb-2019 - 00:00,1.53,19.06,19.09,112.99,115.02,226.51,17.68,419.11,241.3,0.16,0.14,0.07,0.06,20.52,0.3,0.04,186.28,50.82,115.26,0.0,07-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
07-Feb-2019 - 00:00,1.26,29.21,19.57,126.46,51.22,177.68,31.86,350.02,212.89,0.1,0.08,0.04,0.03,21.77,0.24,0.04,101.7,52.86,103.63,0.0,08-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
08-Feb-2019 - 00:00,1.05,40.29,16.22,110.07,12.86,122.94,37.04,334.8,200.99,0.09,0.07,0.03,0.03,22.56,0.6,0.03,117.52,57.95,80.24,0.0,09-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
09-Feb-2019 - 00:00,0.64,41.4,7.65,49.42,3.26,52.67,32.02,193.04,135.34,0.08,0.07,0.02,0.03,20.75,0.65,0.03,138.16,66.05,91.87,0.0,10-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
10-Feb-2019 - 00:00,0.53,35.8,7.05,67.01,4.58,71.59,23.93,132.87,70.67,0.07,0.07,0.03,0.03,19.44,0.37,0.03,223.4,49.37,141.34,0.0,11-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
11-Feb-2019 - 00:00,0.69,34.41,11.3,75.05,3.75,78.8,25.86,191.66,111.71,0.07,0.07,0.02,0.02,19.19,0.33,0.02,152.92,49.62,146.94,0.0,12-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
12-Feb-2019 - 00:00,0.86,26.09,12.31,117.71,37.31,155.01,21.36,240.09,151.58,0.07,0.07,0.02,0.02,20.01,0.36,0.03,199.98,47.58,144.24,0.0,13-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
13-Feb-2019 - 00:00,1.21,27.58,14.63,129.02,111.65,240.25,19.92,280.34,153.7,0.07,0.06,0.02,0.02,20.82,0.36,0.03,169.73,48.25,138.44,0.0,14-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
14-Feb-2019 - 00:00,1.35,26.47,21.13,150.3,129.22,279.53,22.16,387.16,227.18,0.07,0.06,0.02,0.02,21.93,0.3,0.03,201.69,49.73,130.57,0.0,15-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
15-Feb-2019 - 00:00,1.39,31.34,18.14,137.16,123.8,260.95,30.59,457.76,263.55,0.06,0.05,0.02,0.02,22.62,0.29,0.03,180.58,53.55,124.93,0.0,16-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
16-Feb-2019 - 00:00,0.99,23.28,16.07,117.3,31.05,148.36,29.31,243.34,147.9,0.05,0.05,0.01,0.02,21.18,0.63,0.03,220.59,60.32,87.42,0.0,17-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
17-Feb-2019 - 00:00,0.77,29.15,13.42,89.82,8.24,98.06,27.55,204.25,124.2,0.05,0.04,0.01,0.01,21.84,0.53,0.03,220.46,57.99,126.37,0.0,18-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
18-Feb-2019 - 00:00,0.92,28.62,10.69,104.09,20.58,124.67,21.86,222.47,141.6,0.04,0.04,0.02,0.01,20.98,0.5,0.03,164.54,47.12,133.01,0.0,19-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
19-Feb-2019 - 00:00,0.93,29.05,18.98,130.53,27.45,157.99,27.39,319.85,199.16,1.33,3.62,0.34,0.44,22.9,0.59,0.02,194.02,56.75,125.58,0.0,20-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
20-Feb-2019 - 00:00,0.75,32.88,11.85,73.63,7.19,80.78,42.24,217.85,129.53,0.77,4.83,0.66,0.52,24.6,0.59,0.03,205.07,60.0,128.38,0.0,21-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
21-Feb-2019 - 00:00,1.11,29.37,23.53,121.5,60.31,181.81,27.41,333.94,201.6,0.67,3.06,0.24,0.3,24.52,0.38,0.03,216.35,53.27,125.32,0.0,22-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
22-Feb-2019 - 00:00,0.68,25.03,19.94,87.1,14.36,101.45,35.58,202.77,120.92,0.0,0.0,0.0,0.0,24.97,0.63,0.03,214.98,67.44,126.3,0.0,23-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
23-Feb-2019 - 00:00,0.88,30.33,15.48,101.48,14.12,115.6,27.84,235.64,133.56,,,,,26.07,0.38,0.02,225.35,56.35,124.43,0.0,24-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
24-Feb-2019 - 00:00,0.65,38.54,9.79,66.52,7.38,73.9,30.02,289.94,127.12,,,,,25.23,0.64,0.03,134.51,42.21,132.08,0.0,25-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
25-Feb-2019 - 00:00,0.67,27.11,8.15,79.54,7.61,87.15,32.36,152.32,102.37,,,,,19.56,0.83,0.03,173.04,77.79,97.82,0.01,26-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
26-Feb-2019 - 00:00,0.49,24.95,3.54,45.73,5.11,50.84,29.2,92.74,62.53,0.0,0.0,0.0,0.0,19.34,0.68,0.03,124.96,88.04,60.29,0.26,27-Feb-2019 - 00:00,995.87,"Rabindra Bharati University, Kolkata - WBPCB"
27-Feb-2019 - 00:00,0.42,27.11,3.81,51.52,6.15,57.68,23.6,58.63,40.06,13.71,20.8,0.98,1.81,19.95,0.83,0.03,166.83,85.06,129.45,0.16,28-Feb-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
28-Feb-2019 - 00:00,0.6,22.98,4.65,59.24,14.3,73.54,20.78,74.74,51.11,6.5,13.15,0.57,1.29,19.22,0.4,0.03,183.27,86.11,89.53,0.11,01-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
01-Mar-2019 - 00:00,0.71,29.92,7.13,74.52,31.51,106.03,15.87,133.36,78.72,7.11,9.97,0.59,1.59,19.21,0.53,0.03,125.34,59.35,202.03,0.0,02-Mar-2019 - 00:00,999.76,"Rabindra Bharati University, Kolkata - WBPCB"
02-Mar-2019 - 00:00,0.83,31.93,7.32,79.58,31.05,110.64,23.76,160.88,108.32,10.21,15.2,0.74,2.19,19.74,0.44,0.03,124.0,52.95,169.39,0.0,03-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
03-Mar-2019 - 00:00,1.01,29.44,10.2,111.29,31.03,142.32,27.66,217.66,148.06,12.62,16.23,0.9,2.95,21.28,0.22,0.04,195.81,53.06,147.23,0.0,04-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
04-Mar-2019 - 00:00,0.65,28.49,9.18,72.47,5.49,77.95,38.57,208.02,129.69,11.25,14.13,0.75,1.83,22.85,0.56,0.02,193.72,77.94,95.1,0.0,05-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
05-Mar-2019 - 00:00,0.62,26.74,6.9,52.25,6.92,59.17,33.78,154.54,75.28,10.6,14.91,0.97,2.11,23.04,0.58,-0.0,124.33,78.36,108.82,0.21,06-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
06-Mar-2019 - 00:00,0.79,32.5,7.73,50.38,5.51,55.87,32.18,149.49,92.49,7.62,12.75,0.94,2.05,23.11,0.49,0.0,104.29,74.53,125.5,0.0,07-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
07-Mar-2019 - 00:00,0.78,28.49,8.41,69.68,6.83,76.6,33.84,198.95,104.85,7.56,19.46,1.16,2.84,22.64,0.75,-0.0,146.48,55.38,156.17,0.0,08-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
08-Mar-2019 - 00:00,0.96,17.78,10.39,114.74,32.22,146.94,39.22,205.21,101.45,21.98,32.7,2.02,5.12,23.12,0.33,-0.0,192.64,46.14,175.26,0.0,09-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
09-Mar-2019 - 00:00,0.79,18.27,13.23,110.78,17.35,128.13,38.23,225.89,106.97,35.35,19.22,1.31,3.18,24.34,0.33,-0.0,212.59,43.9,182.96,0.0,10-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
10-Mar-2019 - 00:00,0.49,14.6,5.92,48.19,4.87,53.08,40.63,158.38,84.25,5.01,8.3,0.49,1.27,24.73,0.91,-0.02,198.14,74.67,139.23,0.0,11-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
11-Mar-2019 - 00:00,0.57,23.29,5.0,60.49,11.69,72.37,33.48,163.77,81.22,7.48,13.33,1.12,2.4,26.48,0.36,-0.0,178.92,72.85,117.08,0.0,12-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
12-Mar-2019 - 00:00,0.47,34.42,18.1,75.09,10.07,85.16,22.26,195.71,105.95,9.67,16.96,1.02,2.96,26.97,0.62,-0.0,225.92,67.32,164.42,0.0,13-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
13-Mar-2019 - 00:00,0.49,31.24,9.58,59.09,7.29,66.38,22.73,139.17,74.26,5.31,11.63,0.9,1.98,27.66,0.59,-0.03,200.33,67.94,161.41,0.0,14-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
14-Mar-2019 - 00:00,0.51,55.13,10.17,63.52,4.95,68.46,23.28,166.89,96.82,8.77,5.24,0.86,1.99,27.97,0.52,-0.22,179.15,60.0,156.02,0.01,15-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
15-Mar-2019 - 00:00,0.6,40.55,16.75,94.42,8.92,103.16,22.37,192.93,93.76,11.02,9.16,0.97,2.6,25.62,0.43,-0.01,202.1,60.83,127.76,0.0,16-Mar-2019 - 00:00,999.43,"Rabindra Bharati University, Kolkata - WBPCB"
16-Mar-2019 - 00:00,0.51,35.61,13.37,98.31,13.09,111.4,21.34,134.79,64.03,7.88,17.03,1.08,2.77,25.56,0.48,-0.01,222.19,57.07,147.87,0.0,17-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
17-Mar-2019 - 00:00,0.43,48.89,8.87,56.17,4.32,60.49,24.76,164.9,88.29,6.48,8.1,0.76,1.43,25.76,0.52,-0.01,160.25,66.55,151.77,0.35,18-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
18-Mar-2019 - 00:00,0.53,32.8,11.39,117.15,21.28,138.42,18.41,163.83,62.82,12.88,20.19,1.32,3.45,23.72,0.45,-0.01,192.23,63.43,136.11,0.0,19-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
19-Mar-2019 - 00:00,0.42,37.12,13.63,82.56,5.57,87.86,22.73,137.05,70.75,12.24,15.09,0.73,2.08,25.23,0.65,-0.22,219.98,64.61,164.47,0.0,20-Mar-2019 - 00:00,992.17,"Rabindra Bharati University, Kolkata - WBPCB"
20-Mar-2019 - 00:00,0.5,31.92,11.72,81.47,10.04,91.51,21.3,159.11,88.97,14.91,14.86,0.99,2.78,26.32,0.43,-0.0,212.16,70.21,140.15,0.0,21-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
21-Mar-2019 - 00:00,0.33,46.03,7.58,43.96,4.12,48.08,19.57,119.41,73.57,4.22,6.0,0.4,1.09,27.37,0.65,-0.0,207.37,64.01,190.27,0.0,22-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
22-Mar-2019 - 00:00,0.43,33.14,7.22,48.66,4.64,53.3,18.79,102.74,59.52,5.85,7.39,0.55,1.4,25.66,0.75,-0.01,207.99,74.43,150.35,0.09,23-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
23-Mar-2019 - 00:00,0.7,39.2,13.63,114.93,38.05,152.98,12.18,156.05,87.38,19.61,30.17,1.06,6.04,26.83,0.3,-0.0,221.46,52.31,201.58,0.0,24-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
24-Mar-2019 - 00:00,0.69,46.83,15.6,109.43,37.68,147.1,13.87,188.81,100.71,12.23,19.18,0.92,4.6,26.54,0.35,-0.0,214.27,37.51,210.58,0.0,25-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
25-Mar-2019 - 00:00,0.79,35.86,19.35,144.24,46.79,191.03,23.44,279.04,121.73,25.29,29.38,1.27,7.11,27.51,0.34,-0.0,215.94,41.64,190.43,0.0,26-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
26-Mar-2019 - 00:00,0.38,43.2,7.82,56.4,4.59,60.94,27.59,213.55,99.31,5.28,9.54,0.63,1.73,26.75,0.87,-0.02,174.69,54.98,176.09,,27-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
27-Mar-2019 - 00:00,0.48,42.38,18.01,83.54,6.04,89.58,20.97,167.52,80.06,8.58,19.52,0.78,2.52,25.93,0.47,-0.01,206.5,50.1,173.25,,28-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
28-Mar-2019 - 00:00,0.43,30.55,6.63,60.49,7.85,68.33,24.44,155.5,78.56,8.48,15.21,0.78,2.1,27.18,0.54,-0.0,205.87,63.91,160.17,,29-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
29-Mar-2019 - 00:00,0.29,22.88,4.89,45.91,6.54,52.46,23.35,132.94,67.45,5.5,12.54,0.5,1.34,26.95,1.02,-0.0,207.88,70.46,165.52,,30-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
30-Mar-2019 - 00:00,0.44,25.73,6.04,46.04,5.69,51.74,20.48,138.08,68.23,7.42,10.47,1.93,2.89,27.74,0.72,-0.0,210.25,70.83,161.24,,31-Mar-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
31-Mar-2019 - 00:00,0.37,19.55,1.17,33.69,6.46,40.16,15.85,117.12,59.28,2.45,5.38,0.3,0.79,28.01,1.0,-0.01,208.75,75.01,185.27,,01-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
01-Apr-2019 - 00:00,0.32,31.19,1.85,23.0,4.41,27.42,16.04,68.98,33.76,2.2,6.01,0.24,0.57,26.47,0.81,-0.02,119.77,69.06,175.61,,02-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
02-Apr-2019 - 00:00,0.47,23.56,1.88,48.18,6.71,54.89,13.69,115.62,61.14,4.91,13.47,0.54,1.43,27.98,0.76,-0.0,186.58,72.89,157.89,,03-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
03-Apr-2019 - 00:00,0.31,26.67,0.72,27.25,5.26,32.39,13.57,114.27,52.34,4.83,12.18,0.4,0.99,28.23,0.68,-0.0,193.29,71.91,181.47,,04-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
04-Apr-2019 - 00:00,0.26,20.95,2.67,30.92,5.69,36.61,9.73,105.38,50.56,4.29,13.39,0.42,1.12,27.51,0.9,-0.0,202.98,73.85,140.92,,05-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
05-Apr-2019 - 00:00,0.29,23.93,1.4,36.3,8.22,44.53,9.72,103.71,52.13,6.0,10.78,0.49,1.15,27.33,0.59,-0.0,186.55,71.27,113.49,,06-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
06-Apr-2019 - 00:00,0.31,35.24,7.3,57.41,9.16,66.58,10.92,100.13,48.69,5.08,12.4,0.59,1.55,25.53,0.58,-0.0,202.21,67.64,161.49,,07-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
07-Apr-2019 - 00:00,0.33,54.22,5.48,46.55,4.98,51.52,13.69,76.33,40.71,4.42,6.29,0.45,1.15,25.03,0.51,-0.0,165.32,66.94,180.31,,08-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
08-Apr-2019 - 00:00,0.29,43.4,7.34,54.15,5.92,60.08,12.19,85.23,43.19,4.44,10.09,0.47,1.18,26.48,0.77,-0.01,202.39,61.16,181.41,,09-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
09-Apr-2019 - 00:00,0.29,29.28,6.19,52.36,7.05,59.42,11.91,88.15,45.3,5.63,12.3,0.51,1.42,25.94,0.75,-0.01,195.69,69.2,204.89,,10-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
10-Apr-2019 - 00:00,0.31,23.64,3.14,51.99,7.86,59.86,11.65,73.27,40.16,6.55,15.08,0.56,1.38,25.37,0.8,-0.0,212.9,74.8,152.73,,11-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
11-Apr-2019 - 00:00,0.28,21.34,2.38,32.47,6.41,38.88,9.48,82.55,45.13,6.38,12.27,0.47,1.22,27.7,0.62,0.0,208.33,76.89,157.98,,12-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
