from date,SR,Temp,VWS,NO,NO2,NOx,WS,CO,WD,Ozone,PM10,PM2.5,Benzene,Toluene,O Xylene,Eth-Benzene,MP-Xylene,BP,RH,SO2,to date,station
01-Jan-2019 - 00:00,143.68,18.81,1.35,102.7,32.58,98.34,0.37,1.08,145.67,52.56,234.94,133.2,3.34,10.22,2.03,1.65,4.89,757.85,41.09,9.67,02-Jan-2019 - 00:00,"Collectorate, Jodhpur - RSPCB"
02-Jan-2019 - 00:00,151.46,18.6,1.35,116.4,39.39,115.85,0.39,1.07,105.5,36.7,274.77,159.75,3.82,9.28,1.61,1.24,4.54,757.39,45.13,6.47,03-Jan-2019 - 00:00,"Collectorate, Jodhpur - RSPCB"
03-Jan-2019 - 00:00,145.47,19.32,2.35,50.23,38.22,60.29,0.6,2.1,78.78,38.0,197.58,107.14,0.86,2.25,0.06,0.01,0.72,756.58,44.41,8.22,04-Jan-2019 - 00:00,"Collectorate, Jodhpur - RSPCB"
04-Jan-2019 - 00:00,113.98,18.61,0.84,113.03,38.37,97.64,0.38,1.01,157.03,39.38,311.17,143.78,4.94,12.69,2.62,1.98,5.84,758.28,45.87,14.35,05-Jan-2019 - 00:00,"Collectorate, Jodhpur - RSPCB"
05-Jan-2019 - 00:00,132.37,19.67,1.36,95.46,32.65,95.1,0.74,2.68,178.36,46.46,254.68,140.98,2.8,7.67,1.38,1.05,3.79,760.55,46.48,8.3,06-Jan-2019 - 00:00,"Collectorate, Jodhpur - RSPCB"
06-Jan-2019 - 00:00,111.39,15.98,1.66,73.82,54.33,92.43,1.27,2.15,47.43,52.55,218.49,156.62,1.24,1.4,0.0,0.0,0.2,757.93,60.18,6.38,07-Jan-2019 - 00:00,"Collectorate, Jodhpur - RSPCB"
07-Jan-2019 - 00:00,146.18,16.06,1.99,69.46,48.97,80.07,0.66,2.02,75.44,42.07,155.94,93.99,0.62,2.06,0.04,0.0,0.43,756.59,54.5,8.0,08-Jan-2019 - 00:00,"Collectorate, Jodhpur - RSPCB"
08-Jan-2019 - 00:00,157.21,17.04,1.72,42.46,40.59,49.97,0.61,1.53,65.51,31.59,141.05,66.89,0.31,1.29,0.02,0.0,0.41,758.29,49.8,7.1,09-Jan-2019 - 00:00,"Collectorate, Jodhpur - RSPCB"
09-Jan-2019 - 00:00,176.19,17.26,0.61,50.49,38.53,68.94,0.56,2.09,70.53,30.57,167.25,82.16,1.06,3.17,0.4,0.42,1.53,758.28,48.47,6.95,10-Jan-2019 - 00:00,"Collectorate, Jodhpur - RSPCB"
10-Jan-2019 - 00:00,164.88,18.32,1.73,101.53,37.75,102.67,0.47,1.75,148.92,24.63,249.76,118.75,3.28,9.92,2.01,1.52,4.81,761.5,47.1,9.83,11-Jan-2019 - 00:00,"Collectorate, Jodhpur - RSPCB"
