from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
10-Feb-2019 - 00:00,226.9,110.73,5.73,9.38,15.11,0.88,,,11-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
11-Feb-2019 - 00:00,271.23,144.58,7.51,9.79,17.3,1.19,,46.52,12-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
12-Feb-2019 - 00:00,282.31,178.61,7.14,10.04,17.18,1.63,,10.66,13-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
13-Feb-2019 - 00:00,267.9,174.92,6.17,10.31,16.49,1.89,,42.31,14-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
14-Feb-2019 - 00:00,194.6,129.39,4.68,8.95,13.63,2.86,,43.95,15-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
15-Feb-2019 - 00:00,175.77,103.63,4.74,8.55,13.3,2.69,,25.13,16-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
16-Feb-2019 - 00:00,147.96,87.55,4.24,8.31,12.55,2.63,,10.97,17-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
17-Feb-2019 - 00:00,150.87,83.21,4.31,8.34,12.65,3.31,,7.55,18-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
18-Feb-2019 - 00:00,,,,,,,,,19-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
19-Feb-2019 - 00:00,232.21,135.0,5.89,9.25,15.14,5.56,,22.16,20-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
20-Feb-2019 - 00:00,141.37,82.69,8.05,11.31,19.35,3.72,,11.85,21-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
21-Feb-2019 - 00:00,151.75,92.08,15.09,15.37,30.47,3.67,,43.48,22-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
22-Feb-2019 - 00:00,108.3,59.59,9.8,13.79,23.58,3.12,,14.36,23-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
23-Feb-2019 - 00:00,84.71,41.05,6.74,13.71,20.44,2.76,,17.56,24-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
24-Feb-2019 - 00:00,124.94,69.94,6.98,14.37,21.35,2.38,,20.46,25-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
25-Feb-2019 - 00:00,132.82,73.11,8.04,15.11,23.15,3.02,,24.11,26-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
26-Feb-2019 - 00:00,96.94,50.66,43.65,28.24,32.09,2.4,,23.1,27-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
27-Feb-2019 - 00:00,73.36,39.25,3.62,1.35,4.82,2.52,,15.67,28-Feb-2019 - 00:00,"Burari Crossing, Delhi - IMD"
28-Feb-2019 - 00:00,160.11,90.54,7.3,2.73,9.94,2.72,,17.35,01-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
01-Mar-2019 - 00:00,152.24,77.41,17.24,12.2,29.15,1.06,,17.27,02-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
02-Mar-2019 - 00:00,170.25,103.38,5.74,10.83,16.57,0.98,,15.07,03-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
03-Mar-2019 - 00:00,114.24,71.5,4.39,7.61,12.0,0.82,,17.5,04-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
04-Mar-2019 - 00:00,157.74,91.98,5.82,7.8,13.62,0.94,,9.18,05-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
05-Mar-2019 - 00:00,108.63,67.63,3.0,6.8,9.78,0.74,,8.64,06-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
06-Mar-2019 - 00:00,128.05,68.07,5.33,8.44,13.77,0.7,,9.71,07-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
07-Mar-2019 - 00:00,193.49,99.32,8.11,9.54,17.64,1.12,,10.65,08-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
08-Mar-2019 - 00:00,155.02,80.48,6.35,7.01,13.36,0.79,,10.67,09-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
09-Mar-2019 - 00:00,127.96,64.06,3.81,6.11,9.92,0.61,,10.41,10-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
10-Mar-2019 - 00:00,131.44,69.19,4.61,7.83,12.44,0.77,,10.58,11-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
11-Mar-2019 - 00:00,165.51,82.98,4.52,7.57,12.09,0.9,,10.6,12-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
12-Mar-2019 - 00:00,89.09,46.3,10.59,23.37,33.96,1.09,,13.65,13-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
13-Mar-2019 - 00:00,183.0,96.24,30.52,50.56,81.09,0.73,,18.1,14-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
14-Mar-2019 - 00:00,170.26,104.01,40.35,46.97,87.31,0.87,,14.22,15-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
15-Mar-2019 - 00:00,110.27,60.3,33.88,42.01,75.89,0.59,,17.32,16-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
16-Mar-2019 - 00:00,109.69,60.22,18.77,40.35,55.02,0.73,1.4,40.44,17-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
17-Mar-2019 - 00:00,149.23,80.46,22.14,49.39,43.46,0.15,0.0,72.84,18-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
18-Mar-2019 - 00:00,167.65,86.4,23.86,48.05,71.92,0.3,,76.57,19-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
19-Mar-2019 - 00:00,184.21,102.64,36.72,53.45,90.17,0.53,,76.57,20-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
20-Mar-2019 - 00:00,199.09,104.94,38.16,51.52,89.68,0.5,,85.63,21-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
21-Mar-2019 - 00:00,133.84,79.53,12.86,29.01,41.86,0.28,,71.8,22-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
22-Mar-2019 - 00:00,89.44,40.33,10.94,33.03,43.97,0.09,,64.33,23-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
23-Mar-2019 - 00:00,105.52,54.85,10.82,35.52,46.34,0.13,,67.29,24-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
24-Mar-2019 - 00:00,107.07,46.39,17.68,35.72,53.41,0.14,,72.57,25-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
25-Mar-2019 - 00:00,107.81,58.63,16.33,33.9,50.23,0.18,,67.36,26-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
26-Mar-2019 - 00:00,125.66,68.98,21.66,39.03,60.69,0.24,,52.24,27-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
27-Mar-2019 - 00:00,146.06,77.26,28.62,47.74,72.88,0.45,0.0,47.68,28-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
28-Mar-2019 - 00:00,226.26,137.51,41.5,53.1,94.6,0.46,,49.81,29-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
29-Mar-2019 - 00:00,227.95,128.37,70.2,57.59,127.79,0.43,,52.05,30-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
30-Mar-2019 - 00:00,177.92,107.91,20.07,46.79,66.86,0.68,,97.99,31-Mar-2019 - 00:00,"Burari Crossing, Delhi - IMD"
31-Mar-2019 - 00:00,137.11,61.85,11.88,37.04,48.93,0.19,,107.86,01-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
01-Apr-2019 - 00:00,128.56,61.32,10.7,38.96,49.59,0.15,0.0,80.73,02-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
02-Apr-2019 - 00:00,170.13,94.19,32.38,53.22,85.6,0.35,,45.6,03-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
03-Apr-2019 - 00:00,129.8,72.36,14.19,42.92,57.12,0.26,,39.69,04-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
04-Apr-2019 - 00:00,232.03,134.65,27.24,54.45,81.74,0.6,,66.72,05-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
05-Apr-2019 - 00:00,214.24,146.78,32.69,55.88,88.56,0.63,,87.95,06-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
06-Apr-2019 - 00:00,210.13,117.19,63.25,87.48,123.66,0.72,,73.52,07-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
07-Apr-2019 - 00:00,307.05,171.43,68.52,81.98,150.51,1.21,,136.11,08-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
08-Apr-2019 - 00:00,213.2,102.25,70.7,108.64,178.58,1.0,,93.11,09-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
09-Apr-2019 - 00:00,196.58,128.14,99.27,128.92,228.06,1.32,,92.71,10-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
10-Apr-2019 - 00:00,158.0,97.57,108.94,126.63,230.56,1.13,,85.52,11-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
11-Apr-2019 - 00:00,128.87,93.52,73.65,111.95,185.59,0.83,,79.27,12-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
12-Apr-2019 - 00:00,132.72,56.87,59.8,92.58,152.38,0.74,,82.52,13-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
13-Apr-2019 - 00:00,104.04,51.28,61.22,85.48,146.7,0.66,,80.71,14-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
14-Apr-2019 - 00:00,114.4,56.83,70.39,84.89,155.27,0.69,,78.75,15-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
15-Apr-2019 - 00:00,117.92,59.81,83.28,94.58,167.68,0.97,,75.14,16-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
16-Apr-2019 - 00:00,138.19,53.18,44.6,52.73,97.33,0.62,,95.17,17-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
17-Apr-2019 - 00:00,56.12,27.71,44.22,45.36,89.58,0.55,,92.45,18-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
18-Apr-2019 - 00:00,76.5,45.62,57.36,78.79,136.15,0.68,5.6,61.0,19-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
19-Apr-2019 - 00:00,113.8,71.36,70.18,84.04,154.23,0.71,7.38,25.62,20-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
20-Apr-2019 - 00:00,146.59,93.55,67.41,102.26,155.22,1.04,,29.59,21-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
21-Apr-2019 - 00:00,190.15,117.73,100.83,118.93,208.24,1.1,,18.75,22-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
22-Apr-2019 - 00:00,263.5,179.58,74.97,108.15,183.1,1.05,,21.82,23-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
23-Apr-2019 - 00:00,217.15,58.49,45.18,120.98,165.58,1.04,0.0,23.76,24-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
24-Apr-2019 - 00:00,232.04,87.56,40.98,103.58,144.56,1.12,,34.3,25-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
