from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
01-Jan-2019 - 00:00,30.92,1.72,42.14,63.01,120.76,106.1,53.02,328.47,1.31,2.45,1.69,15.5,70.77,0.81,158.49,97.67,757.19,0.0,-0.0,02-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Jan-2019 - 00:00,31.13,3.18,34.16,115.18,137.42,162.48,48.28,372.32,1.31,2.61,1.78,16.01,73.26,0.68,127.67,91.52,757.01,0.0,-0.01,03-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Jan-2019 - 00:00,30.49,2.88,40.12,59.76,114.26,109.36,11.49,266.47,1.3,2.62,1.79,16.31,73.16,1.3,150.73,93.09,757.44,0.0,0.01,04-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
04-Jan-2019 - 00:00,30.48,1.56,48.13,78.69,98.49,110.01,25.11,323.82,1.31,2.65,1.8,16.05,72.19,1.21,139.62,94.7,756.89,0.0,0.0,05-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Jan-2019 - 00:00,30.51,2.42,43.53,31.76,96.57,76.96,13.12,250.78,1.31,2.54,1.75,16.32,70.89,2.15,150.86,77.78,755.71,0.0,-0.06,06-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Jan-2019 - 00:00,30.34,2.05,57.19,5.03,52.54,32.03,10.64,246.27,1.3,2.23,1.6,16.01,77.53,2.79,142.3,74.11,752.92,0.0,-0.07,07-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Jan-2019 - 00:00,31.74,2.02,33.44,49.48,68.99,76.92,8.49,131.2,1.3,2.32,1.67,15.28,80.57,1.5,75.75,77.92,754.46,0.0,-0.02,08-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Jan-2019 - 00:00,31.7,1.63,46.47,22.38,72.44,56.69,6.97,139.58,1.3,2.54,1.8,15.86,72.18,2.18,84.72,101.92,754.02,0.0,0.01,09-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Jan-2019 - 00:00,30.42,1.89,52.98,23.68,70.58,56.8,12.88,145.93,1.3,2.49,1.73,15.14,70.76,2.17,128.83,107.04,753.81,0.0,0.01,10-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Jan-2019 - 00:00,30.48,1.3,48.16,81.61,88.63,113.46,27.33,199.26,1.3,2.48,1.73,15.42,69.68,1.46,132.79,106.85,754.1,0.0,0.01,11-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
11-Jan-2019 - 00:00,30.62,2.5,40.76,122.75,118.27,160.64,21.79,317.51,1.31,2.52,1.72,15.41,73.3,0.58,124.13,78.01,755.15,0.0,-0.01,12-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Jan-2019 - 00:00,30.62,2.61,41.35,96.81,120.1,142.13,13.91,345.31,1.27,2.37,1.64,15.58,74.12,0.69,136.68,84.38,754.54,0.0,-0.01,13-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Jan-2019 - 00:00,30.74,2.83,42.33,16.34,94.35,63.46,9.75,272.72,1.24,2.12,1.51,15.81,76.65,1.04,87.97,94.06,755.14,0.0,-0.01,14-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
14-Jan-2019 - 00:00,30.29,1.36,52.94,7.76,53.91,34.98,5.5,145.11,1.23,2.03,1.45,15.74,68.12,3.02,107.83,115.11,754.89,0.0,-0.0,15-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
15-Jan-2019 - 00:00,30.3,1.72,54.94,33.03,73.96,66.19,26.41,112.62,1.27,2.21,1.52,14.26,62.34,2.76,126.14,118.06,755.04,0.0,0.01,16-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
16-Jan-2019 - 00:00,30.73,2.5,47.56,112.43,127.63,158.3,40.38,288.71,1.3,2.39,1.59,15.2,67.96,0.69,142.77,100.36,755.22,0.0,-0.02,17-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
17-Jan-2019 - 00:00,31.62,3.34,40.53,74.09,114.22,128.8,15.95,275.85,1.3,2.49,1.73,15.6,71.2,0.96,112.55,105.99,753.45,0.0,-0.0,18-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
