from date,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NO,NOx,NO2,SO2,Ozone,to date,station
31-Jan-2019 - 00:00,737.4,63.5,74.19,201.85,16.97,-0.39,214.25,1.49,0.68,0.35,0.76,0.0,1.09,0.56,5.04,14.02,20.65,6.72,52.7,01-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
01-Feb-2019 - 00:00,737.25,45.85,72.08,209.4,17.4,-0.34,177.09,1.44,0.68,0.35,0.75,0.0,1.09,0.42,6.14,15.95,22.67,6.37,69.41,02-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Feb-2019 - 00:00,737.69,60.36,76.59,215.35,16.24,-0.34,167.21,1.5,0.68,0.35,0.74,0.0,1.08,0.39,5.84,15.43,22.07,5.99,92.52,03-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Feb-2019 - 00:00,738.08,65.38,82.92,221.01,15.54,-0.4,180.15,1.66,0.68,0.35,0.75,0.0,1.09,0.47,5.86,15.43,22.02,6.77,77.15,04-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Feb-2019 - 00:00,737.91,68.03,81.62,215.0,16.74,-0.79,148.41,1.68,0.68,0.35,0.75,0.0,1.1,0.5,5.73,15.46,22.34,6.48,89.7,05-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
05-Feb-2019 - 00:00,738.49,45.75,68.07,310.44,18.82,-1.42,186.97,1.41,0.68,0.35,0.75,0.0,1.09,0.37,6.14,15.79,22.34,6.43,75.85,06-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Feb-2019 - 00:00,736.8,19.48,58.77,224.1,19.44,-1.17,268.47,1.79,0.68,0.35,0.76,0.0,1.09,0.52,6.02,15.51,21.97,5.83,92.11,07-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Feb-2019 - 00:00,739.32,14.52,79.86,331.95,17.92,-0.89,272.83,2.17,0.68,0.35,0.75,0.0,1.09,0.48,6.09,16.31,23.42,5.3,68.5,08-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Feb-2019 - 00:00,739.78,18.4,78.3,370.25,15.96,-0.81,177.16,1.21,0.68,0.35,0.75,0.0,1.08,0.45,6.01,15.85,22.65,4.66,46.62,09-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Feb-2019 - 00:00,740.15,21.4,73.16,410.96,16.44,-0.38,185.17,1.16,0.68,0.35,0.75,0.0,1.09,0.45,5.8,15.3,21.89,4.84,31.86,10-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Feb-2019 - 00:00,737.78,55.68,76.93,219.72,16.39,-0.42,174.73,1.39,0.68,0.35,0.75,0.0,1.09,0.38,5.95,15.78,22.57,4.89,25.15,11-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Feb-2019 - 00:00,739.86,33.3,75.81,379.72,18.15,-0.71,156.61,1.54,0.68,0.35,0.75,0.0,1.09,0.38,6.29,16.23,22.92,5.48,54.11,12-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Feb-2019 - 00:00,737.95,50.13,79.23,217.06,19.15,-0.65,166.32,1.44,0.69,0.35,0.75,0.0,1.1,0.39,6.25,16.32,23.16,6.53,69.82,13-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Feb-2019 - 00:00,738.74,65.78,72.85,297.36,20.07,-0.76,182.86,1.82,0.68,0.35,0.75,0.0,1.09,0.54,6.17,16.32,23.27,7.47,69.57,14-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Feb-2019 - 00:00,737.65,40.94,77.69,200.55,19.76,-0.84,237.84,1.76,0.68,0.35,0.74,0.0,1.09,0.43,6.23,16.32,23.19,5.25,84.42,15-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Feb-2019 - 00:00,738.98,34.42,82.77,281.14,19.26,-0.93,191.54,1.52,0.68,0.35,0.75,0.0,1.08,0.44,6.55,16.86,23.72,5.87,73.16,16-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Feb-2019 - 00:00,739.05,36.57,78.62,295.76,19.29,-0.47,176.97,1.38,0.67,0.35,0.75,0.0,1.09,0.53,6.35,16.55,23.42,4.88,79.78,17-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
17-Feb-2019 - 00:00,738.03,25.91,78.05,238.28,17.76,-0.49,181.05,1.15,0.68,0.35,0.75,0.0,1.09,0.51,5.89,15.76,22.62,4.5,62.61,18-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Feb-2019 - 00:00,738.73,20.83,83.93,257.98,17.39,-0.2,215.2,1.61,0.68,0.35,0.75,0.0,1.09,0.5,6.09,15.9,22.58,5.08,64.39,19-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
19-Feb-2019 - 00:00,739.79,12.02,75.99,376.62,19.13,-0.52,230.44,1.64,0.68,0.35,0.75,0.0,1.09,0.65,9.19,17.16,21.98,4.94,59.51,20-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
20-Feb-2019 - 00:00,737.33,15.19,60.28,259.21,20.35,-0.25,230.68,1.85,0.68,0.35,0.76,0.0,1.09,0.53,10.62,18.03,19.64,5.13,50.76,21-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
21-Feb-2019 - 00:00,738.83,21.97,73.47,308.89,21.35,-0.38,230.76,1.28,0.78,0.14,0.53,0.25,1.25,0.5,9.4,15.69,17.05,6.4,47.15,22-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
22-Feb-2019 - 00:00,738.38,40.47,86.48,226.1,19.38,-0.34,177.49,0.91,0.85,0.0,0.38,0.42,1.34,0.52,8.13,13.54,14.85,5.38,76.3,23-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
23-Feb-2019 - 00:00,738.01,34.29,75.37,248.47,18.29,-0.06,180.2,1.18,0.85,0.0,0.38,0.42,1.34,0.51,8.13,13.59,14.93,5.23,70.18,24-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
24-Feb-2019 - 00:00,738.11,51.31,72.61,262.95,18.62,-0.4,178.5,1.36,0.84,0.0,0.38,0.42,1.34,0.52,8.08,13.51,14.86,5.71,69.96,25-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
25-Feb-2019 - 00:00,738.1,41.37,65.45,287.18,18.53,-0.36,187.41,1.74,0.84,0.0,0.38,0.42,1.33,0.5,6.52,10.72,11.91,7.9,69.79,26-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
26-Feb-2019 - 00:00,736.85,44.86,58.23,229.64,18.88,-0.24,190.86,1.6,0.84,0.0,0.38,0.42,1.33,0.48,5.4,8.84,10.06,6.41,70.36,27-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
27-Feb-2019 - 00:00,737.75,27.8,79.68,208.74,15.47,-0.37,204.83,1.47,0.84,0.0,0.38,0.42,1.33,0.59,5.16,10.7,14.0,6.53,68.49,28-Feb-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
28-Feb-2019 - 00:00,737.62,26.77,66.94,253.67,16.33,-0.19,159.81,1.84,0.84,0.0,0.38,0.42,1.34,0.56,4.95,14.06,20.88,5.11,49.84,01-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
01-Mar-2019 - 00:00,738.24,42.17,67.26,295.04,17.99,-0.34,164.36,1.35,0.84,0.0,0.38,0.42,1.34,0.63,5.26,14.36,20.88,5.2,30.79,02-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Mar-2019 - 00:00,738.22,57.43,75.54,265.57,18.15,-0.37,200.47,1.46,0.84,0.0,0.38,0.42,1.33,0.55,5.24,14.47,21.24,6.6,38.43,03-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Mar-2019 - 00:00,738.19,23.07,77.07,245.37,19.41,-0.41,158.01,1.61,0.84,0.0,0.38,0.42,1.34,0.57,5.11,14.07,20.63,4.94,40.86,04-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Mar-2019 - 00:00,737.99,31.64,75.34,245.35,19.94,-0.46,182.13,1.7,0.83,0.0,0.38,0.42,1.33,0.63,5.16,14.14,20.69,5.24,32.99,05-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
05-Mar-2019 - 00:00,737.71,24.55,69.15,240.78,19.72,-0.4,168.77,1.37,0.83,0.0,0.38,0.42,1.35,0.56,5.22,14.31,20.91,5.04,33.06,06-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Mar-2019 - 00:00,737.81,35.35,69.82,242.51,19.88,-0.4,144.77,1.57,0.85,0.0,0.38,0.42,1.33,0.58,4.26,12.49,18.99,4.65,47.21,07-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Mar-2019 - 00:00,738.53,35.07,49.05,382.76,22.68,-0.18,142.76,1.55,1.06,0.67,0.97,0.75,2.14,0.5,4.77,12.27,17.65,5.16,32.27,08-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Mar-2019 - 00:00,736.82,32.99,57.64,229.26,20.15,-0.35,188.04,1.71,1.05,0.68,0.97,0.76,2.16,0.34,4.93,13.07,18.97,5.04,27.94,09-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Mar-2019 - 00:00,736.78,24.43,54.25,231.66,21.22,-0.31,164.7,1.51,1.06,0.68,0.97,0.76,2.17,0.43,4.61,13.03,19.4,5.02,44.15,10-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Mar-2019 - 00:00,737.93,42.64,62.85,287.64,21.21,-0.35,157.28,1.94,1.06,0.68,0.97,0.76,2.17,0.45,4.69,13.43,20.03,5.64,44.97,11-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Mar-2019 - 00:00,737.94,35.57,73.15,250.61,19.23,-0.56,236.18,2.44,1.06,0.68,0.98,0.76,2.17,0.46,4.55,12.98,19.36,5.32,42.72,12-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Mar-2019 - 00:00,738.49,22.02,53.77,362.57,21.67,-1.14,195.54,2.24,1.06,0.67,0.96,0.75,2.16,0.37,4.18,12.5,19.07,4.88,31.39,13-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Mar-2019 - 00:00,737.1,43.97,74.13,189.74,19.13,-1.0,208.49,1.7,1.06,0.68,0.97,0.76,2.16,0.35,4.59,13.33,19.95,6.43,36.86,14-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Mar-2019 - 00:00,737.1,23.91,68.52,212.39,19.36,-1.12,189.41,1.9,1.06,0.68,0.97,0.75,2.16,0.41,5.09,13.91,20.36,4.88,32.72,15-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Mar-2019 - 00:00,738.21,19.15,59.78,328.86,20.71,-0.99,151.7,1.7,1.06,0.68,0.97,0.76,2.16,0.34,5.86,15.7,22.58,4.77,28.63,16-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Mar-2019 - 00:00,737.67,39.4,63.86,267.89,21.51,-0.86,127.08,1.53,1.06,0.68,0.97,0.76,2.16,0.4,5.68,15.5,22.46,5.53,36.41,17-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
17-Mar-2019 - 00:00,739.52,47.0,65.53,394.14,22.43,-0.88,170.0,1.38,1.06,0.68,0.98,0.76,2.16,0.33,5.86,15.6,22.35,5.73,47.64,18-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Mar-2019 - 00:00,737.9,38.66,57.69,308.15,23.07,-0.87,164.91,1.78,1.06,0.68,0.97,0.76,2.15,0.37,5.47,14.84,21.53,5.57,28.54,19-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
19-Mar-2019 - 00:00,738.16,34.97,52.81,339.31,24.25,-0.86,170.98,2.14,1.07,0.68,0.98,0.76,2.16,0.37,5.42,15.06,22.03,5.68,39.57,20-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
20-Mar-2019 - 00:00,738.16,37.22,45.76,370.69,24.86,-0.88,197.5,1.63,1.06,0.68,0.97,0.76,2.16,0.41,5.43,15.0,21.9,7.94,44.85,21-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
21-Mar-2019 - 00:00,736.52,29.09,42.53,263.48,24.95,-0.63,182.11,1.97,1.07,0.68,0.97,0.76,2.15,0.32,5.29,14.47,21.1,6.53,37.21,22-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
22-Mar-2019 - 00:00,736.92,28.18,44.62,279.34,23.51,-0.65,166.04,1.19,1.06,0.68,0.98,0.76,2.15,0.31,5.34,14.6,21.26,5.25,58.52,23-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
23-Mar-2019 - 00:00,737.64,34.15,52.95,311.03,23.35,-0.58,172.18,1.56,1.06,0.68,0.97,0.76,2.16,0.36,5.16,14.25,20.95,5.75,54.24,24-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
24-Mar-2019 - 00:00,738.81,39.45,55.34,383.6,23.6,-0.75,177.52,1.3,1.06,0.68,0.97,0.76,2.16,0.38,5.63,14.84,21.23,6.5,56.41,25-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
25-Mar-2019 - 00:00,737.16,56.43,74.15,199.37,21.02,-1.07,159.66,1.36,1.06,0.68,0.97,0.76,2.16,0.36,5.46,14.96,21.79,6.19,47.56,26-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
26-Mar-2019 - 00:00,738.47,32.07,59.21,345.73,23.44,-0.76,152.55,1.89,1.0,0.56,0.71,0.63,1.14,0.49,6.4,15.68,22.56,5.42,75.91,27-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
27-Mar-2019 - 00:00,739.34,48.5,59.25,401.07,24.69,-0.6,157.08,1.74,0.98,0.48,0.53,0.54,0.42,0.43,5.47,14.92,21.7,5.57,49.95,28-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
28-Mar-2019 - 00:00,737.28,43.66,54.64,272.43,25.96,-0.51,167.73,1.53,0.98,0.48,0.53,0.54,0.42,0.29,6.12,15.44,21.64,6.67,73.29,29-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
29-Mar-2019 - 00:00,737.17,54.43,57.23,258.95,26.79,-0.6,176.06,1.82,0.97,0.48,0.53,0.54,0.42,0.46,5.75,14.65,20.7,6.62,76.26,30-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
30-Mar-2019 - 00:00,739.1,48.85,50.64,419.03,27.98,-0.57,193.51,1.61,0.99,0.48,0.53,0.54,0.42,0.59,5.84,14.87,20.96,6.72,81.78,31-Mar-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
31-Mar-2019 - 00:00,738.44,40.69,45.67,387.01,27.16,-0.54,155.86,1.34,0.97,0.48,0.53,0.54,0.42,0.51,5.66,14.43,20.44,6.74,64.19,01-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
01-Apr-2019 - 00:00,736.92,38.88,46.2,275.79,26.46,-0.46,182.18,1.64,0.99,0.48,0.53,0.54,0.42,0.45,5.96,14.77,20.64,6.25,72.13,02-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Apr-2019 - 00:00,737.54,45.14,45.63,323.05,26.73,-0.48,187.73,2.06,0.98,0.48,0.53,0.54,0.42,0.51,5.58,14.33,20.37,6.8,63.29,03-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Apr-2019 - 00:00,739.09,49.36,47.61,428.25,27.42,-0.61,173.19,1.96,0.99,0.48,0.53,0.54,0.42,0.61,5.79,14.55,20.46,7.2,71.28,04-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Apr-2019 - 00:00,737.47,51.9,45.64,315.76,28.9,-0.69,182.74,1.85,0.98,0.48,0.53,0.54,0.42,0.74,5.79,14.55,20.45,8.91,77.46,05-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
05-Apr-2019 - 00:00,737.42,54.42,50.88,295.11,29.09,-0.98,178.12,1.63,0.98,0.48,0.53,0.54,0.42,0.55,5.87,14.86,20.91,6.26,69.15,06-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Apr-2019 - 00:00,737.19,73.17,51.83,274.33,29.88,-1.14,181.41,1.86,0.98,0.48,0.53,0.54,0.42,0.54,5.77,14.42,20.2,7.1,71.85,07-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Apr-2019 - 00:00,738.23,61.06,48.3,364.19,29.08,-1.09,230.36,1.76,0.97,0.48,0.53,0.54,0.42,0.53,5.83,14.69,20.66,5.92,60.58,08-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Apr-2019 - 00:00,737.43,54.37,68.11,232.51,25.64,-1.6,217.28,1.67,0.98,0.48,0.53,0.54,0.42,0.59,5.52,14.09,20.02,5.83,49.3,09-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Apr-2019 - 00:00,737.42,42.87,57.73,267.5,27.16,-1.64,190.25,1.69,0.99,0.48,0.53,0.54,0.42,0.63,5.79,14.62,20.55,6.31,50.9,10-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Apr-2019 - 00:00,740.3,48.49,49.29,508.46,30.04,-1.34,197.41,1.59,0.98,0.48,0.53,0.54,0.42,0.57,5.93,14.95,21.01,6.36,59.86,11-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Apr-2019 - 00:00,738.12,40.37,42.61,376.26,29.44,-1.17,172.83,1.49,0.98,0.48,0.53,0.54,0.42,0.64,5.93,15.01,21.13,7.0,44.47,12-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Apr-2019 - 00:00,736.3,40.45,45.61,231.68,28.59,-1.12,172.55,1.9,0.98,0.48,0.53,0.54,0.42,0.46,6.03,15.26,21.44,6.83,43.68,13-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Apr-2019 - 00:00,736.5,37.47,43.73,254.45,28.43,-1.09,163.36,1.53,0.99,0.48,0.53,0.54,0.42,0.44,5.72,14.49,20.44,6.36,53.74,14-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Apr-2019 - 00:00,736.39,34.55,46.86,240.8,27.69,-1.81,130.26,1.06,0.98,0.49,0.53,0.54,0.42,0.46,8.4,15.79,18.91,12.92,27.95,15-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Apr-2019 - 00:00,737.78,41.53,41.57,357.21,30.56,-2.95,167.64,1.68,0.98,0.48,0.53,0.54,0.42,0.46,12.2,15.07,11.98,31.46,11.08,16-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Apr-2019 - 00:00,736.27,42.72,50.18,219.48,26.89,-2.9,217.61,2.27,0.97,0.48,0.53,0.54,0.42,0.49,11.98,14.92,12.02,12.55,48.98,17-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
17-Apr-2019 - 00:00,738.4,30.27,78.64,259.89,22.56,-2.82,219.92,2.27,0.99,0.48,0.53,0.54,0.42,0.41,11.81,14.53,11.46,5.8,46.79,18-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Apr-2019 - 00:00,738.62,14.47,58.58,355.52,24.83,-2.83,162.56,2.01,0.98,0.48,0.53,0.54,0.42,0.39,12.06,14.81,11.52,7.27,57.42,19-Apr-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
