from date,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NO,NOx,NO2,SO2,Ozone,to date,station
01-Jan-2019 - 00:00,739.69,98.19,72.93,382.33,15.64,0.21,178.32,1.56,1.05,0.0,0.67,0.18,1.97,0.49,5.74,12.94,17.44,6.82,100.96,02-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Jan-2019 - 00:00,739.64,120.28,70.31,387.81,17.09,-0.26,197.55,1.59,1.05,0.0,0.67,0.18,1.97,0.42,6.6,14.61,19.27,5.51,92.69,03-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Jan-2019 - 00:00,739.45,60.33,65.2,396.42,16.59,0.08,128.21,1.48,1.05,0.0,0.67,0.18,1.96,0.51,6.95,15.0,19.48,4.84,95.06,04-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Jan-2019 - 00:00,739.33,97.5,73.4,354.78,15.38,0.22,198.36,1.57,1.05,0.0,0.67,0.18,1.97,0.58,6.81,14.9,19.53,6.51,86.18,05-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
05-Jan-2019 - 00:00,738.03,96.95,62.04,303.1,17.93,0.08,265.17,1.38,1.05,0.0,0.67,0.18,1.97,0.48,7.5,16.16,20.84,5.19,74.44,06-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Jan-2019 - 00:00,740.36,63.76,76.82,422.08,16.29,0.41,208.97,1.74,1.05,0.0,0.67,0.18,1.96,0.67,6.85,15.13,19.85,5.38,91.69,07-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Jan-2019 - 00:00,738.92,51.71,65.85,356.65,16.59,0.29,173.66,1.81,0.85,0.19,0.71,0.08,1.5,0.59,6.44,15.0,20.31,5.26,75.54,08-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Jan-2019 - 00:00,738.77,43.01,71.72,324.21,16.51,1.45,144.26,1.2,0.68,0.35,0.75,0.0,1.1,0.59,5.81,15.17,21.65,5.44,93.68,09-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Jan-2019 - 00:00,738.26,63.28,72.47,273.03,16.08,0.75,186.33,1.23,0.68,0.35,0.75,0.0,1.09,0.59,5.67,15.29,22.05,4.97,59.33,10-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Jan-2019 - 00:00,738.15,41.46,72.13,271.96,15.86,0.46,182.51,1.79,0.68,0.35,0.75,0.0,1.08,0.56,5.13,14.19,20.91,5.21,68.05,11-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Jan-2019 - 00:00,738.3,86.79,70.35,290.67,17.18,2.35,188.12,1.75,0.69,0.35,0.74,0.0,1.09,0.41,5.18,14.14,20.69,6.37,92.8,12-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Jan-2019 - 00:00,736.66,66.5,56.38,224.65,18.28,0.45,189.65,2.13,0.68,0.35,0.75,0.0,1.08,0.5,6.31,16.59,23.57,5.79,56.0,13-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Jan-2019 - 00:00,737.14,69.79,67.47,222.78,18.22,0.45,193.08,1.52,0.68,0.35,0.75,0.0,1.09,0.46,6.26,16.27,23.01,5.51,76.94,14-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Jan-2019 - 00:00,737.28,48.19,65.78,231.15,15.66,0.57,177.36,1.31,0.68,0.35,0.75,0.0,1.09,0.45,6.03,15.67,22.25,5.11,56.52,15-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Jan-2019 - 00:00,737.79,43.12,67.86,264.96,14.57,1.94,170.69,1.35,0.69,0.35,0.75,0.0,1.1,0.48,5.45,14.3,20.95,4.57,54.01,16-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Jan-2019 - 00:00,737.85,71.21,75.83,237.0,15.75,0.55,190.08,1.54,0.68,0.35,0.75,0.0,1.09,0.56,4.93,13.68,20.17,6.43,50.2,17-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
17-Jan-2019 - 00:00,737.06,57.34,67.58,216.39,17.49,0.59,189.83,1.73,0.68,0.35,0.75,0.0,1.07,0.6,5.71,15.36,22.17,5.13,36.82,18-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Jan-2019 - 00:00,737.19,56.31,65.69,234.19,17.08,1.86,149.06,1.49,0.68,0.35,0.75,0.0,1.1,0.57,5.43,14.86,21.6,6.7,30.5,19-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
19-Jan-2019 - 00:00,737.09,71.75,65.2,225.59,18.09,1.0,160.31,1.55,0.68,0.35,0.75,0.0,1.09,0.49,5.64,15.34,22.22,5.4,30.6,20-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
20-Jan-2019 - 00:00,736.55,64.74,60.38,203.1,18.85,1.04,202.87,1.58,0.67,0.35,0.74,0.0,1.09,0.49,5.78,15.41,22.09,9.44,29.84,21-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
21-Jan-2019 - 00:00,736.64,39.71,62.02,204.22,19.39,0.48,247.91,1.87,0.68,0.35,0.75,0.0,1.09,0.53,5.54,15.12,21.97,5.67,36.34,22-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
22-Jan-2019 - 00:00,737.67,10.08,83.94,183.78,15.98,-0.31,237.91,1.39,0.68,0.35,0.75,0.0,1.09,0.43,5.62,15.25,22.05,4.58,35.02,23-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
23-Jan-2019 - 00:00,737.48,31.91,75.01,208.58,16.89,0.07,159.74,1.73,0.68,0.35,0.75,0.0,1.1,0.61,5.61,15.09,21.78,5.27,42.02,24-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
24-Jan-2019 - 00:00,738.17,27.93,69.37,281.73,16.86,0.48,198.13,1.26,0.68,0.35,0.75,0.0,1.09,0.52,5.64,14.95,21.46,5.47,38.21,25-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
25-Jan-2019 - 00:00,737.51,38.78,74.99,221.91,15.98,0.53,163.26,1.56,0.68,0.35,0.75,0.0,1.1,0.58,5.47,14.76,21.35,5.25,34.93,26-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
26-Jan-2019 - 00:00,738.07,35.47,71.85,269.84,15.42,0.73,133.88,1.54,0.68,0.35,0.76,0.0,1.08,0.5,4.99,14.14,20.95,4.72,44.3,27-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
27-Jan-2019 - 00:00,737.96,53.39,75.79,245.29,14.77,0.73,167.49,1.25,0.68,0.35,0.75,0.0,1.09,0.47,4.96,14.2,21.11,4.9,58.79,28-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
28-Jan-2019 - 00:00,737.56,37.16,70.4,234.71,14.8,0.73,165.34,1.36,0.68,0.35,0.75,0.0,1.09,0.56,4.89,13.75,20.34,5.1,44.49,29-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
29-Jan-2019 - 00:00,738.04,33.41,64.82,284.74,15.46,-18.83,169.99,1.49,0.68,0.35,0.75,0.0,1.09,0.53,4.32,12.57,19.03,4.9,39.69,30-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
30-Jan-2019 - 00:00,737.36,61.56,74.56,202.39,15.44,-12.74,177.61,1.64,0.68,0.35,0.75,0.0,1.09,0.49,3.78,11.57,17.87,6.82,69.19,31-Jan-2019 - 00:00,"Sector-6, Panchkula - HSPCB "
