from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,RH,SR,VWS,WS,NO,CO,WD,NO2,to date,BP,station
01-Jan-2019 - 00:00,92.58,59.57,322.15,41.37,0.0,0.0,0.0,0.0,0.0,68.71,22.62,-0.0,0.31,67.24,0.61,233.3,73.88,02-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
02-Jan-2019 - 00:00,145.08,49.7,365.34,38.78,0.0,0.0,0.0,0.0,0.0,77.78,21.33,-0.0,0.26,122.98,0.6,224.66,88.32,03-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
03-Jan-2019 - 00:00,50.94,44.39,153.78,17.16,0.0,0.02,0.0,0.01,0.0,80.01,21.41,-0.0,0.3,17.92,1.19,248.42,73.9,04-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
04-Jan-2019 - 00:00,88.29,51.81,223.37,13.86,0.0,0.0,0.01,0.01,0.01,72.79,24.47,-0.01,0.41,71.89,0.94,238.36,59.59,05-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
05-Jan-2019 - 00:00,81.32,44.72,402.28,15.39,0.0,0.0,0.0,0.0,0.0,78.4,19.69,-0.04,0.47,58.11,1.4,142.07,66.8,06-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
06-Jan-2019 - 00:00,23.77,56.01,119.74,8.2,0.0,0.0,0.0,0.0,0.0,82.67,18.75,-0.03,0.92,8.68,1.32,97.16,34.29,07-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
07-Jan-2019 - 00:00,53.25,41.7,82.87,14.14,0.0,0.02,0.0,0.0,0.01,82.44,23.02,0.02,0.86,40.47,1.6,192.88,41.19,08-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
08-Jan-2019 - 00:00,34.93,46.51,104.03,7.96,0.0,0.0,0.01,0.0,0.0,71.28,27.01,0.0,0.59,13.57,1.51,277.32,46.96,09-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
09-Jan-2019 - 00:00,32.35,56.49,144.31,11.92,0.0,0.0,0.0,0.0,0.0,71.61,27.22,-0.02,0.49,11.1,1.44,265.19,45.73,10-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
10-Jan-2019 - 00:00,80.85,66.65,115.71,16.33,0.0,0.0,0.0,0.0,0.0,73.58,27.1,-0.01,0.41,65.29,1.74,268.85,55.47,11-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
