from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,RH,SR,VWS,WS,NO,CO,WD,NO2,to date,BP,station
11-Jan-2019 - 00:00,84.34,33.09,225.21,14.54,0.0,0.0,0.0,0.0,0.0,76.18,24.38,-0.01,0.21,55.86,1.3,203.19,76.26,12-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
12-Jan-2019 - 00:00,87.07,44.07,238.14,9.89,0.0,0.0,0.0,0.0,0.0,78.57,24.93,-0.01,0.25,62.75,1.63,186.81,70.89,13-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
13-Jan-2019 - 00:00,79.46,41.78,282.77,9.61,0.0,0.0,0.0,0.0,0.0,78.06,29.97,-0.0,0.32,51.15,1.19,192.83,73.93,14-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
14-Jan-2019 - 00:00,29.88,32.88,117.66,5.98,0.0,0.0,0.0,0.0,0.0,65.66,30.19,0.01,0.72,12.2,1.16,266.42,39.43,15-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
15-Jan-2019 - 00:00,38.92,38.6,113.47,9.22,0.0,0.0,0.0,0.0,0.0,63.2,22.77,-0.02,0.51,13.98,1.2,262.34,53.49,16-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
16-Jan-2019 - 00:00,92.3,44.95,203.21,11.63,0.0,0.0,0.0,0.0,0.0,74.59,27.59,0.0,0.31,59.07,1.27,226.34,85.51,17-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
17-Jan-2019 - 00:00,63.71,30.58,230.56,10.67,0.0,0.0,0.0,0.0,0.0,80.82,30.44,0.0,0.35,32.38,1.08,256.41,71.78,18-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
18-Jan-2019 - 00:00,45.48,40.85,182.69,8.46,0.0,0.0,0.0,0.0,0.0,71.06,27.91,-0.0,0.42,14.72,1.3,236.47,65.25,19-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
19-Jan-2019 - 00:00,46.66,44.32,136.39,11.58,0.0,0.0,0.0,0.0,0.0,65.87,26.81,-0.01,0.41,13.78,1.25,251.28,68.76,20-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
20-Jan-2019 - 00:00,94.94,50.23,219.68,16.86,0.0,0.0,0.0,0.0,0.0,76.18,27.91,-0.02,0.26,64.38,1.41,239.27,83.46,21-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
21-Jan-2019 - 00:00,50.63,49.21,186.69,7.29,0.0,0.0,0.01,0.0,0.01,77.46,29.91,-0.06,0.64,25.18,1.21,134.18,59.2,22-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
22-Jan-2019 - 00:00,32.28,59.8,199.91,9.99,0.0,0.02,0.0,0.01,0.0,75.62,18.47,-0.05,1.06,13.4,1.18,85.59,42.86,23-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
23-Jan-2019 - 00:00,31.08,38.15,85.26,8.62,0.0,0.04,0.02,0.0,0.0,88.75,41.78,-0.07,0.64,16.2,1.26,115.52,36.27,24-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
24-Jan-2019 - 00:00,89.9,33.65,111.43,11.92,0.0,0.0,0.0,0.0,0.0,86.12,41.62,-0.03,0.48,79.06,1.54,193.51,51.46,25-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
25-Jan-2019 - 00:00,62.21,17.92,136.28,8.24,0.0,0.0,0.0,0.01,0.0,97.12,18.34,0.02,1.01,52.95,1.2,256.49,38.68,26-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
26-Jan-2019 - 00:00,20.72,24.43,36.29,5.84,0.0,0.0,0.0,0.01,0.0,99.05,25.04,-0.0,0.62,11.84,1.4,261.44,23.13,27-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
27-Jan-2019 - 00:00,29.41,36.76,60.27,5.63,0.0,0.02,0.0,0.0,0.0,80.78,44.44,-0.01,0.6,13.16,1.38,292.38,37.6,28-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
28-Jan-2019 - 00:00,32.39,42.5,74.65,9.06,0.0,0.0,0.0,0.0,0.0,72.98,42.61,-0.03,0.49,13.11,1.26,260.03,44.16,29-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
29-Jan-2019 - 00:00,30.77,52.36,83.87,9.8,0.0,0.0,0.0,0.0,0.0,65.64,41.89,-0.02,0.59,10.15,1.31,265.77,46.33,30-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
30-Jan-2019 - 00:00,72.32,35.01,122.58,10.92,0.0,0.0,0.0,0.0,0.0,69.18,42.69,-0.03,0.46,50.78,1.07,239.55,62.67,31-Jan-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
31-Jan-2019 - 00:00,106.9,17.53,157.44,11.57,0.0,0.0,0.0,0.0,0.0,71.03,41.06,-0.03,0.42,86.1,0.66,164.27,73.12,01-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
01-Feb-2019 - 00:00,69.84,21.71,132.66,11.17,0.0,0.0,0.0,0.0,0.0,76.76,39.73,-0.02,0.39,44.37,0.72,154.24,67.54,02-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
02-Feb-2019 - 00:00,38.39,22.09,137.55,7.85,0.0,0.0,0.0,0.0,0.0,74.16,39.26,-0.01,0.66,12.54,0.57,306.11,57.38,03-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
03-Feb-2019 - 00:00,22.46,18.9,100.4,6.21,0.0,0.0,0.0,0.0,0.0,84.97,53.4,0.01,0.87,8.32,0.48,306.34,34.15,04-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
04-Feb-2019 - 00:00,33.74,18.19,126.66,10.2,0.0,0.0,0.0,0.0,0.0,79.46,59.46,0.01,0.76,12.44,1.27,293.64,51.53,05-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
05-Feb-2019 - 00:00,82.07,17.71,169.64,8.78,0.0,0.0,0.0,0.0,0.0,89.81,42.47,0.0,0.38,60.88,0.77,235.91,66.18,06-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
06-Feb-2019 - 00:00,84.83,7.26,213.12,10.17,0.0,0.0,0.0,0.0,0.0,97.58,33.3,0.0,0.6,71.19,0.8,159.68,57.15,07-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
07-Feb-2019 - 00:00,21.58,12.59,75.88,4.79,0.0,0.0,0.0,0.0,0.0,97.62,32.12,-0.05,0.92,8.92,0.72,93.58,30.56,08-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
08-Feb-2019 - 00:00,33.44,15.63,96.23,9.71,0.0,0.0,0.0,0.0,0.0,81.02,76.91,-0.01,0.44,15.17,0.63,174.5,42.95,09-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
09-Feb-2019 - 00:00,23.39,20.82,92.4,6.67,0.0,0.0,0.0,0.0,0.0,71.53,52.78,0.01,0.92,9.07,0.55,286.82,33.26,10-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
10-Feb-2019 - 00:00,21.71,23.12,70.96,6.24,0.0,0.0,0.0,0.0,0.0,69.95,65.03,-0.01,0.6,7.09,0.57,273.26,33.06,11-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
11-Feb-2019 - 00:00,38.92,24.19,112.04,10.45,0.0,0.0,0.0,0.0,0.0,68.45,52.48,0.0,0.44,16.37,0.59,243.19,50.77,12-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
12-Feb-2019 - 00:00,78.37,20.93,133.16,11.75,0.0,0.0,0.0,0.0,0.0,75.86,39.7,0.0,0.33,55.2,0.93,210.65,66.37,13-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
13-Feb-2019 - 00:00,99.54,20.41,166.12,10.54,0.0,0.0,0.0,0.0,0.0,77.12,61.23,0.0,0.28,85.46,0.66,252.48,60.16,14-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
14-Feb-2019 - 00:00,72.37,10.82,204.12,9.51,0.0,0.02,0.0,0.0,0.0,84.09,34.23,-0.01,0.66,61.74,0.51,126.92,44.75,15-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
15-Feb-2019 - 00:00,20.52,16.68,86.35,5.79,0.0,0.0,0.0,0.0,0.0,92.76,56.89,-0.04,0.81,10.03,0.4,98.36,26.08,16-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
16-Feb-2019 - 00:00,17.94,18.39,52.39,6.25,0.0,0.0,0.0,0.0,0.0,93.87,39.98,0.0,0.62,9.69,0.4,232.55,21.83,17-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
17-Feb-2019 - 00:00,16.29,17.94,75.15,5.5,0.0,0.0,0.0,0.0,0.0,86.4,66.03,0.0,0.7,8.43,0.4,265.05,20.37,18-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
18-Feb-2019 - 00:00,34.1,22.63,70.19,9.3,0.0,0.0,0.0,0.0,0.0,69.68,56.22,-0.0,0.62,16.29,0.48,241.45,41.68,19-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
19-Feb-2019 - 00:00,53.28,20.39,96.71,10.97,0.0,0.0,0.0,0.0,0.0,80.67,43.36,-0.04,0.48,39.25,0.56,137.52,43.3,20-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
20-Feb-2019 - 00:00,62.1,15.84,113.93,7.19,0.0,0.0,0.0,0.0,0.0,86.08,28.8,-0.0,0.55,42.14,0.53,288.58,54.66,21-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
21-Feb-2019 - 00:00,56.71,13.48,67.72,11.89,0.0,0.0,0.0,0.0,0.0,75.19,40.65,-0.01,0.41,34.49,0.45,133.54,55.56,22-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
22-Feb-2019 - 00:00,30.42,23.41,75.73,8.52,0.0,0.0,0.0,0.0,0.0,76.93,47.44,0.01,0.88,16.42,0.36,256.84,33.62,23-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
23-Feb-2019 - 00:00,16.84,28.15,53.22,5.85,0.0,0.0,0.0,0.0,0.0,64.4,52.85,0.02,0.99,7.6,0.41,281.68,22.04,24-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
24-Feb-2019 - 00:00,57.89,27.84,64.65,9.86,0.0,0.0,0.0,0.0,0.0,63.75,33.11,0.0,0.73,9.29,0.47,284.24,100.77,25-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
25-Feb-2019 - 00:00,96.16,21.87,77.45,13.49,0.0,0.0,0.0,0.0,0.0,67.06,50.96,0.0,0.5,21.19,0.69,251.21,153.99,26-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
26-Feb-2019 - 00:00,67.29,32.07,62.53,5.71,0.0,0.0,0.0,0.0,0.0,56.52,45.82,-0.01,1.18,7.81,0.38,147.44,117.76,27-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
01-Mar-2019 - 00:00,80.14,23.87,85.96,8.01,0.0,0.0,,,0.0,54.28,51.89,0.01,0.66,17.8,0.38,262.06,125.73,02-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
02-Mar-2019 - 00:00,71.73,19.89,111.85,10.81,0.0,0.42,,,0.01,67.11,37.85,0.07,0.46,15.17,1.2,183.06,114.13,03-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
03-Mar-2019 - 00:00,59.26,15.86,60.74,8.98,0.02,0.0,,,0.02,81.01,40.21,0.26,0.83,11.42,1.32,188.81,48.49,04-Mar-2019 - 00:00,999.99,"Lalbagh, Lucknow - CPCB"
04-Mar-2019 - 00:00,50.51,16.62,66.6,8.24,0.0,0.0,,,0.0,74.96,63.66,0.23,0.51,10.87,1.39,252.69,39.89,05-Mar-2019 - 00:00,999.99,"Lalbagh, Lucknow - CPCB"
05-Mar-2019 - 00:00,74.55,22.16,63.91,6.66,0.12,0.63,,,0.0,67.24,60.84,0.24,0.76,13.69,1.17,285.54,62.61,06-Mar-2019 - 00:00,999.99,"Lalbagh, Lucknow - CPCB"
06-Mar-2019 - 00:00,67.68,27.17,46.28,11.23,2.59,93.09,,,28.31,53.18,66.39,0.26,0.77,12.56,1.1,278.81,58.21,07-Mar-2019 - 00:00,999.99,"Lalbagh, Lucknow - CPCB"
07-Mar-2019 - 00:00,63.86,32.9,75.1,10.1,0.52,6.87,,,1.31,46.27,75.26,0.23,0.45,13.19,1.44,235.61,51.51,08-Mar-2019 - 00:00,999.99,"Lalbagh, Lucknow - CPCB"
08-Mar-2019 - 00:00,65.26,37.81,91.65,10.22,0.64,13.69,,,2.27,48.0,70.66,0.23,0.6,13.44,1.44,232.88,55.69,09-Mar-2019 - 00:00,999.99,"Lalbagh, Lucknow - CPCB"
09-Mar-2019 - 00:00,79.85,32.89,78.8,12.37,0.36,1.23,,,0.18,41.88,63.48,0.24,0.88,13.63,1.18,272.43,70.05,10-Mar-2019 - 00:00,999.99,"Lalbagh, Lucknow - CPCB"
10-Mar-2019 - 00:00,76.28,38.32,61.71,9.26,0.23,1.23,,,0.0,47.26,67.42,0.28,1.16,14.04,1.19,301.99,64.43,11-Mar-2019 - 00:00,999.99,"Lalbagh, Lucknow - CPCB"
11-Mar-2019 - 00:00,72.04,29.27,83.96,12.42,0.3,1.23,,,0.0,40.8,60.76,0.21,0.47,11.36,1.54,192.26,65.57,12-Mar-2019 - 00:00,999.99,"Lalbagh, Lucknow - CPCB"
12-Mar-2019 - 00:00,70.74,32.37,90.2,9.43,0.27,3.41,,,0.07,47.48,53.74,0.25,0.99,6.5,1.37,297.82,71.11,13-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
13-Mar-2019 - 00:00,72.02,28.29,51.33,12.44,0.38,2.67,,,0.45,42.9,53.5,0.28,1.23,6.88,1.1,295.93,69.54,14-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
14-Mar-2019 - 00:00,53.59,24.33,98.46,11.57,0.32,1.52,,,0.25,42.32,44.74,0.23,0.49,5.41,1.86,243.76,51.86,15-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
15-Mar-2019 - 00:00,45.32,35.2,49.34,7.32,3.65,61.27,,,10.61,44.94,46.49,0.35,1.98,4.45,0.88,311.89,44.19,16-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
16-Mar-2019 - 00:00,39.04,33.85,52.72,9.35,0.46,7.03,,,0.5,40.55,62.34,0.27,0.82,3.9,1.31,266.62,37.54,17-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
17-Mar-2019 - 00:00,34.33,36.43,74.87,11.14,0.35,7.58,,,0.74,46.95,39.55,0.26,0.75,3.35,1.44,270.88,32.93,18-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
18-Mar-2019 - 00:00,34.89,34.27,95.94,10.67,2.82,34.31,,,16.43,45.14,57.81,0.27,0.61,3.47,1.27,268.46,33.52,19-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
19-Mar-2019 - 00:00,35.26,33.35,99.3,14.85,1.13,19.69,,,3.49,44.0,60.41,0.25,0.63,3.49,1.55,221.63,33.76,20-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
20-Mar-2019 - 00:00,50.59,28.74,110.19,15.54,0.31,6.68,,,0.02,43.57,66.15,0.21,0.43,4.99,1.98,203.78,49.35,21-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
21-Mar-2019 - 00:00,49.9,28.66,83.73,9.06,0.24,1.31,,,0.0,35.71,63.24,0.19,0.78,4.78,1.43,167.89,48.52,22-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
22-Mar-2019 - 00:00,39.16,35.83,55.65,9.09,0.23,1.23,,,0.0,35.12,73.72,0.28,1.36,3.76,1.11,298.54,40.14,23-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
23-Mar-2019 - 00:00,14.1,43.71,96.97,9.34,0.23,1.23,,,0.0,34.52,80.25,0.21,0.74,5.7,1.04,252.37,15.43,24-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
24-Mar-2019 - 00:00,30.69,28.39,73.91,10.78,0.23,1.23,,,0.0,37.92,83.05,0.25,0.79,8.62,1.2,263.51,48.48,25-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
25-Mar-2019 - 00:00,63.75,37.18,112.94,12.2,0.23,1.23,,,0.0,40.25,63.87,0.26,0.77,15.74,1.28,280.74,107.73,26-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
26-Mar-2019 - 00:00,65.63,26.98,73.56,10.41,0.54,7.13,,,0.05,43.4,92.95,0.27,0.79,18.97,1.14,274.57,102.26,27-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
27-Mar-2019 - 00:00,63.24,35.66,72.31,12.65,0.23,1.25,,,0.0,40.68,87.39,0.32,0.79,19.15,0.98,308.92,97.56,28-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
28-Mar-2019 - 00:00,84.87,32.55,113.95,15.21,0.23,1.25,,,0.0,44.81,74.42,0.37,0.68,16.46,1.61,259.68,143.5,29-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
29-Mar-2019 - 00:00,116.77,31.49,135.05,16.85,0.23,1.24,,,0.0,43.99,78.95,0.32,0.37,12.54,1.71,232.72,219.32,30-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
30-Mar-2019 - 00:00,116.17,36.83,145.74,12.98,0.23,1.26,,,0.05,41.92,75.43,0.32,0.49,16.13,2.14,239.57,209.33,31-Mar-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
31-Mar-2019 - 00:00,111.6,32.65,111.34,8.14,0.23,1.23,,,0.0,30.67,75.99,0.35,1.08,13.9,0.98,283.44,204.04,01-Apr-2019 - 00:00,999.91,"Lalbagh, Lucknow - CPCB"
01-Apr-2019 - 00:00,108.54,38.87,75.82,11.84,0.23,1.23,,,0.0,30.33,87.91,0.38,0.77,11.93,1.3,284.88,208.27,02-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
02-Apr-2019 - 00:00,108.31,34.59,103.93,11.79,0.23,1.23,,,0.0,35.74,83.42,0.51,0.62,14.77,1.33,238.56,186.94,03-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
03-Apr-2019 - 00:00,62.02,42.09,130.58,13.56,0.23,1.23,,,0.0,31.17,93.66,0.76,0.45,8.13,1.86,242.36,120.83,04-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
04-Apr-2019 - 00:00,65.86,35.41,121.32,5.93,0.24,1.43,,,0.03,38.94,88.07,0.47,0.54,10.48,1.66,163.02,116.34,05-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
05-Apr-2019 - 00:00,49.78,33.31,111.53,4.07,0.23,1.26,,,0.02,48.57,79.29,0.29,0.64,16.17,1.29,98.49,70.52,06-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
06-Apr-2019 - 00:00,48.85,22.47,100.7,3.37,0.24,1.72,,,0.09,56.89,77.18,0.19,0.7,15.28,1.16,115.16,70.15,07-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
07-Apr-2019 - 00:00,50.37,24.97,48.92,3.2,0.24,1.36,,,0.01,56.87,100.03,0.19,1.06,15.02,0.99,98.83,73.75,08-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
08-Apr-2019 - 00:00,52.02,29.43,55.76,3.64,0.24,1.42,,,0.01,54.66,112.54,0.21,0.65,15.42,1.22,142.93,76.07,09-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
09-Apr-2019 - 00:00,51.95,32.96,82.95,3.54,0.27,2.38,,,0.08,44.16,94.14,0.21,0.64,15.84,1.29,229.97,76.26,10-Apr-2019 - 00:00,999.4,"Lalbagh, Lucknow - CPCB"
10-Apr-2019 - 00:00,50.82,33.02,85.69,3.32,0.3,2.71,,,0.26,48.71,99.45,0.17,0.81,15.22,1.28,138.32,74.76,11-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
11-Apr-2019 - 00:00,49.24,36.52,98.75,2.58,0.35,4.36,,,0.63,47.09,87.95,0.18,0.58,12.01,1.19,136.81,77.94,12-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
12-Apr-2019 - 00:00,43.53,24.73,136.18,3.21,0.4,4.14,,,0.56,44.44,88.27,0.17,0.58,8.01,1.69,199.94,80.83,13-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
13-Apr-2019 - 00:00,54.24,39.54,115.95,2.9,0.38,3.47,,,0.61,30.68,99.77,0.2,0.96,10.35,1.15,309.86,89.96,14-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
14-Apr-2019 - 00:00,51.73,44.69,100.55,2.82,0.34,2.83,,,0.48,29.0,99.79,0.18,0.81,10.27,0.96,301.1,84.9,15-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
15-Apr-2019 - 00:00,52.65,38.73,100.45,4.14,0.29,2.48,,,0.22,25.62,103.99,0.19,0.7,10.3,1.35,261.05,86.89,16-Apr-2019 - 00:00,999.19,"Lalbagh, Lucknow - CPCB"
16-Apr-2019 - 00:00,46.76,22.93,124.94,3.11,0.26,1.61,,,0.1,38.78,44.5,0.35,1.38,9.72,0.97,281.87,76.66,17-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
17-Apr-2019 - 00:00,52.07,20.01,41.04,2.27,0.24,1.43,,,0.0,64.67,96.44,0.36,0.74,11.04,0.97,163.13,83.65,18-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
18-Apr-2019 - 00:00,48.21,38.89,40.54,2.25,0.24,1.28,,,0.02,55.84,104.86,0.38,0.94,10.01,1.0,264.97,78.53,19-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
19-Apr-2019 - 00:00,46.28,37.49,56.18,2.73,0.23,1.31,,,0.0,43.44,103.41,0.4,0.84,9.97,1.13,321.81,73.74,20-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
20-Apr-2019 - 00:00,44.78,42.27,90.28,3.55,0.23,1.27,,,0.0,37.74,103.15,0.39,0.56,8.86,1.38,275.15,76.07,21-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
21-Apr-2019 - 00:00,48.42,39.66,101.92,4.18,0.23,1.27,,,0.0,33.35,101.54,0.4,0.46,8.46,1.53,267.91,81.42,22-Apr-2019 - 00:00,998.28,"Lalbagh, Lucknow - CPCB"
22-Apr-2019 - 00:00,48.92,44.41,134.49,4.62,0.23,1.29,,,0.01,34.96,93.4,0.43,0.52,9.49,1.44,197.19,80.74,23-Apr-2019 - 00:00,997.92,"Lalbagh, Lucknow - CPCB"
23-Apr-2019 - 00:00,45.72,33.38,122.32,2.64,0.23,1.36,,,0.01,49.07,94.81,0.74,0.66,8.67,1.12,82.5,79.37,24-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
24-Apr-2019 - 00:00,48.83,38.7,97.19,2.97,0.24,1.43,,,0.02,47.22,90.14,0.94,0.55,9.61,1.25,88.19,80.3,25-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
25-Apr-2019 - 00:00,45.62,41.28,123.53,8.44,0.23,1.36,,,0.0,43.59,84.59,1.06,0.5,10.8,1.22,155.69,71.89,26-Apr-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
26-Apr-2019 - 00:00,33.53,28.23,50.18,9.84,0.26,2.05,,,0.06,37.39,102.43,1.33,0.85,12.81,1.34,298.57,65.82,27-Apr-2019 - 00:00,997.89,"Lalbagh, Lucknow - CPCB"
27-Apr-2019 - 00:00,45.23,29.29,201.75,7.63,0.23,1.25,,,0.02,18.59,109.2,2.92,1.24,13.27,1.04,315.19,67.08,28-Apr-2019 - 00:00,996.96,"Lalbagh, Lucknow - CPCB"
28-Apr-2019 - 00:00,46.54,29.35,221.21,9.79,0.23,1.23,,,0.0,14.57,107.93,2.55,1.0,13.79,1.19,302.58,72.98,29-Apr-2019 - 00:00,996.11,"Lalbagh, Lucknow - CPCB"
29-Apr-2019 - 00:00,52.3,31.13,190.99,9.78,0.34,1.35,,,0.0,15.84,102.5,2.39,0.46,15.57,1.42,248.78,76.84,30-Apr-2019 - 00:00,995.93,"Lalbagh, Lucknow - CPCB"
