from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
27-Jan-2019 - 00:00,12.27,997.53,254.09,165.05,62.99,89.19,309.84,1.75,3.88,27.55,56.17,20.65,42.32,47.92,1.12,22.43,22.81,28-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
28-Jan-2019 - 00:00,13.1,997.17,315.94,210.76,55.86,130.45,310.68,1.94,6.76,24.7,54.11,25.87,48.46,51.46,1.24,22.59,22.55,29-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
29-Jan-2019 - 00:00,14.09,995.66,275.45,165.99,53.32,130.37,312.13,1.71,3.49,31.08,52.91,40.27,62.89,56.47,1.37,28.04,25.34,30-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
30-Jan-2019 - 00:00,14.85,994.39,427.15,267.27,52.62,96.09,256.16,1.17,6.4,60.85,61.82,75.18,93.5,60.45,2.36,33.22,40.45,31-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
31-Jan-2019 - 00:00,16.07,993.3,459.36,258.98,56.9,80.45,108.23,1.79,9.83,49.5,76.18,120.36,131.99,63.65,2.24,28.16,30.64,01-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
01-Feb-2019 - 00:00,15.96,993.9,351.02,241.9,72.97,87.58,198.97,1.68,5.75,43.23,78.87,68.64,88.07,62.37,1.47,17.04,27.64,02-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
02-Feb-2019 - 00:00,12.8,994.06,360.45,238.89,89.91,47.76,306.8,1.8,4.25,37.84,77.19,24.89,51.67,58.99,1.79,15.75,16.07,03-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
03-Feb-2019 - 00:00,14.13,995.07,278.49,190.58,87.14,72.08,296.7,1.54,5.22,49.95,97.72,42.28,68.59,64.21,1.43,17.36,22.24,04-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
04-Feb-2019 - 00:00,15.53,995.54,365.48,215.27,74.94,106.49,272.18,1.15,7.3,62.83,95.16,124.06,155.49,103.32,2.38,24.98,27.25,05-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
05-Feb-2019 - 00:00,18.22,992.97,658.88,396.22,68.71,82.98,113.43,1.16,13.8,84.69,91.18,182.32,223.79,139.36,4.0,22.51,35.14,06-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
06-Feb-2019 - 00:00,19.61,987.87,390.42,248.88,76.81,57.84,131.34,1.79,9.58,35.65,83.63,76.5,113.3,95.4,2.06,18.17,19.06,07-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
07-Feb-2019 - 00:00,16.61,986.06,202.33,92.48,88.46,21.11,156.55,2.71,4.82,34.19,53.19,22.49,45.31,50.63,1.09,22.52,15.27,08-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
08-Feb-2019 - 00:00,14.88,991.85,196.96,94.79,70.68,136.42,282.41,1.54,2.86,42.12,35.93,50.15,71.95,58.51,1.19,19.87,15.56,09-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
09-Feb-2019 - 00:00,14.59,994.03,236.71,118.6,66.74,155.97,314.46,1.87,2.66,36.43,36.86,29.83,53.31,54.44,1.27,24.45,16.38,10-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
10-Feb-2019 - 00:00,15.33,995.46,334.46,188.79,65.69,104.64,293.57,1.26,4.28,62.28,44.42,64.12,93.91,78.53,1.51,22.22,19.94,11-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
11-Feb-2019 - 00:00,16.1,995.92,389.94,211.5,66.11,119.82,288.94,0.94,5.52,62.44,52.34,100.02,130.96,93.34,1.92,28.04,19.79,12-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
12-Feb-2019 - 00:00,17.72,995.97,445.0,259.08,66.59,96.99,203.37,0.93,5.97,60.56,65.7,85.27,119.27,93.53,1.98,32.46,20.56,13-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
13-Feb-2019 - 00:00,19.42,994.96,456.46,256.73,65.4,99.56,127.73,0.89,8.06,48.66,70.42,112.9,169.19,122.72,3.39,36.76,20.1,14-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
14-Feb-2019 - 00:00,18.15,990.68,319.0,200.15,76.78,49.57,125.97,2.12,5.95,32.09,67.4,49.04,85.8,86.12,1.65,19.95,18.56,15-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
15-Feb-2019 - 00:00,17.17,991.12,259.29,172.4,80.98,95.69,204.57,1.52,4.98,30.37,55.35,50.02,78.4,70.96,1.38,16.71,17.84,16-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
16-Feb-2019 - 00:00,15.76,992.57,218.5,140.88,87.86,64.6,308.93,1.73,2.93,38.05,39.92,31.4,56.66,58.4,1.16,15.33,15.05,17-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
17-Feb-2019 - 00:00,16.68,989.42,233.67,138.15,74.64,158.29,303.71,1.67,3.91,48.81,37.04,41.79,70.03,67.59,1.4,28.04,17.58,18-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
18-Feb-2019 - 00:00,19.15,984.82,290.28,141.93,59.51,123.13,146.55,1.61,4.92,31.57,41.2,35.18,69.21,75.99,1.37,27.65,18.89,19-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
