from date,Benzene,Toluene,Xylene,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,RF,CO,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,1.51,4.59,4.12,745.5,299.01,62.93,11.44,28.24,-0.2,360.0,0.63,0.0,1.72,44.16,77.3,77.01,12.27,13.73,02-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
02-Jan-2019 - 00:00,1.46,5.67,4.91,745.53,265.35,59.74,12.04,28.41,-0.2,354.14,0.83,0.0,1.48,77.07,71.92,102.57,10.12,13.48,03-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
03-Jan-2019 - 00:00,1.08,3.84,3.5,745.31,268.02,70.09,11.47,28.1,-0.2,334.07,1.24,0.0,1.02,37.58,62.13,63.61,10.11,10.39,04-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
04-Jan-2019 - 00:00,0.71,2.22,1.37,745.44,215.62,62.54,11.56,28.2,-0.2,340.78,1.03,0.0,0.69,15.95,59.25,44.47,10.13,8.75,05-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
05-Jan-2019 - 00:00,0.71,1.65,0.94,745.32,215.6,64.07,12.1,28.49,-0.2,356.97,2.1,0.0,0.65,11.64,46.71,34.32,10.16,10.62,06-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
06-Jan-2019 - 00:00,0.28,0.47,0.63,745.24,239.54,75.83,10.83,27.61,-0.2,359.54,2.58,0.0,0.74,9.86,37.91,28.17,10.13,4.49,07-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
07-Jan-2019 - 00:00,0.29,1.16,1.17,745.27,198.82,78.84,10.12,27.2,-0.2,359.89,2.76,0.0,0.75,15.83,40.53,34.43,10.1,8.25,08-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
08-Jan-2019 - 00:00,0.25,1.38,1.28,745.29,132.46,70.1,9.99,27.31,-0.2,328.3,2.2,0.0,0.56,23.07,39.54,39.79,10.12,6.73,09-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
09-Jan-2019 - 00:00,0.33,1.46,1.0,745.26,144.66,67.41,10.15,27.41,-0.2,352.29,2.36,0.0,0.54,14.16,40.06,32.82,10.13,7.5,10-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
10-Jan-2019 - 00:00,1.1,4.86,3.06,745.4,152.27,57.59,10.48,27.57,-0.2,349.88,1.35,0.0,1.06,62.07,52.37,78.31,10.14,7.9,11-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
