from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,3.77,4.23,2.19,5.67,764.81,249.55,76.66,0.0,39.33,146.37,17.12,257.94,1.12,1.57,45.87,44.54,56.29,100.93,20.41,15.25,02-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Jan-2019 - 00:00,4.16,4.96,2.62,6.72,764.82,223.52,77.86,0.0,35.61,149.65,17.61,234.17,0.98,1.99,42.77,47.12,39.36,86.24,31.58,14.38,03-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Jan-2019 - 00:00,3.7,4.63,2.62,6.36,764.81,232.6,79.83,0.0,37.84,148.6,16.63,241.07,1.0,1.96,39.53,41.71,45.92,87.18,31.77,17.47,04-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Jan-2019 - 00:00,4.12,4.8,2.67,6.65,764.68,261.15,87.44,0.0,44.56,132.37,16.36,232.06,1.08,2.03,48.23,38.96,49.67,88.36,28.22,17.04,05-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Jan-2019 - 00:00,3.04,3.49,1.84,4.57,764.82,211.31,76.21,0.0,40.8,146.72,17.95,235.61,0.99,1.58,42.54,23.46,45.66,68.84,31.18,13.22,06-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Jan-2019 - 00:00,0.97,0.96,0.27,1.1,764.78,161.76,51.45,0.0,39.55,141.71,16.77,304.53,1.06,0.52,31.41,3.45,28.8,29.68,56.71,10.35,07-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Jan-2019 - 00:00,2.86,3.32,1.71,4.11,764.82,214.47,85.98,0.0,56.15,146.94,14.43,226.93,0.94,1.38,40.55,31.88,39.16,71.03,45.78,12.14,08-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Jan-2019 - 00:00,1.91,1.82,0.83,1.84,764.52,254.86,79.12,0.0,64.57,96.09,10.75,323.96,1.09,0.63,31.47,20.49,38.25,44.49,6.63,13.39,09-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Jan-2019 - 00:00,7.09,8.85,4.89,11.41,764.11,391.57,121.28,0.0,51.93,53.81,14.23,282.11,1.1,1.32,56.54,107.31,96.77,152.47,6.88,28.73,10-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Jan-2019 - 00:00,4.84,6.31,3.32,6.89,764.86,258.47,75.15,0.0,46.62,152.64,15.13,227.59,1.02,2.15,51.1,52.63,53.33,104.85,16.62,16.03,11-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
