from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
01-Jan-2019 - 00:00,41.16,30.53,11.26,69.84,19.82,1.31,40.87,214.23,334.16,4.61,0.0,2.77,2.46,02-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
02-Jan-2019 - 00:00,54.36,39.77,14.17,70.9,34.04,1.65,71.16,286.75,438.7,6.11,0.03,6.21,5.02,03-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
03-Jan-2019 - 00:00,43.26,33.08,13.06,82.71,22.42,1.52,42.62,274.19,376.55,6.89,8.12,6.13,5.05,04-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
04-Jan-2019 - 00:00,32.88,24.09,8.61,74.7,24.04,1.41,,187.07,286.12,5.96,0.0,3.43,3.29,05-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
05-Jan-2019 - 00:00,39.82,41.62,25.96,35.47,45.54,1.75,24.37,189.34,322.83,1.48,0.04,0.76,0.62,06-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
07-Jan-2019 - 00:00,32.03,19.3,3.21,63.41,35.79,1.89,24.58,152.47,186.36,3.5,0.0,4.96,3.66,08-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
08-Jan-2019 - 00:00,23.52,14.34,2.56,72.72,15.54,0.56,23.08,54.83,105.06,2.54,0.16,5.11,3.63,09-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
09-Jan-2019 - 00:00,22.37,12.93,2.4,69.27,13.2,0.69,24.65,77.62,127.36,2.66,0.0,3.77,2.85,10-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
10-Jan-2019 - 00:00,25.89,15.81,5.65,70.97,14.29,0.89,63.86,111.2,132.75,3.34,0.04,4.79,3.63,11-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
11-Jan-2019 - 00:00,48.9,63.06,49.58,66.58,33.74,1.49,46.52,193.44,232.55,5.15,0.0,5.67,4.19,12-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
12-Jan-2019 - 00:00,64.52,55.35,29.79,67.82,46.67,1.74,44.12,244.83,327.19,10.25,0.35,14.07,10.33,13-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
13-Jan-2019 - 00:00,44.62,28.38,9.11,63.48,19.49,1.27,44.35,188.2,240.7,11.86,,16.79,12.35,14-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
14-Jan-2019 - 00:00,23.56,13.09,3.78,63.1,10.55,0.78,49.08,69.32,92.11,1.94,0.07,4.08,3.16,15-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
15-Jan-2019 - 00:00,24.59,13.7,3.85,66.58,15.82,0.96,44.46,92.75,154.58,4.01,0.0,5.09,4.0,16-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
