from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WD,RH,BP,Toluene,to date,station
01-Jan-2019 - 00:00,45.79,7.65,8.88,31.57,7.6,0.33,19.47,46.91,93.23,0.22,25.54,147.58,47.29,714.32,0.72,02-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Jan-2019 - 00:00,43.24,7.92,8.76,30.11,9.64,0.45,19.57,31.72,76.19,0.16,26.09,141.95,47.31,714.36,0.49,03-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Jan-2019 - 00:00,46.56,8.1,9.27,32.32,11.21,0.71,16.01,33.68,80.55,0.2,24.46,169.49,44.35,714.88,1.12,04-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Jan-2019 - 00:00,46.48,7.9,10.63,33.37,8.25,0.67,14.96,34.08,82.49,0.29,27.27,139.29,39.96,714.09,0.71,05-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Jan-2019 - 00:00,45.57,9.54,7.41,30.26,7.63,0.67,16.08,37.25,95.19,0.22,28.85,171.31,48.86,712.84,0.71,06-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Jan-2019 - 00:00,38.94,11.67,4.06,24.0,6.54,0.63,23.0,51.85,81.95,0.18,28.86,158.56,54.48,711.54,0.53,07-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Jan-2019 - 00:00,42.03,11.55,6.34,27.51,6.47,0.55,20.48,50.19,110.57,0.29,28.84,166.66,49.18,710.93,0.96,08-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Jan-2019 - 00:00,50.73,11.29,7.23,32.86,10.46,0.71,22.46,71.25,163.88,0.38,27.51,151.19,41.79,711.48,1.21,09-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Jan-2019 - 00:00,49.76,11.04,6.34,31.63,14.23,0.74,20.51,56.94,127.66,0.55,27.05,174.54,38.02,711.23,1.13,10-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Jan-2019 - 00:00,42.93,11.43,4.33,26.35,10.15,0.58,21.74,54.07,102.33,0.3,27.67,181.5,45.98,710.96,0.76,11-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Jan-2019 - 00:00,39.49,11.63,4.42,24.6,11.32,0.47,22.34,44.49,85.11,0.19,25.03,164.93,45.22,711.78,0.59,12-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Jan-2019 - 00:00,39.39,11.38,3.93,24.15,10.97,0.57,26.1,63.69,106.53,0.23,26.14,155.61,50.74,711.76,0.56,13-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Jan-2019 - 00:00,42.25,9.67,5.49,26.94,10.56,0.56,21.16,47.52,113.89,0.22,26.26,182.52,48.56,711.97,0.71,14-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Jan-2019 - 00:00,42.81,10.48,5.23,27.01,6.38,0.53,17.73,43.03,87.42,0.33,25.55,154.53,48.2,711.4,0.73,15-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Jan-2019 - 00:00,44.67,11.46,5.84,28.5,9.35,0.51,18.34,46.57,94.65,0.33,23.67,152.53,36.3,711.99,0.91,16-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Jan-2019 - 00:00,43.42,11.83,4.74,26.96,12.6,0.53,25.49,59.61,108.66,0.28,23.64,156.47,42.23,711.95,0.68,17-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Jan-2019 - 00:00,53.75,10.96,31.31,40.16,14.33,0.62,14.96,141.48,198.07,0.41,23.99,175.08,46.56,710.93,1.43,18-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Jan-2019 - 00:00,12.34,4.62,7.02,12.25,11.86,0.55,17.5,88.78,196.91,0.34,25.04,138.3,51.72,710.98,0.65,19-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Jan-2019 - 00:00,14.5,4.38,9.19,15.19,11.22,0.51,14.67,54.33,190.29,0.28,24.82,141.81,41.31,711.77,0.79,20-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Jan-2019 - 00:00,14.67,4.57,9.29,15.33,9.39,0.54,15.73,101.01,260.96,0.33,22.57,159.95,42.59,712.64,0.59,21-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Jan-2019 - 00:00,14.07,3.73,8.41,14.33,8.34,0.51,19.77,71.35,251.15,0.44,24.69,176.44,44.22,711.53,0.46,22-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
