from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,to date,station
01-Jan-2019 - 00:00,30.23,2.6,11.12,72.17,35.58,77.6,35.73,13.35,323.14,500.22,0.76,5.77,1.58,14.27,67.3,0.52,141.58,54.77,752.92,0.0,02-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
02-Jan-2019 - 00:00,30.28,2.27,13.85,40.13,44.0,55.99,64.67,10.65,320.61,435.29,0.66,3.89,0.8,14.81,73.21,0.47,217.89,51.79,753.14,0.0,03-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
03-Jan-2019 - 00:00,30.22,2.58,11.76,54.1,67.1,77.31,61.05,10.87,392.9,546.95,0.85,7.96,1.87,14.76,72.46,1.21,101.33,52.43,754.1,0.0,04-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
04-Jan-2019 - 00:00,30.25,2.8,8.56,31.6,47.66,51.05,45.69,6.63,290.05,429.66,0.67,4.58,0.78,12.98,76.45,0.83,145.22,44.05,752.95,0.0,05-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
05-Jan-2019 - 00:00,30.24,1.7,10.22,19.17,69.08,40.56,53.54,9.4,257.68,379.83,0.61,5.83,0.62,14.02,73.16,0.93,244.33,53.08,751.51,0.0,06-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
06-Jan-2019 - 00:00,30.12,2.08,12.58,36.46,75.76,69.94,67.97,6.77,191.85,263.32,0.43,3.62,0.46,14.32,76.85,1.09,188.55,48.39,750.84,0.01,07-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
07-Jan-2019 - 00:00,30.18,1.5,11.53,56.57,64.77,80.45,62.85,8.77,196.96,284.43,0.54,5.09,0.8,14.32,76.46,0.93,125.99,60.2,752.51,0.0,08-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
08-Jan-2019 - 00:00,30.3,2.02,11.27,29.61,41.11,45.89,46.33,6.69,173.65,257.85,0.42,3.84,0.6,13.99,75.34,1.22,104.16,61.74,750.79,0.0,09-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
09-Jan-2019 - 00:00,30.76,1.89,16.32,36.28,56.91,59.76,47.51,7.86,143.89,240.09,0.38,3.13,0.53,14.18,67.54,1.46,98.6,70.57,749.98,0.0,10-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
10-Jan-2019 - 00:00,30.79,2.41,10.88,93.28,87.41,122.33,60.24,11.12,174.86,309.83,0.49,3.37,0.74,14.06,65.72,1.03,107.59,67.31,749.71,0.0,11-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
11-Jan-2019 - 00:00,30.91,3.54,9.08,183.09,106.55,239.5,72.21,19.78,302.94,476.89,0.94,7.49,2.18,13.69,72.2,0.48,135.49,57.81,751.2,0.0,12-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
12-Jan-2019 - 00:00,30.78,3.58,2.52,154.42,93.04,196.51,76.2,15.77,374.65,537.95,0.95,6.67,2.08,14.73,72.01,0.51,231.69,57.62,750.46,0.0,13-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
