from date,NO,NOx,NO2,SO2,CO,Ozone,PM2.5,WS,WD,AT,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,RH,VWS,SR,to date,BP,station
01-Jan-2019 - 00:00,5.02,27.49,22.47,4.64,0.9,43.18,38.45,0.84,69.95,24.1,0.32,0.0,0.0,0.0,0.06,,-0.01,167.42,02-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Jan-2019 - 00:00,5.78,29.4,23.62,4.8,0.97,33.72,30.29,0.9,70.87,23.78,0.27,0.0,0.05,0.0,0.06,,0.04,174.39,03-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Jan-2019 - 00:00,8.49,35.61,27.12,4.86,0.93,29.25,35.57,0.86,74.89,24.04,0.53,0.0,0.03,0.0,0.17,,0.01,174.01,04-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Jan-2019 - 00:00,9.58,40.49,30.91,4.45,1.04,22.67,40.75,0.89,73.86,23.92,1.18,0.0,0.03,0.17,0.15,,0.01,177.08,05-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Jan-2019 - 00:00,7.39,35.38,27.99,3.5,1.03,26.06,37.01,0.84,75.28,23.94,0.52,0.0,0.0,0.01,0.11,,-0.02,169.26,06-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Jan-2019 - 00:00,3.38,21.3,17.92,3.21,0.93,34.45,37.93,0.84,77.57,24.17,0.1,0.0,0.0,0.01,0.02,,-0.0,166.12,07-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Jan-2019 - 00:00,10.86,37.17,26.31,3.81,0.97,30.25,33.69,0.83,71.33,24.37,0.08,0.0,0.0,0.0,0.22,,-0.01,169.4,08-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Jan-2019 - 00:00,16.88,51.04,34.16,5.63,1.19,27.93,52.94,0.8,68.51,23.65,0.14,0.0,0.0,0.08,0.58,,-0.05,173.51,09-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Jan-2019 - 00:00,13.07,48.23,35.16,3.52,1.13,28.18,57.36,0.83,74.53,21.69,0.17,0.0,0.0,0.03,0.34,,-0.03,174.16,10-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Jan-2019 - 00:00,8.88,41.29,32.41,4.28,0.85,28.13,40.43,0.83,77.6,21.21,0.16,0.0,0.0,0.0,0.28,,-0.02,169.56,11-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
