from date,NO,NOx,NO2,SO2,CO,Ozone,PM2.5,WS,WD,AT,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,RH,VWS,SR,to date,BP,station
11-Jan-2019 - 00:00,6.55,32.56,26.01,4.56,0.97,26.31,34.99,0.75,82.57,21.54,0.23,0.0,0.0,0.0,0.2,,-0.03,168.26,12-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Jan-2019 - 00:00,4.31,27.3,23.0,3.92,1.32,29.24,52.14,0.82,77.33,21.58,0.27,0.0,0.0,0.05,0.1,,-0.01,165.16,13-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Jan-2019 - 00:00,4.26,24.81,20.96,3.23,1.86,23.98,33.18,0.85,77.15,20.68,0.37,0.0,0.0,0.05,0.02,,-0.02,89.24,14-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Jan-2019 - 00:00,6.18,31.46,25.28,2.1,0.93,26.42,28.56,0.82,69.67,21.27,0.18,0.0,0.0,0.02,0.15,,-0.02,155.63,15-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Jan-2019 - 00:00,13.4,45.35,31.94,5.53,1.01,30.59,38.62,0.81,76.54,21.43,0.26,0.0,0.0,0.02,0.16,,-0.03,161.34,16-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Jan-2019 - 00:00,7.32,38.42,31.1,4.9,0.94,28.7,40.36,0.84,73.69,21.38,0.21,0.0,0.0,0.0,0.24,,-0.02,180.28,17-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Jan-2019 - 00:00,15.04,44.14,29.19,4.55,0.98,26.64,41.24,0.84,66.84,21.44,0.2,0.0,0.0,0.03,0.37,,-0.01,141.29,18-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Jan-2019 - 00:00,6.68,32.48,25.96,4.25,1.51,29.78,49.48,0.84,65.33,21.66,0.15,0.0,0.0,0.0,0.18,,-0.0,149.74,19-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Jan-2019 - 00:00,8.87,37.22,28.54,3.9,1.11,25.66,29.14,0.85,69.05,21.27,0.19,0.01,0.0,0.01,0.19,,-0.02,160.66,20-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Jan-2019 - 00:00,5.1,29.05,23.95,5.11,1.32,34.01,24.66,0.86,75.27,21.38,0.1,0.0,0.0,0.0,0.0,,0.01,162.03,21-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Jan-2019 - 00:00,7.02,38.74,32.08,3.65,1.96,25.18,34.57,0.84,80.83,19.95,0.22,0.1,0.0,0.0,0.11,,-0.04,40.23,22-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Jan-2019 - 00:00,14.15,48.82,34.66,3.3,1.14,24.65,31.26,0.7,88.81,21.29,0.26,0.0,0.0,0.0,0.4,,-0.06,158.06,23-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Jan-2019 - 00:00,11.3,43.06,32.59,4.33,1.57,25.16,39.91,0.72,102.88,21.76,0.02,0.02,0.0,0.0,0.34,,-0.06,115.22,24-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Jan-2019 - 00:00,5.74,32.31,26.57,3.6,0.97,23.32,29.17,0.71,103.43,22.31,0.0,0.0,0.0,0.0,0.18,,-0.04,157.15,25-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Jan-2019 - 00:00,8.31,34.08,25.77,3.97,1.06,21.97,22.99,0.79,93.62,22.2,0.01,0.0,0.0,0.0,0.25,,-0.02,164.96,26-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Jan-2019 - 00:00,5.83,26.46,20.63,5.14,1.12,23.98,39.82,0.74,116.35,22.44,0.0,0.0,0.0,0.0,0.22,,-0.05,124.69,27-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Jan-2019 - 00:00,4.3,21.53,17.23,4.62,1.0,23.19,25.41,0.75,104.46,22.27,0.01,0.0,0.0,0.0,0.04,,-0.03,119.05,28-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Jan-2019 - 00:00,6.17,24.83,18.67,4.05,1.07,26.27,24.18,0.71,115.06,22.23,0.0,0.0,0.0,0.0,0.0,,-0.03,127.06,29-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Jan-2019 - 00:00,7.01,27.38,20.37,4.45,1.15,23.17,19.38,0.86,63.11,21.65,0.0,0.0,0.0,0.0,0.15,,0.02,139.82,30-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Jan-2019 - 00:00,10.8,36.43,25.63,4.47,1.17,23.08,31.95,0.8,81.11,21.91,0.0,0.0,0.0,0.0,0.26,,-0.0,193.56,31-Jan-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-Jan-2019 - 00:00,7.86,31.28,23.41,4.26,1.12,26.24,33.82,0.88,73.05,21.55,0.0,0.0,0.0,0.0,0.22,,0.04,182.37,01-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Feb-2019 - 00:00,10.85,34.68,23.83,4.95,1.1,30.06,30.22,0.78,85.34,21.51,0.0,0.0,0.0,0.0,0.29,,-0.01,196.5,02-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Feb-2019 - 00:00,4.17,7.89,3.8,3.67,1.04,27.74,32.58,0.77,77.46,21.91,0.0,0.0,0.0,0.0,0.05,,-0.02,193.41,03-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Feb-2019 - 00:00,3.94,5.55,1.72,3.48,1.16,29.48,30.55,0.83,75.65,22.09,0.0,0.0,0.0,0.0,0.0,,-0.0,205.43,04-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Feb-2019 - 00:00,3.93,5.62,1.8,3.55,1.13,30.3,24.63,0.9,67.45,22.2,0.0,0.0,0.0,0.0,0.06,,0.04,211.99,05-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Feb-2019 - 00:00,4.7,15.29,10.9,3.32,1.34,28.62,19.42,0.9,71.2,22.24,0.0,0.0,0.0,0.0,0.06,,0.04,151.76,06-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Feb-2019 - 00:00,5.94,31.65,25.95,4.3,1.3,26.35,98.03,0.82,80.59,22.46,0.0,0.0,0.0,0.0,0.1,,-0.0,199.02,07-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Feb-2019 - 00:00,6.49,32.34,25.85,4.63,0.99,21.51,42.38,0.75,89.61,22.77,0.0,0.0,0.0,0.0,0.22,,-0.03,182.52,08-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Feb-2019 - 00:00,8.15,34.31,26.16,5.63,0.87,21.89,47.19,0.68,134.04,23.38,0.0,0.0,0.0,0.0,0.33,,-0.06,178.35,09-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Feb-2019 - 00:00,8.01,33.48,25.46,8.16,0.91,20.3,67.3,0.71,89.25,22.44,0.0,0.0,0.0,0.06,0.09,,-0.07,169.09,10-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Feb-2019 - 00:00,16.67,55.44,38.8,4.06,2.19,27.44,89.98,0.71,240.68,24.8,0.0,0.0,0.0,0.02,1.0,,-0.07,248.37,01-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Mar-2019 - 00:00,9.26,36.68,27.42,3.82,1.16,23.66,55.89,0.71,94.92,23.95,0.0,0.0,0.12,0.0,0.03,,-0.03,226.61,02-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Mar-2019 - 00:00,4.04,19.25,15.2,4.21,1.07,20.99,36.61,0.85,85.31,23.45,0.0,0.0,0.0,0.0,0.0,,0.04,203.37,03-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Mar-2019 - 00:00,5.55,25.69,20.14,4.33,1.0,21.06,35.83,0.73,109.8,23.39,0.0,0.0,0.0,0.0,0.03,,-0.05,187.2,04-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Mar-2019 - 00:00,6.11,29.72,23.61,4.74,1.03,17.75,38.8,0.65,131.97,23.99,0.0,0.0,0.07,0.0,0.07,,-0.06,203.5,05-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Mar-2019 - 00:00,8.66,32.81,24.15,4.66,1.08,35.12,49.85,0.76,237.81,24.28,0.0,0.0,0.37,0.05,0.17,,-0.05,201.89,06-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Mar-2019 - 00:00,10.37,37.45,27.08,5.74,1.62,26.39,60.24,0.73,244.03,24.58,0.0,0.0,0.04,0.0,0.66,,-0.06,233.86,07-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Mar-2019 - 00:00,33.6,79.1,45.51,7.51,1.97,27.89,68.03,0.69,212.01,24.64,0.0,0.0,0.0,0.0,2.16,,-0.07,232.06,08-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Mar-2019 - 00:00,21.31,62.14,41.23,6.48,1.61,13.87,179.51,0.68,154.67,24.49,0.0,0.0,0.0,0.0,1.25,,-0.07,221.66,09-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Mar-2019 - 00:00,5.12,25.9,20.78,4.3,1.19,25.81,39.4,0.7,144.24,24.22,0.0,0.0,0.0,0.0,0.22,,-0.04,179.92,10-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Mar-2019 - 00:00,3.81,19.77,15.96,5.02,0.98,18.21,51.47,0.73,110.34,24.27,0.0,0.0,0.0,0.0,0.04,,-0.02,226.04,11-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Mar-2019 - 00:00,6.27,27.44,21.17,5.83,0.89,19.06,36.07,0.74,97.51,24.15,0.0,0.0,0.0,0.0,0.11,,-0.01,235.13,12-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Mar-2019 - 00:00,7.74,33.87,26.12,8.89,1.07,34.7,45.24,0.8,121.46,24.0,0.0,0.0,0.0,0.0,0.09,,-0.0,242.47,13-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Mar-2019 - 00:00,9.43,38.58,29.15,11.08,1.1,31.13,62.44,0.83,91.67,23.78,0.0,0.0,0.0,0.0,0.3,,0.0,239.97,14-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Mar-2019 - 00:00,9.06,35.22,26.16,8.06,0.95,40.56,43.9,0.85,92.35,23.81,0.0,0.0,0.03,0.0,0.13,,0.02,253.4,15-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Mar-2019 - 00:00,9.07,39.75,30.82,6.74,1.27,40.15,44.35,0.85,76.89,23.79,0.0,0.0,0.05,0.0,0.12,,0.01,244.88,16-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Mar-2019 - 00:00,5.37,23.3,17.94,6.68,0.78,35.94,46.1,0.87,78.07,23.28,0.0,0.0,0.01,0.08,0.03,,0.02,265.5,17-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Mar-2019 - 00:00,1.75,3.65,1.91,7.23,0.89,32.2,42.39,0.76,71.07,23.5,0.0,0.0,0.07,0.0,0.0,,-0.04,257.31,18-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Mar-2019 - 00:00,4.38,22.8,18.38,4.67,1.13,27.52,52.81,0.72,113.33,23.76,0.0,0.0,0.01,0.01,0.05,,-0.03,248.87,19-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Mar-2019 - 00:00,6.0,28.03,22.03,4.69,0.95,28.01,41.58,0.71,139.49,23.95,0.0,0.0,0.0,0.0,0.09,,-0.03,233.12,20-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Mar-2019 - 00:00,8.33,15.0,6.67,5.44,1.0,20.51,44.69,0.74,117.33,24.09,0.0,0.0,0.02,0.0,0.01,,-0.01,229.16,21-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Mar-2019 - 00:00,8.66,11.87,3.62,5.78,1.19,21.65,48.65,0.72,133.83,24.17,0.0,0.0,0.0,0.01,0.02,,-0.05,233.27,22-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Mar-2019 - 00:00,6.82,22.79,16.56,4.42,0.97,23.42,44.54,0.72,125.08,24.22,0.0,0.0,0.05,0.0,0.09,,-0.04,225.76,23-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Mar-2019 - 00:00,5.7,28.98,23.33,4.38,1.25,24.19,79.57,0.7,120.68,24.62,0.0,0.0,0.02,0.0,0.09,,-0.05,233.43,24-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Mar-2019 - 00:00,4.38,24.53,20.15,5.1,1.13,24.14,50.95,0.75,135.01,24.75,0.0,0.0,0.01,0.01,0.06,,-0.03,227.64,25-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Mar-2019 - 00:00,7.37,32.11,24.74,4.43,0.85,8.73,46.18,0.84,81.86,24.42,0.0,0.0,0.01,0.0,0.09,,0.0,245.98,26-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Mar-2019 - 00:00,11.73,42.84,31.11,7.86,1.25,18.78,46.91,0.79,87.27,24.4,0.0,0.0,0.0,0.02,0.1,,-0.01,254.42,27-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Mar-2019 - 00:00,9.4,41.09,31.69,5.05,0.95,19.42,58.95,0.75,122.22,24.43,0.0,0.0,0.0,0.0,0.08,,-0.03,249.35,28-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Mar-2019 - 00:00,13.98,51.67,37.84,6.27,1.32,26.27,84.4,0.74,93.35,24.63,0.0,0.0,0.01,0.04,0.22,,-0.04,248.09,29-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Mar-2019 - 00:00,9.3,40.54,31.23,5.83,1.16,23.67,61.83,0.71,148.81,24.37,0.0,0.0,0.13,0.01,0.2,,-0.04,227.5,30-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Mar-2019 - 00:00,7.9,34.85,26.96,5.47,1.25,22.21,51.46,0.7,141.54,24.79,0.0,0.0,0.08,0.01,0.26,,-0.05,238.76,31-Mar-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-Mar-2019 - 00:00,5.65,26.32,20.67,6.49,1.34,14.52,59.72,0.75,189.65,24.65,0.0,0.0,0.04,0.0,0.08,,-0.04,238.68,01-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Apr-2019 - 00:00,8.16,33.25,25.1,5.66,0.92,13.88,56.83,0.74,171.7,24.74,0.0,0.0,0.04,0.01,0.21,,-0.04,224.54,02-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Apr-2019 - 00:00,11.96,45.7,33.64,6.14,1.63,14.35,41.51,0.69,127.59,24.68,0.0,0.0,0.05,0.0,0.44,,-0.06,200.73,03-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Apr-2019 - 00:00,12.57,44.56,31.99,7.84,1.17,19.79,47.59,0.77,91.7,24.65,0.0,0.0,0.0,0.0,0.75,,-0.02,231.5,04-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Apr-2019 - 00:00,7.07,32.07,25.12,3.81,1.22,19.02,57.14,0.78,108.9,24.48,0.0,0.0,0.0,0.0,0.15,,-0.0,267.31,05-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Apr-2019 - 00:00,6.62,33.01,26.39,6.57,0.93,28.97,44.52,0.76,137.18,24.6,0.0,0.0,0.0,0.0,0.18,,-0.04,236.14,06-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Apr-2019 - 00:00,2.76,10.15,7.4,7.05,1.34,35.81,39.67,0.75,145.27,24.77,0.0,0.0,0.0,0.0,0.07,,-0.05,224.65,07-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Apr-2019 - 00:00,1.62,3.56,1.94,6.1,0.97,26.58,51.76,0.56,147.16,23.97,0.0,0.0,0.0,0.0,0.1,,-0.08,228.7,08-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Apr-2019 - 00:00,,,,5.82,1.99,17.59,41.32,0.7,155.71,25.41,0.0,0.0,0.0,0.0,0.4,29.49,-0.04,212.69,10-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Apr-2019 - 00:00,,,,5.59,1.54,9.18,39.01,0.72,107.28,24.87,0.0,0.0,0.0,0.0,0.34,33.18,-0.04,245.12,11-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Apr-2019 - 00:00,,,,5.96,0.87,7.5,37.49,0.66,127.32,24.94,0.0,0.0,0.0,0.0,0.54,33.07,-0.06,237.23,12-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Apr-2019 - 00:00,,,,5.72,1.71,10.91,69.89,0.73,159.75,24.96,0.0,0.0,0.0,0.0,0.25,29.36,-0.05,257.13,13-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Apr-2019 - 00:00,,,,5.62,1.55,9.11,69.36,0.73,91.58,24.9,0.0,0.0,0.0,0.0,0.2,27.78,-0.03,229.83,14-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Apr-2019 - 00:00,,,,8.22,1.28,15.99,39.96,0.73,125.6,24.96,0.0,0.0,0.0,0.0,0.01,27.23,-0.03,278.14,15-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Apr-2019 - 00:00,8.18,44.8,36.62,6.07,2.45,29.2,93.32,0.7,140.59,25.33,0.01,0.0,0.01,0.0,0.02,29.48,0.0,371.97,16-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Apr-2019 - 00:00,5.86,30.16,24.29,7.42,0.9,45.58,43.79,0.73,191.29,26.9,0.13,0.03,0.01,0.01,0.0,47.63,-0.04,350.2,17-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Apr-2019 - 00:00,4.56,20.13,15.65,5.39,1.42,27.88,43.87,0.63,187.08,26.03,0.0,0.03,0.0,0.0,0.0,69.7,-0.05,211.51,18-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Apr-2019 - 00:00,1.54,3.37,1.87,6.96,1.56,34.36,79.05,0.7,176.58,26.22,0.0,0.0,0.0,0.0,0.0,63.19,-0.05,349.62,19-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Apr-2019 - 00:00,1.78,3.73,1.96,2.88,1.03,5.0,567.61,0.8,43.51,24.42,0.0,0.0,0.0,0.0,0.0,,0.05,,20-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Apr-2019 - 00:00,1.34,2.85,1.88,7.26,4.94,24.34,120.02,0.88,102.57,25.84,0.0,0.0,0.0,0.0,0.0,69.84,0.05,147.27,23-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Apr-2019 - 00:00,1.62,3.32,1.91,2.23,4.65,41.85,59.51,0.78,115.54,26.07,0.0,0.0,0.0,0.0,0.0,57.44,-0.01,289.58,24-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Apr-2019 - 00:00,1.58,3.54,1.96,3.79,3.97,24.06,51.48,0.81,98.26,26.41,0.0,0.0,0.0,0.0,0.0,51.54,-0.03,291.95,25-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
