from date,PM2.5,PM10,RF,AT,SR,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,WD,WS,to date,station
01-Jan-2019 - 00:00,327.5,501.99,0.0,16.59,58.34,20.23,101.72,110.48,141.46,71.92,3.5,26.08,,,,31.47,66.43,751.7,220.44,0.64,02-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-Jan-2019 - 00:00,387.45,569.04,0.0,16.83,54.44,21.29,149.13,103.98,176.59,78.02,3.18,20.97,,,,31.31,72.61,752.09,124.09,0.6,03-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-Jan-2019 - 00:00,399.51,527.45,0.0,16.83,55.73,18.03,83.39,108.99,133.11,74.85,2.62,25.11,,,,31.33,72.84,752.99,265.99,1.02,04-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-Jan-2019 - 00:00,313.46,428.54,0.0,14.6,46.27,19.64,52.3,92.35,91.64,66.06,2.83,17.29,,,,31.69,79.11,752.01,204.46,0.85,05-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-Jan-2019 - 00:00,251.39,351.39,0.0,15.92,55.28,18.55,25.6,81.05,63.92,64.06,2.25,15.38,,,,31.42,74.09,750.52,133.34,1.04,06-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
06-Jan-2019 - 00:00,213.54,267.79,0.03,15.99,45.6,17.49,28.2,78.7,64.79,62.64,1.96,22.7,,,,31.49,78.92,749.97,169.39,1.07,07-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-Jan-2019 - 00:00,213.46,287.14,0.0,15.99,60.02,39.68,39.48,83.57,76.55,64.39,1.79,29.32,,,,31.47,78.17,751.57,274.19,1.15,08-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-Jan-2019 - 00:00,147.61,206.41,0.0,16.01,64.05,15.19,20.76,79.47,59.15,54.81,1.35,15.48,,,,31.49,74.71,749.84,280.21,1.26,09-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-Jan-2019 - 00:00,137.48,213.11,0.0,16.24,68.23,18.13,16.12,80.52,55.94,47.06,1.34,24.77,,,,31.51,67.31,749.03,272.93,1.69,10-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-Jan-2019 - 00:00,213.55,288.55,0.0,16.39,64.88,16.78,69.52,92.7,105.84,50.95,2.52,17.77,,,,31.45,66.95,748.78,229.3,1.01,11-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-Jan-2019 - 00:00,328.11,369.28,0.0,16.16,54.38,32.27,83.93,96.71,126.89,59.74,2.43,19.18,,,,31.45,69.52,750.46,154.14,0.52,12-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-Jan-2019 - 00:00,413.83,488.03,0.0,16.78,52.07,10.97,128.39,106.41,181.13,67.41,3.55,20.56,,,,31.27,69.9,749.61,142.4,0.66,13-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
13-Jan-2019 - 00:00,315.1,423.11,0.0,18.12,51.84,39.15,58.74,92.77,97.1,66.66,2.84,32.57,,,,31.18,70.48,751.34,209.22,1.12,14-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
14-Jan-2019 - 00:00,86.75,155.59,0.0,15.76,70.33,23.77,8.65,71.37,45.0,42.17,1.01,23.86,,,,31.48,59.59,751.08,268.09,1.94,15-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-Jan-2019 - 00:00,129.21,206.87,0.0,14.53,53.76,15.31,31.0,83.44,69.58,40.58,1.58,15.35,,,,31.75,62.27,750.23,265.9,1.39,16-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-Jan-2019 - 00:00,294.98,429.2,0.0,15.02,54.11,26.01,114.22,97.38,146.26,54.89,3.75,18.95,,,,31.64,69.45,750.32,110.81,0.6,17-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-Jan-2019 - 00:00,394.61,532.09,0.0,16.2,55.68,34.53,77.86,107.29,120.38,62.39,3.3,27.6,,,,31.39,68.72,749.03,205.76,0.87,18-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-Jan-2019 - 00:00,246.09,338.44,0.0,16.53,60.61,22.65,44.67,107.91,93.72,53.41,2.3,20.37,,,,31.27,69.12,749.43,283.43,0.92,19-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-Jan-2019 - 00:00,275.6,430.15,0.0,18.28,59.97,19.38,118.61,118.77,159.61,55.72,3.69,20.5,,,,31.11,63.7,749.29,218.68,0.61,20-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-Jan-2019 - 00:00,353.86,547.28,0.0,20.54,55.68,22.11,167.93,132.83,207.17,68.99,5.44,32.75,,,,30.86,66.69,748.26,166.52,0.51,21-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-Jan-2019 - 00:00,160.95,253.99,0.04,18.5,35.16,14.35,22.68,74.48,58.05,65.04,1.88,13.85,,,,31.0,77.19,745.84,132.68,1.84,22-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
22-Jan-2019 - 00:00,50.42,62.82,0.46,15.85,40.96,13.03,10.05,55.97,37.93,47.81,0.98,13.79,,,,31.4,89.79,746.53,120.12,1.54,23-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
23-Jan-2019 - 00:00,180.02,247.01,0.0,16.13,73.62,22.06,58.64,72.29,86.14,46.67,2.04,14.52,,,,31.53,83.66,749.67,213.77,0.85,24-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
24-Jan-2019 - 00:00,133.03,207.29,0.0,17.29,67.04,26.64,21.24,68.18,53.53,45.62,1.43,22.12,,,,31.39,76.32,751.82,168.58,1.34,25-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
25-Jan-2019 - 00:00,88.41,129.72,0.02,16.07,78.31,40.13,7.25,60.22,37.93,38.5,1.11,32.9,,,,31.65,75.99,752.04,204.65,1.63,26-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
26-Jan-2019 - 00:00,116.56,177.06,0.0,15.14,84.4,71.04,6.66,64.77,39.86,36.14,1.12,53.12,,,,31.91,66.4,754.45,252.18,1.73,27-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
27-Jan-2019 - 00:00,120.06,182.23,0.0,13.98,65.36,31.46,9.09,70.96,45.13,36.14,1.17,25.95,,,,32.12,66.26,754.54,266.5,1.58,28-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
28-Jan-2019 - 00:00,112.91,182.12,0.0,14.69,86.9,26.25,9.16,71.33,45.39,35.85,1.17,30.3,,,,31.96,60.66,754.22,267.66,1.87,29-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
29-Jan-2019 - 00:00,139.32,220.21,0.0,15.45,83.67,23.36,22.22,76.09,58.53,38.61,1.47,24.83,,,,31.85,61.32,752.73,267.01,1.59,30-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
30-Jan-2019 - 00:00,209.98,330.93,0.0,16.28,73.56,24.57,62.69,90.17,98.93,43.15,2.35,21.14,,,,31.78,59.78,751.46,243.01,1.01,31-Jan-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
31-Jan-2019 - 00:00,200.69,313.25,0.0,16.89,59.07,19.67,47.12,69.74,75.41,45.84,2.14,19.06,,,,31.58,65.23,750.4,137.11,1.38,01-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
01-Feb-2019 - 00:00,190.44,247.15,0.0,17.3,65.71,16.0,12.34,62.61,43.34,47.83,1.21,19.45,,,,31.5,74.77,750.95,185.06,1.31,02-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-Feb-2019 - 00:00,216.71,279.83,0.0,14.29,61.49,15.41,15.04,67.88,48.32,51.31,1.57,17.09,,,,31.76,86.56,751.06,262.2,1.54,03-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-Feb-2019 - 00:00,161.48,229.27,0.0,15.27,68.47,12.5,25.58,69.37,57.7,50.9,1.64,16.52,,,,31.69,86.7,752.22,251.09,1.08,04-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-Feb-2019 - 00:00,226.45,344.59,0.0,17.0,78.23,23.11,104.91,96.52,136.64,53.25,3.24,27.66,,,,31.54,77.97,752.76,233.65,0.77,05-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-Feb-2019 - 00:00,309.09,465.29,0.0,18.89,67.12,20.11,182.64,106.69,205.22,62.43,3.87,24.04,,,,31.26,75.52,750.21,152.93,0.77,06-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
