from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,Benzene,MP-Xylene,Xylene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,22.51,761.85,87.68,155.01,0.0,56.96,192.94,22.91,-0.02,229.16,1.93,0.22,0.16,0.74,0.93,0.87,27.28,5.06,45.93,28.56,85.26,29.35,02-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Jan-2019 - 00:00,22.78,761.68,96.93,167.61,0.0,62.3,191.46,25.35,-0.01,221.52,2.0,0.23,0.21,0.92,1.1,0.22,27.77,8.59,47.46,31.73,79.25,20.78,03-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Jan-2019 - 00:00,23.12,761.91,107.3,165.74,0.0,66.44,190.24,27.77,-0.0,194.02,2.07,0.19,0.11,0.54,0.84,2.44,32.47,2.22,32.12,18.89,69.82,16.11,04-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Jan-2019 - 00:00,23.38,761.44,112.44,170.67,0.0,66.49,183.54,27.9,0.03,137.73,2.14,0.2,0.06,0.42,0.74,,32.2,1.91,30.8,17.9,84.4,18.76,05-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Jan-2019 - 00:00,21.75,759.79,121.51,177.87,0.0,66.66,161.55,30.91,0.05,125.22,2.48,0.38,0.07,0.53,0.99,,32.38,2.19,34.39,19.79,107.31,22.41,06-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Jan-2019 - 00:00,23.25,758.67,116.32,199.87,0.0,66.05,183.67,27.52,0.04,138.35,2.16,0.22,0.06,0.39,0.72,,24.84,1.44,33.26,18.8,94.1,13.59,07-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Jan-2019 - 00:00,23.42,757.47,115.97,209.33,0.0,62.63,187.96,27.82,-0.01,195.2,1.89,0.26,0.12,0.62,0.94,,28.98,2.2,40.42,23.36,87.2,16.39,08-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Jan-2019 - 00:00,23.93,757.23,99.87,173.98,0.0,59.61,183.01,27.67,-0.01,243.1,1.66,0.18,0.06,0.42,0.68,,34.19,2.5,35.8,21.15,72.21,14.18,09-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Jan-2019 - 00:00,23.47,757.51,94.29,161.17,0.0,63.77,180.09,27.53,0.02,186.53,2.2,0.19,0.09,0.54,0.85,0.95,34.53,2.32,32.35,18.81,73.08,10.75,10-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Jan-2019 - 00:00,23.75,757.92,116.18,183.51,0.0,74.0,185.99,27.55,0.01,173.79,2.51,0.19,0.05,0.37,0.74,0.86,40.97,2.05,24.57,14.34,78.05,11.71,11-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Jan-2019 - 00:00,24.16,758.8,114.25,194.3,0.0,70.52,184.83,27.43,0.05,112.81,2.39,0.21,0.05,0.38,0.77,0.86,29.31,1.61,26.61,15.42,87.6,12.71,12-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Jan-2019 - 00:00,24.18,758.84,99.24,164.51,0.0,69.52,185.98,27.52,0.06,107.55,2.53,0.19,0.06,0.39,0.72,0.91,25.5,1.7,23.89,14.06,85.03,9.12,13-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Jan-2019 - 00:00,24.43,759.14,94.14,160.3,0.02,69.3,189.69,27.43,0.04,132.2,2.23,0.15,0.05,0.36,0.74,0.66,25.89,1.24,23.53,13.43,86.51,8.98,14-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Jan-2019 - 00:00,24.07,758.1,166.06,243.05,0.0,66.04,184.55,27.45,0.01,194.61,2.09,0.28,0.08,0.58,0.99,1.31,36.43,2.56,40.53,23.59,75.92,21.0,15-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Jan-2019 - 00:00,24.26,758.36,125.57,185.55,0.0,64.7,185.02,27.58,0.01,189.8,2.09,0.17,0.07,0.3,0.66,0.89,40.42,1.51,22.45,13.12,85.87,19.64,16-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Jan-2019 - 00:00,24.04,758.56,111.3,171.18,0.0,67.39,183.66,27.61,0.01,164.72,2.43,0.15,0.06,0.22,0.55,0.95,33.07,1.79,17.71,10.69,96.0,17.08,17-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Jan-2019 - 00:00,24.22,757.35,116.57,174.89,0.0,70.73,186.31,27.84,0.02,176.68,2.22,0.16,0.07,0.27,0.56,0.93,29.67,1.64,17.33,10.21,75.07,10.01,18-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Jan-2019 - 00:00,24.81,757.39,98.18,152.25,0.0,70.35,187.92,27.97,0.01,171.4,2.17,0.14,0.06,0.31,0.63,0.7,25.69,1.75,20.84,12.29,68.73,6.69,19-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Jan-2019 - 00:00,24.77,758.45,104.4,161.67,0.0,71.07,187.82,27.78,0.01,145.69,2.12,0.14,0.06,0.37,0.73,0.92,25.94,1.64,24.52,14.3,78.46,10.51,20-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Jan-2019 - 00:00,24.53,759.21,101.89,158.88,0.01,69.29,190.3,27.65,-0.0,187.9,2.09,0.15,0.09,0.34,0.74,0.83,25.15,1.29,26.0,14.69,70.33,10.04,21-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Jan-2019 - 00:00,24.24,758.38,101.79,176.97,0.0,71.34,187.48,27.67,0.02,161.01,2.26,0.16,0.07,0.47,0.81,0.94,30.93,1.84,29.63,17.11,74.64,13.47,22-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Jan-2019 - 00:00,24.1,758.4,94.59,157.25,0.0,70.17,188.88,27.74,0.03,151.14,2.72,0.15,0.06,0.35,0.68,0.88,27.04,1.86,28.26,16.5,75.75,10.99,23-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Jan-2019 - 00:00,23.99,758.05,86.08,142.19,0.0,70.44,190.5,27.72,0.02,145.12,2.78,0.14,0.06,0.31,0.65,0.71,21.74,1.92,24.97,14.66,74.04,7.7,24-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Jan-2019 - 00:00,24.5,758.35,69.23,119.41,0.0,69.85,192.9,27.68,0.01,173.2,2.53,0.14,0.06,0.31,0.66,0.8,20.02,2.0,23.99,14.2,59.22,8.7,25-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Jan-2019 - 00:00,25.07,757.93,40.34,81.85,0.0,70.01,189.64,27.55,0.07,102.78,3.64,0.1,0.05,0.31,0.64,0.74,18.32,1.93,19.69,12.08,45.12,5.2,26-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Jan-2019 - 00:00,25.14,758.1,26.82,62.93,0.0,68.47,188.84,27.4,0.08,107.62,3.67,0.11,0.05,0.28,0.66,0.49,14.69,1.96,19.18,11.65,41.84,5.88,27-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Jan-2019 - 00:00,25.31,758.55,47.04,90.26,0.03,66.43,183.03,27.41,0.08,101.97,3.76,0.11,0.05,0.19,0.52,0.61,17.06,1.1,17.1,9.78,69.11,6.96,28-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Jan-2019 - 00:00,22.84,759.93,87.12,123.61,0.21,79.0,150.57,27.23,0.0,191.31,1.74,0.22,0.2,0.87,1.15,1.14,20.76,6.44,37.16,24.73,42.25,7.44,29-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Jan-2019 - 00:00,23.9,759.48,70.19,111.25,0.0,71.32,192.59,27.42,-0.02,216.44,1.8,0.16,0.07,0.48,0.89,0.96,26.81,6.37,30.82,21.61,36.9,6.78,30-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Jan-2019 - 00:00,23.32,760.05,74.82,118.55,0.0,67.77,194.09,27.45,0.04,162.7,3.32,0.11,0.05,0.29,0.56,0.87,27.91,2.16,23.85,14.42,64.9,13.2,31-Jan-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
31-Jan-2019 - 00:00,23.88,759.57,67.71,118.48,0.0,65.47,193.89,27.67,0.05,117.52,2.83,0.12,0.06,0.38,0.69,0.64,21.06,1.6,27.38,15.86,76.14,14.91,01-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
