from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,Benzene,MP-Xylene,Xylene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Feb-2019 - 00:00,23.97,759.05,70.36,121.23,0.0,68.6,190.82,27.96,0.03,133.43,2.27,0.14,0.07,0.33,0.66,0.74,20.66,1.71,25.57,14.83,71.15,14.04,02-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Feb-2019 - 00:00,24.26,757.84,69.54,125.72,0.0,69.77,192.48,27.88,0.02,163.64,2.38,0.15,0.07,0.37,0.75,0.79,21.28,1.67,26.39,15.42,79.1,11.82,03-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Feb-2019 - 00:00,24.77,759.57,69.43,124.17,0.0,61.2,192.42,27.76,0.03,121.06,2.76,0.11,0.04,0.25,0.59,0.62,20.21,1.01,23.94,13.42,96.84,18.38,04-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Feb-2019 - 00:00,24.94,760.97,69.14,129.79,0.0,52.73,194.93,27.86,0.04,119.07,2.85,0.14,0.07,0.36,0.69,0.78,17.03,0.96,28.75,15.97,103.58,19.4,05-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Feb-2019 - 00:00,25.13,760.11,78.02,141.75,0.0,62.07,192.74,27.78,0.01,148.94,2.22,0.16,0.09,0.43,0.76,0.87,20.19,2.66,28.21,17.03,83.31,15.19,06-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Feb-2019 - 00:00,25.14,757.52,77.41,141.08,0.0,59.46,194.27,27.71,0.0,181.92,2.16,0.16,0.09,0.46,0.78,0.84,21.29,4.12,31.32,20.01,77.04,14.58,07-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Feb-2019 - 00:00,25.15,757.25,72.28,141.31,0.0,58.57,192.03,27.81,0.05,133.16,2.74,0.15,0.05,0.46,0.8,0.88,21.22,4.89,29.42,19.71,63.44,10.91,08-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Feb-2019 - 00:00,25.41,757.12,57.43,102.1,0.0,66.25,190.94,28.0,0.03,148.6,2.4,0.11,0.07,0.29,0.6,0.76,20.67,3.93,17.48,12.49,69.02,8.82,09-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Feb-2019 - 00:00,25.83,757.17,65.3,118.1,0.0,71.8,188.56,28.03,-0.01,208.43,1.71,0.12,0.06,0.32,0.62,1.06,24.31,4.97,21.46,15.54,43.19,7.19,10-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Feb-2019 - 00:00,25.56,759.17,70.17,124.73,0.0,74.34,188.83,28.01,0.05,140.45,3.07,0.12,0.04,0.25,0.59,1.15,26.42,4.48,17.11,12.75,48.46,6.89,11-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Feb-2019 - 00:00,25.38,760.15,65.02,116.5,0.0,69.34,191.84,27.81,0.08,98.43,3.71,0.1,0.06,0.26,0.55,1.07,19.84,3.85,13.37,10.33,73.42,7.45,12-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Feb-2019 - 00:00,25.34,761.16,63.67,124.49,0.0,69.57,193.61,27.63,0.07,107.91,3.23,0.11,0.04,0.25,0.56,0.96,16.59,4.03,17.02,12.33,74.49,8.88,13-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Feb-2019 - 00:00,25.21,761.27,60.51,126.75,0.0,66.74,196.03,27.71,0.06,114.01,2.8,0.11,0.06,0.27,0.55,0.94,16.46,3.7,18.78,13.09,91.08,13.22,14-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Feb-2019 - 00:00,25.29,758.56,71.66,130.41,0.0,67.6,196.49,27.82,0.03,144.62,2.49,0.12,0.07,0.32,0.63,1.14,18.03,3.23,24.42,15.7,81.07,10.2,15-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Feb-2019 - 00:00,25.57,757.78,61.42,113.25,0.0,66.61,194.11,27.64,0.06,122.45,2.8,0.12,0.05,0.31,0.64,1.05,18.29,2.93,25.32,15.85,70.63,8.08,16-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Feb-2019 - 00:00,25.17,757.33,38.16,77.52,0.0,72.33,193.86,27.69,0.05,121.04,3.0,0.11,0.06,0.26,0.53,0.83,16.73,2.99,19.79,12.94,52.59,5.03,17-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Feb-2019 - 00:00,26.47,755.52,42.72,83.04,0.0,71.35,191.86,27.65,0.0,168.83,2.25,0.08,0.06,0.18,0.49,0.91,17.88,2.34,16.32,10.58,47.14,5.34,18-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Feb-2019 - 00:00,27.19,754.02,35.02,66.48,0.0,72.82,189.68,28.07,-0.0,231.59,2.56,0.09,0.08,0.15,0.38,1.02,18.43,3.16,13.3,9.73,39.59,5.97,19-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Feb-2019 - 00:00,27.35,755.94,30.68,63.75,0.0,71.53,188.33,28.34,0.02,141.14,2.81,0.09,0.08,0.2,0.46,0.8,17.48,2.88,10.03,7.77,40.08,7.92,20-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Feb-2019 - 00:00,27.23,759.04,27.6,62.01,0.0,69.32,191.44,28.09,0.07,108.67,2.68,0.1,0.08,0.25,0.53,0.81,13.64,3.14,13.56,9.77,35.86,5.58,21-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Feb-2019 - 00:00,27.2,760.1,34.17,69.02,0.0,68.21,194.85,28.03,0.01,144.0,2.37,0.11,0.06,0.24,0.52,0.85,14.89,3.11,15.54,10.87,42.05,6.12,22-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Feb-2019 - 00:00,27.79,757.24,37.2,82.11,0.0,63.91,194.42,27.92,-0.02,250.66,2.44,0.09,0.08,0.18,0.43,1.03,14.04,3.76,17.87,12.66,50.14,7.58,23-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Feb-2019 - 00:00,27.86,755.07,39.58,86.67,0.0,58.42,195.18,27.9,-0.01,245.52,2.66,0.1,0.09,0.2,0.48,0.84,17.32,4.06,21.65,14.9,50.06,7.49,24-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Feb-2019 - 00:00,27.67,753.95,38.89,91.14,0.0,57.11,203.5,27.89,-0.02,223.0,2.21,0.09,0.04,0.22,0.54,0.82,23.03,3.31,20.82,13.76,51.92,9.71,25-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Feb-2019 - 00:00,26.74,753.42,37.47,79.46,0.0,67.62,195.2,27.9,-0.01,201.82,2.71,0.08,0.07,0.21,0.5,0.86,22.69,3.83,17.09,12.29,33.5,6.35,26-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Feb-2019 - 00:00,26.78,752.95,22.35,52.15,0.0,68.75,194.56,27.93,0.05,130.86,2.98,0.1,0.08,0.22,0.53,0.77,17.0,3.65,11.23,9.03,27.49,7.44,27-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Feb-2019 - 00:00,26.93,752.46,16.72,45.57,0.0,67.41,196.81,28.0,0.04,141.69,2.84,0.08,0.07,0.19,0.48,0.84,13.34,4.41,12.06,10.1,25.1,8.21,28-Feb-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Feb-2019 - 00:00,27.29,752.94,19.58,49.86,0.0,69.0,194.03,27.94,0.03,154.29,2.91,0.08,0.07,0.18,0.45,0.9,13.85,3.48,10.42,8.45,29.78,6.21,01-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Mar-2019 - 00:00,27.78,754.4,23.95,55.97,0.0,68.59,196.15,27.91,0.06,126.82,3.38,0.08,0.07,0.16,0.46,0.88,13.73,3.28,9.33,7.71,32.29,5.39,02-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Mar-2019 - 00:00,26.84,755.65,23.62,52.9,0.01,69.52,195.24,28.09,0.09,100.46,3.72,0.08,0.06,0.2,0.55,0.77,11.88,3.38,11.13,8.76,32.99,4.67,03-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Mar-2019 - 00:00,26.83,754.27,22.92,52.28,0.0,70.53,195.41,28.09,0.04,137.43,2.76,0.06,0.08,0.18,0.43,0.79,12.46,3.16,10.35,8.08,29.46,5.54,04-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Mar-2019 - 00:00,27.08,752.28,23.05,52.89,0.0,67.78,197.67,28.11,0.02,164.27,2.76,0.08,0.06,0.24,0.52,0.83,11.68,4.82,11.37,9.96,30.44,5.37,05-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Mar-2019 - 00:00,27.55,750.96,24.5,58.11,0.0,70.97,194.29,27.85,0.02,167.7,2.83,0.07,0.08,0.15,0.46,1.0,13.12,4.4,12.05,10.08,32.65,6.69,06-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Mar-2019 - 00:00,28.38,751.28,29.56,64.77,0.0,72.21,194.42,27.69,0.02,194.56,2.56,0.04,0.07,0.13,0.4,0.66,14.35,2.51,6.93,5.7,48.13,8.06,07-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Mar-2019 - 00:00,28.41,751.99,26.17,64.21,0.0,71.08,191.26,27.8,0.02,202.92,2.78,0.03,0.08,0.11,0.38,0.69,12.82,2.55,7.1,5.95,45.64,6.53,08-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Mar-2019 - 00:00,28.55,754.36,15.34,46.57,0.0,68.27,196.17,27.47,0.01,163.23,2.79,0.04,0.07,0.13,0.38,0.69,11.1,2.99,9.0,7.31,33.6,7.41,09-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Mar-2019 - 00:00,27.98,755.82,16.49,46.23,0.0,68.91,196.5,27.65,0.07,131.91,3.09,0.09,0.08,0.21,0.47,0.82,10.94,3.42,10.87,8.66,30.65,7.88,10-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Mar-2019 - 00:00,27.89,755.9,13.16,41.9,0.0,68.28,198.88,27.69,0.03,164.15,2.69,0.05,0.07,0.15,0.38,0.67,10.95,4.22,9.05,8.34,28.85,5.75,11-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Mar-2019 - 00:00,27.87,756.59,15.9,52.99,0.0,65.62,199.3,27.73,0.0,187.44,2.76,0.07,0.07,0.16,0.41,0.75,10.61,3.92,11.31,9.29,30.08,5.83,12-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Mar-2019 - 00:00,27.93,756.47,22.32,65.99,0.0,66.58,199.79,27.48,-0.02,197.27,2.49,0.04,0.08,0.13,0.41,0.76,12.66,3.34,10.14,8.19,41.07,6.57,13-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Mar-2019 - 00:00,28.17,756.83,28.5,77.09,0.0,65.59,199.57,27.64,-0.0,200.86,2.55,0.04,0.07,0.14,0.39,0.67,12.93,3.08,10.26,8.04,46.42,6.0,14-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Mar-2019 - 00:00,27.98,756.48,37.77,76.85,0.0,59.18,201.68,27.71,-0.01,229.21,2.43,0.08,0.08,0.18,0.46,1.0,13.38,3.75,16.58,11.97,45.01,8.49,15-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Mar-2019 - 00:00,28.18,756.52,41.67,99.39,0.0,61.16,200.07,27.95,-0.01,218.05,2.37,0.09,0.06,0.2,0.49,0.95,17.66,3.84,18.98,13.31,45.7,8.82,16-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Mar-2019 - 00:00,27.44,756.99,31.95,83.29,0.0,63.53,202.05,28.19,0.06,113.79,3.18,0.11,0.06,0.29,0.59,1.01,14.54,4.73,18.4,13.73,35.44,11.29,17-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Mar-2019 - 00:00,27.59,756.47,29.59,80.52,0.0,62.53,200.1,28.01,0.02,158.08,2.51,0.07,0.07,0.18,0.44,0.71,13.88,3.4,14.07,10.34,44.07,6.68,18-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Mar-2019 - 00:00,26.98,756.67,21.17,59.0,0.0,58.51,205.83,28.12,0.08,117.62,3.62,0.09,0.07,0.27,0.57,0.71,12.72,3.74,16.61,11.98,34.63,7.29,19-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Mar-2019 - 00:00,26.83,754.2,29.07,67.5,0.0,62.55,203.31,28.44,0.01,174.59,2.75,0.07,0.08,0.18,0.45,1.05,15.06,3.32,15.6,11.09,41.15,8.88,20-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Mar-2019 - 00:00,27.7,753.96,24.19,55.76,0.0,65.38,199.57,28.33,0.02,146.0,2.99,0.08,0.08,0.18,0.44,1.12,14.54,3.11,13.26,9.66,44.28,5.16,21-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Mar-2019 - 00:00,27.66,755.56,23.51,51.39,0.0,63.89,200.81,28.27,0.04,148.3,3.06,0.09,0.08,0.19,0.46,0.87,12.26,2.46,12.85,8.83,41.63,5.57,22-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Mar-2019 - 00:00,27.34,755.38,23.1,56.47,0.0,65.84,201.08,28.14,0.01,166.06,2.6,0.08,0.06,0.18,0.46,0.85,12.07,3.19,12.23,9.18,40.5,6.54,23-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Mar-2019 - 00:00,27.87,754.3,21.46,53.21,0.0,69.59,202.7,28.14,-0.01,229.24,2.91,0.06,0.08,0.15,0.4,1.07,13.1,3.39,10.7,8.54,46.73,5.37,24-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Mar-2019 - 00:00,28.44,753.98,17.27,48.72,0.0,65.26,199.78,28.15,0.01,173.85,2.44,0.06,0.08,0.11,0.36,0.77,12.18,2.33,8.43,6.38,48.4,5.63,25-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Mar-2019 - 00:00,28.52,754.1,22.23,56.69,0.0,63.53,200.82,28.18,0.03,179.24,2.53,0.1,0.07,0.19,0.49,1.13,13.57,4.15,16.52,12.25,47.9,9.02,26-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Mar-2019 - 00:00,28.25,755.15,18.7,45.43,0.0,65.33,201.15,28.15,0.01,174.62,2.79,0.06,0.08,0.12,0.38,0.95,13.25,2.78,8.59,6.92,50.59,6.85,27-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Mar-2019 - 00:00,28.34,756.07,18.34,54.93,0.0,64.69,202.12,28.14,0.01,194.11,2.48,0.05,0.09,0.11,0.36,0.92,12.78,2.58,7.56,6.21,50.41,6.25,28-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Mar-2019 - 00:00,28.22,755.03,25.42,70.31,0.0,64.94,202.75,27.99,0.03,176.6,2.68,0.07,0.08,0.15,0.41,0.97,13.17,2.67,11.3,8.27,54.49,9.0,29-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Mar-2019 - 00:00,28.56,753.28,21.15,58.26,0.0,64.61,201.25,27.81,0.02,155.77,2.62,0.04,0.08,0.13,0.41,0.65,12.2,3.11,11.38,8.67,44.63,7.09,30-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Mar-2019 - 00:00,28.72,752.71,19.01,45.73,0.0,68.64,202.88,27.96,0.01,195.65,2.79,0.03,0.08,0.1,0.35,0.77,11.71,3.01,6.82,6.16,46.44,6.79,31-Mar-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
31-Mar-2019 - 00:00,28.82,752.48,23.64,56.8,0.0,70.28,200.8,28.06,0.02,192.43,3.02,0.02,0.09,0.05,0.32,0.59,11.67,2.07,5.55,4.63,54.03,7.86,01-Apr-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Apr-2019 - 00:00,28.76,753.28,32.29,65.45,0.0,66.19,199.73,28.05,0.05,146.17,3.09,0.04,0.08,0.12,0.47,0.61,12.84,2.45,6.62,5.61,63.98,7.66,02-Apr-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Apr-2019 - 00:00,28.65,753.38,21.88,56.1,0.01,64.44,202.15,27.96,0.03,148.05,2.82,0.06,0.08,0.14,0.43,0.85,10.8,4.21,9.42,8.71,57.11,5.45,03-Apr-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Apr-2019 - 00:00,28.28,753.71,19.02,46.7,0.0,64.75,205.09,28.06,0.01,178.48,2.77,0.07,0.08,0.13,0.43,0.84,11.23,3.07,7.55,6.61,51.93,6.86,04-Apr-2019 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
