from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,VWS,WD,WS,Toluene,to date,station
01-Jan-2019 - 00:00,10.93,12.88,745.47,3.03,41.76,30.22,59.67,56.38,18.79,459.07,307.49,57.81,21.64,74.97,0.0,154.2,0.48,100.58,02-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-Jan-2019 - 00:00,12.41,14.24,752.55,2.78,44.34,56.56,83.96,90.76,25.71,539.26,366.88,60.73,20.4,64.84,0.01,178.48,0.45,143.27,03-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-Jan-2019 - 00:00,11.05,19.82,772.32,2.05,46.83,29.76,60.83,56.6,16.04,556.25,430.99,65.98,7.12,72.18,0.0,119.79,0.55,141.34,04-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-Jan-2019 - 00:00,9.11,13.04,771.08,2.45,61.25,37.14,85.43,75.71,10.93,388.77,271.26,70.11,22.09,45.49,0.01,105.25,0.55,114.29,05-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-Jan-2019 - 00:00,11.88,12.15,755.62,2.28,85.41,51.87,133.15,113.1,30.22,358.04,232.85,58.51,20.13,68.25,0.0,162.97,0.56,96.08,06-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-Jan-2019 - 00:00,11.84,6.73,749.68,1.25,83.79,11.62,89.24,56.94,16.22,211.4,147.95,64.01,21.33,73.52,0.02,123.54,0.56,30.76,07-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-Jan-2019 - 00:00,10.79,7.81,766.18,1.44,84.09,30.77,98.01,77.21,13.86,271.4,190.72,67.94,22.54,82.69,0.01,103.23,0.54,53.9,08-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
08-Jan-2019 - 00:00,11.01,12.57,746.76,1.2,75.46,9.86,77.57,49.3,18.43,229.58,161.77,63.59,23.78,92.51,0.0,74.53,0.77,44.22,09-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-Jan-2019 - 00:00,11.27,9.23,736.07,1.21,66.33,9.8,77.5,49.21,23.54,212.17,135.83,55.99,21.21,100.28,0.03,96.85,0.94,78.33,10-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-Jan-2019 - 00:00,10.81,10.16,736.99,1.72,70.19,33.0,101.65,80.96,21.84,278.73,180.19,57.65,22.34,91.79,0.0,113.52,0.58,91.38,11-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-Jan-2019 - 00:00,11.07,12.97,754.68,2.98,79.1,117.22,206.1,205.14,14.01,456.33,299.17,60.09,15.86,70.65,0.0,188.62,0.34,181.54,12-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-Jan-2019 - 00:00,12.44,11.51,745.78,3.2,83.54,108.6,210.01,200.23,15.66,468.64,317.02,57.42,10.39,71.15,0.0,193.51,0.39,165.27,13-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-Jan-2019 - 00:00,13.5,8.64,736.56,2.07,83.61,42.58,128.21,102.87,20.68,369.09,249.28,58.84,16.61,63.89,0.03,117.15,0.45,73.89,14-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-Jan-2019 - 00:00,10.55,8.24,734.3,0.93,57.55,5.58,65.46,39.35,25.94,145.63,88.0,49.08,19.26,101.81,0.01,81.75,1.08,38.97,15-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-Jan-2019 - 00:00,8.64,11.73,734.33,1.74,64.57,22.02,85.36,61.43,24.03,244.17,155.32,54.49,24.21,67.22,0.0,100.72,0.93,86.59,16-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-Jan-2019 - 00:00,9.96,14.7,742.15,3.44,79.81,97.96,196.59,184.41,10.45,470.42,276.5,59.16,20.97,62.88,0.0,172.17,0.35,139.58,17-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-Jan-2019 - 00:00,10.96,11.0,746.97,3.17,81.37,96.17,184.87,176.62,20.74,531.95,334.59,59.64,23.26,73.35,0.01,161.21,0.42,115.68,18-Jan-2019 - 00:00,"Punjabi Bagh, Delhi - DPCC"
