from date,NO,NO2,NOx,NH3,PM10,PM2.5,Benzene,Toluene,Eth-Benzene,MP-Xylene,Xylene,RH,WD,WS,SR,RF,SO2,CO,Ozone,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-Jan-2019 - 00:00,12.33,9.4,1.23,0.13,236.14,165.97,0.0,0.0,0.0,0.0,0.0,58.97,183.95,0.79,369.03,0.0,8.49,1.38,30.89,11-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
11-Jan-2019 - 00:00,9.08,7.72,1.4,0.13,247.33,193.02,,,0.0,0.0,,69.49,84.93,0.94,305.93,0.0,18.66,1.21,22.29,12-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-Jan-2019 - 00:00,5.63,5.83,1.84,0.08,357.8,274.6,,,0.0,0.0,,74.1,149.51,1.14,264.24,0.0,35.93,1.45,25.48,13-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-Jan-2019 - 00:00,2.2,3.98,1.81,0.04,176.33,120.04,,,0.0,0.0,,79.31,203.02,1.68,17.46,0.0,22.09,0.87,15.01,14-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
14-Jan-2019 - 00:00,2.18,3.24,2.61,0.04,110.54,78.96,,,0.0,0.0,,55.84,310.58,2.47,405.15,0.0,21.51,0.71,23.04,15-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
15-Jan-2019 - 00:00,14.18,1.64,10.34,0.12,163.84,103.8,,,0.0,0.0,,52.48,272.17,1.39,262.38,0.0,22.28,1.13,21.92,16-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
16-Jan-2019 - 00:00,15.96,32.94,25.67,0.18,275.39,200.11,,,0.0,0.0,,38.66,121.51,1.11,314.52,0.0,25.16,1.38,19.91,17-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
17-Jan-2019 - 00:00,20.03,45.46,42.54,0.19,311.67,204.62,,,0.0,0.0,,42.38,270.0,0.93,368.77,0.0,13.36,1.69,14.59,18-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
18-Jan-2019 - 00:00,64.84,33.85,73.05,0.45,323.58,241.72,,,0.0,0.0,,41.31,255.51,0.65,355.11,0.0,8.21,2.21,11.64,19-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
19-Jan-2019 - 00:00,38.78,44.19,55.18,0.59,338.31,228.65,,,0.0,0.0,,63.7,121.81,0.74,186.91,0.0,14.03,1.8,8.07,20-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
20-Jan-2019 - 00:00,5.93,47.59,32.59,0.41,285.02,191.12,,,0.0,0.0,,72.25,108.41,1.2,154.71,0.0,27.5,1.32,15.19,21-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
21-Jan-2019 - 00:00,6.94,30.85,24.55,0.4,267.31,168.57,,,0.0,0.0,,61.03,200.76,1.95,203.2,0.0,14.74,1.08,12.02,22-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
22-Jan-2019 - 00:00,5.19,22.77,17.33,0.44,109.25,68.98,,,0.0,0.0,,54.65,145.21,1.53,317.69,0.0,9.57,0.44,11.04,23-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
23-Jan-2019 - 00:00,12.86,31.8,26.89,0.33,135.08,66.96,,,0.0,0.0,,71.55,150.52,0.8,276.19,0.0,10.48,0.95,8.78,24-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
24-Jan-2019 - 00:00,14.76,26.51,25.6,0.26,133.89,78.5,,,0.0,0.0,,86.59,271.56,1.12,172.05,0.01,14.36,0.92,5.12,25-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
25-Jan-2019 - 00:00,115.94,79.37,61.03,54.52,133.15,70.75,,,0.0,0.0,,65.14,287.77,1.02,380.51,0.0,29.65,0.9,6.29,26-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
26-Jan-2019 - 00:00,49.62,46.13,24.74,61.49,160.32,85.93,,,0.0,0.0,,45.43,318.85,1.53,390.33,0.0,25.93,1.1,12.45,27-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
27-Jan-2019 - 00:00,28.0,32.7,19.61,47.46,168.6,89.0,,,0.0,0.0,,46.55,302.1,1.9,312.04,0.0,23.88,1.09,31.83,28-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
28-Jan-2019 - 00:00,23.08,29.29,38.93,31.06,158.6,79.52,,,0.0,0.0,,49.08,298.94,2.07,397.04,0.0,19.33,0.87,39.38,29-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
29-Jan-2019 - 00:00,71.67,26.9,80.34,0.07,172.52,82.84,,,0.0,0.0,,54.9,293.85,1.6,440.99,0.0,16.28,0.99,31.85,30-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
30-Jan-2019 - 00:00,46.82,25.1,70.67,0.04,168.16,87.58,,,0.0,0.0,,53.81,213.61,0.82,335.7,0.0,21.55,0.89,32.75,31-Jan-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
31-Jan-2019 - 00:00,54.57,30.19,82.78,0.06,198.62,99.5,,,0.0,0.0,,71.83,116.23,1.93,125.42,0.0,26.28,0.95,24.35,01-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
01-Feb-2019 - 00:00,75.88,16.65,85.07,0.11,172.67,94.38,,,0.0,0.0,,86.77,238.99,1.73,172.3,0.0,9.17,0.99,16.93,02-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-Feb-2019 - 00:00,55.34,36.34,58.94,0.16,160.88,95.16,,,0.0,0.0,,93.15,266.89,1.3,234.55,0.0,7.99,0.84,23.9,03-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-Feb-2019 - 00:00,23.54,44.01,41.85,,157.96,78.06,,,0.0,0.0,,82.96,263.97,0.88,337.18,0.0,7.99,1.12,46.01,04-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-Feb-2019 - 00:00,35.15,49.92,54.27,,196.7,116.42,,,0.0,0.0,,64.48,174.16,0.74,403.84,0.0,10.78,1.04,28.31,05-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-Feb-2019 - 00:00,13.55,55.14,39.68,,185.78,107.79,,,0.0,0.0,,75.92,92.35,1.5,340.81,0.0,18.07,0.85,21.81,06-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-Feb-2019 - 00:00,10.37,55.29,37.21,,209.4,117.18,,,0.0,0.0,,71.41,146.31,1.92,394.71,0.0,22.03,0.85,23.31,07-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-Feb-2019 - 00:00,12.47,41.7,31.78,,166.47,72.27,,,0.0,0.0,,81.07,173.3,2.74,155.13,0.0,12.85,0.6,22.08,08-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-Feb-2019 - 00:00,13.5,38.78,31.09,,135.77,48.92,,,0.0,0.0,,64.4,238.35,1.74,438.14,0.0,14.69,0.46,33.29,09-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-Feb-2019 - 00:00,10.19,42.15,30.19,,120.32,48.56,,,0.0,0.0,,61.75,313.24,1.79,447.94,0.0,12.81,0.48,34.87,10-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-Feb-2019 - 00:00,17.46,47.97,39.06,,166.24,72.77,,,0.0,0.0,,60.81,268.3,0.9,358.32,0.0,12.72,0.77,32.36,11-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
