from date,MP-Xylene,Benzene,Toluene,O Xylene,NO,NO2,NOx,NH3,WS,SO2,CO,PM10,PM2.5,Ozone,Eth-Benzene,BP,RH,SR,VWS,WD,to date,station
01-Jan-2019 - 00:00,1.46,1.74,5.62,1.59,122.79,63.19,131.34,20.55,0.54,22.29,1.08,219.31,114.44,30.24,1.11,763.92,37.71,102.84,0.14,138.78,02-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Jan-2019 - 00:00,1.4,1.74,5.65,1.52,115.02,63.89,125.4,20.86,0.52,19.34,1.18,202.39,100.27,24.53,1.11,763.82,38.0,107.3,0.07,154.48,03-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Jan-2019 - 00:00,1.45,1.72,5.6,1.6,37.91,79.24,71.74,26.08,0.62,34.8,0.86,171.19,109.78,20.96,1.11,765.05,35.42,116.95,-0.06,187.48,04-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Jan-2019 - 00:00,1.49,1.87,5.73,1.61,35.95,67.83,60.61,24.86,0.69,54.5,0.82,153.65,86.82,17.27,1.1,763.84,37.8,93.53,0.07,107.08,05-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Jan-2019 - 00:00,1.43,1.8,5.89,1.64,3.78,49.52,28.34,23.24,1.3,13.13,0.82,135.4,67.87,34.89,1.15,762.03,42.68,111.67,0.18,84.5,06-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Jan-2019 - 00:00,1.36,1.64,5.59,1.52,3.1,50.36,28.08,23.25,1.18,11.48,0.8,165.66,110.52,25.03,1.11,761.7,55.66,91.77,-0.14,136.69,07-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Jan-2019 - 00:00,1.18,1.21,4.74,1.04,7.75,60.68,37.3,27.58,0.21,24.76,0.75,111.97,56.27,29.29,0.89,763.64,53.27,108.24,0.13,89.71,08-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Jan-2019 - 00:00,1.88,1.5,6.99,1.21,31.41,71.76,62.17,27.24,0.22,36.77,0.84,141.04,70.77,28.46,0.93,762.71,48.53,116.25,0.14,147.59,09-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Jan-2019 - 00:00,2.03,1.24,3.06,0.83,20.22,74.73,55.1,27.75,0.18,29.12,0.72,149.75,67.08,30.44,0.62,762.52,45.1,163.84,-0.02,196.74,10-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Jan-2019 - 00:00,2.45,1.44,4.02,1.01,24.3,66.96,54.34,27.7,0.21,13.21,1.23,160.26,71.53,34.75,0.73,761.64,26.38,147.37,0.21,157.58,11-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Jan-2019 - 00:00,2.2,1.13,3.32,0.86,11.62,59.05,39.99,29.33,0.53,13.56,0.91,145.07,66.13,34.15,0.61,762.48,36.27,111.14,0.07,71.08,12-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Jan-2019 - 00:00,2.17,1.29,3.43,0.84,26.03,54.82,47.96,28.63,0.86,24.24,0.85,160.86,94.28,41.77,0.64,761.89,42.94,108.98,-0.14,98.92,13-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
13-Jan-2019 - 00:00,2.1,1.27,3.15,0.83,7.88,55.08,32.86,30.43,0.96,29.53,0.74,154.36,101.18,37.11,0.65,763.3,44.15,95.52,-0.52,137.85,14-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
14-Jan-2019 - 00:00,1.53,0.82,2.17,0.54,15.51,46.88,36.59,29.73,1.05,31.55,0.77,125.31,68.46,30.03,0.34,764.06,34.58,124.18,-0.31,245.63,15-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
