from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
24-Nov-2019 - 00:00,1.93,15.74,9.94,13.12,0.83,53.78,112.02,76.28,11.89,27.33,76.22,1.61,0.03,124.7,75.71,759.05,0.0,0.64,8.19,0.23,0.17,25.84,25-Nov-2019 - 00:00,"Secretariat, Amaravati - APPCB"
25-Nov-2019 - 00:00,2.76,16.16,10.95,13.59,0.8,63.19,121.79,84.04,14.28,27.81,74.09,3.04,0.05,89.93,93.26,759.01,0.0,0.58,4.36,0.15,0.15,27.82,26-Nov-2019 - 00:00,"Secretariat, Amaravati - APPCB"
26-Nov-2019 - 00:00,2.62,16.1,10.34,18.9,1.19,65.5,124.32,78.37,12.47,27.98,71.33,3.77,0.09,78.54,94.29,758.3,0.0,0.71,2.93,1.62,0.16,27.11,27-Nov-2019 - 00:00,"Secretariat, Amaravati - APPCB"
27-Nov-2019 - 00:00,2.82,21.33,13.74,19.46,0.91,55.32,108.33,67.78,11.85,27.5,73.49,2.99,0.08,81.11,70.26,758.19,0.0,0.69,6.31,0.26,0.2,26.36,28-Nov-2019 - 00:00,"Secretariat, Amaravati - APPCB"
28-Nov-2019 - 00:00,2.51,14.21,9.69,15.18,0.77,50.81,87.18,56.67,9.93,27.85,76.1,3.53,0.08,83.57,72.46,758.6,0.0,0.39,2.22,0.17,0.17,26.3,29-Nov-2019 - 00:00,"Secretariat, Amaravati - APPCB"
29-Nov-2019 - 00:00,2.12,14.26,9.31,13.73,0.67,44.3,63.61,35.75,9.12,28.05,75.53,2.69,0.06,90.53,79.08,758.67,0.0,0.49,8.49,0.18,0.13,25.56,30-Nov-2019 - 00:00,"Secretariat, Amaravati - APPCB"
30-Nov-2019 - 00:00,2.62,12.44,8.84,18.52,0.81,44.64,87.25,55.68,11.41,28.23,76.12,2.83,0.05,86.46,74.02,758.41,0.0,0.21,5.02,0.13,0.1,24.33,01-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
01-Dec-2019 - 00:00,2.62,15.58,10.42,9.68,0.94,43.64,103.49,62.6,15.5,28.22,76.79,2.91,0.04,109.07,49.49,759.43,0.0,0.15,2.29,0.24,,22.87,02-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
02-Dec-2019 - 00:00,2.83,14.18,9.94,10.49,0.7,41.76,87.42,56.93,14.41,27.88,79.36,3.17,0.06,98.18,51.69,759.11,0.0,0.22,2.14,0.14,0.1,24.54,03-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
03-Dec-2019 - 00:00,2.91,14.65,10.26,14.72,0.73,45.34,100.64,65.57,17.63,27.66,76.58,3.38,0.06,112.41,64.8,759.52,0.0,0.27,1.88,0.12,0.1,25.1,04-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
