from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
