from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NH3,NO2,NO,NOx,Ozone,PM10,PM2.5,SR,WS,WD,SO2,to date,station
01-Jan-2019 - 00:00,12.53,8.92,25.57,15.72,48.17,1.78,18.78,69.47,29.23,60.14,58.39,112.24,69.45,616.73,1.97,165.36,11.18,02-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Jan-2019 - 00:00,10.06,8.9,23.71,18.62,43.26,1.56,22.76,62.7,34.72,62.23,64.04,115.82,57.25,581.11,1.56,200.55,7.0,03-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Jan-2019 - 00:00,10.36,8.06,22.51,16.71,41.55,1.49,23.94,64.52,21.42,52.34,52.85,102.15,62.05,570.15,1.72,169.74,9.79,04-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Jan-2019 - 00:00,10.2,7.45,20.34,13.21,38.13,1.4,35.73,64.13,18.24,48.83,65.39,98.75,49.2,588.12,1.85,161.06,10.6,05-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Jan-2019 - 00:00,7.82,5.01,14.52,8.92,28.17,1.23,38.04,51.42,14.01,39.85,66.19,84.04,43.93,508.47,1.77,195.24,10.69,06-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Jan-2019 - 00:00,6.87,2.29,7.6,4.73,17.41,0.93,37.96,40.51,7.84,28.17,66.69,62.15,34.08,552.77,1.84,223.83,5.2,07-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Jan-2019 - 00:00,9.54,6.2,19.8,11.75,36.62,1.3,35.17,61.17,17.71,46.8,55.4,96.32,46.9,613.34,2.43,184.41,22.83,08-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Jan-2019 - 00:00,10.6,6.91,21.56,13.05,40.98,1.44,37.89,65.16,20.43,50.92,64.0,122.13,62.24,567.34,2.03,198.0,17.72,09-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Jan-2019 - 00:00,9.73,8.25,23.81,14.25,43.31,1.53,38.05,62.46,27.09,52.29,55.67,102.26,54.17,576.22,2.08,161.65,12.17,10-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Jan-2019 - 00:00,15.75,12.09,34.82,21.75,64.31,2.08,45.05,83.85,35.72,73.39,51.65,132.33,69.51,516.63,2.1,193.64,10.06,11-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
11-Jan-2019 - 00:00,12.22,7.22,19.38,12.62,37.84,1.41,44.02,59.61,12.55,42.32,60.0,123.82,64.71,515.06,1.71,200.03,9.4,12-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Jan-2019 - 00:00,6.5,2.98,8.94,5.42,17.74,1.01,43.85,42.25,4.87,26.22,73.79,79.91,43.98,484.19,2.13,191.58,5.48,13-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Jan-2019 - 00:00,6.77,3.33,10.1,6.18,22.31,1.04,47.15,44.33,8.18,29.98,71.05,75.71,44.95,549.19,1.69,179.32,8.58,14-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Jan-2019 - 00:00,8.74,5.08,17.29,10.21,32.08,1.21,45.68,60.8,8.31,39.51,66.65,87.03,49.92,513.16,2.73,163.78,9.59,15-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Jan-2019 - 00:00,10.04,7.26,23.45,14.27,42.86,1.49,41.29,61.45,22.17,50.08,56.25,99.88,53.35,568.48,2.15,192.99,14.91,16-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
16-Jan-2019 - 00:00,11.29,8.35,25.17,15.22,45.19,1.55,47.77,67.96,20.18,51.06,55.77,114.71,58.78,553.07,1.73,195.96,8.06,17-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Jan-2019 - 00:00,6.27,2.49,8.55,5.27,18.44,0.98,43.59,47.4,4.43,28.31,69.73,90.38,49.02,558.32,1.83,185.23,6.66,18-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Jan-2019 - 00:00,5.12,2.68,9.15,5.35,17.83,0.65,36.62,34.85,6.61,23.5,77.84,82.9,43.96,588.38,1.98,136.96,7.26,19-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
19-Jan-2019 - 00:00,11.93,9.32,28.73,17.47,51.63,1.65,47.95,72.79,28.16,61.16,57.99,106.48,49.56,602.07,2.22,174.28,16.84,20-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Jan-2019 - 00:00,7.72,5.43,17.14,10.31,32.05,1.27,40.53,55.14,12.1,38.57,64.27,82.99,45.06,580.23,1.85,165.59,7.91,21-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Jan-2019 - 00:00,4.66,1.92,6.76,3.89,16.64,0.78,40.03,38.48,1.58,21.26,80.6,113.32,44.23,479.8,2.15,222.49,4.95,22-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Jan-2019 - 00:00,3.56,0.83,4.16,2.31,9.82,0.54,39.26,29.47,1.67,16.48,54.33,94.03,27.36,466.65,2.52,226.76,3.73,23-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Jan-2019 - 00:00,5.0,1.18,3.97,2.38,11.34,0.57,39.31,27.68,2.72,16.56,51.55,75.92,26.13,482.07,1.93,248.16,3.83,24-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Jan-2019 - 00:00,2.57,0.61,2.34,1.23,7.42,0.5,34.77,25.71,1.07,14.04,,75.76,28.16,598.41,2.07,217.25,9.96,25-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Jan-2019 - 00:00,2.85,0.43,1.43,0.87,4.97,0.49,27.41,21.97,1.0,12.05,111.76,66.0,28.41,551.19,2.17,246.69,4.19,26-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Jan-2019 - 00:00,4.51,0.97,4.35,2.44,9.78,0.66,30.99,28.66,2.63,16.76,75.21,65.5,34.62,516.48,2.9,139.84,4.11,27-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
27-Jan-2019 - 00:00,3.02,0.62,3.01,1.58,7.1,0.55,26.88,29.09,2.17,16.57,73.34,52.34,29.64,632.03,3.08,127.99,4.06,28-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
28-Jan-2019 - 00:00,2.89,0.85,4.96,2.55,10.39,0.6,22.08,32.48,1.37,17.89,81.48,49.32,26.15,607.67,3.2,129.18,6.63,29-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
29-Jan-2019 - 00:00,7.75,5.23,16.74,10.04,31.23,1.06,23.82,46.48,17.51,38.86,64.95,66.22,33.28,634.77,2.71,159.52,11.05,30-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
30-Jan-2019 - 00:00,11.04,4.67,14.4,8.68,28.3,1.17,31.64,53.63,8.08,35.03,65.37,82.2,43.39,609.68,1.95,171.76,11.31,31-Jan-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
31-Jan-2019 - 00:00,10.18,5.09,16.0,9.61,31.02,1.17,35.58,48.36,13.62,36.2,63.96,81.37,42.3,621.29,1.8,171.74,12.99,01-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
01-Feb-2019 - 00:00,5.64,6.51,8.01,6.9,15.47,0.94,40.34,41.23,4.44,25.43,56.12,82.14,36.61,520.98,1.97,197.04,7.75,02-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Feb-2019 - 00:00,3.08,2.33,4.65,3.06,12.19,0.81,40.0,37.07,2.39,21.36,80.06,79.36,45.35,569.48,1.99,182.74,13.24,03-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Feb-2019 - 00:00,3.35,3.83,6.71,4.24,15.86,1.05,44.45,41.48,9.31,29.7,57.72,76.11,45.53,473.87,1.78,170.22,5.89,04-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Feb-2019 - 00:00,3.83,5.6,10.46,6.28,21.06,1.13,43.28,49.1,11.91,36.13,50.89,86.09,52.12,520.02,2.29,168.31,5.36,05-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Feb-2019 - 00:00,3.35,3.93,7.09,4.52,16.98,0.86,43.54,43.76,5.86,27.96,63.05,107.02,50.8,515.39,2.22,180.43,11.25,06-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Feb-2019 - 00:00,2.33,2.55,3.55,2.6,12.34,0.66,43.05,30.12,1.39,16.61,83.49,166.94,48.65,518.23,2.66,224.3,4.26,07-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Feb-2019 - 00:00,0.76,0.69,1.21,0.99,5.77,0.31,31.27,16.67,0.62,8.92,78.93,132.0,27.69,494.89,3.26,281.8,3.83,08-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Feb-2019 - 00:00,0.95,0.64,0.98,0.93,5.94,0.35,28.17,18.92,0.75,10.19,66.64,139.12,37.84,577.76,2.38,248.66,3.44,09-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Feb-2019 - 00:00,2.14,1.72,3.57,2.2,10.27,0.61,23.16,32.73,2.89,19.42,55.15,113.6,44.22,683.99,2.78,150.88,5.07,10-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Feb-2019 - 00:00,3.48,3.51,6.4,4.02,15.4,1.01,29.4,45.07,8.75,31.03,55.42,111.37,45.53,670.01,2.27,171.32,10.61,11-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
11-Feb-2019 - 00:00,4.75,6.48,10.73,6.96,23.39,1.37,33.58,44.36,6.0,27.98,44.55,134.1,9.69,646.34,2.31,196.56,6.59,12-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Feb-2019 - 00:00,4.5,5.44,9.07,6.02,19.72,1.17,59.22,52.44,15.48,41.69,45.29,101.86,61.22,609.29,1.82,188.21,6.8,13-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Feb-2019 - 00:00,2.31,1.8,3.48,2.48,10.04,0.67,42.91,30.02,1.18,16.32,77.29,67.76,37.74,602.92,1.87,224.41,6.04,14-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Feb-2019 - 00:00,2.23,1.48,2.11,1.69,9.23,0.64,41.27,26.35,1.07,14.37,63.89,68.89,43.96,573.31,2.04,229.77,4.59,15-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Feb-2019 - 00:00,1.8,1.17,1.75,1.43,8.17,0.63,36.7,24.02,0.99,13.07,79.52,126.59,50.63,568.13,2.52,236.71,5.0,16-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
16-Feb-2019 - 00:00,2.87,1.89,3.05,2.18,11.25,0.82,33.19,27.61,2.59,16.46,75.71,62.49,47.82,678.65,1.9,173.56,4.65,17-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Feb-2019 - 00:00,2.25,1.31,2.03,1.62,8.63,0.74,31.98,24.13,0.72,12.83,97.88,58.57,46.34,666.37,1.94,174.08,7.67,18-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Feb-2019 - 00:00,2.61,1.51,2.29,1.77,9.59,0.77,34.02,27.84,0.88,14.98,86.54,65.48,37.87,660.56,1.91,195.61,3.91,19-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
19-Feb-2019 - 00:00,2.97,1.7,2.57,1.88,9.98,0.85,37.09,29.48,2.27,16.99,76.15,53.49,33.88,656.78,1.9,191.16,4.54,20-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Feb-2019 - 00:00,2.9,2.27,4.16,2.8,12.08,0.96,38.02,33.22,1.52,18.67,80.42,75.31,35.54,684.12,2.32,174.23,9.25,21-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Feb-2019 - 00:00,3.03,1.98,2.74,2.01,10.39,0.9,41.2,25.5,1.36,14.05,97.25,87.6,44.85,624.71,2.19,217.7,4.23,22-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Feb-2019 - 00:00,2.25,1.05,1.56,1.22,7.43,0.71,35.44,15.3,1.21,8.86,79.85,78.02,36.15,639.99,2.21,214.13,4.94,23-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Feb-2019 - 00:00,1.9,1.27,2.28,1.6,8.31,0.7,30.38,18.08,1.2,10.35,61.32,55.22,30.89,652.07,2.09,187.37,11.14,24-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Feb-2019 - 00:00,2.46,1.77,2.5,1.82,9.42,0.8,30.39,19.6,1.2,11.25,75.15,69.37,31.06,623.96,2.23,223.55,4.31,25-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Feb-2019 - 00:00,1.81,0.91,1.77,1.26,6.83,0.64,25.44,12.98,1.16,7.64,62.02,87.25,32.56,601.76,2.18,218.6,5.33,26-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Feb-2019 - 00:00,1.62,0.9,1.31,1.04,6.35,0.57,25.07,9.02,1.39,5.47,55.18,158.88,34.89,609.35,2.59,238.61,3.76,27-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
27-Feb-2019 - 00:00,1.68,0.84,0.94,0.73,5.19,0.53,27.65,6.74,1.27,4.24,49.72,79.02,28.69,540.43,2.65,219.48,3.37,28-Feb-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
28-Feb-2019 - 00:00,2.96,2.6,4.48,3.02,12.67,0.97,32.2,21.86,5.88,16.52,53.36,67.06,27.86,637.85,1.74,156.1,5.41,01-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
01-Mar-2019 - 00:00,4.9,4.24,7.35,4.83,17.55,1.4,33.12,30.09,11.09,25.2,57.17,83.79,40.71,533.93,2.13,171.03,10.49,02-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Mar-2019 - 00:00,4.82,4.21,6.48,4.3,16.59,1.24,33.3,30.33,4.94,19.74,74.52,96.87,39.98,553.93,2.82,214.71,9.86,03-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Mar-2019 - 00:00,1.04,0.81,1.14,0.92,5.33,0.52,34.23,5.35,1.13,3.63,91.23,37.03,17.02,499.62,2.82,287.42,4.73,04-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Mar-2019 - 00:00,0.31,0.31,0.59,0.46,3.1,0.39,34.29,7.05,1.4,4.68,43.79,72.2,49.83,667.8,3.45,285.74,3.18,05-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Mar-2019 - 00:00,2.45,3.45,2.32,2.81,6.42,0.42,23.09,7.09,1.09,4.4,61.36,87.13,38.89,601.02,2.36,244.54,3.19,06-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Mar-2019 - 00:00,1.28,0.6,0.97,0.86,5.98,0.51,16.79,9.31,1.05,5.53,85.71,75.45,37.27,630.28,2.16,238.95,3.61,07-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Mar-2019 - 00:00,1.98,1.07,1.46,1.2,7.58,0.61,24.4,14.51,1.13,8.04,86.53,91.5,49.56,669.64,1.75,208.34,3.94,08-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Mar-2019 - 00:00,2.51,1.41,2.15,1.58,8.7,0.75,39.15,22.5,1.06,12.44,92.96,95.22,54.5,589.82,2.05,217.55,7.21,09-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Mar-2019 - 00:00,2.88,1.29,1.79,1.3,7.52,0.64,40.39,18.23,1.13,10.21,70.89,93.59,45.37,627.34,2.16,212.52,4.73,10-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Mar-2019 - 00:00,2.51,1.22,1.73,1.33,7.99,0.61,34.82,16.42,1.21,9.4,77.26,79.18,41.28,647.96,2.24,229.46,5.45,11-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
