from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NH3,NO2,NO,NOx,Ozone,PM10,PM2.5,SR,WS,WD,SO2,to date,station
11-Mar-2019 - 00:00,1.46,0.83,1.38,1.03,6.63,0.5,34.41,12.97,0.97,7.38,70.84,107.43,47.2,595.62,2.62,222.28,4.14,12-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Mar-2019 - 00:00,1.73,1.84,2.59,1.74,9.15,0.64,33.96,19.51,2.06,12.03,70.18,91.92,44.81,658.32,2.19,201.07,10.85,13-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Mar-2019 - 00:00,1.41,1.07,1.37,1.08,7.77,0.51,29.64,11.44,0.89,6.53,110.25,87.65,40.37,634.22,2.37,259.4,5.78,14-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Mar-2019 - 00:00,0.98,0.74,1.19,0.92,5.89,0.49,30.45,11.93,0.92,6.77,81.66,60.53,37.71,589.58,2.36,233.81,4.99,15-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Mar-2019 - 00:00,2.95,2.32,3.84,2.56,10.26,0.92,32.66,26.7,8.75,21.4,79.45,78.65,45.67,683.05,2.41,217.55,13.37,16-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
16-Mar-2019 - 00:00,2.59,1.79,3.23,2.15,9.87,0.83,32.39,25.03,2.39,14.82,82.2,83.65,42.46,630.67,2.42,183.84,9.69,17-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Mar-2019 - 00:00,2.37,1.06,1.71,1.24,7.94,0.73,30.33,18.79,1.2,10.73,103.56,73.16,47.29,539.55,2.16,263.75,5.77,18-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Mar-2019 - 00:00,2.22,1.14,1.82,1.33,7.7,0.69,32.0,16.92,1.1,9.57,95.77,93.01,48.42,705.46,2.15,199.08,6.71,19-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
19-Mar-2019 - 00:00,2.02,1.24,1.74,1.27,7.17,0.65,31.03,15.74,1.6,9.32,95.21,83.75,42.8,694.59,1.98,197.47,6.17,20-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Mar-2019 - 00:00,2.4,1.08,1.37,1.05,7.36,0.67,32.58,14.37,1.06,8.24,94.05,108.6,50.62,631.54,2.5,245.15,7.22,21-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Mar-2019 - 00:00,1.56,0.71,1.16,0.9,6.12,0.63,27.89,11.19,1.25,6.65,60.48,52.69,30.66,652.02,2.59,234.18,4.15,22-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Mar-2019 - 00:00,1.45,0.88,1.69,1.22,6.85,0.58,30.06,14.96,1.33,8.68,61.68,67.84,42.34,685.47,2.04,230.44,4.48,23-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Mar-2019 - 00:00,2.88,1.84,2.14,1.52,7.82,0.73,34.47,19.8,1.31,11.22,87.02,77.03,46.49,726.21,2.01,193.57,6.6,24-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Mar-2019 - 00:00,2.5,1.95,2.84,1.86,8.75,0.8,36.08,19.63,1.46,11.56,85.29,69.97,46.15,793.02,1.83,160.98,5.4,25-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Mar-2019 - 00:00,0.64,0.27,0.61,0.39,3.42,0.52,25.78,9.36,1.4,5.81,88.23,70.86,46.85,183.48,2.39,286.74,4.6,26-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Mar-2019 - 00:00,2.32,2.04,3.53,2.24,9.56,0.75,32.13,21.4,4.43,15.06,59.85,89.45,53.82,779.69,2.29,198.95,3.22,27-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
27-Mar-2019 - 00:00,2.1,1.87,2.68,1.78,8.7,0.6,30.54,15.92,1.37,9.23,95.41,82.75,50.18,748.3,2.24,195.74,8.9,28-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
28-Mar-2019 - 00:00,2.4,2.22,2.65,1.86,9.77,0.7,38.99,18.86,1.11,10.69,117.58,100.2,63.93,716.02,2.17,195.15,11.93,29-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
29-Mar-2019 - 00:00,2.25,1.2,1.91,1.29,8.07,0.62,36.51,17.06,1.16,9.69,127.95,100.18,68.28,701.22,2.23,207.9,15.38,30-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
30-Mar-2019 - 00:00,1.91,0.79,1.43,0.99,7.11,0.58,35.56,14.92,1.19,8.74,96.64,119.0,69.46,613.46,2.12,238.67,7.92,31-Mar-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
31-Mar-2019 - 00:00,1.68,1.19,1.83,1.24,8.14,0.6,43.86,22.11,1.29,12.51,65.02,82.06,56.76,212.14,1.89,208.37,4.33,01-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
01-Apr-2019 - 00:00,1.39,1.16,1.39,0.92,6.02,0.48,38.51,11.66,1.12,6.8,74.28,87.23,45.18,699.47,2.42,229.9,3.67,02-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Apr-2019 - 00:00,1.43,1.46,1.88,1.29,7.45,0.52,45.43,15.28,1.42,9.0,77.51,88.33,32.07,654.41,2.38,211.27,3.55,03-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Apr-2019 - 00:00,1.57,0.95,1.7,1.12,7.69,0.54,44.93,14.87,1.23,8.62,85.68,87.18,40.99,679.07,2.19,235.03,5.45,04-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Apr-2019 - 00:00,1.41,1.1,1.53,1.06,7.23,0.54,45.32,14.04,1.11,8.13,85.5,90.37,39.54,561.7,2.27,242.63,4.71,05-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Apr-2019 - 00:00,1.51,1.01,1.55,0.82,5.54,0.51,53.66,11.5,1.36,6.91,66.96,90.58,46.57,623.26,2.6,256.7,3.01,06-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Apr-2019 - 00:00,1.25,0.57,0.95,0.52,3.98,0.4,30.4,9.15,0.91,5.12,61.86,58.45,30.43,621.99,2.96,250.84,3.08,07-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Apr-2019 - 00:00,1.46,0.41,0.84,0.38,4.17,0.4,26.97,11.2,2.06,7.36,56.94,60.07,24.39,661.25,2.9,239.78,3.04,08-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Apr-2019 - 00:00,1.23,0.59,1.15,0.62,4.84,0.41,35.8,8.85,2.33,6.15,59.86,74.85,31.8,659.67,2.62,256.85,3.44,09-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Apr-2019 - 00:00,1.82,0.9,1.53,0.77,5.8,0.53,,,,,52.56,88.38,34.12,629.04,2.95,257.74,3.39,10-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Apr-2019 - 00:00,1.1,0.55,1.09,0.71,4.82,0.45,,,,,63.77,61.79,38.92,651.25,2.85,218.89,3.79,11-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
11-Apr-2019 - 00:00,2.06,0.85,2.55,1.35,8.85,0.53,,,0.38,0.0,70.53,60.48,102.83,658.16,2.4,227.48,3.84,12-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Apr-2019 - 00:00,3.0,1.13,3.94,1.83,13.53,0.56,60.52,36.4,17.34,32.64,82.78,75.75,41.01,638.73,2.35,236.23,4.75,13-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Apr-2019 - 00:00,3.06,1.26,5.01,2.18,13.21,0.58,55.7,33.53,1.44,18.94,86.53,83.03,39.19,665.7,2.3,226.21,6.53,14-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Apr-2019 - 00:00,2.59,1.3,3.67,1.8,11.95,0.56,56.12,31.79,1.33,17.88,98.06,93.83,40.83,594.84,2.32,233.44,7.64,15-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Apr-2019 - 00:00,3.56,2.0,7.88,3.32,15.51,0.71,58.4,30.68,1.69,17.32,96.73,65.37,40.0,639.63,2.59,203.23,6.51,16-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
16-Apr-2019 - 00:00,3.38,2.52,8.14,3.53,16.23,0.67,55.72,25.63,1.38,14.42,74.02,90.9,42.09,424.24,2.1,190.37,5.85,17-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Apr-2019 - 00:00,1.34,0.83,2.77,1.31,9.42,0.42,44.54,15.74,0.91,8.84,87.05,85.32,25.83,723.77,2.98,267.39,4.56,18-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Apr-2019 - 00:00,1.7,0.61,1.94,0.99,9.89,0.44,37.54,13.09,0.86,7.42,89.54,47.89,16.91,722.7,2.02,238.52,3.99,19-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
19-Apr-2019 - 00:00,1.95,0.76,4.08,1.73,8.88,0.51,49.06,37.43,2.67,22.58,118.29,77.24,34.38,876.23,3.01,229.13,7.55,20-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Apr-2019 - 00:00,2.91,1.21,5.41,2.35,12.53,0.5,49.99,34.06,4.95,20.84,89.17,66.39,33.07,748.21,2.53,221.93,5.01,21-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Apr-2019 - 00:00,2.17,1.11,3.98,1.76,10.3,0.45,46.1,25.52,1.27,14.12,79.75,54.4,28.63,735.24,2.44,233.64,5.28,22-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Apr-2019 - 00:00,2.28,0.93,3.71,1.67,10.09,0.47,54.67,25.22,1.51,14.25,76.25,57.22,35.52,745.82,2.21,261.5,4.81,23-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Apr-2019 - 00:00,2.51,1.06,4.06,1.87,12.89,0.42,53.52,25.48,1.49,14.13,82.59,61.89,34.35,772.54,2.31,202.67,6.94,24-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Apr-2019 - 00:00,2.26,1.09,3.91,1.91,11.18,0.4,56.66,24.22,1.44,13.53,78.27,63.53,33.42,699.32,2.44,237.75,7.89,25-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Apr-2019 - 00:00,2.04,1.08,3.27,1.73,9.84,0.39,54.44,25.32,1.06,13.79,116.7,73.73,37.41,819.35,2.44,274.07,7.19,26-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Apr-2019 - 00:00,1.59,0.57,1.96,1.06,7.59,0.31,51.24,19.79,1.03,10.89,83.78,66.23,34.7,747.74,2.67,257.16,8.42,27-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
27-Apr-2019 - 00:00,2.16,0.84,3.62,1.93,8.16,0.34,41.66,16.97,1.4,7.28,57.05,86.39,33.98,792.92,2.79,235.92,8.23,28-Apr-2019 - 00:00,"Gangapur Road, Nashik - MPCB"
