from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,RH,WS,WD,VWS,BP,SR,RF,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
