from date,NO,CO,NO2,NOx,Ozone,PM10,PM2.5,RH,SR,Temp,WD,WS,VWS,SO2,to date,station
01-Jan-2019 - 00:00,52.9,1.94,107.75,160.65,34.7,212.35,79.07,1.55,157.0,22.49,283.16,0.49,0.43,10.39,02-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
02-Jan-2019 - 00:00,95.6,3.04,135.01,185.2,33.79,242.24,89.95,1.55,146.46,22.74,212.25,0.68,0.42,10.64,03-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
03-Jan-2019 - 00:00,121.46,3.16,148.71,216.74,37.51,244.9,95.1,1.55,146.62,23.03,171.95,5.59,0.41,11.03,04-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
04-Jan-2019 - 00:00,65.45,2.63,114.52,179.95,42.82,208.56,76.23,1.55,144.7,24.45,262.58,1.19,0.4,10.44,05-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
05-Jan-2019 - 00:00,49.12,2.39,97.71,146.8,56.06,175.97,69.44,1.55,142.85,24.53,300.49,0.42,0.38,10.78,06-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
06-Jan-2019 - 00:00,29.69,1.87,73.5,103.16,43.59,165.32,64.55,1.56,142.41,23.87,226.55,0.37,0.38,10.43,07-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
07-Jan-2019 - 00:00,21.44,1.87,73.24,94.68,52.23,173.89,65.65,1.55,140.59,23.94,251.97,0.64,0.39,10.55,08-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
08-Jan-2019 - 00:00,13.12,1.38,62.49,75.56,61.48,160.77,70.12,1.55,201.02,21.7,240.29,0.36,0.39,10.59,09-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
16-Jan-2019 - 00:00,48.25,2.69,88.02,136.16,40.24,302.06,95.82,40.5,143.47,,259.67,0.4,0.39,10.45,17-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
17-Jan-2019 - 00:00,37.09,2.56,78.98,114.43,51.79,214.4,85.65,45.2,133.12,,241.7,0.39,0.35,10.59,18-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
18-Jan-2019 - 00:00,43.3,2.08,82.7,120.64,39.12,188.7,64.54,41.89,131.58,,250.96,0.35,0.37,9.99,19-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
19-Jan-2019 - 00:00,28.39,2.22,76.31,104.7,40.78,205.96,75.11,43.07,132.98,,274.13,0.48,0.4,9.51,20-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
20-Jan-2019 - 00:00,28.59,1.92,74.46,146.84,44.85,176.2,69.76,36.87,140.75,,276.49,0.58,0.38,10.1,21-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
21-Jan-2019 - 00:00,33.32,1.94,80.85,122.39,45.26,147.37,50.1,35.53,145.79,,245.27,0.56,0.38,10.55,22-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
22-Jan-2019 - 00:00,46.97,2.04,98.27,117.03,61.69,178.96,64.58,40.76,138.27,,119.05,0.36,0.4,12.56,23-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
23-Jan-2019 - 00:00,16.36,1.64,53.41,69.16,60.94,191.15,63.78,45.7,141.97,,174.21,0.33,0.38,10.75,24-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
24-Jan-2019 - 00:00,23.6,1.74,58.26,80.1,52.61,207.23,64.84,47.99,132.41,,156.18,0.29,0.36,10.11,25-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
25-Jan-2019 - 00:00,15.68,1.52,49.2,64.25,55.5,136.44,49.79,42.08,131.13,,173.41,0.43,0.38,9.89,26-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
26-Jan-2019 - 00:00,5.96,1.38,50.44,56.37,42.84,122.21,50.05,57.37,124.95,,209.01,0.69,0.37,9.92,27-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
27-Jan-2019 - 00:00,8.61,1.29,47.29,55.9,49.03,95.92,44.82,72.59,89.24,,254.32,1.27,0.39,10.01,28-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
28-Jan-2019 - 00:00,14.36,1.45,56.92,70.87,56.66,120.75,52.5,56.12,141.92,26.64,245.71,0.98,0.4,10.34,29-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
29-Jan-2019 - 00:00,10.72,1.43,60.84,71.52,57.35,124.48,52.02,47.24,152.65,23.17,261.98,0.89,0.33,10.32,30-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
30-Jan-2019 - 00:00,22.53,1.9,73.08,95.05,53.57,185.89,58.27,33.32,164.56,24.05,260.19,0.6,0.36,10.49,31-Jan-2019 - 00:00,"Solapur, Solapur - MPCB"
31-Jan-2019 - 00:00,20.35,1.84,74.71,95.03,62.22,135.21,48.29,34.9,158.01,24.6,293.12,0.65,0.34,10.74,01-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
01-Feb-2019 - 00:00,28.64,2.0,76.65,105.23,46.79,163.8,56.36,45.59,148.4,25.37,236.22,0.55,0.34,10.11,02-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
02-Feb-2019 - 00:00,36.68,2.15,89.22,125.88,46.7,158.95,56.03,44.12,148.89,26.44,260.79,0.65,0.35,10.35,03-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
03-Feb-2019 - 00:00,11.98,1.72,74.96,86.88,65.05,136.22,51.78,41.61,147.67,27.16,315.46,0.92,0.37,9.97,04-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
04-Feb-2019 - 00:00,24.1,1.89,86.57,110.1,67.04,154.95,48.19,43.32,155.36,27.26,305.5,1.13,0.38,10.23,05-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
05-Feb-2019 - 00:00,30.47,1.87,82.3,88.78,69.35,137.34,50.19,43.09,155.75,27.42,264.53,0.72,0.33,10.11,06-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
06-Feb-2019 - 00:00,14.11,1.42,70.23,84.33,65.7,116.81,48.58,41.47,149.21,28.67,209.44,0.56,0.34,9.94,07-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
07-Feb-2019 - 00:00,4.68,0.99,49.61,53.93,93.54,108.32,44.43,37.95,159.03,28.17,170.52,1.04,0.35,10.52,08-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
08-Feb-2019 - 00:00,4.41,0.79,43.94,48.11,74.41,102.63,27.63,37.05,157.61,25.32,179.74,0.65,0.34,10.05,09-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
09-Feb-2019 - 00:00,16.38,1.32,69.22,85.5,74.42,214.39,46.41,27.02,173.82,23.26,225.01,0.82,0.35,10.64,10-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
10-Feb-2019 - 00:00,20.85,1.58,76.65,97.4,65.97,174.6,53.02,34.56,154.06,25.77,245.37,2.31,0.33,10.91,11-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
11-Feb-2019 - 00:00,16.25,1.67,63.08,79.3,70.93,156.28,52.58,44.86,145.02,28.67,290.44,1.08,0.34,10.59,12-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
