from date,PM2.5,PM10,WD,WS,RH,SO2,NO2,NO,NOx,NH3,CO,Ozone,to date,station
31-Jan-2019 - 00:00,50.02,107.46,,,,6.48,13.4,2.06,15.46,20.59,0.74,70.24,01-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Feb-2019 - 00:00,58.04,124.13,,,,3.64,14.08,1.14,15.22,14.45,0.82,59.25,02-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Feb-2019 - 00:00,53.21,126.7,,,,4.07,13.88,3.86,17.62,11.65,0.91,69.05,03-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Feb-2019 - 00:00,56.08,115.84,,,,3.5,15.28,3.01,18.29,19.31,0.8,62.28,04-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Feb-2019 - 00:00,51.15,104.51,,,,3.64,14.0,2.02,16.02,15.34,0.79,61.88,05-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Feb-2019 - 00:00,54.93,111.97,,,,3.67,12.45,1.01,13.46,12.87,0.78,64.98,06-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Feb-2019 - 00:00,47.73,101.92,,,,5.41,8.14,0.32,8.46,8.25,0.75,80.97,07-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Feb-2019 - 00:00,59.92,114.84,,,,4.84,9.21,0.3,9.51,5.41,0.8,65.09,08-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Feb-2019 - 00:00,43.48,150.17,,,,5.45,9.73,0.32,10.04,4.06,1.04,48.44,09-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Feb-2019 - 00:00,50.78,192.03,,,,6.08,2.71,0.33,3.02,1.23,0.91,61.23,10-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Feb-2019 - 00:00,66.24,188.8,,,,13.92,0.76,0.34,1.04,1.43,1.3,54.58,11-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Feb-2019 - 00:00,55.14,121.6,,,,6.18,3.41,0.4,3.49,8.82,0.77,54.09,12-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Feb-2019 - 00:00,56.09,116.45,,,,4.58,12.32,0.84,13.16,19.79,0.89,49.38,13-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Feb-2019 - 00:00,51.7,113.45,,,,4.78,13.01,2.04,15.02,21.92,0.95,57.91,14-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Feb-2019 - 00:00,47.08,105.26,,,,5.83,10.7,2.49,13.19,24.26,0.81,59.44,15-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Feb-2019 - 00:00,,,,,,4.01,1.86,10.29,8.93,9.35,1.0,82.26,16-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Feb-2019 - 00:00,96.03,243.25,,,,14.05,47.81,55.31,95.44,29.34,2.94,55.55,19-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Feb-2019 - 00:00,55.34,121.38,,,,9.95,23.86,4.6,28.47,21.27,0.93,66.51,20-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Feb-2019 - 00:00,39.94,90.16,,,,9.12,18.46,2.56,21.02,12.76,0.69,50.9,21-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Feb-2019 - 00:00,44.55,105.22,,,,8.45,22.29,2.69,24.97,10.07,0.91,43.92,22-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Feb-2019 - 00:00,60.92,144.68,,,,12.5,36.89,1.52,38.4,7.19,1.51,44.37,23-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Feb-2019 - 00:00,50.36,124.79,,,,11.15,31.68,1.13,32.81,3.71,1.57,49.98,24-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Feb-2019 - 00:00,47.44,128.01,,,,10.49,16.23,1.05,17.29,2.04,1.11,72.73,25-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Feb-2019 - 00:00,53.12,142.95,,,,10.99,11.62,1.61,13.22,11.49,1.24,64.09,26-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Feb-2019 - 00:00,37.26,129.33,,,,8.41,11.31,2.16,13.47,17.29,0.99,61.27,27-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Feb-2019 - 00:00,45.99,150.02,,,,7.93,13.09,2.24,15.33,25.12,1.1,59.02,28-Feb-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Feb-2019 - 00:00,40.75,140.87,,,,8.87,11.27,0.91,12.18,24.4,0.98,62.67,01-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Mar-2019 - 00:00,61.26,171.82,,,,10.89,17.03,0.46,17.47,17.01,1.47,56.3,02-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Mar-2019 - 00:00,45.1,101.74,,,,8.99,9.4,0.23,9.59,4.18,0.84,53.8,03-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Mar-2019 - 00:00,42.08,76.23,,,,15.61,1.76,1.72,3.19,1.28,1.7,38.52,04-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Mar-2019 - 00:00,57.0,,,,,12.91,9.64,33.28,41.93,26.41,1.37,104.58,07-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Mar-2019 - 00:00,50.47,158.93,,,,5.47,9.87,4.66,12.76,19.28,1.49,73.64,10-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Mar-2019 - 00:00,57.63,162.66,,,,4.97,11.54,5.96,17.5,16.64,1.44,61.11,11-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Mar-2019 - 00:00,53.58,135.1,,,,6.93,10.51,2.64,13.15,11.31,1.28,67.14,12-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Mar-2019 - 00:00,,,,,,,7.13,0.74,7.87,3.87,1.07,68.13,13-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Mar-2019 - 00:00,56.29,155.86,,,,6.19,3.52,0.79,4.31,4.28,1.19,71.96,14-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Mar-2019 - 00:00,57.39,147.57,,,,7.13,2.57,0.8,2.38,4.33,1.2,71.57,15-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
