from date,PM2.5,PM10,WD,WS,RH,SO2,NO2,NO,NOx,NH3,CO,Ozone,to date,station
11-May-2019 - 00:00,31.89,106.22,,,,8.44,29.44,5.07,34.51,10.08,0.31,23.83,12-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-May-2019 - 00:00,35.82,95.44,,,,51.95,1.29,75.18,72.65,0.12,1.52,,13-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-May-2019 - 00:00,46.4,150.81,,,,27.94,35.0,30.97,55.12,21.91,0.65,18.76,14-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-May-2019 - 00:00,30.0,104.14,,,,9.07,20.74,3.47,24.2,9.18,0.11,31.64,15-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-May-2019 - 00:00,28.38,108.92,,,,41.84,22.9,15.25,26.56,16.84,1.0,29.76,16-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-May-2019 - 00:00,46.54,135.97,,,,14.3,23.29,6.72,29.45,5.69,0.16,32.95,17-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-May-2019 - 00:00,34.05,137.42,,,,22.02,37.26,11.59,47.04,13.64,0.51,27.54,18-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-May-2019 - 00:00,45.47,163.48,,,,17.53,31.5,12.76,44.25,13.14,0.39,23.01,19-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-May-2019 - 00:00,63.11,265.69,,,,18.57,31.24,7.52,38.76,8.55,0.57,29.17,20-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-May-2019 - 00:00,51.3,163.43,,,,19.9,26.94,5.17,31.17,11.3,0.44,40.57,21-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-May-2019 - 00:00,41.51,103.32,,,,18.64,16.4,2.25,18.65,11.12,0.06,41.82,22-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,23-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,24-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,25-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,26-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,27-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,28-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,29-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,30-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,31-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Jun-2019 - 00:00,,,,,,,,,,,,,04-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Jun-2019 - 00:00,30.91,80.98,297.17,2.08,57.0,14.0,16.62,2.04,18.67,22.57,0.46,39.78,05-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Jun-2019 - 00:00,38.46,108.22,225.99,1.68,53.94,15.16,25.64,4.71,30.35,19.98,0.61,33.59,06-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Jun-2019 - 00:00,31.28,77.21,229.34,2.31,53.47,14.61,15.79,2.49,18.28,20.54,0.16,46.73,07-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Jun-2019 - 00:00,30.13,75.03,207.1,1.85,54.18,14.62,22.67,3.79,26.47,15.64,0.98,46.65,08-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Jun-2019 - 00:00,365.84,60.78,186.98,1.99,62.83,14.26,21.6,3.48,25.08,14.07,0.22,44.36,09-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Jun-2019 - 00:00,985.0,33.22,206.35,2.15,56.09,,12.51,2.02,14.53,21.6,0.07,58.2,10-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Jun-2019 - 00:00,539.96,61.41,215.95,1.62,63.23,14.72,20.9,7.62,28.53,17.58,0.69,41.57,11-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Jun-2019 - 00:00,8.36,28.28,285.72,2.77,53.26,14.09,7.83,2.08,9.91,11.49,0.31,32.14,12-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Jun-2019 - 00:00,7.81,26.47,289.89,3.9,54.69,13.76,5.6,1.38,6.98,7.35,,36.24,13-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Jun-2019 - 00:00,12.73,30.74,266.61,2.42,64.55,14.06,9.19,3.05,12.24,7.16,0.26,24.74,14-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Jun-2019 - 00:00,14.94,50.96,273.19,2.63,56.83,12.28,6.16,1.94,8.09,9.65,0.08,25.72,15-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Jun-2019 - 00:00,19.16,72.57,276.91,3.5,40.61,0.35,5.4,1.18,6.57,6.02,0.01,31.09,16-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Jun-2019 - 00:00,19.6,77.54,260.27,3.23,37.96,0.4,4.68,1.4,6.08,5.42,0.03,31.6,17-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Jun-2019 - 00:00,19.49,74.52,255.46,3.17,47.31,0.35,4.85,1.52,6.37,4.79,0.04,26.73,18-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Jun-2019 - 00:00,18.87,67.84,267.41,3.22,49.66,0.42,3.71,1.28,4.99,4.56,0.03,29.47,19-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Jun-2019 - 00:00,17.68,70.13,267.39,3.27,53.9,0.5,3.99,1.36,5.35,4.7,0.02,30.37,20-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Jun-2019 - 00:00,17.6,74.19,255.78,2.75,55.06,0.5,4.64,1.36,6.0,4.6,0.03,33.27,21-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Jun-2019 - 00:00,24.78,84.1,211.07,2.34,58.52,0.61,13.68,4.2,17.88,4.82,0.29,33.05,22-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Jun-2019 - 00:00,18.83,41.1,226.78,1.92,77.35,0.62,10.37,2.46,12.83,10.48,0.15,40.99,23-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Jun-2019 - 00:00,18.11,39.69,214.18,1.86,74.01,0.51,17.99,3.37,21.36,11.13,0.33,43.48,24-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Jun-2019 - 00:00,13.14,30.51,222.33,1.55,76.74,0.45,11.18,2.23,13.41,10.18,0.2,50.71,25-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Jun-2019 - 00:00,16.75,34.89,260.25,1.78,67.55,0.52,11.68,2.47,14.15,9.0,0.16,50.2,26-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Jun-2019 - 00:00,10.5,18.69,297.78,1.77,78.38,0.61,5.01,1.56,6.57,6.75,,38.43,27-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Jun-2019 - 00:00,,,,,,,,,,,,,28-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Jun-2019 - 00:00,6.69,29.91,278.0,3.71,61.78,0.98,4.67,1.5,6.16,4.31,0.06,50.21,29-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Jun-2019 - 00:00,7.82,17.46,288.64,3.15,75.88,1.05,3.75,1.36,5.1,3.15,0.01,46.6,30-Jun-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Jun-2019 - 00:00,,,,,,,,,,,,,01-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Jul-2019 - 00:00,12.09,27.59,235.86,1.83,78.68,0.65,8.65,2.75,11.39,5.07,0.3,70.18,02-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Jul-2019 - 00:00,13.79,31.03,260.64,2.34,81.29,0.24,5.79,2.15,7.94,5.7,,,03-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Jul-2019 - 00:00,15.36,39.3,270.94,3.42,60.78,0.72,5.17,6.88,12.05,9.52,0.09,17.07,04-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Jul-2019 - 00:00,13.07,35.04,290.33,3.22,71.31,1.79,5.39,1.79,7.18,5.11,0.06,14.11,05-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Jul-2019 - 00:00,12.97,29.24,291.26,3.18,72.69,1.89,4.79,1.71,6.5,5.02,0.2,13.65,06-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Jul-2019 - 00:00,12.49,38.47,292.73,3.67,67.0,1.79,5.69,1.99,7.68,4.14,0.1,14.01,07-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Jul-2019 - 00:00,11.74,38.46,292.11,3.65,65.57,1.89,6.08,2.05,8.13,3.33,0.09,14.86,08-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Jul-2019 - 00:00,12.7,41.62,286.31,3.37,66.18,1.83,6.38,2.22,8.6,3.14,0.11,14.2,09-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Jul-2019 - 00:00,12.18,37.17,284.5,3.22,62.05,1.88,5.77,2.11,7.87,3.52,0.2,14.85,10-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Jul-2019 - 00:00,8.9,28.86,292.2,3.47,66.84,1.75,5.89,1.88,7.76,2.96,0.1,14.34,11-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Jul-2019 - 00:00,8.87,29.89,271.11,3.24,67.57,1.64,8.04,2.28,10.33,3.01,0.25,14.56,12-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Jul-2019 - 00:00,12.08,34.85,281.83,2.35,68.85,1.71,9.32,3.02,12.34,3.63,0.45,12.93,13-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Jul-2019 - 00:00,9.84,28.81,269.31,2.52,63.84,1.73,7.44,2.33,9.77,3.86,0.15,11.83,14-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Jul-2019 - 00:00,12.01,37.13,260.6,2.58,61.82,1.71,6.97,1.66,8.63,3.32,0.13,14.68,15-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Jul-2019 - 00:00,12.26,511.84,261.24,2.47,64.28,1.86,7.15,1.62,8.78,4.14,0.24,13.56,16-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Jul-2019 - 00:00,14.18,49.5,238.92,2.38,58.6,1.77,8.47,1.53,9.99,4.72,0.26,13.61,17-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Jul-2019 - 00:00,17.23,113.07,194.38,2.19,61.59,1.79,12.79,1.91,14.7,3.66,0.46,14.1,18-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Jul-2019 - 00:00,19.94,62.94,187.3,1.72,65.39,1.89,14.32,1.66,15.98,3.94,0.53,15.37,19-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Jul-2019 - 00:00,19.68,136.3,208.1,1.54,77.35,2.08,14.37,1.63,16.0,5.16,0.57,17.71,20-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Jul-2019 - 00:00,13.07,22.79,216.43,1.76,75.16,1.82,10.02,1.02,11.04,5.8,0.37,24.06,21-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Jul-2019 - 00:00,7.27,17.84,253.63,2.05,76.06,1.87,11.07,1.33,12.41,4.95,0.35,13.41,22-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Jul-2019 - 00:00,6.4,14.33,265.17,2.27,73.17,1.95,9.15,1.28,10.43,4.64,0.32,13.47,23-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Jul-2019 - 00:00,7.61,16.74,279.97,2.36,68.52,1.87,7.53,1.33,8.86,5.65,0.27,16.04,24-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Jul-2019 - 00:00,6.75,20.02,286.18,2.64,67.89,1.77,6.11,2.31,8.42,4.45,0.21,13.42,25-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Jul-2019 - 00:00,12.33,38.03,237.42,2.73,63.31,1.64,6.95,2.45,9.4,3.88,0.29,13.31,26-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Jul-2019 - 00:00,12.61,32.79,290.24,2.92,75.14,1.63,4.92,2.02,6.95,3.5,0.21,10.35,27-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Jul-2019 - 00:00,14.26,33.99,276.47,3.16,69.51,1.68,5.55,2.03,7.58,3.67,0.24,13.52,28-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Jul-2019 - 00:00,15.02,36.69,288.51,2.52,76.82,1.82,6.3,2.35,8.65,3.78,0.24,11.67,29-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Jul-2019 - 00:00,10.76,22.56,299.51,2.69,82.08,1.9,6.07,2.37,8.43,7.89,0.29,9.82,30-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Jul-2019 - 00:00,6.59,10.18,296.62,2.82,85.55,3.59,4.63,2.14,6.77,7.42,0.21,10.96,31-Jul-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
31-Jul-2019 - 00:00,8.57,18.0,290.2,3.02,74.91,6.79,4.92,2.62,7.54,6.5,0.22,11.99,01-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Aug-2019 - 00:00,8.99,19.59,287.56,2.8,80.48,6.91,5.34,2.95,8.29,5.75,0.2,9.85,02-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Aug-2019 - 00:00,7.54,15.04,300.71,2.76,85.24,7.0,5.8,3.02,8.82,3.49,0.22,8.1,03-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Aug-2019 - 00:00,7.03,11.57,298.68,2.6,89.24,6.72,6.11,3.25,9.36,2.74,0.18,6.81,04-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Aug-2019 - 00:00,6.08,10.91,296.28,3.42,82.03,6.74,4.66,2.16,6.82,3.87,0.13,11.96,05-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Aug-2019 - 00:00,4.82,8.62,289.9,2.78,83.96,6.88,5.41,2.51,7.93,3.38,0.13,10.27,06-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Aug-2019 - 00:00,6.57,10.78,297.67,3.02,79.45,6.97,4.65,2.55,7.2,2.95,0.13,8.91,07-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Aug-2019 - 00:00,7.4,15.33,289.85,2.97,80.77,7.53,4.59,2.78,7.15,5.37,0.25,7.83,08-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Aug-2019 - 00:00,6.08,11.53,306.76,2.99,83.41,,2.33,5.31,6.09,3.87,0.53,5.71,09-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Aug-2019 - 00:00,7.93,30.37,299.21,4.05,69.03,8.85,4.84,2.01,6.85,4.3,0.42,11.61,10-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Aug-2019 - 00:00,12.55,35.67,297.09,3.31,69.92,25.53,5.21,14.48,16.9,5.88,2.77,12.0,11-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Aug-2019 - 00:00,13.12,39.57,282.27,2.4,69.1,7.38,5.48,2.62,8.1,1.59,,9.84,12-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Aug-2019 - 00:00,15.96,48.67,252.2,1.98,70.84,7.31,7.15,2.57,9.72,2.74,,9.33,13-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Aug-2019 - 00:00,20.0,65.07,241.14,1.79,68.28,7.18,8.81,2.61,11.43,3.3,0.27,11.18,14-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Aug-2019 - 00:00,17.81,50.47,241.64,1.81,70.75,7.0,7.92,3.0,10.92,5.25,1.06,10.87,15-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Aug-2019 - 00:00,15.9,40.17,266.75,1.86,71.65,7.04,6.6,2.2,8.8,4.75,,11.29,16-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Aug-2019 - 00:00,14.21,44.94,264.71,2.06,68.23,7.09,6.59,2.42,9.0,6.23,0.4,11.29,17-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Aug-2019 - 00:00,17.62,62.14,214.21,1.91,63.97,6.89,8.44,3.21,11.65,3.91,0.52,8.58,18-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Aug-2019 - 00:00,18.63,59.23,193.29,1.7,63.08,6.48,15.87,4.77,20.65,4.06,0.44,10.18,19-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Aug-2019 - 00:00,20.95,69.15,172.33,1.45,64.93,6.57,21.87,9.38,31.24,5.9,0.64,8.69,20-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Aug-2019 - 00:00,24.11,78.34,127.42,1.83,62.65,6.54,23.31,9.6,32.44,7.18,0.69,12.75,21-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Aug-2019 - 00:00,18.89,65.29,158.43,2.15,65.9,6.41,19.47,6.89,24.88,6.62,0.57,14.25,22-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Aug-2019 - 00:00,14.33,42.33,194.07,2.0,75.51,6.53,18.29,10.49,24.73,5.61,0.55,9.79,23-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Aug-2019 - 00:00,13.47,35.95,227.58,2.14,72.93,6.38,15.96,4.41,17.93,7.18,0.46,13.78,24-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Aug-2019 - 00:00,12.89,31.75,247.55,2.19,72.74,6.35,14.46,1.55,14.65,5.96,0.38,12.12,25-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Aug-2019 - 00:00,13.39,37.82,258.73,2.23,65.34,6.24,14.78,1.31,14.18,5.98,0.4,14.38,26-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Aug-2019 - 00:00,12.86,43.01,280.55,2.6,60.85,6.19,12.37,0.8,10.81,4.94,0.36,17.08,27-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Aug-2019 - 00:00,15.71,57.54,280.82,2.6,58.95,6.12,12.86,0.78,11.31,4.28,0.37,16.58,28-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Aug-2019 - 00:00,424.25,51.1,275.7,2.25,62.11,6.12,14.09,0.61,12.71,3.88,0.38,16.67,29-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Aug-2019 - 00:00,608.59,47.03,258.25,2.08,60.22,6.26,10.61,2.38,10.84,5.46,0.4,15.45,30-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Aug-2019 - 00:00,7.15,29.9,256.91,2.43,67.15,6.16,7.06,2.09,9.15,5.82,0.37,13.08,31-Aug-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
31-Aug-2019 - 00:00,11.86,25.47,276.15,1.91,86.66,6.31,8.93,2.82,11.76,4.87,0.35,8.42,01-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Sep-2019 - 00:00,8.27,14.79,272.05,2.15,85.47,6.26,8.95,2.77,11.72,6.44,0.37,8.99,02-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Sep-2019 - 00:00,10.72,19.53,262.13,1.84,82.63,6.15,9.27,3.37,12.65,6.36,0.34,10.61,03-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Sep-2019 - 00:00,9.91,20.97,276.71,2.25,77.59,6.13,8.52,2.89,11.42,5.45,0.35,10.69,04-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Sep-2019 - 00:00,7.93,14.69,294.04,2.46,75.52,6.2,7.51,2.67,10.19,5.33,0.34,9.94,05-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Sep-2019 - 00:00,8.43,20.78,290.55,3.11,69.66,6.07,6.1,1.33,7.44,5.27,0.31,13.18,06-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Sep-2019 - 00:00,8.43,20.37,296.29,2.97,76.68,6.12,6.29,1.71,8.01,4.39,0.3,9.24,07-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Sep-2019 - 00:00,8.62,19.54,296.38,2.7,77.46,6.12,7.63,2.45,10.08,3.95,0.31,9.26,08-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Sep-2019 - 00:00,9.38,19.74,295.41,2.8,74.94,6.05,6.33,1.74,8.07,4.69,0.3,9.77,09-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Sep-2019 - 00:00,11.15,29.4,274.46,2.62,73.51,6.1,9.31,3.75,13.06,5.71,0.39,8.98,10-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Sep-2019 - 00:00,11.32,29.65,291.16,2.63,72.42,6.04,6.83,1.98,8.81,5.04,0.29,10.25,11-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Sep-2019 - 00:00,16.06,49.59,276.45,2.51,69.54,5.99,7.26,2.24,9.5,5.2,0.35,10.92,12-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Sep-2019 - 00:00,18.57,44.14,246.86,2.04,76.83,6.27,18.06,12.94,31.01,4.36,0.64,9.19,13-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Sep-2019 - 00:00,13.41,32.19,261.89,2.11,73.48,5.87,10.43,3.77,14.2,6.74,0.38,9.28,14-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Sep-2019 - 00:00,13.9,31.18,263.49,1.85,72.12,5.95,10.96,2.92,13.88,6.06,0.38,10.85,15-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Sep-2019 - 00:00,14.08,33.63,241.8,1.77,74.18,5.83,13.14,4.36,17.49,5.69,0.4,12.64,16-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Sep-2019 - 00:00,16.04,43.72,197.72,1.7,74.28,6.02,19.53,8.09,27.62,4.81,0.5,12.78,17-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Sep-2019 - 00:00,18.71,45.19,182.41,1.62,74.81,6.16,19.34,8.76,28.1,5.98,0.63,13.07,18-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Sep-2019 - 00:00,17.52,22.79,230.11,1.36,91.02,6.08,15.55,5.95,21.5,5.57,0.51,9.28,19-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Sep-2019 - 00:00,19.1,31.16,235.8,1.38,84.15,6.02,17.54,6.96,24.51,7.96,0.56,13.79,20-Sep-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
