from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,WD,WS,VWS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
18-Jan-2019 - 00:00,25.83,710.53,79.85,157.27,0.0,56.26,77.02,29.05,110.65,0.3,-0.54,3.27,33.38,1.55,0.9,19.91,9.0,79.03,49.35,33.69,2.37,19-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
19-Jan-2019 - 00:00,27.0,711.32,80.16,169.55,0.0,49.62,93.53,29.24,109.46,0.44,-0.67,3.75,19.4,1.61,1.02,20.51,10.44,86.32,54.39,33.51,4.15,20-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
20-Jan-2019 - 00:00,25.23,711.38,76.06,168.23,0.0,55.46,72.26,29.17,86.55,0.3,-0.68,3.81,45.69,2.07,1.05,19.7,12.54,87.56,56.78,28.33,3.09,21-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
21-Jan-2019 - 00:00,25.45,710.75,72.61,135.85,0.0,57.83,75.49,29.2,158.24,0.3,-0.59,2.18,13.75,1.32,0.78,20.06,7.35,75.1,45.94,31.37,1.81,22-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
22-Jan-2019 - 00:00,28.09,710.63,53.38,125.85,0.0,39.29,136.56,29.64,216.77,0.3,-0.51,1.73,18.93,1.23,0.47,14.88,4.31,66.46,38.85,34.53,1.45,23-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
23-Jan-2019 - 00:00,26.08,710.51,77.95,124.74,0.0,59.65,70.85,28.98,150.09,0.35,-0.54,2.31,17.97,1.15,0.66,18.8,5.1,68.73,40.7,38.87,1.16,24-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
24-Jan-2019 - 00:00,27.46,710.61,71.67,134.05,0.0,56.17,80.77,29.11,126.94,0.32,-0.55,2.01,12.12,0.99,0.79,18.63,8.24,75.75,46.98,31.77,2.08,25-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
25-Jan-2019 - 00:00,27.23,710.15,47.26,96.67,0.0,56.48,73.63,28.78,190.26,0.31,-0.51,1.46,11.43,0.81,0.59,16.07,6.75,64.32,39.7,28.97,1.55,26-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
26-Jan-2019 - 00:00,25.88,710.48,48.57,79.35,0.66,68.99,33.55,28.81,153.04,0.32,-0.55,2.03,12.56,0.85,0.66,15.97,7.9,63.19,40.05,25.85,1.37,27-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
27-Jan-2019 - 00:00,23.49,711.39,61.22,76.67,0.16,81.33,9.9,28.69,71.83,0.78,-0.72,1.71,10.95,0.92,0.73,16.57,16.45,66.28,48.63,17.19,1.38,28-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
28-Jan-2019 - 00:00,23.31,712.04,77.09,127.87,0.0,74.74,22.93,28.59,77.57,0.75,-0.81,2.03,12.66,1.05,0.85,17.27,15.51,71.74,50.77,21.29,3.11,29-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
29-Jan-2019 - 00:00,21.58,712.04,80.63,159.8,0.0,76.5,57.02,28.41,95.3,0.37,-0.83,2.43,12.9,0.93,0.97,16.74,21.4,77.22,58.47,20.52,2.01,30-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
30-Jan-2019 - 00:00,26.43,721.96,53.21,142.52,0.18,40.07,159.93,29.21,113.75,0.3,-0.71,1.96,16.54,1.42,0.89,14.64,10.18,92.34,57.38,39.68,5.04,31-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
31-Jan-2019 - 00:00,25.32,719.61,71.24,142.75,0.5,56.59,108.51,28.65,126.78,0.31,-1.18,2.28,11.68,0.72,0.91,18.34,13.57,87.88,57.77,28.43,3.09,01-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
01-Feb-2019 - 00:00,25.92,723.69,73.47,125.53,0.21,60.54,83.91,28.76,131.64,0.38,-0.98,1.57,8.9,0.56,0.76,17.88,10.09,79.3,50.39,31.67,1.78,02-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
02-Feb-2019 - 00:00,26.24,715.42,69.75,132.11,0.0,55.11,102.49,28.78,99.15,0.3,-1.15,1.55,8.95,0.77,0.85,16.3,9.62,82.61,51.76,29.95,2.11,03-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
03-Feb-2019 - 00:00,26.26,711.69,70.61,128.71,0.21,58.18,96.69,28.94,112.89,0.32,-0.99,1.4,7.94,0.87,0.78,16.21,8.83,80.32,49.89,31.24,1.55,04-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
04-Feb-2019 - 00:00,26.26,718.83,69.74,134.0,0.0,59.34,94.93,28.9,111.22,0.33,-1.14,1.68,9.74,0.88,0.81,16.5,6.44,78.64,47.08,34.2,1.68,05-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
05-Feb-2019 - 00:00,26.87,722.71,75.51,133.12,0.73,53.59,96.23,28.87,115.46,0.3,-0.8,2.24,13.01,0.93,0.83,15.03,7.24,80.09,48.48,33.3,2.23,06-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
06-Feb-2019 - 00:00,26.77,717.0,74.83,136.32,0.21,56.9,95.61,29.09,104.93,0.3,-0.55,1.88,12.99,0.83,0.81,15.54,7.5,71.31,42.12,36.02,2.04,07-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
07-Feb-2019 - 00:00,28.0,735.11,59.68,124.0,0.62,54.19,102.2,29.15,167.01,0.3,-0.75,1.38,8.76,0.67,0.66,10.51,4.23,82.49,45.24,40.45,2.26,08-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
08-Feb-2019 - 00:00,27.4,728.98,70.54,135.23,0.6,57.75,115.86,29.12,223.01,0.3,-0.8,1.67,10.99,0.67,0.82,2.66,11.06,104.97,64.81,38.95,3.71,09-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
09-Feb-2019 - 00:00,24.65,716.48,68.14,155.95,0.0,58.95,54.12,29.3,123.64,0.29,-0.31,3.48,28.5,1.57,1.41,2.6,30.72,130.59,94.4,24.88,2.58,10-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
11-Feb-2019 - 00:00,30.93,762.23,73.69,136.35,2.59,63.29,236.69,30.37,117.23,9.4,-2.16,1.39,7.55,0.92,0.81,3.45,6.03,121.9,69.74,31.47,1.61,12-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
12-Feb-2019 - 00:00,28.83,757.39,77.01,133.65,2.21,63.33,184.68,28.64,119.32,3.61,4.57,1.52,8.18,1.0,0.82,3.13,7.87,116.14,68.18,28.41,1.6,13-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
13-Feb-2019 - 00:00,27.26,719.45,74.19,144.38,0.21,55.99,110.99,28.31,112.38,1.09,16.51,1.75,10.19,1.04,0.83,3.07,8.33,121.88,71.61,30.07,1.89,14-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
14-Feb-2019 - 00:00,27.58,710.5,73.73,148.5,0.29,52.24,78.64,28.51,120.79,1.04,7.85,1.75,9.58,0.84,0.89,4.0,24.77,124.71,86.53,45.22,1.81,15-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
15-Feb-2019 - 00:00,27.91,709.91,49.26,98.07,0.0,50.2,84.4,28.83,198.4,1.13,0.61,1.13,9.33,0.74,0.65,,5.82,103.87,59.98,27.2,1.51,16-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
16-Feb-2019 - 00:00,27.0,709.93,62.89,109.68,0.01,60.04,81.0,28.47,204.98,0.5,0.38,1.55,19.49,0.84,0.8,3.5,19.05,117.0,72.94,38.72,1.94,17-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
17-Feb-2019 - 00:00,27.81,709.44,51.92,87.92,0.0,56.29,88.46,27.97,158.46,0.94,0.64,0.98,7.31,0.62,0.58,,12.39,123.56,75.8,30.29,0.78,18-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
18-Feb-2019 - 00:00,28.06,709.0,73.29,139.27,0.0,54.9,86.31,29.13,110.57,1.02,0.63,1.23,7.21,0.67,0.83,4.55,45.53,129.0,101.65,46.89,2.45,19-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
19-Feb-2019 - 00:00,28.63,709.46,66.12,122.82,0.0,55.86,81.84,28.15,127.97,1.24,0.63,0.85,4.61,0.51,0.71,5.85,11.05,89.68,56.75,29.65,1.63,20-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
20-Feb-2019 - 00:00,28.08,710.85,46.03,91.2,0.0,57.03,88.06,28.13,127.97,1.54,0.62,0.88,4.53,0.42,0.55,4.91,11.97,77.84,51.22,24.72,1.52,21-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
21-Feb-2019 - 00:00,28.47,711.65,53.94,114.66,0.0,49.4,90.8,28.29,152.99,1.27,0.6,1.26,6.02,0.67,0.75,5.3,13.13,79.79,53.19,26.78,2.55,22-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
22-Feb-2019 - 00:00,28.87,710.68,59.18,121.9,0.0,46.76,90.1,28.1,158.73,0.91,0.63,1.3,8.29,0.7,0.91,5.3,12.41,82.14,53.85,27.79,2.19,23-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
23-Feb-2019 - 00:00,29.03,709.74,67.3,130.42,0.0,47.62,84.05,30.71,136.15,0.6,0.56,2.14,19.33,3.47,0.83,6.95,11.16,94.3,59.32,34.11,2.59,24-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
24-Feb-2019 - 00:00,29.14,708.93,,109.21,0.0,43.68,89.68,28.17,224.8,0.75,0.66,1.75,12.97,0.8,0.63,5.79,8.55,74.83,46.83,34.16,1.89,25-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
25-Feb-2019 - 00:00,29.08,708.41,53.94,118.56,0.0,40.22,86.76,28.3,219.8,0.98,0.65,0.83,6.29,0.44,0.52,6.22,5.23,74.34,43.88,39.59,2.76,26-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
26-Feb-2019 - 00:00,28.63,708.05,65.54,137.89,0.0,48.23,85.11,28.22,154.94,0.85,0.68,1.32,9.48,0.71,0.69,7.77,10.7,85.54,54.28,40.37,3.01,27-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
27-Feb-2019 - 00:00,27.88,707.98,65.51,117.44,0.0,59.73,74.38,28.37,130.97,1.01,0.69,0.96,6.02,0.5,0.66,7.95,10.83,83.0,53.03,39.27,2.51,28-Feb-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
28-Feb-2019 - 00:00,28.04,708.61,60.2,127.18,0.0,51.32,87.43,29.07,130.81,1.05,0.64,1.78,12.17,1.03,0.62,6.79,10.37,75.5,48.67,38.7,2.83,01-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
01-Mar-2019 - 00:00,28.01,708.83,66.22,130.33,0.0,56.72,74.93,29.28,110.82,1.39,0.63,1.49,9.57,0.99,0.67,7.24,10.35,81.37,51.78,30.99,2.68,02-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
02-Mar-2019 - 00:00,28.05,709.43,44.04,82.67,0.0,59.42,82.07,29.76,142.35,1.73,0.62,1.56,10.25,1.1,0.53,6.3,9.07,68.2,43.74,27.13,1.27,03-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
03-Mar-2019 - 00:00,28.71,708.88,44.56,80.83,0.0,55.36,78.47,29.91,180.7,1.09,0.61,1.58,14.57,1.01,0.53,6.22,9.32,63.82,41.61,28.87,1.56,04-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
04-Mar-2019 - 00:00,29.28,707.95,51.03,100.25,0.0,52.07,89.78,29.81,203.99,0.96,0.64,1.73,15.33,1.14,0.55,6.53,8.74,62.2,40.26,35.43,1.9,05-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
05-Mar-2019 - 00:00,28.71,707.83,64.76,141.61,0.0,50.84,90.33,29.71,187.14,0.61,0.61,2.24,21.35,1.2,0.61,6.78,8.48,61.37,39.62,32.42,1.9,06-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
06-Mar-2019 - 00:00,27.87,708.31,68.93,158.4,0.0,44.61,93.55,29.66,157.26,0.54,0.63,3.48,31.62,1.36,0.76,7.81,10.32,67.97,44.64,37.29,2.43,07-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
07-Mar-2019 - 00:00,27.66,708.38,76.93,165.61,0.0,44.92,90.78,30.03,132.71,0.62,0.63,3.98,53.66,1.3,1.05,9.05,12.0,81.55,53.21,40.06,3.88,08-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
08-Mar-2019 - 00:00,28.8,709.31,77.29,160.41,0.0,49.79,85.94,29.96,105.43,0.95,0.61,2.91,21.91,1.88,0.85,10.01,11.8,82.71,53.69,33.72,2.74,09-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
09-Mar-2019 - 00:00,29.61,709.61,61.23,119.8,0.0,53.31,88.11,30.26,167.88,1.02,0.56,2.74,18.47,1.71,0.69,9.56,11.54,70.27,46.83,29.97,1.89,10-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
10-Mar-2019 - 00:00,29.78,709.57,53.09,110.0,0.0,53.2,74.58,30.03,138.99,1.02,0.61,2.15,16.05,1.32,0.59,8.76,10.85,63.47,42.67,30.65,1.71,11-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
11-Mar-2019 - 00:00,29.9,709.85,49.28,109.81,0.0,51.31,84.59,29.99,162.14,1.38,0.61,2.39,16.78,1.48,0.65,8.73,10.26,61.77,41.28,28.41,1.84,12-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
12-Mar-2019 - 00:00,29.99,709.89,52.15,111.94,0.0,48.65,84.8,29.61,155.32,1.13,0.62,2.65,19.02,1.24,0.59,9.11,8.37,60.49,39.06,30.93,1.84,13-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
13-Mar-2019 - 00:00,30.1,709.95,55.56,123.64,0.0,40.38,89.0,29.7,205.89,1.28,0.59,2.85,20.54,1.99,0.59,10.12,6.47,65.29,40.07,32.56,2.47,14-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
14-Mar-2019 - 00:00,30.81,709.96,52.04,110.25,0.0,37.21,108.16,29.51,238.07,1.16,0.59,2.11,16.88,1.58,0.54,10.29,5.89,65.68,39.84,35.65,2.04,15-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
15-Mar-2019 - 00:00,30.2,710.04,57.69,128.19,0.0,37.8,91.49,29.82,176.3,1.27,0.58,2.25,15.84,1.61,0.6,11.35,7.56,67.25,42.0,35.56,2.3,16-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
16-Mar-2019 - 00:00,29.63,709.99,46.77,126.34,0.0,38.05,93.12,29.78,184.41,1.41,0.58,2.5,17.12,1.75,0.6,13.17,8.38,70.35,44.32,31.75,2.4,17-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
17-Mar-2019 - 00:00,29.36,709.99,37.62,108.31,0.0,46.2,93.8,29.34,158.12,1.41,0.61,3.0,16.34,1.5,0.65,13.81,9.78,68.16,44.29,31.11,1.33,18-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
18-Mar-2019 - 00:00,28.66,709.68,44.9,112.45,0.0,46.51,92.57,29.15,139.43,1.33,0.62,2.62,17.57,1.12,0.68,12.64,7.13,66.61,41.3,35.25,1.93,19-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
19-Mar-2019 - 00:00,29.38,708.77,36.65,84.81,0.0,52.07,89.23,29.75,176.81,1.23,0.63,2.07,18.07,1.18,0.58,13.3,7.74,60.44,38.52,34.14,2.27,20-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
20-Mar-2019 - 00:00,29.46,708.5,45.37,109.61,0.0,54.78,77.55,29.72,156.82,1.7,0.65,2.65,17.79,1.2,0.64,14.19,7.22,61.6,38.72,32.51,1.91,21-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
21-Mar-2019 - 00:00,29.75,709.02,44.55,97.14,0.0,51.94,85.8,29.3,170.83,1.48,0.64,1.72,14.8,1.07,0.57,12.74,5.86,57.41,35.39,35.52,1.49,22-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
22-Mar-2019 - 00:00,30.04,709.47,45.26,94.61,0.0,49.83,87.21,29.88,143.84,1.15,0.61,1.89,15.12,1.54,0.62,12.38,6.88,57.71,36.38,37.89,1.95,23-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
23-Mar-2019 - 00:00,30.61,709.21,56.05,119.93,0.0,49.06,88.27,29.88,130.28,1.13,0.61,2.77,19.58,1.73,0.83,13.79,9.37,64.76,42.14,34.42,2.57,24-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
24-Mar-2019 - 00:00,30.72,709.02,56.49,130.9,0.0,47.4,88.22,29.57,109.5,1.08,0.64,2.64,20.52,1.46,0.78,14.12,7.51,65.12,40.83,34.8,2.26,25-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
25-Mar-2019 - 00:00,30.67,709.1,65.6,127.28,0.0,45.51,91.25,30.19,109.09,1.26,0.61,2.48,19.9,2.9,0.78,13.99,9.96,66.93,43.76,33.77,2.93,26-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
26-Mar-2019 - 00:00,30.57,709.38,68.32,132.45,0.0,47.53,80.2,30.56,163.43,0.84,0.6,3.63,30.37,3.32,0.88,16.46,12.06,64.21,44.03,32.89,2.11,27-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
27-Mar-2019 - 00:00,31.15,709.93,58.88,115.8,0.0,44.08,89.86,33.96,167.38,0.91,0.46,2.52,24.02,7.01,0.66,20.29,9.23,58.66,38.79,35.44,2.11,28-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
28-Mar-2019 - 00:00,31.06,709.48,70.44,139.92,0.0,43.9,88.68,30.58,127.75,0.92,0.58,2.89,24.55,2.84,0.81,16.53,7.0,59.06,37.19,39.72,2.66,29-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
29-Mar-2019 - 00:00,31.02,708.79,71.36,151.08,0.0,42.42,89.92,29.77,97.01,0.95,0.61,3.26,24.97,1.76,0.92,19.1,8.93,70.3,44.72,38.28,3.29,30-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
30-Mar-2019 - 00:00,26.8,708.55,75.69,135.67,0.0,62.0,26.58,29.28,112.29,0.42,0.68,3.56,32.66,1.95,0.95,21.0,12.08,63.57,43.64,21.64,1.28,31-Mar-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
01-Apr-2019 - 00:00,31.67,707.9,67.42,158.15,0.0,38.6,7.2,29.64,182.23,0.68,0.62,3.43,23.08,1.12,0.0,19.22,14.31,55.32,37.12,23.89,3.86,02-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
02-Apr-2019 - 00:00,31.81,708.03,43.27,122.13,0.0,40.72,94.61,30.38,161.52,1.09,0.61,2.64,22.4,1.55,0.37,22.56,11.41,50.84,36.4,34.41,2.63,03-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
03-Apr-2019 - 00:00,30.59,708.39,56.0,120.39,0.0,50.54,84.03,29.97,123.04,1.42,0.66,2.66,19.96,1.23,0.75,17.93,13.67,54.74,40.31,34.6,2.93,04-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
04-Apr-2019 - 00:00,30.54,709.05,46.75,102.46,0.0,48.04,88.04,29.82,181.18,1.19,0.65,2.65,20.57,1.49,0.61,16.55,13.77,47.37,36.48,31.86,1.89,05-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
05-Apr-2019 - 00:00,30.36,709.38,39.7,79.26,0.01,42.88,81.83,30.12,232.67,0.85,0.62,1.45,16.19,1.55,0.45,16.21,4.98,44.07,27.58,42.67,1.74,06-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
06-Apr-2019 - 00:00,28.42,708.92,56.58,88.36,0.0,54.41,87.38,30.01,252.44,0.65,0.6,2.58,40.16,1.75,0.68,19.43,16.84,49.67,40.2,30.8,1.97,07-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
07-Apr-2019 - 00:00,30.15,708.39,44.56,89.01,0.0,50.24,90.89,30.08,212.55,1.2,0.61,1.62,19.8,1.5,0.54,19.81,9.59,45.3,31.97,37.68,1.46,08-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
08-Apr-2019 - 00:00,29.79,707.99,46.64,106.19,0.0,47.08,87.93,29.86,205.3,1.06,0.62,2.85,24.12,1.53,0.78,18.5,14.26,52.09,39.37,30.77,2.49,09-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
09-Apr-2019 - 00:00,29.27,708.23,52.4,109.22,0.0,52.84,66.78,29.67,207.98,0.61,0.63,3.22,34.68,1.3,0.79,18.9,17.78,51.19,41.76,28.35,2.03,10-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
10-Apr-2019 - 00:00,29.9,708.71,48.33,117.7,0.0,49.67,89.12,29.87,188.02,0.64,0.62,3.01,39.34,1.56,0.74,18.22,16.43,52.64,41.44,32.23,1.88,11-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
11-Apr-2019 - 00:00,30.07,708.0,49.77,93.85,0.0,44.5,18.02,30.39,185.29,0.68,0.6,2.07,26.78,1.29,0.62,15.65,14.14,50.44,38.33,34.0,1.74,12-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
12-Apr-2019 - 00:00,30.55,708.39,51.49,102.5,0.0,45.78,101.88,30.04,165.76,1.2,0.61,2.34,21.85,1.7,0.63,15.22,10.34,51.27,35.76,34.58,1.77,13-Apr-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
