from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,WD,WS,VWS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,22.69,712.98,75.49,167.05,0.0,53.81,79.62,28.66,69.59,0.3,-0.9,5.07,49.21,2.21,1.66,16.35,38.71,90.96,79.86,27.45,6.28,02-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
02-Jan-2019 - 00:00,23.67,712.83,76.54,164.77,0.0,53.84,78.45,28.86,102.8,0.3,-0.87,1.9,15.63,0.91,1.44,18.52,37.78,89.13,76.36,34.88,4.2,03-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
03-Jan-2019 - 00:00,23.91,713.02,79.34,175.71,0.0,58.01,68.81,28.55,126.81,0.3,-0.93,3.65,44.01,2.03,1.4,22.56,20.39,102.27,70.98,39.22,4.42,04-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
04-Jan-2019 - 00:00,24.45,712.75,78.15,172.9,0.0,57.49,74.8,28.78,71.59,0.31,-0.87,3.54,17.16,1.61,1.29,22.33,23.93,100.77,73.07,33.67,3.94,05-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
05-Jan-2019 - 00:00,25.2,712.03,79.0,154.83,0.0,57.01,73.94,28.9,135.88,0.36,-0.76,1.74,7.71,0.98,0.96,21.63,15.13,84.52,57.25,43.79,6.14,06-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
06-Jan-2019 - 00:00,25.02,711.29,81.49,165.17,0.0,61.26,84.59,28.55,137.76,0.33,-0.71,1.49,8.19,0.45,0.89,22.04,15.14,79.23,54.44,41.92,1.94,07-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
07-Jan-2019 - 00:00,26.54,711.23,79.45,170.17,0.0,49.4,105.58,28.91,84.37,0.3,-0.64,2.28,11.44,0.99,1.17,17.68,23.35,100.54,72.44,40.4,3.51,08-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
08-Jan-2019 - 00:00,24.61,711.59,77.93,174.27,0.0,60.51,92.74,28.58,59.66,0.46,-0.73,2.02,10.42,0.65,1.26,21.21,20.5,91.8,65.49,35.93,3.38,09-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
09-Jan-2019 - 00:00,28.39,711.25,82.11,179.53,0.0,36.72,175.19,29.09,98.72,0.3,-0.62,4.56,50.56,1.25,0.85,19.19,7.82,87.43,52.85,63.5,6.21,10-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
10-Jan-2019 - 00:00,26.28,711.1,78.96,177.65,0.0,46.37,108.71,28.94,97.9,0.3,-0.62,4.82,31.13,2.07,1.19,20.92,10.42,104.3,63.97,40.1,5.78,11-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
11-Jan-2019 - 00:00,25.41,710.7,76.82,153.83,0.0,57.35,77.46,29.01,106.23,0.3,-0.55,2.09,12.44,0.9,0.88,23.41,8.16,83.71,51.16,35.27,1.95,12-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
12-Jan-2019 - 00:00,27.0,710.72,81.78,164.2,0.0,54.56,96.38,29.01,109.94,0.38,-0.57,2.03,11.03,0.85,0.95,21.02,6.94,84.35,50.51,38.51,2.42,13-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
13-Jan-2019 - 00:00,25.65,711.0,77.18,142.27,0.0,59.45,66.82,28.94,129.19,0.44,-0.6,2.75,16.27,1.39,0.86,19.31,8.0,80.25,49.19,33.69,2.24,14-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
14-Jan-2019 - 00:00,24.45,710.84,81.3,143.75,0.0,64.66,89.81,29.02,96.72,0.49,-0.6,2.74,18.16,1.49,0.73,20.07,8.09,74.98,46.46,33.32,0.77,15-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
15-Jan-2019 - 00:00,27.59,711.04,75.34,171.23,0.0,47.09,85.59,28.99,98.28,0.5,-0.61,4.05,24.53,2.65,1.06,18.83,6.59,90.23,53.33,35.53,3.28,16-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
16-Jan-2019 - 00:00,25.41,710.99,78.17,167.57,0.0,56.32,66.61,28.82,94.79,0.3,-0.63,4.0,23.1,2.19,0.97,18.76,9.16,81.01,50.54,32.62,2.44,17-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
17-Jan-2019 - 00:00,26.52,710.55,79.92,173.33,0.0,52.75,86.16,28.87,84.8,0.3,-0.52,4.6,70.22,1.89,1.18,19.28,11.86,91.24,58.17,36.51,3.53,18-Jan-2019 - 00:00,"Zoo Park, Hyderabad - TSPCB"
