from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Feb-2019 - 00:00,149.86,392.85,171.86,248.2,82.04,22.17,27.74,2.59,17.91,25.9,87.84,14.33,29.5,34.9,60.37,30.25,0.38,114.75,0.0,05-Feb-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-Feb-2019 - 00:00,154.87,270.49,116.55,157.97,41.43,26.82,51.08,0.96,45.09,18.7,80.43,9.63,18.23,18.96,57.46,125.75,0.5,152.32,0.0,06-Feb-2019 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
