from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,AT,SR,RH,RF,WS,WD,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
