from date,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,Temp,WD,WS,BP,SR,RF,to date,station
26-Jan-2019 - 00:00,2.74,26.38,15.98,51.78,28.44,0.56,72.34,95.56,141.03,0.91,0.64,12.99,31.51,68.53,3.46,741.9,91.82,0.0,27-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
27-Jan-2019 - 00:00,1.09,23.79,13.18,52.53,11.63,0.93,60.59,101.94,135.69,0.83,0.51,10.12,31.79,63.58,3.68,741.72,72.65,0.0,28-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
28-Jan-2019 - 00:00,1.15,32.48,18.17,52.33,12.05,1.74,78.79,78.24,137.33,0.77,0.63,14.23,30.86,72.64,4.11,741.64,112.48,0.0,29-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
29-Jan-2019 - 00:00,1.47,33.51,18.9,61.99,9.39,0.88,57.86,106.34,154.94,0.92,0.83,11.23,31.28,62.08,3.12,741.33,71.58,0.0,30-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
30-Jan-2019 - 00:00,15.89,46.52,37.38,70.48,20.42,0.91,47.17,145.06,216.2,1.36,1.92,12.44,31.48,59.08,1.95,741.18,58.76,0.0,31-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
31-Jan-2019 - 00:00,14.88,39.67,32.93,74.22,16.79,0.95,55.48,158.7,240.35,1.77,0.91,13.99,31.84,58.11,3.16,741.03,50.53,0.0,01-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
01-Feb-2019 - 00:00,1.11,29.69,16.49,78.2,7.46,0.95,65.49,176.64,219.68,1.66,0.98,15.57,32.19,59.57,4.07,741.18,55.88,0.0,02-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Feb-2019 - 00:00,1.42,24.32,13.69,71.92,,0.73,38.43,159.27,210.56,1.25,0.8,11.51,31.86,56.52,3.89,741.01,45.97,0.0,03-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Feb-2019 - 00:00,1.05,20.47,11.56,60.61,2.31,0.58,44.46,92.91,131.58,1.05,0.66,12.63,32.1,62.08,3.5,741.34,66.5,0.0,04-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Feb-2019 - 00:00,10.58,38.33,28.97,74.51,11.01,1.0,69.17,141.67,204.96,1.61,1.59,16.75,30.7,65.97,1.7,741.43,94.12,0.0,05-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Feb-2019 - 00:00,28.49,55.96,52.93,72.98,20.26,1.34,59.31,204.72,293.83,2.14,1.85,16.54,32.07,60.01,1.34,741.14,62.19,0.0,06-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
