from date,PM2.5,PM10,RH,SR,Temp,BP,WD,VWS,WS,RF,CO,Ozone,NO2,NO,NOx,NH3,SO2,Benzene,Toluene,Xylene,to date,station
01-Jan-2019 - 00:00,64.05,143.57,44.61,162.26,29.78,711.95,85.56,-0.28,0.99,0.0,0.91,56.77,91.31,6.6,53.94,19.58,35.91,8.82,22.65,6.41,02-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
02-Jan-2019 - 00:00,67.49,145.06,47.16,160.1,30.39,711.41,104.97,-0.29,0.91,0.0,0.94,61.55,98.88,8.02,59.11,20.56,15.34,7.85,18.06,8.12,03-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
03-Jan-2019 - 00:00,66.56,143.57,52.18,156.34,30.86,710.96,126.86,-0.27,0.94,0.0,0.92,58.86,89.36,9.81,55.51,23.23,10.97,7.55,19.2,9.13,04-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
04-Jan-2019 - 00:00,70.6,143.47,55.38,152.88,30.87,710.78,103.53,-0.29,1.52,0.0,0.71,69.72,75.01,4.23,43.34,25.4,15.89,5.96,14.0,6.15,05-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
05-Jan-2019 - 00:00,69.2,138.41,58.28,154.59,30.83,710.76,116.17,-0.28,1.67,0.0,0.69,78.56,57.71,2.92,33.08,22.96,7.1,5.24,10.04,3.88,06-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
06-Jan-2019 - 00:00,74.82,151.53,62.54,147.56,30.67,710.82,112.45,-0.28,1.77,0.0,0.66,87.77,44.02,2.82,25.71,26.24,7.46,4.92,11.11,2.39,07-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
07-Jan-2019 - 00:00,76.33,159.76,58.36,146.86,30.76,710.67,89.32,-0.28,1.25,0.0,0.84,73.98,65.94,8.2,41.74,22.53,5.98,6.35,11.12,5.14,08-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
08-Jan-2019 - 00:00,71.88,169.0,54.59,149.46,30.86,711.09,111.7,-0.27,0.97,0.0,0.93,50.82,81.54,6.87,48.96,28.24,12.08,8.98,24.39,7.72,09-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
09-Jan-2019 - 00:00,74.82,170.12,45.93,153.65,31.24,711.33,45.94,-0.29,0.82,0.0,1.03,51.06,110.99,19.15,74.61,23.83,23.83,8.99,33.86,8.87,10-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
10-Jan-2019 - 00:00,73.55,155.78,49.16,151.53,31.85,711.43,94.79,-0.3,1.31,0.0,0.82,68.05,85.12,3.97,48.5,23.43,22.28,6.57,15.86,6.5,11-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
