from date,PM2.5,PM10,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
