from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NOx,NO,CO,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,12.44,996.45,276.16,469.16,72.12,103.56,239.77,0.52,,5.5,68.77,62.55,52.35,75.74,58.65,1.8,23.5,9.89,02-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
02-Jan-2019 - 00:00,14.41,996.83,350.55,589.98,68.35,91.81,151.48,0.74,,7.79,121.48,72.36,83.39,111.4,82.21,2.33,15.81,12.06,03-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
03-Jan-2019 - 00:00,12.47,997.68,317.19,456.01,81.79,102.84,299.63,0.77,,6.7,38.79,72.01,40.67,40.62,23.31,1.68,13.67,10.16,04-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
04-Jan-2019 - 00:00,11.48,996.69,231.07,375.8,86.42,66.43,250.26,0.73,,5.09,75.65,59.81,27.59,46.61,39.11,1.67,8.25,9.44,05-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
05-Jan-2019 - 00:00,13.73,995.16,254.68,411.7,70.74,92.59,105.39,1.29,,6.47,85.89,61.16,52.47,59.23,38.4,1.63,9.31,12.99,06-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
06-Jan-2019 - 00:00,14.5,994.58,154.81,246.38,73.46,101.19,195.49,1.14,,3.35,136.42,59.17,25.58,19.45,7.63,1.07,17.24,11.45,07-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
07-Jan-2019 - 00:00,12.72,996.2,174.96,267.85,82.68,114.66,301.19,0.93,,3.92,73.31,55.06,31.02,37.28,25.52,1.2,9.31,16.37,08-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
08-Jan-2019 - 00:00,12.8,994.24,143.48,224.45,79.48,121.86,311.9,0.97,,2.76,11.25,50.85,25.68,24.66,13.52,1.01,11.72,11.94,09-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
09-Jan-2019 - 00:00,12.71,993.48,132.83,220.32,72.25,137.75,318.64,1.18,,3.03,30.61,46.13,27.4,24.87,12.65,1.08,16.54,13.02,10-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
10-Jan-2019 - 00:00,12.74,993.27,181.23,281.85,71.73,131.92,287.39,0.75,,4.01,39.02,45.4,35.99,60.71,51.02,1.43,17.99,17.27,11-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
11-Jan-2019 - 00:00,12.59,995.02,269.27,455.03,72.84,112.39,156.67,0.53,,6.52,172.76,51.79,60.56,169.58,168.6,2.32,14.13,15.45,12-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
12-Jan-2019 - 00:00,14.36,994.06,343.49,547.78,68.33,97.46,152.12,0.61,,8.29,151.93,61.1,95.29,150.66,121.81,2.27,9.99,17.92,13-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
13-Jan-2019 - 00:00,16.12,995.98,241.9,398.94,68.34,94.31,233.09,1.07,,5.0,123.69,61.16,34.54,38.84,25.15,1.33,14.81,16.38,14-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
14-Jan-2019 - 00:00,12.35,995.53,93.25,164.04,62.65,144.1,315.6,1.41,,1.86,11.02,41.42,18.53,16.61,8.28,0.88,15.19,12.59,15-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
15-Jan-2019 - 00:00,10.49,994.53,139.31,207.62,69.98,97.21,300.4,0.94,,2.83,11.54,41.28,27.33,31.91,21.26,1.08,12.9,13.97,16-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
16-Jan-2019 - 00:00,11.79,994.71,287.1,468.27,68.23,95.42,140.13,0.68,,7.28,95.54,50.28,62.58,158.34,153.19,2.1,14.36,19.51,17-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
17-Jan-2019 - 00:00,13.05,993.5,319.67,472.06,69.44,114.65,260.22,0.76,,6.81,138.82,56.38,48.89,87.87,76.02,1.65,16.19,24.73,18-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
18-Jan-2019 - 00:00,11.76,993.79,218.17,326.4,81.77,116.98,302.76,0.74,,4.63,31.09,49.99,38.35,38.29,21.97,1.42,11.55,13.03,19-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
19-Jan-2019 - 00:00,14.25,993.59,245.58,411.31,70.86,133.9,261.3,0.52,,5.49,59.58,47.12,49.94,101.56,92.07,1.95,16.69,21.36,20-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
20-Jan-2019 - 00:00,17.42,992.68,270.35,483.04,65.51,114.49,166.82,0.54,,7.8,176.86,52.41,81.4,158.61,141.29,2.21,17.91,20.03,21-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
21-Jan-2019 - 00:00,16.87,989.85,182.92,373.0,73.78,60.98,113.94,2.0,,5.21,48.98,54.09,50.73,62.47,43.66,1.27,10.56,17.0,22-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
22-Jan-2019 - 00:00,14.53,990.78,45.85,80.58,88.72,43.41,100.96,1.43,,1.94,65.77,39.06,28.02,29.19,17.59,0.84,11.26,8.68,23-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
23-Jan-2019 - 00:00,13.5,994.04,111.39,187.73,82.83,124.05,258.59,0.68,,3.15,106.35,38.77,28.1,47.65,40.07,1.19,8.03,16.46,24-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
24-Jan-2019 - 00:00,15.71,996.17,110.51,228.68,70.88,112.63,148.22,1.26,,2.65,242.15,47.27,20.44,19.76,10.89,0.93,14.57,17.81,25-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
25-Jan-2019 - 00:00,13.94,996.23,79.92,149.53,74.43,118.14,248.16,1.29,,1.65,153.04,47.63,19.8,15.89,6.6,0.8,12.03,18.4,26-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
26-Jan-2019 - 00:00,11.66,998.65,98.22,154.98,70.41,158.1,307.72,1.18,,1.74,15.29,43.64,12.29,8.83,4.89,0.77,11.81,14.46,27-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
27-Jan-2019 - 00:00,10.4,998.61,137.32,206.98,70.83,128.79,318.67,1.31,,2.23,35.05,45.17,17.38,15.25,7.42,0.87,8.44,16.82,28-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
28-Jan-2019 - 00:00,11.01,998.26,136.29,206.04,65.93,157.69,317.93,1.3,,2.21,27.03,45.09,22.76,21.19,11.45,0.97,8.99,16.38,29-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
29-Jan-2019 - 00:00,11.74,996.74,149.46,224.46,64.49,158.95,318.14,1.14,,2.56,48.2,47.25,27.12,27.07,15.54,1.05,7.9,20.79,30-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
30-Jan-2019 - 00:00,13.09,995.55,215.62,338.24,61.79,120.36,306.58,0.79,,3.42,78.35,52.43,42.79,66.37,51.92,1.05,9.04,34.12,31-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
31-Jan-2019 - 00:00,15.08,994.5,182.06,322.24,60.41,98.24,117.5,1.83,,5.38,100.97,63.7,58.61,68.54,45.73,1.13,10.48,14.91,01-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
01-Feb-2019 - 00:00,14.76,995.1,186.4,274.7,76.94,92.83,221.0,1.18,,4.4,21.49,58.43,38.05,36.07,19.41,1.72,48.41,12.31,02-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
02-Feb-2019 - 00:00,12.04,995.23,151.6,230.9,89.68,77.54,312.36,1.15,,3.32,12.36,42.84,11.96,10.28,4.8,1.61,57.43,8.65,03-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
03-Feb-2019 - 00:00,13.14,996.23,101.72,170.27,88.95,95.47,310.74,0.83,,3.05,24.46,37.89,16.6,14.5,6.91,1.68,53.44,9.34,04-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
