from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NOx,NO,CO,Ozone,SO2,to date,station
04-Feb-2019 - 00:00,13.52,996.76,126.43,223.05,81.02,133.29,288.75,0.64,,5.2,52.68,32.92,39.98,50.48,35.9,1.99,35.74,13.37,05-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
05-Feb-2019 - 00:00,16.53,994.22,210.56,407.06,73.12,116.86,123.94,0.84,,6.55,135.12,44.2,76.31,140.82,123.05,2.41,60.26,19.84,06-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
06-Feb-2019 - 00:00,18.32,989.08,219.26,370.99,78.76,104.04,117.06,1.33,,7.69,66.03,61.78,73.48,98.1,75.73,2.14,39.88,16.07,07-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
07-Feb-2019 - 00:00,16.17,987.19,62.27,127.98,87.14,27.05,150.8,1.92,,2.19,52.06,41.22,44.72,39.18,19.63,1.59,30.42,8.33,08-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
08-Feb-2019 - 00:00,13.62,993.05,71.04,149.5,72.97,161.06,275.18,1.1,,1.93,66.21,34.97,42.59,33.71,13.52,1.5,31.07,14.61,09-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
09-Feb-2019 - 00:00,12.99,995.1,75.93,145.69,74.35,167.8,313.93,1.24,,1.74,17.06,31.84,39.65,25.09,4.94,1.63,37.69,11.47,10-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
10-Feb-2019 - 00:00,13.6,996.59,132.22,229.49,73.6,126.07,296.57,0.76,,2.92,25.54,37.92,52.67,38.74,13.13,1.79,34.17,15.71,11-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
11-Feb-2019 - 00:00,14.51,997.07,123.04,229.5,70.32,143.83,279.67,0.71,,3.01,69.65,39.74,55.82,49.52,24.3,1.84,40.23,22.02,12-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
12-Feb-2019 - 00:00,16.35,997.18,157.0,284.53,70.16,119.3,220.84,0.61,,3.67,102.59,48.52,68.21,54.57,22.43,1.93,44.42,19.85,13-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
13-Feb-2019 - 00:00,17.82,996.19,210.24,403.68,72.42,105.66,156.22,0.58,,6.64,107.04,59.68,112.4,118.17,71.9,2.56,46.83,16.84,14-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
14-Feb-2019 - 00:00,16.71,991.93,174.66,275.02,82.47,40.93,124.53,1.34,,6.12,68.86,55.37,82.2,92.3,59.71,1.87,27.19,12.2,15-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
15-Feb-2019 - 00:00,16.1,992.43,123.28,187.82,84.61,101.83,206.32,1.08,,3.21,86.46,44.48,42.0,34.38,14.83,1.66,27.6,13.5,16-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
16-Feb-2019 - 00:00,15.1,993.78,96.79,157.66,88.22,83.82,309.4,1.12,,2.66,41.09,29.99,29.93,18.64,3.33,1.59,25.63,5.65,17-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
17-Feb-2019 - 00:00,15.49,990.58,85.91,153.09,78.94,153.64,311.14,1.13,,2.39,21.91,27.54,39.62,24.3,3.95,1.71,40.62,7.8,18-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
18-Feb-2019 - 00:00,18.09,986.04,96.64,206.2,62.77,119.45,125.26,1.26,,3.15,71.51,36.88,72.17,60.26,26.8,1.72,32.28,13.99,19-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
19-Feb-2019 - 00:00,17.71,989.46,152.66,288.35,78.48,116.73,149.28,0.73,,4.34,93.89,50.94,71.25,70.19,39.02,2.62,40.33,13.47,20-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
20-Feb-2019 - 00:00,17.83,994.29,98.32,181.28,83.1,45.07,94.21,1.2,,3.49,150.96,47.2,53.12,48.95,25.47,1.68,18.5,12.04,21-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
21-Feb-2019 - 00:00,20.4,992.92,74.28,207.46,69.54,145.25,121.17,1.23,,3.7,90.44,42.04,62.61,70.39,45.52,2.04,28.07,15.89,22-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
22-Feb-2019 - 00:00,17.77,993.4,64.77,128.73,77.37,137.05,318.33,1.62,,1.69,25.75,38.27,28.41,18.2,3.79,1.22,31.24,7.91,23-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
23-Feb-2019 - 00:00,15.15,991.69,54.6,108.97,69.86,188.96,309.55,1.38,,1.44,7.72,27.99,34.71,21.62,3.41,1.33,43.3,10.35,24-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
24-Feb-2019 - 00:00,16.78,988.52,94.69,179.67,63.24,182.07,276.0,0.97,,2.27,72.64,32.57,43.91,27.45,5.02,1.59,49.31,14.76,25-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
25-Feb-2019 - 00:00,16.55,987.84,82.58,196.52,65.19,156.37,135.34,0.94,,2.65,119.28,37.24,59.1,67.2,43.82,1.46,51.95,10.74,26-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
26-Feb-2019 - 00:00,15.31,988.11,60.02,158.98,67.95,100.07,96.29,1.13,,2.56,134.83,40.42,62.07,65.3,39.62,1.35,30.25,15.01,27-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
27-Feb-2019 - 00:00,13.03,988.44,55.39,135.55,80.84,91.81,109.55,1.25,,2.05,175.31,38.36,43.01,31.34,10.34,1.49,24.17,13.24,28-Feb-2019 - 00:00,"Narela, Delhi - DPCC"
28-Feb-2019 - 00:00,14.51,991.9,80.19,175.98,69.13,185.54,297.44,1.14,,2.56,63.55,34.59,47.04,39.42,17.66,1.52,33.96,11.02,01-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
01-Mar-2019 - 00:00,16.08,992.19,72.46,161.16,62.56,190.69,308.14,1.09,,2.03,94.73,33.43,47.73,31.9,8.01,1.62,40.66,11.01,02-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
02-Mar-2019 - 00:00,14.61,992.63,109.15,211.09,84.08,29.96,168.94,0.76,,4.33,103.88,38.99,70.27,56.94,23.98,1.9,10.43,16.84,03-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
03-Mar-2019 - 00:00,16.89,989.47,59.17,126.21,81.74,147.09,94.79,1.05,,2.46,106.71,34.65,51.13,37.81,13.0,1.74,35.88,12.57,04-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
04-Mar-2019 - 00:00,17.7,986.5,63.69,140.79,82.15,160.01,284.74,1.07,,2.39,63.41,36.22,39.5,33.6,15.47,1.51,13.13,12.42,05-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
05-Mar-2019 - 00:00,16.77,987.53,59.29,148.56,76.58,183.79,311.22,1.17,,1.74,11.01,30.0,41.07,26.98,6.28,1.54,31.97,11.66,06-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
06-Mar-2019 - 00:00,17.85,988.5,61.19,151.23,66.52,196.02,306.98,1.13,,2.09,41.09,29.93,43.92,31.5,9.99,1.66,40.32,14.65,07-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
07-Mar-2019 - 00:00,19.0,988.89,89.08,216.03,59.8,192.25,256.57,0.92,,2.68,66.03,34.54,53.94,40.65,14.91,1.74,46.25,20.6,08-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
08-Mar-2019 - 00:00,19.68,990.6,84.42,229.2,59.14,159.48,160.42,1.16,,2.75,167.15,41.63,50.41,43.73,20.79,1.44,46.68,22.27,09-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
09-Mar-2019 - 00:00,19.07,990.61,55.54,149.34,60.62,185.27,301.44,1.49,,2.43,108.11,40.16,38.63,24.41,4.76,1.5,40.9,14.63,10-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
10-Mar-2019 - 00:00,19.42,990.8,74.97,188.32,53.35,207.82,264.82,1.05,,3.3,53.05,32.62,44.75,32.02,10.07,1.72,54.94,19.8,11-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
11-Mar-2019 - 00:00,21.03,990.27,82.65,231.24,54.27,138.08,127.41,1.78,,4.5,67.4,38.97,64.34,45.0,13.24,1.55,51.77,18.33,12-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
12-Mar-2019 - 00:00,21.09,992.47,58.74,153.44,53.48,157.24,146.82,1.57,,2.39,183.95,41.87,38.19,22.08,2.16,1.46,51.58,14.92,13-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
13-Mar-2019 - 00:00,19.44,992.78,82.28,249.92,55.74,87.11,148.41,1.03,,2.85,170.4,47.06,59.79,39.8,9.78,1.86,46.68,28.34,14-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
14-Mar-2019 - 00:00,17.08,993.62,100.42,233.68,73.18,98.83,212.32,1.41,,3.75,175.86,49.54,52.33,47.37,23.91,1.71,25.78,17.38,15-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
15-Mar-2019 - 00:00,18.04,994.86,63.36,128.67,69.17,197.84,317.56,1.38,,1.9,66.57,39.2,34.79,23.29,5.85,1.18,40.41,16.05,16-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
16-Mar-2019 - 00:00,19.2,993.17,70.3,139.89,60.89,192.9,295.34,1.31,,1.56,31.3,32.81,36.58,21.1,2.01,1.13,53.57,15.39,17-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
17-Mar-2019 - 00:00,20.85,991.33,88.69,172.51,55.03,195.13,287.75,1.07,,2.4,58.15,34.4,42.19,25.17,3.35,0.96,27.34,21.3,18-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
18-Mar-2019 - 00:00,20.69,990.89,100.79,203.03,59.92,196.44,297.61,0.96,,2.39,45.75,35.01,46.59,32.04,8.9,1.18,70.14,23.64,19-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
19-Mar-2019 - 00:00,22.78,987.34,91.5,202.4,53.67,195.93,245.77,0.97,,3.2,84.0,34.52,50.36,40.63,17.03,1.58,49.19,20.42,20-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
20-Mar-2019 - 00:00,25.39,985.77,101.51,272.02,45.8,159.11,167.18,1.23,,6.03,99.83,40.76,62.57,61.42,34.5,2.33,52.84,21.2,21-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
21-Mar-2019 - 00:00,24.79,989.28,90.45,178.36,48.02,184.49,167.82,1.32,,3.31,59.15,45.99,29.19,16.27,1.09,1.95,55.08,20.14,22-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
22-Mar-2019 - 00:00,22.46,991.15,36.42,109.96,44.67,209.75,325.67,1.86,,1.21,25.45,33.22,27.77,16.1,1.19,0.74,62.54,14.37,23-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
23-Mar-2019 - 00:00,22.03,990.38,52.52,125.62,50.8,202.59,319.32,1.94,,1.43,26.14,30.46,26.55,15.06,1.17,1.0,68.61,15.66,24-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
24-Mar-2019 - 00:00,23.34,988.8,43.75,124.4,51.94,192.84,309.81,1.69,,1.41,99.31,30.29,28.19,16.7,2.09,1.16,48.28,16.79,25-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
25-Mar-2019 - 00:00,22.08,989.26,71.19,160.21,62.63,179.29,287.55,1.63,,2.49,83.8,33.49,31.89,18.73,2.17,1.03,37.05,19.46,26-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
26-Mar-2019 - 00:00,22.21,990.51,81.72,167.7,60.69,199.25,311.64,1.62,,2.21,39.88,34.0,44.09,27.19,4.59,2.17,47.29,25.16,27-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
27-Mar-2019 - 00:00,23.56,991.07,92.54,190.68,52.89,176.3,291.92,1.19,,2.51,43.37,31.0,48.77,34.14,10.08,1.02,52.5,30.74,28-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
28-Mar-2019 - 00:00,25.78,988.96,125.08,275.22,53.13,187.32,278.7,0.79,,4.27,74.49,34.03,57.33,49.69,23.59,1.46,51.46,37.42,29-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
29-Mar-2019 - 00:00,27.91,985.95,88.93,223.41,54.87,181.62,259.06,0.91,,3.28,148.69,38.36,50.39,40.34,16.62,1.46,44.38,20.89,30-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
30-Mar-2019 - 00:00,29.41,984.89,98.93,259.68,51.0,175.75,195.97,1.07,,3.98,165.47,48.32,48.48,40.09,17.57,1.37,60.05,23.58,31-Mar-2019 - 00:00,"Narela, Delhi - DPCC"
31-Mar-2019 - 00:00,26.73,985.62,54.33,171.56,44.53,205.07,312.41,1.91,,1.93,45.73,38.83,28.98,16.48,1.34,1.21,60.04,21.69,01-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
01-Apr-2019 - 00:00,18.76,984.59,71.62,197.07,64.59,13.32,172.55,9.61,,1.57,32.05,31.32,28.21,16.37,2.06,1.24,21.11,9.7,02-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
02-Apr-2019 - 00:00,29.78,985.96,110.96,255.98,27.73,188.01,217.14,7.18,,2.56,72.5,44.56,32.42,29.08,14.52,1.34,57.46,15.68,03-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
03-Apr-2019 - 00:00,27.41,985.42,110.85,309.29,40.48,257.38,257.39,1.13,,3.19,101.52,41.27,50.77,45.65,22.86,1.43,65.14,35.4,04-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
04-Apr-2019 - 00:00,28.88,986.12,126.77,351.81,43.68,226.3,202.45,0.79,,4.84,116.23,42.87,67.03,83.21,58.32,1.43,58.3,32.84,05-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
05-Apr-2019 - 00:00,27.86,985.27,138.7,364.39,48.86,139.76,232.34,0.68,,4.37,63.98,47.38,75.84,83.88,53.51,1.52,30.24,33.46,06-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
06-Apr-2019 - 00:00,31.28,984.04,105.85,368.19,38.33,217.81,192.23,1.08,,3.44,96.87,43.91,50.67,40.46,16.61,1.57,52.46,30.63,07-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
07-Apr-2019 - 00:00,28.81,983.28,193.42,425.75,57.66,170.05,131.49,1.7,,5.72,72.26,62.27,52.4,39.49,14.27,1.3,41.41,30.11,08-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
08-Apr-2019 - 00:00,27.24,984.37,111.9,370.31,52.44,203.29,120.34,1.1,,3.52,159.89,50.16,52.27,42.51,17.93,1.43,53.39,20.09,09-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
09-Apr-2019 - 00:00,29.13,984.28,125.96,287.46,44.81,274.18,91.18,1.02,,6.27,146.41,50.31,48.32,45.28,23.99,1.28,77.12,34.21,10-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
10-Apr-2019 - 00:00,31.75,978.47,58.83,209.05,29.7,39.33,199.22,4.78,,1.55,164.35,44.12,49.38,29.46,4.13,1.75,57.81,18.15,11-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
11-Apr-2019 - 00:00,31.93,984.7,80.6,265.06,33.78,216.9,240.99,1.15,,2.33,201.61,49.22,49.83,42.16,19.23,1.77,55.13,26.34,12-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
12-Apr-2019 - 00:00,30.71,985.5,55.42,233.19,34.93,199.83,177.35,1.53,,1.82,200.75,46.69,35.57,21.03,2.6,1.65,67.18,20.37,13-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
13-Apr-2019 - 00:00,31.34,985.97,60.25,231.06,32.09,225.2,194.95,1.89,,1.79,215.6,46.05,40.0,25.54,5.23,1.37,55.54,23.55,14-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
14-Apr-2019 - 00:00,31.13,985.66,53.04,201.67,34.04,223.51,285.58,1.87,,1.38,131.05,36.75,27.64,17.13,2.97,1.44,55.99,23.79,15-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
15-Apr-2019 - 00:00,32.99,983.62,63.21,215.62,29.5,233.0,275.56,1.56,,2.54,112.22,40.91,42.96,67.9,7.74,1.76,49.87,39.04,16-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
16-Apr-2019 - 00:00,25.39,987.13,56.17,159.43,53.44,113.38,175.18,2.39,,1.27,35.94,34.5,166.75,123.06,20.99,1.51,56.72,8.09,17-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
17-Apr-2019 - 00:00,22.79,988.36,29.75,82.69,63.08,153.61,144.98,1.63,,1.5,29.97,31.45,36.94,26.31,8.18,1.52,53.62,9.69,18-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
18-Apr-2019 - 00:00,24.24,988.95,39.83,103.89,57.03,217.52,195.93,0.97,,1.74,81.04,31.83,36.37,23.0,4.48,1.66,67.93,12.18,19-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
19-Apr-2019 - 00:00,26.19,986.26,58.88,139.06,44.9,218.42,297.41,0.87,,1.5,37.17,33.39,40.13,24.39,4.04,1.65,66.47,25.01,20-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
20-Apr-2019 - 00:00,27.99,983.81,94.65,192.22,39.15,224.59,252.41,0.53,,2.04,18.16,32.32,48.32,30.07,5.36,1.62,79.18,32.42,21-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
21-Apr-2019 - 00:00,30.5,982.11,111.3,256.45,34.11,213.09,259.39,0.84,,2.73,59.71,31.11,54.51,43.06,17.26,1.61,74.61,33.57,22-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
22-Apr-2019 - 00:00,31.77,982.24,107.19,289.2,35.29,214.72,206.64,0.92,,3.57,130.33,35.53,59.71,52.29,25.28,1.68,71.25,34.53,23-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
23-Apr-2019 - 00:00,33.52,983.1,110.77,328.77,32.23,218.39,229.39,1.0,,3.28,102.46,36.18,58.76,60.62,35.97,1.8,73.63,32.1,24-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
24-Apr-2019 - 00:00,34.23,984.33,111.7,369.05,37.45,190.58,107.44,1.28,,4.44,95.39,36.09,55.8,36.3,8.11,2.0,74.22,28.09,25-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
25-Apr-2019 - 00:00,32.96,984.27,85.29,309.54,41.05,180.97,117.8,1.36,,3.07,126.55,36.49,51.53,37.23,12.09,1.79,73.12,20.99,26-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
26-Apr-2019 - 00:00,33.3,983.71,85.27,307.33,29.37,208.02,270.86,1.24,,2.21,122.68,26.45,51.42,34.61,8.89,1.68,60.16,29.29,27-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
27-Apr-2019 - 00:00,34.13,982.86,65.0,359.84,20.01,243.44,300.35,2.16,,2.67,88.87,19.89,34.7,20.97,3.09,1.4,69.9,23.13,28-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
28-Apr-2019 - 00:00,34.58,981.63,69.2,346.17,15.5,273.8,308.31,2.05,,1.94,161.24,15.8,34.92,21.1,3.1,1.47,71.05,19.49,29-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
29-Apr-2019 - 00:00,34.86,980.83,92.78,360.96,15.72,267.19,278.13,1.3,,2.78,151.93,16.09,52.71,42.54,17.8,1.57,67.37,28.06,30-Apr-2019 - 00:00,"Narela, Delhi - DPCC"
30-Apr-2019 - 00:00,35.38,978.3,105.24,363.14,16.78,237.39,150.15,1.26,,4.92,136.45,16.09,77.71,63.83,27.69,1.81,75.15,29.18,01-May-2019 - 00:00,"Narela, Delhi - DPCC"
