from date,AT,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
22-May-2019 - 00:00,35.83,736.17,233.0,84.0,0.0,39.17,64.0,28.89,75.33,1.7,0.65,2.33,1.54,1.72,68.0,1.95,50.47,14.22,69.67,50.72,23-May-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
23-May-2019 - 00:00,40.03,735.14,304.29,102.32,0.0,29.98,180.98,26.95,108.0,1.94,0.66,3.44,2.82,1.25,48.64,3.41,29.92,17.03,157.42,33.18,24-May-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
24-May-2019 - 00:00,34.22,736.82,191.89,54.62,0.0,44.34,192.71,25.24,94.76,2.56,0.34,2.08,1.53,1.35,47.38,2.35,21.23,10.7,91.81,15.54,25-May-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
25-May-2019 - 00:00,37.1,735.97,181.08,35.85,0.0,31.4,317.17,25.49,80.83,3.96,0.29,2.13,1.75,1.13,32.53,2.47,13.51,8.48,117.66,14.69,26-May-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
26-May-2019 - 00:00,36.8,735.15,148.39,40.86,0.0,31.78,167.7,24.97,71.83,2.56,0.42,2.5,2.43,1.14,30.07,2.54,35.55,20.85,145.12,17.36,27-May-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
27-May-2019 - 00:00,34.6,734.73,211.76,84.22,0.0,37.6,147.26,25.03,87.35,2.29,0.62,2.33,1.94,1.08,33.2,4.22,31.38,18.49,118.12,36.75,28-May-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
28-May-2019 - 00:00,38.61,734.58,211.33,71.53,0.0,22.27,214.2,25.18,65.4,2.46,0.61,3.15,2.44,1.9,32.31,2.64,47.84,24.14,118.84,40.06,29-May-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
29-May-2019 - 00:00,36.05,733.05,262.43,108.81,0.0,28.82,111.45,26.04,109.87,1.43,0.82,3.41,3.13,1.47,38.02,3.83,55.91,28.31,37.01,41.21,30-May-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
30-May-2019 - 00:00,37.64,731.94,299.0,126.09,0.0,34.92,120.24,29.15,181.14,1.24,1.19,4.98,4.91,1.89,77.19,4.02,103.21,57.82,84.5,43.19,31-May-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
31-May-2019 - 00:00,35.35,732.82,267.64,114.43,0.0,47.34,131.88,25.99,237.38,1.84,0.82,2.74,2.36,1.79,56.33,3.47,33.02,19.56,94.05,20.37,01-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
01-Jun-2019 - 00:00,37.27,733.05,278.5,69.62,0.0,48.39,157.97,25.06,257.24,1.97,0.36,2.51,3.08,1.48,61.31,2.03,18.16,6.4,66.75,24.99,02-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Jun-2019 - 00:00,34.56,732.62,260.09,67.12,0.0,47.25,10.92,24.5,202.67,2.04,0.44,2.67,3.01,0.99,56.52,2.86,16.68,11.19,101.3,12.34,03-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Jun-2019 - 00:00,33.26,735.12,167.25,47.15,0.0,50.53,124.68,25.59,242.12,2.37,0.38,2.09,2.37,1.39,41.56,3.9,17.34,9.98,92.98,19.3,04-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Jun-2019 - 00:00,38.57,733.78,133.0,28.0,0.0,40.33,206.83,25.53,171.5,1.57,0.19,1.13,1.05,0.88,31.78,0.97,12.6,2.24,105.85,37.85,05-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Jun-2019 - 00:00,40.41,732.83,152.38,49.88,0.0,39.23,183.68,30.24,132.6,1.61,0.41,1.59,1.35,1.46,61.97,2.48,16.88,9.16,121.42,27.97,06-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
