from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,RH,SR,WS,WD,to date,station
26-Apr-2019 - 00:00,98.39,271.95,53.38,52.54,62.36,98.94,7.69,1.15,15.61,9.33,1.39,6.46,14.38,13.6,24.28,457.29,3.24,260.55,27-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Apr-2019 - 00:00,129.58,451.8,53.97,44.43,58.29,100.02,8.37,1.04,11.72,7.82,1.45,5.28,10.81,9.99,18.72,497.09,4.19,306.19,28-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Apr-2019 - 00:00,113.53,366.84,48.0,30.98,47.49,71.63,8.91,0.95,9.38,6.79,1.32,4.43,8.77,8.12,15.12,510.63,4.01,309.65,29-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Apr-2019 - 00:00,123.23,312.16,56.25,58.93,67.51,110.18,9.47,1.26,10.39,9.53,1.45,8.91,19.21,20.82,15.19,481.92,3.49,248.46,30-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Apr-2019 - 00:00,124.92,383.54,50.37,64.76,67.26,129.39,9.56,1.41,23.29,11.75,1.44,7.41,15.53,16.58,17.8,450.24,7.56,141.75,01-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-May-2019 - 00:00,126.39,377.19,47.03,20.72,41.33,71.75,7.65,1.28,37.51,9.11,0.97,5.07,10.86,11.86,23.11,421.47,3.2,135.33,02-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-May-2019 - 00:00,86.03,305.73,32.63,17.1,30.94,56.94,5.92,0.94,32.85,5.41,0.64,3.0,6.29,7.09,31.12,381.84,5.22,84.63,03-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-May-2019 - 00:00,118.22,295.39,35.53,23.3,36.03,62.09,4.49,0.93,24.87,4.11,0.69,3.32,6.99,6.55,31.84,400.68,2.19,95.41,04-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-May-2019 - 00:00,99.45,278.35,51.32,36.33,52.34,84.8,7.89,1.14,15.27,7.66,1.21,6.0,13.25,14.7,20.96,481.35,1.96,281.2,05-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-May-2019 - 00:00,98.39,361.58,52.59,49.73,60.37,93.28,8.15,1.28,12.4,8.77,1.08,5.77,11.03,10.92,14.95,503.64,2.35,277.04,06-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-May-2019 - 00:00,105.24,381.69,59.22,87.83,84.98,134.15,8.11,1.55,10.39,10.05,1.36,8.13,16.45,16.01,14.33,469.13,2.78,245.97,07-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-May-2019 - 00:00,138.69,563.57,55.99,142.39,113.43,202.04,9.82,1.73,11.25,12.64,2.16,11.98,25.08,26.71,16.31,462.87,2.54,241.2,08-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-May-2019 - 00:00,153.55,537.8,52.01,113.96,95.98,184.44,10.19,1.52,12.27,9.85,8.18,9.53,20.19,22.91,17.65,462.72,2.84,266.21,09-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-May-2019 - 00:00,203.42,527.22,46.47,46.06,55.31,67.45,9.45,1.33,15.58,5.5,9.11,5.38,13.74,10.42,16.77,440.97,2.89,273.89,10-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-May-2019 - 00:00,133.56,325.93,34.02,18.74,31.87,38.2,4.96,1.06,17.77,3.51,1.08,3.21,7.83,5.21,16.54,476.52,2.35,269.36,11-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-May-2019 - 00:00,168.09,423.94,40.5,19.05,36.06,38.36,6.18,1.34,22.39,6.45,1.72,4.59,11.07,7.36,25.41,455.28,1.93,265.67,12-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-May-2019 - 00:00,202.61,431.58,39.61,17.08,34.37,37.89,4.51,1.32,22.4,5.78,1.47,4.19,9.81,5.96,26.38,407.42,2.76,279.98,13-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-May-2019 - 00:00,143.29,314.25,40.41,20.95,37.1,41.63,5.35,1.38,30.8,6.4,1.2,3.6,8.02,5.21,33.38,290.0,2.46,188.8,14-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-May-2019 - 00:00,74.58,169.85,39.53,20.05,36.04,44.07,3.65,1.36,44.56,4.9,1.78,3.24,7.52,5.01,45.34,438.78,2.27,187.84,15-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-May-2019 - 00:00,53.66,127.43,32.5,16.22,29.47,33.5,1.94,0.93,29.78,4.81,1.31,5.34,10.79,4.9,39.47,483.0,2.57,92.49,16-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-May-2019 - 00:00,112.29,263.18,8.63,16.82,15.88,19.29,3.29,1.12,19.14,4.98,1.43,4.92,11.34,6.39,34.38,419.53,1.88,152.48,17-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-May-2019 - 00:00,107.64,267.87,18.01,16.03,19.83,21.65,3.27,1.09,21.5,3.43,1.21,2.97,7.2,4.71,49.37,482.03,1.76,190.4,18-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-May-2019 - 00:00,41.01,127.98,40.0,32.7,43.84,47.62,2.5,1.31,25.42,4.81,1.83,4.43,11.04,7.5,60.3,404.62,2.04,268.23,19-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-May-2019 - 00:00,51.31,201.91,46.07,29.84,45.65,44.62,3.2,1.4,29.74,5.83,1.44,4.57,10.47,5.56,34.52,538.88,2.15,299.97,20-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-May-2019 - 00:00,87.78,296.87,54.0,59.98,67.99,74.41,4.64,1.61,20.37,9.22,1.87,6.62,16.45,10.46,29.2,462.36,2.03,262.06,21-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-May-2019 - 00:00,93.15,275.11,48.09,29.06,46.52,53.72,4.84,1.19,19.95,6.28,1.59,4.56,12.17,7.9,26.6,427.94,1.91,292.66,22-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-May-2019 - 00:00,97.58,286.87,47.34,36.15,50.15,53.83,5.01,1.16,15.91,7.01,1.8,6.1,15.81,10.97,32.68,275.32,1.64,244.62,23-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-May-2019 - 00:00,95.94,293.98,39.77,35.87,45.29,52.57,5.23,1.09,25.92,7.45,2.35,5.54,14.97,11.75,31.21,429.23,1.6,198.31,24-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-May-2019 - 00:00,72.13,212.76,34.98,20.17,33.43,31.74,3.41,1.02,22.2,6.19,2.01,4.68,11.88,8.62,37.85,513.34,1.94,210.44,25-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-May-2019 - 00:00,77.15,220.42,37.97,15.5,32.45,32.71,4.3,1.32,26.0,4.75,1.82,3.75,7.89,4.81,35.94,464.79,3.06,308.33,26-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-May-2019 - 00:00,64.13,173.43,41.87,17.46,36.0,35.42,4.89,0.96,22.83,5.56,1.6,4.02,10.42,5.64,26.82,509.86,2.18,290.19,27-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-May-2019 - 00:00,90.54,208.45,49.76,30.6,48.45,49.88,5.71,1.09,16.3,7.47,1.99,5.69,15.2,7.98,21.65,470.29,1.89,278.59,28-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-May-2019 - 00:00,97.17,277.84,56.83,45.43,61.36,62.42,6.82,1.12,12.36,9.14,2.58,6.68,17.31,9.89,15.2,477.53,2.87,293.3,29-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-May-2019 - 00:00,99.25,304.81,55.95,66.32,72.85,72.04,8.12,1.47,7.91,10.15,3.3,9.77,27.35,19.64,19.19,451.83,1.78,250.25,30-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-May-2019 - 00:00,131.85,382.56,56.21,102.47,93.82,111.75,8.64,1.57,9.61,13.27,3.48,12.0,31.0,19.8,17.34,478.36,3.61,250.48,31-May-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
31-May-2019 - 00:00,105.33,371.87,42.57,30.7,44.05,63.23,6.01,1.01,17.62,7.26,1.65,6.12,16.68,9.19,17.6,438.44,10.62,194.04,01-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Jun-2019 - 00:00,105.74,288.67,28.18,14.72,25.98,32.21,5.09,1.07,23.05,7.61,1.14,3.68,9.47,5.78,32.21,438.93,11.58,97.95,02-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Jun-2019 - 00:00,77.77,228.78,13.53,10.3,14.32,16.1,2.2,0.99,23.12,4.51,0.42,1.64,4.07,1.53,44.14,405.36,8.22,82.89,03-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Jun-2019 - 00:00,87.96,307.79,13.46,10.31,14.27,13.65,2.37,0.9,28.59,4.09,0.34,1.15,2.97,1.03,45.65,389.94,7.31,91.86,04-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Jun-2019 - 00:00,63.77,176.25,15.09,11.11,15.73,14.38,3.33,0.93,30.62,4.1,0.43,1.54,4.14,1.51,43.49,394.7,8.13,85.8,05-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Jun-2019 - 00:00,84.26,244.45,17.52,12.53,18.07,14.2,5.9,1.02,27.65,5.94,0.62,2.12,5.49,2.45,38.67,437.96,10.12,108.2,06-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Jun-2019 - 00:00,104.66,294.24,24.88,14.81,23.94,20.59,13.52,0.99,22.77,6.6,0.84,2.72,7.49,4.38,32.65,381.09,9.55,164.44,07-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Jun-2019 - 00:00,65.19,161.98,15.24,10.36,15.4,16.11,6.41,0.87,31.05,3.98,0.41,1.24,3.35,1.5,45.35,410.37,9.93,95.32,08-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Jun-2019 - 00:00,86.89,274.15,30.54,13.39,26.64,17.86,7.76,1.19,28.16,7.81,1.41,4.35,11.34,5.41,36.0,451.86,10.1,199.96,09-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Jun-2019 - 00:00,125.05,321.7,42.04,27.43,41.84,41.21,17.69,1.3,28.95,11.54,1.92,5.52,9.69,8.06,26.54,399.86,11.82,122.69,10-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Jun-2019 - 00:00,124.4,352.71,50.34,29.63,48.25,49.17,17.64,1.2,20.17,8.06,1.83,6.0,9.4,4.61,21.53,429.49,9.06,222.57,11-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Jun-2019 - 00:00,224.08,455.81,42.92,40.21,49.74,53.7,19.37,1.11,13.31,8.56,1.8,6.5,18.14,10.93,19.27,387.44,10.56,235.4,12-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Jun-2019 - 00:00,66.04,281.18,20.64,16.6,22.35,30.27,5.09,0.83,23.38,3.69,0.66,1.92,4.23,2.31,39.66,409.5,7.42,103.83,13-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Jun-2019 - 00:00,71.5,233.55,27.02,18.3,27.26,24.26,7.09,0.89,23.06,3.63,0.98,3.04,4.9,2.74,37.84,456.92,6.28,202.47,14-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Jun-2019 - 00:00,78.71,270.74,40.9,26.0,40.31,35.37,15.22,0.97,21.68,6.04,2.07,5.0,14.36,8.17,24.41,482.72,9.45,279.87,15-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Jun-2019 - 00:00,113.86,371.36,41.73,36.41,46.82,54.49,17.32,0.98,17.06,6.32,1.43,6.02,17.25,13.98,21.72,428.76,8.39,266.56,16-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Jun-2019 - 00:00,49.39,221.94,24.82,15.23,24.15,27.94,5.68,0.83,19.15,2.53,0.43,2.27,5.69,4.15,49.68,207.26,7.63,268.1,17-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Jun-2019 - 00:00,66.27,190.4,31.3,28.39,35.74,40.8,7.6,0.9,13.39,4.81,1.01,5.8,7.14,4.81,51.07,103.07,4.87,234.86,18-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Jun-2019 - 00:00,53.96,158.08,29.9,17.3,28.48,26.56,5.95,1.24,22.1,4.78,1.24,4.53,7.56,4.29,52.63,289.33,3.16,202.45,19-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Jun-2019 - 00:00,83.28,235.03,23.66,17.15,24.53,25.76,6.63,0.95,24.16,5.94,1.13,2.63,6.13,3.65,54.18,453.96,2.78,131.29,20-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Jun-2019 - 00:00,75.54,149.82,15.85,12.1,16.79,17.44,6.44,0.87,26.97,3.15,0.46,1.5,2.21,1.13,50.61,458.72,8.45,106.71,21-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Jun-2019 - 00:00,106.93,226.85,25.93,15.01,24.71,17.58,7.5,1.15,22.18,6.77,0.97,4.05,9.41,5.74,48.83,321.34,7.91,148.87,22-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Jun-2019 - 00:00,102.73,216.99,28.44,22.07,30.33,27.27,9.3,0.96,35.75,5.49,1.29,4.07,10.39,7.63,36.49,427.83,12.1,118.42,23-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Jun-2019 - 00:00,58.47,124.82,10.34,10.2,12.28,13.15,2.16,0.83,27.11,2.44,0.21,0.69,1.76,0.68,52.64,468.34,13.14,88.77,24-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Jun-2019 - 00:00,48.55,96.27,9.73,10.98,12.71,11.56,1.73,0.76,23.19,2.32,0.22,0.89,2.35,0.83,64.9,382.72,14.31,76.85,25-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Jun-2019 - 00:00,58.35,110.81,15.15,12.2,18.4,12.02,3.05,0.91,35.71,3.5,0.44,1.79,4.61,2.87,57.18,355.6,12.8,93.78,26-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Jun-2019 - 00:00,117.21,233.69,24.0,13.68,24.74,14.53,8.95,1.03,31.11,6.06,1.07,3.09,7.96,4.89,43.48,399.49,13.8,215.62,27-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Jun-2019 - 00:00,143.27,343.85,31.78,23.75,35.34,26.39,17.74,1.09,29.85,6.39,1.56,5.58,13.1,9.18,39.45,414.05,16.55,264.68,28-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Jun-2019 - 00:00,135.59,363.81,32.36,29.6,39.07,34.47,23.26,0.97,21.75,5.24,1.09,4.54,11.93,9.08,36.02,378.43,17.24,270.64,29-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Jun-2019 - 00:00,127.58,344.78,31.2,27.7,37.27,33.47,20.95,0.97,18.43,3.21,0.8,3.58,7.89,6.81,31.86,487.29,12.97,258.74,30-Jun-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Jun-2019 - 00:00,135.01,472.48,26.76,18.84,29.42,31.36,12.34,0.89,20.91,,,,0.0,0.0,,,10.3,224.82,01-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Jul-2019 - 00:00,87.12,467.03,23.84,15.12,25.46,23.05,9.3,0.9,30.68,4.29,0.65,2.88,4.06,2.15,32.69,481.63,12.41,192.52,02-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Jul-2019 - 00:00,115.7,266.7,20.25,13.45,22.27,20.66,7.86,0.89,33.47,3.63,0.51,1.85,4.76,2.86,45.81,324.6,12.31,144.09,03-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Jul-2019 - 00:00,71.83,168.58,12.14,12.16,16.51,17.43,1.34,0.86,22.71,3.44,0.28,1.05,2.53,0.9,56.28,344.38,11.84,95.9,04-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Jul-2019 - 00:00,77.92,247.39,28.01,36.79,40.52,61.74,3.44,0.89,20.07,4.6,0.4,1.61,2.74,1.18,72.44,202.99,10.12,162.13,05-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Jul-2019 - 00:00,122.08,199.63,22.04,36.18,36.47,53.87,1.64,1.09,15.33,5.21,1.07,3.68,8.95,5.49,84.1,140.46,9.89,183.48,06-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Jul-2019 - 00:00,136.41,242.48,17.59,18.17,23.35,27.89,1.91,0.93,29.01,3.25,0.36,1.35,2.93,1.47,74.59,411.04,10.3,115.53,07-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Jul-2019 - 00:00,51.67,147.38,16.92,13.72,20.38,17.7,0.96,1.41,27.61,3.73,0.39,1.88,4.69,2.29,70.81,328.68,12.49,145.47,08-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Jul-2019 - 00:00,103.33,261.34,19.03,16.18,23.09,21.87,1.74,1.45,36.7,3.51,0.43,2.13,4.91,2.79,67.17,356.59,10.67,168.95,09-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Jul-2019 - 00:00,61.0,273.18,16.55,15.5,20.73,21.61,3.89,1.11,38.96,2.67,0.53,1.79,3.86,2.4,74.41,274.73,11.32,168.66,10-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Jul-2019 - 00:00,95.63,473.45,22.89,17.72,26.34,19.4,2.1,1.32,40.67,3.54,0.48,2.54,6.46,3.59,65.16,324.27,11.97,203.68,11-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Jul-2019 - 00:00,123.1,411.42,37.62,18.22,35.93,14.31,3.86,1.03,43.85,3.31,0.51,2.3,6.11,3.88,55.03,345.0,13.06,211.11,12-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Jul-2019 - 00:00,91.88,460.43,20.16,19.83,27.52,26.7,2.61,1.39,46.55,3.61,0.56,3.38,8.38,5.76,56.23,312.77,13.05,219.46,13-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Jul-2019 - 00:00,78.99,418.58,16.61,14.08,21.26,23.01,3.85,1.06,40.47,2.67,0.5,2.9,6.79,4.81,49.26,388.42,13.38,226.36,14-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Jul-2019 - 00:00,66.87,325.26,13.31,12.56,17.93,24.38,2.51,1.09,47.69,2.21,0.42,1.5,3.7,2.01,52.28,459.26,11.37,190.51,15-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Jul-2019 - 00:00,50.61,157.41,12.93,11.11,16.72,24.9,2.86,0.91,44.11,2.06,0.34,1.27,3.66,1.63,67.98,267.71,11.35,107.52,16-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Jul-2019 - 00:00,30.71,124.21,10.79,10.46,14.78,24.41,1.87,1.02,52.0,1.93,0.23,0.84,2.54,1.04,75.75,303.48,11.88,74.86,17-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Jul-2019 - 00:00,26.81,164.8,15.09,10.52,17.77,30.33,1.44,1.21,53.84,3.56,0.59,2.1,5.67,3.34,74.03,278.47,11.29,182.64,18-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Jul-2019 - 00:00,27.27,167.26,19.43,17.91,25.74,50.98,1.2,1.73,49.06,2.73,4.3,2.24,6.07,3.91,85.93,127.37,9.53,176.37,19-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Jul-2019 - 00:00,35.46,126.76,13.24,16.05,20.14,41.34,1.01,2.08,58.3,2.54,17.66,2.11,5.96,3.37,70.49,461.99,9.78,145.05,20-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Jul-2019 - 00:00,29.6,107.22,12.06,12.4,16.93,39.59,0.94,2.28,61.75,3.76,29.29,3.31,8.75,5.16,72.91,365.12,10.45,112.36,21-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Jul-2019 - 00:00,24.73,89.09,8.87,9.91,13.1,33.11,0.72,2.33,68.05,3.0,24.38,1.98,5.48,2.39,72.43,419.01,10.91,106.21,22-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Jul-2019 - 00:00,25.52,73.43,9.4,12.1,14.84,33.65,0.86,2.43,69.46,3.18,20.08,2.24,6.88,3.62,67.68,411.18,9.89,120.28,23-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Jul-2019 - 00:00,35.01,97.3,12.03,11.41,16.28,35.84,0.84,2.86,71.88,5.32,35.8,4.32,11.54,6.15,66.69,359.14,10.11,125.09,24-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Jul-2019 - 00:00,41.82,130.89,13.14,13.45,18.38,44.53,0.86,2.28,68.26,4.15,29.79,3.81,9.92,6.72,74.36,267.64,8.94,178.86,25-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Jul-2019 - 00:00,16.49,57.21,14.89,13.52,19.68,39.53,0.73,1.95,77.65,2.72,25.39,3.46,10.02,5.78,89.33,111.17,9.47,170.11,26-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Jul-2019 - 00:00,20.7,57.97,9.98,10.54,14.22,37.21,1.32,1.14,78.35,2.17,22.73,2.3,6.69,3.34,90.33,149.91,11.46,87.07,27-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Jul-2019 - 00:00,8.01,41.37,9.79,9.9,13.72,41.17,1.57,0.95,95.79,2.45,25.07,1.85,4.57,1.61,93.27,155.6,14.12,75.85,28-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Jul-2019 - 00:00,13.03,40.13,8.5,9.45,12.51,37.58,2.21,1.04,54.8,1.49,22.96,0.8,2.6,0.65,85.18,392.68,14.74,79.14,29-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Jul-2019 - 00:00,17.04,52.17,9.97,10.49,14.21,39.06,2.05,1.03,33.73,1.77,24.08,1.07,3.37,0.83,77.07,353.1,14.81,76.08,30-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Jul-2019 - 00:00,15.65,63.8,10.27,10.15,14.2,41.6,1.49,1.06,24.04,2.48,24.67,1.42,4.58,1.5,79.94,248.6,14.53,63.42,31-Jul-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
31-Jul-2019 - 00:00,17.54,55.8,13.42,10.01,16.35,50.62,2.11,0.94,57.89,1.88,24.3,0.88,2.93,0.75,75.78,311.9,13.13,74.95,01-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Aug-2019 - 00:00,20.47,58.72,9.14,9.93,13.26,41.31,2.4,1.02,50.05,1.98,23.94,1.05,3.32,0.86,72.81,400.24,12.74,84.85,02-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Aug-2019 - 00:00,19.08,70.49,10.9,10.05,14.58,44.03,3.29,1.23,19.25,2.53,25.21,1.56,4.82,2.16,79.25,269.68,11.86,89.58,03-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Aug-2019 - 00:00,19.45,56.39,12.93,9.75,15.84,48.01,2.73,1.22,45.13,2.57,23.64,1.36,4.3,1.83,86.97,264.86,12.11,70.1,04-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Aug-2019 - 00:00,20.57,63.78,14.58,9.64,16.94,53.01,3.02,1.25,61.63,2.94,28.44,1.57,5.21,2.38,84.19,340.57,11.26,78.46,05-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Aug-2019 - 00:00,18.37,64.8,13.2,9.75,16.02,43.89,2.93,1.49,65.77,2.73,23.09,1.34,4.43,1.29,79.61,388.44,10.39,111.2,06-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Aug-2019 - 00:00,13.92,61.38,12.83,11.65,16.98,45.91,3.04,1.64,57.59,3.18,27.86,2.52,7.7,3.32,91.08,99.44,10.89,113.21,07-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Aug-2019 - 00:00,19.38,79.55,13.14,15.09,19.44,49.29,3.12,1.55,53.55,4.12,37.87,3.5,10.14,5.27,82.07,340.94,11.4,94.37,08-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Aug-2019 - 00:00,15.31,48.95,12.56,9.94,15.7,43.64,5.62,1.2,56.81,2.09,23.76,1.16,4.13,1.3,71.89,439.75,13.08,74.22,09-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Aug-2019 - 00:00,13.1,54.97,13.22,10.92,16.72,47.21,1.43,0.94,43.45,1.2,20.03,0.77,2.42,0.62,70.12,371.57,15.51,71.66,10-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Aug-2019 - 00:00,12.87,37.78,14.01,9.72,16.58,51.92,1.57,0.95,27.76,1.25,21.77,0.93,2.91,0.65,79.17,314.38,14.22,97.57,11-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Aug-2019 - 00:00,11.38,43.66,11.58,10.11,15.12,46.78,1.51,1.15,32.42,1.49,24.0,1.06,3.41,0.86,72.53,424.5,11.8,140.92,12-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Aug-2019 - 00:00,17.36,72.37,14.2,12.55,18.55,49.77,1.39,1.2,31.82,2.61,17.7,2.54,7.56,4.84,72.74,303.94,8.6,248.28,13-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Aug-2019 - 00:00,25.3,88.26,17.31,15.97,22.96,53.39,1.55,1.24,30.57,3.25,0.72,3.4,10.28,6.27,80.35,247.53,2.14,246.54,14-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Aug-2019 - 00:00,25.25,82.88,18.86,16.78,24.6,59.21,1.38,1.65,34.1,5.13,0.9,5.48,16.34,9.66,82.79,311.81,1.99,154.94,15-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
