from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,RH,SR,WS,WD,to date,station
01-Feb-2019 - 00:00,72.87,121.82,42.32,14.44,37.96,15.95,3.91,1.77,18.72,7.77,0.84,3.06,7.02,4.13,68.56,257.67,0.99,164.91,02-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Feb-2019 - 00:00,103.77,173.88,52.75,25.52,56.25,14.07,6.3,1.91,9.11,8.95,0.95,5.27,12.65,9.29,83.85,238.91,1.06,296.84,03-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Feb-2019 - 00:00,93.16,137.51,41.21,22.02,46.15,21.08,4.06,1.57,8.83,7.18,0.74,3.11,7.89,5.61,91.24,291.05,0.9,280.79,04-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Feb-2019 - 00:00,151.14,299.24,79.95,78.32,122.92,17.43,8.84,0.6,11.39,16.01,2.6,15.95,33.93,25.57,53.66,471.95,0.58,211.7,05-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Feb-2019 - 00:00,128.05,202.86,51.82,79.03,94.16,16.86,4.41,2.37,10.98,14.44,2.39,11.65,23.78,17.39,71.84,313.48,0.61,126.13,06-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Feb-2019 - 00:00,31.72,88.9,32.59,4.8,22.44,16.1,4.8,0.52,14.09,5.61,0.46,2.48,4.38,2.02,75.86,305.28,1.18,102.16,07-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Feb-2019 - 00:00,34.98,61.58,24.69,12.07,25.81,17.68,2.97,1.38,10.01,3.57,0.46,1.59,2.92,1.41,88.43,55.21,1.29,135.32,08-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Feb-2019 - 00:00,60.27,175.72,49.36,51.31,90.19,21.76,9.89,3.12,8.86,5.46,0.71,5.61,6.07,4.39,58.14,372.24,0.89,275.7,09-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Feb-2019 - 00:00,109.21,235.98,49.72,41.13,78.86,6.01,7.8,0.61,8.45,8.56,0.99,7.64,15.6,10.14,50.51,445.65,1.17,281.36,10-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Feb-2019 - 00:00,104.33,205.45,40.79,51.05,88.12,11.02,10.48,3.11,6.78,10.54,1.27,7.47,16.68,13.21,61.92,324.75,0.56,235.85,11-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Feb-2019 - 00:00,112.43,240.56,47.43,70.97,118.99,13.55,10.5,4.52,6.32,14.58,1.97,12.87,27.56,21.61,64.49,296.27,0.39,192.01,12-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Feb-2019 - 00:00,148.06,254.15,50.13,90.71,145.84,19.67,14.08,5.24,8.07,14.04,2.27,14.62,13.81,10.42,51.34,384.96,0.41,143.03,13-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Feb-2019 - 00:00,128.1,237.19,50.49,37.26,68.81,17.59,14.53,3.63,10.41,9.1,1.02,5.85,6.71,4.51,63.83,285.19,0.53,143.24,14-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Feb-2019 - 00:00,89.54,131.53,22.32,13.09,23.13,26.51,5.68,4.45,12.31,6.68,0.54,2.08,3.81,1.82,73.65,172.72,1.28,111.6,15-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Feb-2019 - 00:00,53.76,112.41,27.67,18.29,31.24,23.01,6.85,1.86,7.18,6.22,0.73,3.69,8.61,5.64,72.98,274.82,0.85,163.38,16-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Feb-2019 - 00:00,47.03,139.68,35.04,17.92,39.81,40.47,9.44,1.36,9.12,6.75,0.9,3.98,9.18,6.05,78.57,189.77,1.03,295.26,17-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Feb-2019 - 00:00,46.65,137.87,36.96,21.18,45.35,38.74,13.63,1.42,11.42,6.51,0.8,4.58,10.62,7.18,71.05,384.01,0.92,275.61,18-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Feb-2019 - 00:00,59.41,135.88,26.45,26.62,46.6,39.19,9.16,1.43,13.17,7.87,0.88,4.52,9.94,5.66,65.23,263.91,0.81,139.87,19-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Feb-2019 - 00:00,31.48,117.61,30.47,15.87,34.36,41.75,7.58,1.53,12.48,8.42,0.88,4.54,10.42,6.19,69.6,314.82,0.6,130.24,20-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Feb-2019 - 00:00,32.22,107.54,27.42,10.03,24.65,44.14,5.04,1.25,9.77,5.88,0.61,2.7,6.35,3.66,78.44,98.44,1.01,76.12,21-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Feb-2019 - 00:00,25.82,103.29,36.25,20.34,43.79,38.95,4.5,1.38,11.06,6.26,2.38,3.81,8.51,3.89,66.16,354.53,1.61,90.98,22-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Feb-2019 - 00:00,29.57,163.91,70.93,29.65,76.67,25.76,8.4,1.3,10.0,5.82,1.14,4.51,10.32,7.78,62.08,500.85,1.47,301.01,23-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Feb-2019 - 00:00,180.01,157.27,76.69,23.31,69.06,9.61,11.91,1.17,11.82,4.96,1.28,3.3,7.61,4.73,43.45,524.55,1.48,299.17,24-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Feb-2019 - 00:00,109.09,221.29,73.42,24.58,71.24,9.99,12.89,1.3,12.67,5.52,1.02,3.89,9.17,6.44,51.02,385.71,1.18,275.58,25-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Feb-2019 - 00:00,102.66,219.44,70.48,40.85,91.59,11.43,7.77,1.41,14.25,6.89,1.15,5.6,12.81,10.23,57.72,341.09,1.35,119.45,26-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Feb-2019 - 00:00,42.71,124.1,54.53,21.27,55.72,12.02,6.88,1.12,9.86,3.67,0.6,2.78,6.93,5.44,67.94,131.29,1.93,100.47,27-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Feb-2019 - 00:00,37.88,117.91,61.22,21.74,60.27,11.36,6.11,1.28,9.03,4.77,0.84,5.55,13.05,10.54,69.21,332.41,1.57,153.43,28-Feb-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Feb-2019 - 00:00,110.92,292.5,79.98,67.12,134.33,52.76,10.75,1.69,6.13,9.13,1.05,12.12,26.29,22.98,58.66,474.26,1.85,253.33,01-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Mar-2019 - 00:00,115.75,262.16,22.59,44.05,71.98,117.72,11.16,1.57,10.86,2.99,0.43,8.63,19.56,14.87,49.63,460.69,1.41,252.53,02-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Mar-2019 - 00:00,89.19,225.07,20.64,45.75,73.1,150.32,7.45,1.7,11.04,3.92,0.48,9.62,21.25,15.72,72.9,89.55,1.76,126.63,03-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Mar-2019 - 00:00,40.14,94.5,16.11,26.2,44.08,125.25,2.07,1.47,13.58,0.68,0.21,2.17,0.23,0.16,82.99,274.72,1.74,94.87,04-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Mar-2019 - 00:00,92.66,235.41,24.61,43.15,67.0,154.12,6.13,1.88,13.84,2.51,0.4,6.17,10.05,6.49,82.13,311.27,1.69,241.18,05-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Mar-2019 - 00:00,83.78,279.19,29.88,34.96,61.15,101.86,10.73,1.56,23.34,2.07,0.46,5.92,13.56,8.45,65.51,399.41,2.37,276.48,06-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Mar-2019 - 00:00,119.88,385.88,21.92,47.15,75.53,127.46,11.12,1.74,30.0,2.95,0.49,9.52,22.5,17.44,54.31,490.02,2.22,270.57,07-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Mar-2019 - 00:00,113.07,372.57,27.78,58.7,92.18,167.0,17.02,1.96,22.81,3.71,0.5,15.03,35.1,27.2,49.81,478.84,1.57,222.36,08-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Mar-2019 - 00:00,93.07,313.76,25.61,39.73,72.42,129.5,12.81,1.77,23.07,3.13,0.45,10.02,23.05,18.4,50.2,401.32,1.57,147.0,09-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
