from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
09-Feb-2019 - 00:00,149.17,72.27,28.67,58.33,87.0,1.13,,32.75,10-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Feb-2019 - 00:00,249.86,120.79,53.57,66.6,120.17,1.84,,34.42,11-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Feb-2019 - 00:00,334.19,162.26,78.51,75.47,153.99,1.61,,37.87,12-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Feb-2019 - 00:00,377.37,203.31,65.8,79.42,145.22,1.48,,28.74,13-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Feb-2019 - 00:00,304.16,156.13,54.17,74.49,128.67,0.85,,22.88,14-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Feb-2019 - 00:00,179.54,119.41,15.11,59.48,74.59,0.34,,24.37,15-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Feb-2019 - 00:00,166.42,92.22,28.23,59.02,87.25,0.45,,22.19,16-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Feb-2019 - 00:00,147.83,97.39,13.41,51.96,65.37,0.17,,21.98,17-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Feb-2019 - 00:00,130.38,73.19,16.73,53.5,70.23,0.2,,21.84,18-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Feb-2019 - 00:00,,,,,,,,,19-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Feb-2019 - 00:00,256.37,112.68,33.02,71.44,104.45,0.94,,29.9,20-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Feb-2019 - 00:00,177.14,78.61,28.9,61.53,90.43,0.6,,20.91,21-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Feb-2019 - 00:00,177.85,59.57,38.39,60.44,98.82,0.52,,25.78,22-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Feb-2019 - 00:00,114.21,54.32,13.73,53.07,66.81,0.18,,22.71,23-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Feb-2019 - 00:00,94.71,46.25,11.3,53.58,64.88,0.13,,29.53,24-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-Feb-2019 - 00:00,142.7,75.07,25.47,59.7,85.16,0.46,,29.49,25-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Feb-2019 - 00:00,136.06,60.63,34.55,65.67,100.23,0.56,,30.62,26-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Feb-2019 - 00:00,107.04,46.1,20.22,59.9,80.13,0.37,,27.21,27-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-Feb-2019 - 00:00,98.47,39.37,35.11,58.91,82.51,0.38,,25.12,28-Feb-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-Feb-2019 - 00:00,172.49,81.24,47.75,63.6,111.35,0.77,,22.42,01-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-Mar-2019 - 00:00,180.92,82.42,40.71,64.48,105.19,0.82,,22.78,02-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Mar-2019 - 00:00,147.19,78.84,36.73,67.46,104.19,0.9,,21.08,03-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Mar-2019 - 00:00,93.81,50.14,24.88,56.26,81.14,0.76,,23.45,04-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Mar-2019 - 00:00,190.55,98.08,57.68,63.18,120.85,1.51,,25.61,05-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Mar-2019 - 00:00,103.19,57.15,19.64,54.37,74.01,0.7,,20.37,06-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Mar-2019 - 00:00,150.82,68.66,34.68,61.41,96.11,1.09,,21.67,07-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Mar-2019 - 00:00,215.87,97.51,49.73,66.45,116.17,1.42,,22.28,08-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Mar-2019 - 00:00,184.2,71.56,44.39,67.61,112.0,1.36,,21.89,09-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-Mar-2019 - 00:00,163.26,63.71,22.27,58.6,80.88,0.99,,21.33,10-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Mar-2019 - 00:00,140.15,60.53,25.72,61.96,87.68,1.13,,23.17,11-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Mar-2019 - 00:00,187.87,66.46,26.73,61.11,87.84,1.28,,24.7,12-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Mar-2019 - 00:00,154.98,59.92,17.78,57.9,75.68,1.09,0.0,22.68,13-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Mar-2019 - 00:00,243.17,78.7,40.09,67.22,107.31,1.69,,24.28,14-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Mar-2019 - 00:00,241.39,103.84,68.57,67.16,135.74,2.02,,21.76,15-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Mar-2019 - 00:00,137.6,68.98,23.75,55.62,79.38,1.27,,21.67,16-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Mar-2019 - 00:00,130.25,63.09,13.64,57.9,71.53,1.23,,24.14,17-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Mar-2019 - 00:00,163.48,77.36,18.68,58.8,77.48,1.42,,24.36,18-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Mar-2019 - 00:00,182.13,87.52,26.81,60.96,87.77,1.63,,23.75,19-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Mar-2019 - 00:00,209.46,95.91,24.89,57.28,82.18,1.64,,22.29,20-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Mar-2019 - 00:00,217.0,73.21,10.83,45.49,56.31,1.61,,23.05,21-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Mar-2019 - 00:00,336.92,118.97,12.32,43.9,56.22,2.01,,25.44,22-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Mar-2019 - 00:00,152.89,34.2,6.84,42.47,49.31,1.24,,24.11,23-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Mar-2019 - 00:00,132.92,49.25,6.61,42.8,49.4,1.33,,25.23,24-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-Mar-2019 - 00:00,113.5,46.56,7.94,42.33,50.28,1.36,,22.84,25-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Mar-2019 - 00:00,142.41,57.5,8.46,42.06,50.52,1.48,,22.3,26-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Mar-2019 - 00:00,145.93,65.85,8.98,42.96,51.94,1.57,,24.87,27-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-Mar-2019 - 00:00,140.02,57.7,21.97,36.51,49.74,1.87,,25.73,28-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-Mar-2019 - 00:00,225.33,84.27,37.16,25.39,62.55,2.44,,22.75,29-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
29-Mar-2019 - 00:00,260.25,91.24,48.15,26.57,74.72,2.91,,22.61,30-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
30-Mar-2019 - 00:00,229.89,84.55,37.25,25.0,62.25,2.34,,23.72,31-Mar-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
31-Mar-2019 - 00:00,156.95,51.51,14.67,20.6,35.27,1.54,,21.66,01-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-Apr-2019 - 00:00,168.42,48.62,7.09,19.91,27.0,1.55,,23.01,02-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Apr-2019 - 00:00,199.34,72.71,12.07,22.24,34.31,1.96,,23.58,03-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Apr-2019 - 00:00,198.91,77.82,10.56,21.77,32.33,2.12,0.0,19.77,04-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Apr-2019 - 00:00,272.71,96.65,24.68,22.16,46.84,2.81,,26.69,05-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Apr-2019 - 00:00,272.73,94.68,28.15,19.07,47.22,2.05,,41.83,06-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Apr-2019 - 00:00,274.27,69.5,18.41,16.31,34.72,1.51,,30.91,07-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Apr-2019 - 00:00,419.02,141.44,24.05,16.95,41.0,1.43,,32.56,08-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Apr-2019 - 00:00,297.02,82.39,75.97,22.36,98.32,0.17,,26.0,09-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-Apr-2019 - 00:00,207.64,72.18,113.55,21.77,134.32,1.73,,33.2,10-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
