from date,Temp,RH,SR,BP,WS,WD,NO,NO2,NOx,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,VWS,to date,station
14-Feb-2019 - 00:00,6.96,60.72,66.44,990.4,1.26,207.4,,,0.0,4.45,0.93,12.07,138.89,1.97,3.62,1.86,2.42,2.23,0.15,15-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
15-Feb-2019 - 00:00,3.08,60.68,67.4,991.77,0.7,156.36,,,0.0,4.22,1.0,6.93,103.49,2.15,3.77,2.04,2.59,2.41,0.11,16-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
16-Feb-2019 - 00:00,8.0,60.63,104.55,993.14,0.84,119.84,,,0.0,7.3,0.96,8.99,86.87,2.43,4.08,2.32,2.88,2.69,0.86,17-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
17-Feb-2019 - 00:00,14.45,60.64,132.45,990.06,0.37,131.36,0.96,12.66,8.06,3.78,0.96,21.49,72.36,1.91,3.56,1.8,2.36,2.17,0.08,18-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
18-Feb-2019 - 00:00,14.7,60.73,137.22,984.77,0.55,205.14,1.22,16.01,29.32,3.78,0.93,34.51,64.01,0.99,2.56,0.89,1.42,1.24,0.07,19-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
19-Feb-2019 - 00:00,15.66,60.92,118.56,987.96,0.75,189.96,1.56,13.2,24.29,7.24,1.1,41.63,61.28,1.56,3.21,1.45,2.01,1.82,0.09,20-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
20-Feb-2019 - 00:00,16.57,61.11,40.24,992.79,1.49,198.66,1.72,13.0,23.1,5.26,1.14,22.15,75.49,2.31,3.93,2.21,2.75,2.57,0.18,21-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
21-Feb-2019 - 00:00,16.62,61.15,130.53,991.14,1.22,194.93,2.07,14.24,23.48,8.76,1.03,24.45,66.87,1.94,3.47,1.83,2.35,2.18,0.14,22-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
22-Feb-2019 - 00:00,16.26,61.09,123.9,992.67,0.58,130.98,1.8,11.46,20.52,12.77,1.15,19.95,54.81,2.35,4.0,2.24,2.8,2.61,0.12,23-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
23-Feb-2019 - 00:00,16.15,61.08,153.36,991.15,0.46,136.63,1.47,11.61,21.61,11.7,1.02,31.57,60.76,2.09,3.74,1.98,2.54,2.35,0.1,24-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
24-Feb-2019 - 00:00,19.77,61.48,138.73,987.75,1.05,162.92,2.31,13.68,23.02,15.62,1.34,28.16,87.33,1.51,3.14,1.4,1.95,1.77,0.62,25-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
25-Feb-2019 - 00:00,21.36,65.62,141.01,986.72,0.6,190.77,4.24,17.27,27.52,14.93,1.11,17.49,98.04,1.31,2.89,1.2,1.74,1.56,-0.03,26-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
26-Feb-2019 - 00:00,18.33,65.7,91.85,987.18,0.66,190.15,2.64,15.44,26.75,17.52,1.41,17.77,61.14,1.38,2.98,1.28,1.82,1.64,-0.06,27-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
27-Feb-2019 - 00:00,18.41,66.4,129.57,987.46,0.52,179.57,2.79,14.03,23.5,15.58,1.02,15.58,72.98,1.44,3.06,1.34,1.88,1.7,0.09,28-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
28-Feb-2019 - 00:00,17.12,65.75,149.1,991.35,0.51,138.97,8.19,20.12,26.63,14.27,0.86,14.37,84.69,2.11,3.74,2.0,2.55,2.36,0.1,01-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
01-Mar-2019 - 00:00,17.1,63.5,154.71,991.58,0.59,144.13,3.41,16.24,26.81,14.27,0.92,16.11,82.96,2.14,3.77,2.03,2.59,2.4,0.11,02-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
02-Mar-2019 - 00:00,15.33,68.16,43.3,991.83,0.97,178.77,2.98,15.98,27.2,13.41,1.1,13.0,74.27,2.21,3.86,2.1,2.66,2.47,0.14,03-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
03-Mar-2019 - 00:00,17.56,69.76,119.59,988.25,0.87,195.98,2.62,14.96,26.03,15.4,1.09,17.3,39.97,1.61,3.26,1.5,2.06,1.87,0.12,04-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
04-Mar-2019 - 00:00,20.06,68.77,127.07,985.56,0.29,183.61,4.07,13.42,20.95,13.67,0.99,15.09,85.96,1.16,2.81,1.05,1.61,1.42,0.03,05-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
05-Mar-2019 - 00:00,19.91,66.65,153.46,986.63,0.31,178.45,3.06,13.74,22.47,19.96,0.85,17.61,66.99,1.31,2.93,1.2,1.75,1.57,0.05,06-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
06-Mar-2019 - 00:00,20.53,64.47,159.98,987.65,0.32,161.14,2.72,13.35,22.14,14.41,0.84,17.35,69.37,1.46,3.06,1.36,1.9,1.72,0.06,07-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
07-Mar-2019 - 00:00,21.34,63.82,155.94,987.82,0.37,160.4,4.81,16.33,24.52,18.49,1.18,16.61,57.11,1.54,3.19,1.43,1.99,1.8,0.06,08-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
08-Mar-2019 - 00:00,22.25,63.91,122.7,989.41,0.61,163.56,2.81,13.31,22.14,19.09,0.91,18.66,50.39,1.8,3.45,1.69,2.25,2.06,0.11,09-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
09-Mar-2019 - 00:00,22.63,63.25,159.17,989.63,0.51,163.51,2.65,12.54,20.49,20.69,1.04,19.77,61.5,1.77,3.35,1.66,2.2,2.02,0.09,10-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
10-Mar-2019 - 00:00,23.02,61.43,165.04,989.53,0.5,156.89,2.48,12.59,21.21,16.3,0.95,21.9,59.84,1.74,3.32,1.63,2.17,1.99,0.08,11-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
11-Mar-2019 - 00:00,23.57,62.51,126.44,988.64,0.93,200.43,2.46,15.75,28.14,16.54,0.89,25.65,73.83,1.67,3.32,1.56,2.12,1.93,0.1,12-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
12-Mar-2019 - 00:00,23.88,63.32,148.93,991.31,0.73,159.72,2.36,11.4,19.74,17.57,0.96,21.26,62.88,2.1,3.73,1.99,2.54,2.35,0.12,13-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
13-Mar-2019 - 00:00,22.7,63.9,78.62,991.47,0.86,175.4,2.53,13.54,23.66,12.98,1.32,19.33,42.6,2.14,3.8,2.03,2.59,2.4,0.13,14-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
14-Mar-2019 - 00:00,20.25,69.89,68.41,993.0,0.93,167.12,2.93,13.45,22.82,12.71,1.02,10.83,48.65,2.4,4.05,2.29,2.85,2.66,0.14,15-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
15-Mar-2019 - 00:00,22.39,66.98,150.67,994.01,0.68,129.06,2.92,12.41,20.74,17.83,1.07,14.28,40.41,2.57,4.22,2.46,3.02,2.83,0.13,16-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
16-Mar-2019 - 00:00,24.68,63.69,173.21,992.03,0.57,142.34,1.99,10.43,18.86,11.75,0.96,26.64,70.71,2.24,3.89,2.13,2.69,2.5,0.11,17-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
17-Mar-2019 - 00:00,27.14,63.89,178.85,990.09,0.46,149.56,2.42,11.31,19.74,15.88,1.02,22.34,45.18,1.9,3.53,1.79,2.34,2.16,0.09,18-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
18-Mar-2019 - 00:00,35.38,66.31,180.54,989.63,0.35,139.13,3.16,13.77,22.9,16.52,1.21,19.57,68.82,1.82,3.45,1.71,2.26,2.08,0.08,19-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
19-Mar-2019 - 00:00,35.37,64.72,175.19,985.71,0.38,181.92,2.5,13.04,22.83,18.82,0.99,20.9,76.71,1.18,2.83,1.07,1.63,1.44,0.05,20-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
20-Mar-2019 - 00:00,38.84,64.28,161.53,983.76,0.46,210.24,14.46,28.42,33.49,18.68,1.09,23.88,80.32,0.85,2.49,0.74,1.3,1.11,0.05,21-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
21-Mar-2019 - 00:00,37.06,65.02,162.91,987.41,0.52,176.92,2.28,8.25,14.13,16.24,0.89,22.63,27.74,1.45,3.09,1.34,1.9,1.71,0.1,22-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
22-Mar-2019 - 00:00,35.73,62.93,185.7,989.73,0.48,156.87,2.27,8.77,14.47,21.92,1.13,29.84,33.99,1.74,3.28,1.63,2.16,1.98,0.09,23-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
23-Mar-2019 - 00:00,37.28,62.47,184.26,988.88,0.37,153.2,2.31,9.18,15.34,18.33,1.16,32.14,45.81,1.63,3.19,1.52,2.05,1.87,0.07,24-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
24-Mar-2019 - 00:00,36.7,63.8,175.4,987.26,0.36,169.8,2.71,9.65,16.38,27.02,1.16,16.97,60.01,1.43,3.06,1.32,1.87,1.68,0.07,25-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
25-Mar-2019 - 00:00,35.6,65.92,166.37,987.73,0.38,163.9,2.43,9.23,14.95,15.6,1.37,18.21,63.8,1.41,2.94,1.31,1.83,1.65,0.07,26-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
26-Mar-2019 - 00:00,36.71,64.92,188.5,989.03,0.37,147.31,2.35,14.24,14.41,17.11,1.1,25.24,54.96,1.7,3.32,1.6,2.14,1.96,0.08,27-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
27-Mar-2019 - 00:00,38.93,63.25,159.0,989.37,0.41,138.18,4.17,20.6,13.45,19.19,1.07,26.54,70.06,1.8,3.45,1.69,2.25,2.06,0.09,28-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
28-Mar-2019 - 00:00,38.59,63.7,179.15,987.07,0.43,166.2,8.19,23.81,18.41,20.09,1.18,21.54,53.34,1.4,3.03,1.29,1.84,1.65,0.06,29-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
29-Mar-2019 - 00:00,39.63,64.5,177.2,983.96,0.35,193.61,2.97,19.04,11.58,18.42,1.08,21.43,33.09,0.88,2.5,0.77,1.32,1.14,0.04,30-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
30-Mar-2019 - 00:00,39.73,64.85,165.86,982.83,0.32,202.85,3.44,18.02,10.73,25.21,1.67,26.85,69.92,0.67,2.23,0.57,1.1,0.92,0.02,31-Mar-2019 - 00:00,"MD University, Rohtak - HSPCB"
31-Mar-2019 - 00:00,40.12,61.7,208.49,983.87,0.29,195.57,1.77,12.86,7.01,19.03,1.05,34.45,45.31,0.84,2.4,0.73,1.26,1.08,0.04,01-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
01-Apr-2019 - 00:00,36.76,61.0,203.47,984.15,0.3,195.06,2.24,17.84,9.74,25.88,1.22,34.34,43.6,0.9,2.5,0.79,1.33,1.15,0.03,02-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
02-Apr-2019 - 00:00,39.22,62.07,202.37,984.86,0.45,197.77,3.21,21.11,12.64,21.23,0.93,28.72,59.95,1.04,2.69,0.93,1.49,1.3,0.03,03-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
03-Apr-2019 - 00:00,39.58,61.63,204.41,983.63,0.27,186.26,9.46,29.97,22.18,18.76,1.01,29.12,62.22,0.83,2.44,0.72,1.27,1.08,0.02,04-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
04-Apr-2019 - 00:00,38.41,61.96,190.24,984.01,0.43,200.0,4.89,24.86,16.13,29.63,1.12,34.94,76.17,0.9,2.55,0.79,1.35,1.16,0.04,05-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
05-Apr-2019 - 00:00,37.89,61.92,192.18,982.88,0.37,207.35,12.53,32.15,25.41,18.88,1.22,29.55,73.94,0.7,2.32,0.59,1.14,0.96,0.01,06-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
06-Apr-2019 - 00:00,41.3,61.49,190.26,981.69,0.31,210.68,3.1,27.2,15.56,18.39,1.0,25.12,85.02,0.54,2.1,0.39,0.93,0.75,0.04,07-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
07-Apr-2019 - 00:00,42.59,63.97,146.27,980.63,0.24,221.08,1.68,17.46,9.4,21.61,1.35,38.98,232.35,0.34,1.95,0.23,0.77,0.59,0.02,08-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
08-Apr-2019 - 00:00,37.31,62.92,178.77,981.93,0.28,210.39,2.42,16.95,9.86,23.17,1.97,32.7,244.65,0.55,2.18,0.44,0.99,0.8,0.04,09-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
09-Apr-2019 - 00:00,39.98,61.65,190.92,981.57,0.25,209.52,3.01,22.6,13.16,27.9,1.39,33.04,90.71,0.49,2.13,0.38,0.94,0.75,0.05,10-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
10-Apr-2019 - 00:00,43.34,61.39,190.23,982.89,0.32,202.22,3.6,24.17,14.4,15.69,1.21,28.64,65.93,0.71,2.34,0.6,1.15,0.96,0.04,11-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
11-Apr-2019 - 00:00,43.59,60.98,176.39,982.67,0.26,199.15,2.16,20.91,11.27,23.85,1.54,27.16,52.23,0.64,2.21,0.54,1.07,0.89,0.04,12-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
12-Apr-2019 - 00:00,43.47,61.37,204.35,983.19,0.26,195.18,2.48,16.28,9.37,30.35,1.07,31.35,55.37,0.77,2.42,0.66,1.22,1.03,0.05,13-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
13-Apr-2019 - 00:00,41.96,60.82,210.25,983.92,0.28,191.64,2.26,14.95,8.61,15.76,1.58,27.35,52.5,0.89,2.54,0.78,1.34,1.15,0.05,14-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
14-Apr-2019 - 00:00,42.16,60.8,199.44,983.7,0.29,196.43,2.45,14.42,8.65,15.72,1.16,25.9,45.9,0.85,2.5,0.74,1.3,1.11,0.04,15-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
15-Apr-2019 - 00:00,43.38,60.54,192.24,981.51,0.21,208.89,8.55,22.92,18.05,21.33,1.1,23.63,51.39,0.49,2.14,0.38,0.94,0.75,0.0,16-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
16-Apr-2019 - 00:00,34.17,64.66,107.83,984.78,0.51,205.13,2.47,15.13,8.79,17.84,1.08,39.45,64.13,1.02,2.66,0.92,1.47,1.28,0.06,17-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
17-Apr-2019 - 00:00,31.98,67.08,115.66,986.32,0.76,210.0,2.08,13.49,7.72,14.55,1.22,36.12,23.23,1.29,2.94,1.18,1.74,1.55,0.07,18-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
18-Apr-2019 - 00:00,32.69,66.04,229.12,987.1,0.64,190.06,2.75,17.87,10.61,24.19,1.67,20.02,26.99,1.42,3.07,1.31,1.87,1.68,0.08,19-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
19-Apr-2019 - 00:00,35.59,62.56,223.19,984.45,0.3,190.18,2.52,19.06,10.68,16.92,1.31,21.78,39.31,0.96,2.57,0.85,1.4,1.21,0.02,20-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
20-Apr-2019 - 00:00,37.8,61.29,230.66,981.64,0.23,210.38,3.39,21.94,13.25,18.02,1.56,23.54,49.5,0.5,2.14,0.39,0.95,0.76,-0.01,21-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
21-Apr-2019 - 00:00,36.58,60.21,219.09,979.87,0.18,222.78,3.84,25.9,15.81,13.57,0.91,22.83,62.4,0.29,1.84,0.1,0.65,0.47,-0.02,22-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
22-Apr-2019 - 00:00,41.81,60.02,217.63,979.82,0.16,213.84,2.75,25.6,14.76,13.58,1.3,25.04,69.16,0.27,1.84,0.09,0.65,0.46,-0.0,23-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
23-Apr-2019 - 00:00,40.99,59.48,219.57,980.55,0.19,217.14,5.5,27.13,17.82,16.98,1.18,23.95,64.13,0.33,1.98,0.22,0.78,0.59,-0.0,24-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
24-Apr-2019 - 00:00,36.79,61.23,43.87,981.97,0.3,208.79,2.22,35.7,16.33,19.03,0.99,17.02,120.98,0.53,2.05,0.42,0.94,0.76,0.05,25-Apr-2019 - 00:00,"MD University, Rohtak - HSPCB"
