from date,Temp,RH,SR,BP,WS,WD,NO,NO2,NOx,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,VWS,to date,station
01-Jan-2019 - 00:00,,74.09,90.73,995.87,1.0,154.77,,,0.0,16.86,1.14,11.2,88.49,2.88,4.53,2.77,3.33,3.14,0.14,02-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
02-Jan-2019 - 00:00,,73.33,85.23,995.75,0.59,144.89,,,0.0,15.91,1.02,10.78,109.71,2.86,4.51,2.75,3.31,3.12,0.12,03-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
03-Jan-2019 - 00:00,,73.29,83.5,997.63,1.37,170.02,,,0.0,15.02,0.89,9.59,122.64,3.17,4.82,3.06,3.62,3.43,0.19,04-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
04-Jan-2019 - 00:00,,73.74,64.27,996.28,1.07,166.67,,,0.0,20.42,1.01,7.82,80.59,2.95,4.6,2.84,3.4,3.21,0.15,05-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
05-Jan-2019 - 00:00,,73.32,85.54,994.16,0.23,136.39,,,0.0,11.68,1.17,10.7,133.54,2.59,4.24,2.48,3.04,2.85,0.07,06-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
06-Jan-2019 - 00:00,,74.05,86.98,993.78,0.92,183.53,,,0.0,10.76,1.06,12.54,63.74,2.53,4.18,2.42,2.98,2.79,0.13,07-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
07-Jan-2019 - 00:00,,73.97,100.81,995.79,1.2,192.58,,,0.0,11.08,1.0,7.08,43.39,2.84,4.47,2.73,3.28,3.09,0.17,08-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
08-Jan-2019 - 00:00,,73.3,97.47,993.97,1.07,183.27,,,0.0,11.04,1.33,7.5,29.61,2.56,4.21,2.45,3.01,2.82,0.16,09-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
09-Jan-2019 - 00:00,,72.59,106.66,993.21,1.03,185.71,,,0.0,11.34,0.99,7.8,24.88,2.44,4.09,2.33,2.89,2.7,0.15,10-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
10-Jan-2019 - 00:00,18.37,69.5,100.05,993.01,0.96,182.04,,,0.0,12.71,0.96,8.32,26.32,2.36,3.97,2.25,2.8,2.61,0.13,11-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
11-Jan-2019 - 00:00,,70.35,94.89,994.46,0.97,189.36,,,0.0,14.78,1.18,10.08,69.78,2.6,4.21,2.49,3.04,2.85,0.11,12-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
12-Jan-2019 - 00:00,,72.58,90.34,993.21,0.74,161.56,,,0.0,19.33,1.01,9.58,67.25,2.44,4.09,2.33,2.89,2.7,0.11,13-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
13-Jan-2019 - 00:00,,73.16,83.48,995.09,0.91,186.11,,,0.0,18.34,0.99,8.56,58.36,2.75,4.4,2.64,3.2,3.01,0.14,14-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
14-Jan-2019 - 00:00,,72.46,113.79,995.5,1.22,191.31,,,0.0,11.05,1.16,14.12,55.49,2.82,4.47,2.71,3.27,3.08,0.17,15-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
15-Jan-2019 - 00:00,,72.79,62.81,994.45,1.08,178.4,,,0.0,13.59,1.05,15.75,59.87,2.3,3.74,2.2,2.69,2.53,0.13,16-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
16-Jan-2019 - 00:00,,72.2,83.64,994.3,0.64,148.21,,,0.0,7.56,1.1,18.63,83.97,2.62,4.27,2.51,3.07,2.88,0.09,17-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
17-Jan-2019 - 00:00,,73.0,96.97,993.16,1.07,196.34,,,0.0,11.46,1.1,22.36,77.15,2.43,4.08,2.32,2.88,2.69,0.13,18-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
18-Jan-2019 - 00:00,,73.49,107.35,993.63,0.9,169.24,,,0.0,20.92,1.04,16.72,55.66,2.45,4.07,2.34,2.89,2.71,0.13,19-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
19-Jan-2019 - 00:00,,73.91,102.0,992.92,0.88,175.39,,,0.0,10.78,1.04,17.96,83.8,2.39,4.04,2.28,2.84,2.65,0.11,20-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
20-Jan-2019 - 00:00,,73.99,100.93,991.5,0.66,166.67,,,0.0,12.4,1.04,19.61,71.82,2.15,3.8,2.04,2.6,2.41,0.07,21-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
21-Jan-2019 - 00:00,,73.99,77.52,988.02,0.56,214.42,,,0.0,12.99,0.92,19.85,52.09,1.48,3.05,1.38,1.91,1.73,0.0,22-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
22-Jan-2019 - 00:00,15.43,70.02,87.22,989.35,0.37,187.3,,,0.0,11.67,0.94,17.4,47.17,1.79,3.44,1.68,2.24,2.05,-0.5,23-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
23-Jan-2019 - 00:00,11.79,68.2,97.33,993.67,,,,,0.0,11.76,1.14,10.33,34.91,2.51,4.16,2.4,2.96,2.77,-1.14,24-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
24-Jan-2019 - 00:00,14.87,67.33,91.56,995.62,14.77,157.39,,,0.0,12.27,1.09,17.99,44.61,2.78,4.4,2.68,3.22,3.04,0.99,25-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
25-Jan-2019 - 00:00,8.62,67.25,110.55,995.56,22.91,147.53,,,0.0,12.64,0.92,17.9,48.87,2.71,4.29,2.6,3.14,2.95,6.31,26-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
26-Jan-2019 - 00:00,4.58,62.98,126.88,998.4,7.32,119.68,,,0.0,13.82,0.95,24.78,70.09,3.23,4.85,3.13,3.67,3.49,2.44,27-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
27-Jan-2019 - 00:00,6.97,59.16,102.56,998.76,1.09,102.93,,,0.0,13.14,0.9,23.97,82.38,3.32,4.96,3.22,3.77,3.58,0.17,28-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
28-Jan-2019 - 00:00,12.11,59.8,122.42,998.31,1.08,104.25,,,0.0,13.03,1.24,24.16,53.98,3.29,4.94,3.18,3.74,3.55,0.17,29-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
29-Jan-2019 - 00:00,14.36,61.17,125.99,996.62,0.92,106.16,,,0.0,12.59,0.98,23.2,60.85,3.0,4.65,2.89,3.45,3.26,0.15,30-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
30-Jan-2019 - 00:00,12.22,60.45,104.74,995.09,0.83,122.06,,,0.0,13.62,0.93,17.63,83.66,2.68,4.3,2.58,3.13,2.94,0.14,31-Jan-2019 - 00:00,"MD University, Rohtak - HSPCB"
31-Jan-2019 - 00:00,9.76,64.58,62.84,993.36,1.52,202.5,,,0.0,11.12,1.09,16.83,103.08,2.44,4.07,2.33,2.89,2.7,0.18,01-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
01-Feb-2019 - 00:00,10.39,64.5,90.26,994.53,0.95,144.92,,,0.0,10.12,1.03,14.51,132.47,2.63,4.26,2.52,3.07,2.89,0.14,02-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
02-Feb-2019 - 00:00,12.52,64.44,104.28,995.04,0.7,119.75,,,0.0,19.67,0.97,24.73,68.61,2.74,4.39,2.63,3.19,3.0,0.13,03-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
03-Feb-2019 - 00:00,10.55,69.54,95.32,995.66,0.69,105.87,,,0.0,19.88,0.88,17.39,63.45,2.76,4.36,2.65,3.19,3.01,0.1,04-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
04-Feb-2019 - 00:00,8.15,66.23,116.96,996.27,0.77,100.63,,,0.0,19.69,1.14,13.29,53.26,2.95,4.6,2.84,3.4,3.21,0.13,05-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
05-Feb-2019 - 00:00,8.65,65.82,104.19,993.01,1.39,199.72,,,0.0,19.62,1.2,15.51,114.12,2.4,4.05,2.29,2.85,2.66,0.16,06-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
06-Feb-2019 - 00:00,10.83,67.89,106.66,987.4,0.9,215.48,,,0.0,19.67,0.96,17.0,122.43,1.47,3.12,1.36,1.92,1.73,0.09,07-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
07-Feb-2019 - 00:00,7.12,70.84,31.48,985.69,0.59,209.38,,,0.0,19.85,0.93,12.33,62.29,1.18,2.83,1.07,1.63,1.44,0.08,08-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
08-Feb-2019 - 00:00,3.94,65.82,131.19,992.71,0.55,130.8,,,0.0,19.89,1.17,14.66,43.49,2.35,4.0,2.24,2.8,2.61,0.1,09-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
09-Feb-2019 - 00:00,4.37,65.22,134.31,994.78,0.74,125.74,,,0.0,19.87,0.84,15.63,38.56,2.7,4.35,2.59,3.15,2.96,0.13,10-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
10-Feb-2019 - 00:00,3.04,65.28,110.78,996.19,0.77,104.22,,,0.0,19.79,1.09,12.22,73.07,2.93,4.58,2.82,3.38,3.19,0.13,11-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
11-Feb-2019 - 00:00,6.57,60.95,122.49,996.48,0.87,121.04,,,0.0,19.73,1.03,12.02,83.79,2.98,4.63,2.87,3.43,3.24,0.15,12-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
12-Feb-2019 - 00:00,10.97,60.82,114.0,996.05,1.17,155.67,,,0.0,15.14,0.94,12.0,58.86,2.91,4.56,2.8,3.36,3.17,0.17,13-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
13-Feb-2019 - 00:00,11.48,60.84,99.55,995.03,1.14,182.71,,,0.0,4.73,1.16,14.85,116.49,2.74,4.39,2.63,3.19,3.0,0.16,14-Feb-2019 - 00:00,"MD University, Rohtak - HSPCB"
