from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
02-Apr-2019 - 00:00,160.44,19.39,16.71,11.03,27.75,14.76,0.4,15.23,5.3,4.32,464.53,58.2,0.0,164.32,0.5,67.5,03-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-Apr-2019 - 00:00,175.26,32.12,16.8,11.03,27.81,14.79,0.38,16.72,5.3,4.32,441.37,54.5,0.0,253.83,0.75,73.52,04-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-Apr-2019 - 00:00,136.3,19.5,16.53,11.1,27.64,14.79,0.36,21.89,5.3,4.32,508.61,61.99,0.0,220.57,0.51,57.44,05-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-Apr-2019 - 00:00,133.39,8.24,16.8,11.23,28.03,14.82,0.44,19.19,5.3,4.32,544.17,65.44,0.0,210.9,0.52,56.04,06-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-Apr-2019 - 00:00,156.85,7.45,17.33,11.13,28.41,14.86,0.46,17.48,5.3,4.32,572.77,67.87,0.0,176.38,0.52,65.73,07-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
07-Apr-2019 - 00:00,77.13,10.19,16.66,11.16,27.83,14.74,0.14,13.53,5.3,4.32,401.18,49.03,0.0,214.85,0.41,32.46,08-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-Apr-2019 - 00:00,185.93,9.07,16.88,11.03,27.92,14.79,0.23,18.08,5.3,4.32,506.35,59.99,0.0,92.82,0.72,78.14,09-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-Apr-2019 - 00:00,104.94,9.02,16.63,11.18,26.66,14.82,0.28,17.88,5.08,4.14,554.98,64.25,0.0,172.2,0.43,42.37,10-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-Apr-2019 - 00:00,116.4,10.12,16.36,10.96,25.79,14.48,0.26,23.83,4.92,4.01,432.69,50.4,0.0,294.08,1.18,45.19,11-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-Apr-2019 - 00:00,98.63,16.46,16.83,10.9,27.73,14.93,0.18,23.89,5.31,4.32,403.45,46.74,0.0,293.18,0.88,41.53,12-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-Apr-2019 - 00:00,144.39,24.12,17.08,11.04,28.12,15.11,0.35,19.23,5.3,4.31,397.06,45.93,0.0,275.09,1.09,60.74,13-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-Apr-2019 - 00:00,159.65,31.9,17.17,11.52,23.28,15.16,0.38,12.13,4.89,3.99,508.68,57.43,0.0,276.91,1.05,63.84,14-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-Apr-2019 - 00:00,103.48,10.84,17.7,10.45,21.88,15.05,0.29,14.99,5.14,4.19,553.51,61.46,0.0,312.66,1.29,43.86,15-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-Apr-2019 - 00:00,82.91,9.44,16.52,11.57,28.1,14.99,0.41,16.21,5.3,4.33,470.82,53.02,0.0,304.35,1.15,34.16,16-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
16-Apr-2019 - 00:00,106.63,10.24,17.38,11.3,28.67,15.15,0.26,25.54,5.3,4.31,384.03,46.11,0.0,106.25,1.23,44.83,17-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
