from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
06-Feb-2019 - 00:00,78.33,128.8,25.68,35.02,9.33,36.35,8.38,0.96,14.1,7.17,54.92,0.08,0.56,0.12,40.82,113.11,0.93,216.29,0.0,07-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
07-Feb-2019 - 00:00,39.34,95.55,16.5,18.13,1.64,31.37,6.46,0.67,15.62,3.46,39.45,0.06,0.54,0.05,40.82,123.08,1.26,230.55,0.0,08-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
08-Feb-2019 - 00:00,84.56,260.33,24.43,29.0,4.57,49.83,27.69,0.79,12.9,4.5,48.3,0.1,0.46,0.16,29.84,185.61,0.76,215.04,0.0,09-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
09-Feb-2019 - 00:00,85.65,245.44,30.05,40.53,10.49,66.29,24.75,0.92,13.76,10.15,72.95,0.13,0.4,0.27,23.67,188.45,1.07,81.58,0.0,10-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
10-Feb-2019 - 00:00,59.69,132.1,27.02,34.46,7.45,84.0,61.09,0.84,18.52,9.31,71.82,0.12,0.36,0.22,22.41,222.95,1.19,69.51,0.0,11-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
11-Feb-2019 - 00:00,75.13,157.88,32.32,40.58,8.25,111.84,73.3,0.96,18.8,14.43,100.91,0.2,0.38,0.62,25.4,219.92,0.87,92.09,0.0,12-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
12-Feb-2019 - 00:00,79.62,157.36,30.51,42.52,12.02,141.39,42.89,1.06,13.15,15.46,122.24,0.21,0.46,0.37,25.36,195.71,0.87,124.36,0.0,13-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
13-Feb-2019 - 00:00,88.3,166.71,24.55,39.38,14.84,106.16,28.91,0.85,14.43,21.32,109.54,0.33,0.61,0.72,29.57,86.59,0.74,187.99,0.0,14-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
14-Feb-2019 - 00:00,60.0,121.38,26.31,34.59,8.29,45.01,15.8,0.84,12.32,6.33,60.38,0.07,0.66,0.1,36.35,123.98,0.62,174.67,0.0,15-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
15-Feb-2019 - 00:00,84.04,157.08,31.27,47.88,16.62,42.66,13.22,0.91,11.94,8.67,67.79,0.07,0.68,0.11,36.09,106.44,0.73,234.98,0.0,16-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
16-Feb-2019 - 00:00,67.25,135.0,28.48,32.95,4.47,32.38,33.64,0.84,15.9,9.19,63.93,0.08,0.64,0.15,28.6,189.58,0.63,124.5,0.0,17-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
17-Feb-2019 - 00:00,66.03,127.9,31.78,40.29,8.51,26.58,46.73,0.96,16.3,8.79,66.72,0.04,0.66,0.11,24.74,205.67,0.72,121.34,0.0,18-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
18-Feb-2019 - 00:00,101.0,173.96,31.29,41.61,10.3,29.76,25.5,1.02,18.01,18.02,74.12,0.09,0.74,0.19,25.05,149.44,0.74,200.26,0.0,19-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
