from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
22-Apr-2019 - 00:00,33.23,52.96,6.82,95.14,56.56,0.59,47.74,57.93,137.29,4.57,3.01,2.2,2.74,5.61,30.29,395.77,33.4,0.0,0.58,192.91,23-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-Apr-2019 - 00:00,25.86,42.64,3.46,83.14,66.0,0.64,53.69,92.87,209.96,4.25,2.42,1.88,2.55,4.85,31.65,361.24,36.02,0.0,0.53,138.17,24-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-Apr-2019 - 00:00,37.86,42.84,19.29,103.97,31.29,0.81,44.65,145.39,254.64,7.16,12.68,2.01,2.44,5.17,31.19,301.63,43.1,0.0,0.52,102.6,25-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-Apr-2019 - 00:00,32.87,33.43,12.64,65.5,31.09,0.73,33.4,138.16,252.1,5.96,2.21,2.24,2.48,5.79,29.22,236.99,52.76,0.11,0.45,105.77,26-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
26-Apr-2019 - 00:00,40.18,26.47,13.72,97.72,21.2,0.67,31.34,95.95,182.28,4.3,3.7,2.58,3.07,6.73,31.24,392.27,40.16,0.0,0.72,267.91,27-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
27-Apr-2019 - 00:00,21.74,18.08,3.66,63.31,16.78,0.36,39.62,107.62,212.24,1.98,3.05,1.43,2.0,3.79,31.77,438.62,24.6,0.0,1.48,281.04,28-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
28-Apr-2019 - 00:00,23.46,18.14,5.34,60.21,18.06,0.38,39.02,133.77,246.94,2.02,2.69,1.42,1.95,3.28,32.05,400.24,19.21,0.0,1.36,295.01,29-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
29-Apr-2019 - 00:00,33.63,25.78,7.9,72.12,21.97,0.51,33.53,126.47,208.87,2.99,3.94,2.16,2.75,4.55,32.72,408.86,16.8,0.0,0.96,269.19,30-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
30-Apr-2019 - 00:00,46.84,40.11,19.42,96.24,30.17,0.54,55.97,140.47,225.67,4.28,2.23,1.66,2.28,2.61,33.09,336.11,19.17,0.0,0.57,103.44,01-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
01-May-2019 - 00:00,19.65,33.38,2.73,61.87,24.55,0.44,47.93,138.5,181.68,2.93,1.47,1.24,1.63,2.5,32.75,340.26,24.68,0.0,0.79,78.64,02-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
02-May-2019 - 00:00,16.21,26.67,2.85,56.85,24.88,0.35,44.86,110.56,159.43,1.99,2.34,0.96,1.65,1.26,29.69,299.23,36.01,0.07,1.0,80.78,03-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
03-May-2019 - 00:00,41.51,62.61,11.76,108.23,5.94,0.71,43.29,72.14,118.44,4.2,3.08,3.05,3.23,5.3,33.3,458.58,24.75,0.0,0.52,182.25,04-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
04-May-2019 - 00:00,22.01,35.77,4.14,67.3,17.95,0.4,47.99,76.08,130.65,2.16,2.84,1.44,2.1,0.71,30.7,392.12,20.34,0.0,1.11,281.16,05-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-May-2019 - 00:00,57.46,47.19,44.52,94.59,22.39,0.83,40.17,91.3,188.9,4.02,3.46,2.78,3.46,5.88,31.21,347.55,19.95,0.0,1.07,283.87,06-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-May-2019 - 00:00,42.73,57.71,15.45,108.2,25.48,0.81,27.92,129.64,208.87,5.52,2.71,3.03,3.8,7.1,32.53,361.5,18.66,0.0,0.89,278.79,07-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-May-2019 - 00:00,41.1,56.74,14.27,101.52,25.24,0.73,37.33,98.35,168.33,4.27,3.3,1.7,2.45,0.64,33.12,341.23,14.34,0.0,0.67,235.39,08-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-May-2019 - 00:00,73.2,77.2,42.79,150.18,29.17,0.97,32.77,133.12,226.75,6.06,8.1,2.64,3.81,3.43,33.53,270.15,18.46,0.0,0.74,277.17,09-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
09-May-2019 - 00:00,26.52,45.57,3.4,78.78,31.15,0.88,44.3,131.46,231.77,3.96,5.27,2.67,2.76,0.29,34.28,344.94,15.87,0.0,1.15,266.49,10-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-May-2019 - 00:00,21.01,34.88,3.5,68.26,25.73,0.72,38.96,156.89,336.76,3.54,4.26,1.53,2.04,0.29,33.35,297.58,22.36,0.0,1.38,240.28,11-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-May-2019 - 00:00,20.3,34.97,2.55,65.37,27.81,0.59,48.25,107.18,146.3,2.4,3.09,1.12,1.49,0.24,31.06,301.87,31.42,0.0,0.81,255.82,12-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-May-2019 - 00:00,22.72,39.92,2.33,72.46,30.38,0.9,38.78,167.33,272.42,4.02,3.27,1.22,1.79,0.3,31.0,322.03,30.91,0.0,0.93,238.69,13-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-May-2019 - 00:00,24.28,42.48,2.6,74.23,24.92,0.61,39.5,93.21,162.04,3.81,4.2,1.53,2.26,0.51,30.99,226.23,33.53,0.06,0.74,125.91,14-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-May-2019 - 00:00,34.67,53.9,7.58,98.74,12.04,0.7,44.95,63.05,93.59,3.5,7.5,2.01,2.15,0.32,30.65,397.36,39.76,0.01,0.6,234.45,15-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-May-2019 - 00:00,32.54,48.57,8.94,88.13,22.71,0.7,28.55,75.12,139.87,4.66,6.9,2.08,3.01,0.43,27.67,261.97,50.47,0.0,0.9,128.41,16-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-May-2019 - 00:00,42.08,45.9,22.57,99.97,21.8,0.73,37.44,115.0,225.68,4.11,5.73,1.53,1.94,0.27,28.13,237.78,52.91,0.01,0.88,170.93,17-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-May-2019 - 00:00,28.77,45.0,6.8,80.0,13.76,0.7,32.4,137.09,259.29,4.13,6.06,1.63,2.36,0.29,27.35,259.67,55.44,0.0,0.75,180.91,18-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
18-May-2019 - 00:00,16.11,26.87,2.55,50.62,16.03,0.47,46.76,61.35,96.82,1.95,3.32,1.06,1.55,0.23,27.92,360.45,50.82,0.0,0.95,270.7,19-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-May-2019 - 00:00,17.94,30.35,2.6,48.43,22.75,0.71,48.04,87.39,153.78,2.88,3.77,1.17,1.59,0.27,30.91,366.38,38.46,0.0,1.03,277.91,20-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-May-2019 - 00:00,22.47,37.96,3.3,61.13,22.29,0.76,46.02,118.86,192.96,3.23,5.2,1.97,1.76,0.34,32.7,356.01,30.12,0.0,1.11,270.09,21-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-May-2019 - 00:00,25.68,43.29,3.84,66.98,21.53,0.67,39.52,102.42,162.1,3.25,5.77,2.05,2.18,0.35,33.57,361.25,24.68,0.0,0.86,287.42,22-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
22-May-2019 - 00:00,24.22,41.85,2.97,66.53,25.87,0.7,45.16,107.25,183.52,4.19,7.08,1.9,2.48,0.4,33.84,326.66,24.27,0.0,0.89,231.24,23-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-May-2019 - 00:00,21.75,36.98,3.04,60.93,32.51,0.68,38.24,117.59,232.86,3.39,5.68,1.42,2.13,0.3,32.72,306.87,32.67,0.0,1.02,286.88,24-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-May-2019 - 00:00,30.3,41.45,10.77,80.29,24.25,0.46,22.94,50.86,95.3,2.54,6.05,1.47,1.89,0.28,27.22,226.77,64.38,0.1,0.79,153.04,25-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-May-2019 - 00:00,17.42,29.65,2.64,58.65,28.41,0.42,46.78,61.14,110.26,1.8,3.33,1.66,1.18,4.65,29.4,454.83,44.51,0.0,1.29,277.18,26-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
26-May-2019 - 00:00,20.41,35.11,2.47,58.4,12.37,0.53,51.67,66.46,115.91,11.91,0.96,9.85,1.44,6.95,31.13,453.33,35.07,0.0,0.95,266.82,27-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
27-May-2019 - 00:00,24.4,41.11,3.76,66.98,12.89,0.53,44.02,75.16,137.72,4.35,2.42,19.89,3.4,15.1,33.66,432.5,23.17,0.0,1.1,248.05,28-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
28-May-2019 - 00:00,21.49,36.52,3.0,65.42,12.53,0.44,51.46,69.19,117.48,2.98,2.36,14.21,2.36,9.56,34.52,462.58,14.7,0.0,1.17,285.61,29-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
29-May-2019 - 00:00,26.02,43.56,4.1,70.29,16.13,0.54,36.41,70.81,134.94,3.58,2.95,13.12,2.3,7.03,35.65,432.22,18.24,0.0,0.92,277.17,30-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
30-May-2019 - 00:00,22.43,38.81,2.69,70.13,27.08,0.61,42.31,94.68,175.13,4.02,2.99,11.95,2.4,6.15,36.8,409.26,19.9,0.0,0.77,256.42,31-May-2019 - 00:00,"Sector-12, Karnal - HSPCB"
31-May-2019 - 00:00,26.92,43.83,5.02,76.29,24.65,0.65,34.94,91.02,184.06,4.66,3.57,13.91,2.43,5.8,37.46,416.82,17.81,0.0,0.82,233.79,01-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
01-Jun-2019 - 00:00,20.23,33.42,3.45,71.29,23.43,0.61,36.98,104.26,231.05,4.69,2.33,8.29,2.39,4.39,33.85,399.76,47.27,0.0,0.55,117.37,02-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
02-Jun-2019 - 00:00,15.41,26.27,2.11,57.25,30.84,0.59,42.59,83.48,169.96,3.87,2.05,5.41,2.4,3.41,34.02,394.66,51.93,0.0,0.51,118.57,03-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
03-Jun-2019 - 00:00,15.58,26.18,2.37,50.29,34.06,0.52,46.41,80.74,214.21,3.41,1.89,6.19,2.36,3.23,32.18,392.39,50.89,0.0,0.64,111.18,04-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
04-Jun-2019 - 00:00,18.38,31.38,2.54,48.08,37.79,0.5,49.55,81.75,165.92,2.9,2.08,7.01,2.41,3.08,32.76,344.89,47.75,0.0,0.5,107.84,05-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-Jun-2019 - 00:00,45.0,52.46,21.96,88.53,43.48,0.99,38.81,89.44,190.62,7.36,3.72,16.71,3.01,9.62,34.84,377.48,44.41,0.0,0.42,135.61,06-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-Jun-2019 - 00:00,19.43,32.99,2.74,54.64,48.87,0.65,39.81,104.48,190.78,5.78,2.72,10.84,2.69,4.92,32.42,273.71,48.06,0.07,0.71,130.33,07-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-Jun-2019 - 00:00,26.75,46.02,3.37,66.03,47.07,0.53,43.23,66.96,95.89,3.74,2.72,8.38,2.71,3.11,31.11,488.43,51.58,0.0,0.45,117.83,08-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-Jun-2019 - 00:00,24.58,41.42,3.7,60.26,54.41,0.68,55.42,87.97,163.15,5.77,3.21,9.75,2.86,3.56,34.59,428.02,39.8,0.0,0.68,200.1,09-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
09-Jun-2019 - 00:00,32.01,50.17,7.23,68.09,57.93,0.61,48.37,86.23,158.9,4.43,3.17,9.0,2.71,2.89,35.31,442.38,31.02,0.0,0.55,174.36,10-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-Jun-2019 - 00:00,26.22,44.13,3.95,59.94,58.47,0.61,54.54,88.2,185.02,4.09,3.62,10.4,2.8,2.91,37.53,447.29,22.0,0.0,0.73,259.44,11-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-Jun-2019 - 00:00,25.04,41.89,3.94,56.39,58.72,0.56,42.64,99.12,210.85,5.24,3.19,8.88,2.59,2.89,36.85,382.72,28.65,0.0,0.75,176.44,12-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-Jun-2019 - 00:00,16.99,28.38,2.74,44.13,55.43,0.29,45.6,196.99,317.71,1.92,1.66,4.39,1.8,1.33,31.74,358.11,44.23,0.02,0.77,132.63,13-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-Jun-2019 - 00:00,22.73,39.35,2.71,47.25,64.5,0.47,45.09,105.15,173.43,3.42,2.9,7.46,2.7,3.21,33.24,417.55,42.37,0.0,0.66,135.94,14-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-Jun-2019 - 00:00,20.69,35.15,2.9,46.34,65.53,0.49,61.32,106.68,164.16,2.98,2.94,6.78,2.65,2.31,35.81,490.6,26.54,0.0,1.12,260.04,15-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-Jun-2019 - 00:00,20.09,33.39,3.21,44.55,55.1,0.4,60.68,135.18,196.42,2.7,2.02,5.0,1.98,1.64,35.83,540.4,20.56,0.0,1.24,283.32,16-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-Jun-2019 - 00:00,12.38,20.12,2.34,31.27,19.05,0.28,36.58,82.79,166.23,1.51,1.15,3.31,1.66,1.18,30.81,,48.18,0.0,1.47,244.15,17-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-Jun-2019 - 00:00,13.99,21.89,3.19,31.62,24.73,0.38,36.39,67.94,181.53,1.96,0.97,3.76,1.52,1.17,30.5,338.07,57.19,0.06,1.51,211.43,18-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
18-Jun-2019 - 00:00,17.53,28.43,3.34,34.63,21.75,0.43,37.34,80.86,64.67,1.99,0.97,6.31,1.52,1.61,25.46,157.49,72.27,0.01,1.12,221.75,19-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-Jun-2019 - 00:00,19.04,31.9,2.95,38.57,22.27,0.44,48.83,155.93,202.33,2.82,1.15,6.22,1.64,1.52,29.87,414.09,57.46,0.0,0.66,249.2,20-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-Jun-2019 - 00:00,18.98,31.48,3.16,45.45,19.49,0.47,53.26,90.38,142.12,3.47,0.97,4.24,1.43,1.43,29.5,382.69,63.33,0.03,0.91,150.88,21-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-Jun-2019 - 00:00,23.09,38.41,3.92,71.79,17.64,0.56,67.53,97.09,133.96,3.59,1.92,6.1,1.74,1.41,32.97,511.44,46.38,0.0,0.72,212.95,22-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
22-Jun-2019 - 00:00,12.61,20.86,2.14,50.25,22.32,0.45,78.92,82.38,127.61,2.89,1.55,4.04,1.69,1.19,33.61,482.25,43.86,0.0,0.82,250.05,23-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-Jun-2019 - 00:00,8.91,13.97,1.99,40.01,22.73,0.38,48.81,42.65,96.49,2.02,0.95,1.59,1.54,0.76,32.11,443.23,59.22,0.0,0.62,115.71,24-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-Jun-2019 - 00:00,13.49,21.8,2.63,42.64,26.12,0.33,30.57,21.22,55.08,1.56,0.83,2.42,1.45,0.81,29.52,278.33,69.67,0.01,0.5,126.04,25-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-Jun-2019 - 00:00,16.88,27.77,3.02,49.37,31.21,0.39,42.28,48.21,63.0,2.24,1.18,3.79,1.63,1.15,31.9,383.22,60.32,0.0,0.5,152.74,26-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
26-Jun-2019 - 00:00,20.56,34.18,3.38,57.04,25.07,0.52,56.04,81.69,120.66,2.74,1.57,4.63,1.79,1.22,33.96,456.11,55.49,0.0,0.93,235.96,27-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
27-Jun-2019 - 00:00,14.25,23.1,2.72,48.07,16.77,0.49,65.01,106.25,220.25,4.42,16.9,7.1,3.19,3.71,32.39,289.1,52.39,0.0,1.09,256.75,28-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
28-Jun-2019 - 00:00,15.22,23.97,3.37,48.01,20.14,0.41,50.34,108.77,187.86,2.47,0.29,4.74,1.28,1.23,33.47,472.17,52.19,0.0,1.24,229.77,29-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
29-Jun-2019 - 00:00,14.89,23.53,3.23,43.5,24.44,0.4,47.91,116.01,262.68,2.14,0.32,4.93,1.3,1.25,35.17,431.79,44.03,0.0,1.02,255.28,30-Jun-2019 - 00:00,"Sector-12, Karnal - HSPCB"
30-Jun-2019 - 00:00,18.96,31.68,2.93,51.16,28.88,0.48,55.05,118.95,207.34,2.74,0.3,5.79,1.51,1.46,35.52,431.35,41.1,0.0,0.71,209.97,01-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
01-Jul-2019 - 00:00,15.21,24.73,2.92,44.04,29.89,0.52,53.8,101.38,158.4,3.31,0.29,4.82,1.21,1.23,33.99,404.64,58.48,0.0,0.58,157.11,02-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
02-Jul-2019 - 00:00,15.09,23.11,4.73,35.12,34.93,0.45,65.04,89.8,156.74,2.74,0.32,4.24,1.17,1.11,33.14,397.94,57.58,0.0,0.71,129.75,03-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
03-Jul-2019 - 00:00,13.3,21.79,2.39,31.1,38.61,0.48,44.82,57.08,116.55,3.61,0.27,9.56,1.53,1.75,33.24,354.74,63.81,0.0,0.61,150.77,04-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
04-Jul-2019 - 00:00,17.55,28.02,3.77,34.27,29.77,0.59,24.38,30.16,110.97,3.76,0.23,9.58,1.5,1.56,28.14,82.74,82.21,0.18,0.69,111.52,05-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-Jul-2019 - 00:00,18.4,28.08,4.65,35.21,14.65,0.53,33.29,32.83,65.66,4.28,0.25,10.44,1.78,1.81,30.24,337.36,77.43,0.0,0.41,171.37,06-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-Jul-2019 - 00:00,16.33,26.36,3.19,32.45,18.24,0.44,39.96,44.71,73.8,3.64,0.27,9.18,1.66,1.62,30.47,359.24,72.67,0.0,0.44,139.47,07-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-Jul-2019 - 00:00,12.01,19.44,2.31,25.69,22.82,0.39,41.81,39.33,57.93,2.69,0.3,8.88,1.4,1.37,31.56,421.08,70.29,0.0,0.49,133.86,08-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-Jul-2019 - 00:00,13.76,22.11,2.72,27.7,20.11,0.45,49.05,45.73,88.29,5.98,10.63,9.69,4.3,4.36,31.73,364.66,70.57,0.0,0.74,168.27,09-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
09-Jul-2019 - 00:00,12.63,20.32,2.51,30.62,16.42,0.45,32.59,51.74,110.52,3.26,10.95,9.44,1.6,1.59,29.07,188.12,78.72,0.0,0.63,153.45,10-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-Jul-2019 - 00:00,9.75,15.28,2.3,37.26,14.39,0.63,24.57,28.18,302.12,3.55,1.33,11.87,1.67,1.7,30.08,313.91,74.41,0.33,0.57,168.18,11-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-Jul-2019 - 00:00,26.63,40.62,6.04,76.65,31.0,0.84,22.57,99.25,210.27,3.23,1.03,10.61,0.84,0.89,30.56,292.86,80.81,0.0,0.48,116.92,12-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-Jul-2019 - 00:00,39.95,59.17,11.26,129.0,63.5,0.38,22.16,78.89,215.91,3.02,0.85,12.43,1.02,1.15,29.08,252.42,82.62,0.0,0.45,109.67,13-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-Jul-2019 - 00:00,11.55,17.74,2.84,55.09,53.84,0.35,25.45,85.53,217.55,2.68,0.77,9.46,1.53,1.42,29.86,306.95,79.78,0.0,0.65,104.39,14-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-Jul-2019 - 00:00,10.02,15.63,2.31,49.61,21.61,0.32,28.08,44.55,114.3,2.51,0.81,9.67,1.45,1.37,26.76,172.16,86.39,0.04,0.84,99.46,15-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-Jul-2019 - 00:00,21.6,27.0,9.35,58.65,17.95,0.43,20.29,33.5,63.94,3.52,0.82,14.87,2.42,2.37,25.57,147.68,91.07,0.03,0.55,141.08,16-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-Jul-2019 - 00:00,15.92,25.01,3.74,53.96,15.23,0.41,22.84,4.63,49.29,2.2,0.62,10.76,1.34,1.42,24.93,124.0,94.54,0.0,0.55,116.51,17-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-Jul-2019 - 00:00,22.85,28.9,9.67,49.0,16.45,0.51,21.93,33.64,75.95,3.78,0.7,14.28,1.46,2.21,26.09,225.44,87.18,0.02,0.51,162.41,18-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
18-Jul-2019 - 00:00,23.67,30.89,9.31,54.07,20.86,0.51,23.98,50.81,114.03,3.93,0.72,14.97,,2.43,28.04,283.65,83.74,0.0,0.48,140.99,19-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-Jul-2019 - 00:00,21.39,30.91,6.54,55.46,26.17,0.49,24.37,39.25,121.54,3.6,0.82,14.45,,2.28,29.53,323.09,78.24,0.0,0.47,118.1,20-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-Jul-2019 - 00:00,26.49,33.98,10.96,62.0,28.86,0.53,15.36,37.51,85.12,3.37,0.76,14.51,,2.32,28.76,268.88,84.47,0.36,0.46,107.48,21-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-Jul-2019 - 00:00,17.03,25.76,5.14,45.23,18.27,0.45,23.53,44.62,106.02,2.83,0.82,11.38,,1.46,30.53,429.64,79.7,0.0,0.47,83.1,22-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
22-Jul-2019 - 00:00,20.09,30.66,5.08,47.99,18.19,0.56,18.29,42.99,88.52,3.83,0.77,14.91,,2.46,29.6,249.92,84.52,0.2,0.43,119.64,23-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-Jul-2019 - 00:00,17.18,25.41,4.35,44.02,21.76,0.61,30.92,49.09,116.32,4.16,0.78,12.97,,2.0,31.19,361.16,79.2,0.0,0.53,167.28,24-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-Jul-2019 - 00:00,17.47,25.06,5.46,52.12,21.12,0.47,36.63,36.3,115.34,3.17,0.76,12.18,,1.94,31.86,352.08,75.86,0.0,0.9,206.38,25-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-Jul-2019 - 00:00,14.31,21.5,3.84,36.05,24.84,0.43,22.49,17.95,71.21,2.6,0.56,11.2,,1.87,27.37,138.12,89.88,0.03,0.63,159.8,26-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
26-Jul-2019 - 00:00,11.77,17.64,3.35,29.6,28.07,0.35,22.82,15.92,51.98,2.27,0.43,8.34,,1.16,27.73,298.7,84.91,0.0,0.47,116.63,27-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
27-Jul-2019 - 00:00,11.11,16.69,2.98,25.0,16.24,0.31,16.23,6.53,26.79,1.6,0.39,7.05,,0.99,26.49,123.91,91.06,0.14,0.49,84.09,28-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
28-Jul-2019 - 00:00,10.92,15.43,3.61,26.75,19.28,0.35,14.31,9.48,34.06,1.85,0.37,6.88,,0.98,29.36,270.48,79.89,0.0,0.55,95.7,29-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
29-Jul-2019 - 00:00,13.57,18.3,5.04,27.4,19.0,0.3,15.39,13.54,47.17,2.01,0.36,7.96,,1.13,30.75,338.35,73.78,0.0,0.42,129.3,30-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
30-Jul-2019 - 00:00,16.68,21.24,6.96,24.42,24.46,0.38,14.6,25.79,64.6,2.69,0.5,9.8,,1.24,29.68,200.24,80.29,0.0,0.44,105.54,31-Jul-2019 - 00:00,"Sector-12, Karnal - HSPCB"
31-Jul-2019 - 00:00,13.86,18.57,5.24,21.03,29.25,0.35,12.16,17.94,46.14,2.37,0.51,10.37,,1.5,28.5,109.63,85.16,0.01,0.5,73.43,01-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
01-Aug-2019 - 00:00,16.88,23.34,5.82,25.65,31.35,0.5,19.88,30.39,62.82,2.58,0.46,9.63,,1.4,30.27,103.69,78.14,0.0,0.46,139.81,02-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
02-Aug-2019 - 00:00,19.94,24.09,9.28,28.83,20.23,0.47,9.55,29.92,65.95,3.06,0.44,11.77,,1.83,26.87,103.52,89.44,0.3,0.44,99.42,03-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
03-Aug-2019 - 00:00,17.32,19.63,8.82,25.29,25.09,0.42,10.32,24.69,48.48,2.8,0.49,11.57,,1.67,27.71,275.78,87.07,0.01,0.47,80.15,04-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
04-Aug-2019 - 00:00,18.51,21.82,8.86,27.29,28.92,0.46,14.49,28.28,56.85,2.95,0.6,12.27,,1.86,29.49,266.55,84.57,0.0,0.41,94.53,05-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-Aug-2019 - 00:00,17.49,19.37,9.19,23.3,33.45,0.5,25.15,44.16,85.21,2.73,0.37,8.0,,1.2,30.77,318.35,81.07,0.0,0.49,139.27,06-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-Aug-2019 - 00:00,20.39,18.74,13.21,23.86,39.11,0.4,19.48,22.2,53.47,2.37,0.51,12.43,,2.07,27.54,171.51,90.97,0.0,0.47,113.2,07-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-Aug-2019 - 00:00,23.11,22.3,14.29,28.07,43.46,0.47,15.87,31.17,99.17,3.05,0.55,12.38,,1.87,29.97,279.9,80.0,0.0,0.44,133.65,08-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-Aug-2019 - 00:00,24.4,24.11,14.72,30.78,37.32,0.45,16.32,32.49,91.6,4.31,4.38,14.78,,4.7,31.63,293.09,72.8,0.0,0.35,113.97,09-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
