from date,PM2.5,PM10,NOx,NO2,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,BP,AT,WS,WD,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
