from date,NO2,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,to date,station
01-Feb-2019 - 00:00,51.64,11.28,5.95,0.77,51.56,57.6,106.92,0.64,26.25,1.6,93.35,58.59,02-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Feb-2019 - 00:00,47.77,10.86,5.83,0.69,47.99,50.83,97.9,0.54,26.2,1.5,92.52,58.24,03-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Feb-2019 - 00:00,38.87,11.36,5.86,0.61,56.1,44.53,84.43,0.44,26.11,1.77,93.45,58.31,04-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Feb-2019 - 00:00,38.12,10.17,6.09,0.6,45.03,35.11,71.89,0.39,26.15,2.26,93.61,59.42,05-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Feb-2019 - 00:00,43.18,12.4,5.75,0.63,57.62,46.02,83.93,0.45,26.06,2.14,95.04,61.7,06-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Feb-2019 - 00:00,57.85,10.56,6.3,0.79,56.48,57.25,109.71,0.56,26.87,1.8,94.72,49.36,07-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Feb-2019 - 00:00,52.3,11.54,5.66,0.69,76.27,58.28,119.15,0.56,27.86,1.47,95.0,53.64,08-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Feb-2019 - 00:00,40.0,12.51,5.89,0.81,60.31,61.22,108.75,0.52,27.45,1.04,90.5,57.91,09-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Feb-2019 - 00:00,43.34,15.42,5.37,1.19,45.69,80.14,127.09,0.57,27.88,1.13,85.31,65.38,10-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Feb-2019 - 00:00,36.96,16.94,4.88,1.55,37.76,56.38,91.48,0.44,27.61,1.56,92.33,68.55,11-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Feb-2019 - 00:00,36.93,13.44,5.31,1.28,29.67,49.01,84.17,0.35,27.54,2.38,96.64,66.23,12-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Feb-2019 - 00:00,43.21,11.89,5.94,1.47,34.81,54.73,96.12,0.38,27.72,2.42,95.66,61.52,13-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Feb-2019 - 00:00,45.04,11.25,5.7,1.76,41.59,50.42,97.82,0.45,27.74,1.93,91.89,59.71,14-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Feb-2019 - 00:00,30.15,10.97,5.94,0.74,61.68,46.0,89.3,0.43,26.26,1.06,,68.5,15-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Feb-2019 - 00:00,24.29,10.76,5.62,1.69,146.4,33.89,72.78,0.35,27.81,1.31,100.0,41.67,16-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Feb-2019 - 00:00,7.52,9.36,5.83,1.22,103.08,33.8,62.6,0.17,26.08,1.16,,36.05,17-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Feb-2019 - 00:00,43.4,8.76,6.09,2.24,60.19,36.3,94.59,0.62,28.31,1.04,89.17,33.74,19-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Feb-2019 - 00:00,40.8,15.34,5.99,1.6,34.18,47.12,94.08,0.51,26.99,1.57,89.0,60.97,20-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Feb-2019 - 00:00,38.2,14.28,5.48,1.8,28.89,30.54,74.04,0.34,26.31,2.23,95.71,58.82,21-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Feb-2019 - 00:00,44.65,11.22,6.04,1.85,33.44,40.25,95.62,0.46,26.8,2.08,91.88,52.18,22-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Feb-2019 - 00:00,51.78,9.76,6.02,1.53,29.5,40.33,104.71,0.5,26.44,2.16,87.54,40.52,23-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Feb-2019 - 00:00,63.7,9.11,5.84,1.64,37.38,43.75,98.01,0.6,26.22,1.69,91.81,33.03,24-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
