from date,NO2,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,to date,station
21-May-2019 - 00:00,21.43,15.78,1.72,0.91,44.62,46.25,85.58,0.3,26.49,0.36,,59.27,22-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-May-2019 - 00:00,18.61,12.84,4.3,0.92,52.84,40.08,72.58,0.24,26.75,0.56,92.0,67.04,23-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-May-2019 - 00:00,21.15,13.55,4.48,0.96,26.58,44.33,77.5,0.33,26.29,0.76,85.0,70.65,24-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-May-2019 - 00:00,13.91,12.06,5.24,0.61,39.03,34.42,63.83,0.26,26.62,0.84,86.0,70.09,25-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-May-2019 - 00:00,9.94,9.59,1.71,0.51,36.46,21.67,45.08,0.17,26.53,1.14,87.0,68.42,26-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-May-2019 - 00:00,6.88,7.8,3.97,0.59,31.98,15.82,32.34,0.16,24.97,1.21,,66.23,27-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-May-2019 - 00:00,15.84,10.87,2.99,0.99,26.72,18.5,39.78,0.14,23.53,0.75,,63.22,28-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-May-2019 - 00:00,15.56,13.5,4.37,0.68,31.55,36.18,76.94,0.11,25.06,1.14,,66.95,29-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-May-2019 - 00:00,12.82,9.83,7.34,0.75,50.63,18.79,43.41,0.18,24.91,0.94,84.5,55.37,30-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-May-2019 - 00:00,11.48,9.57,3.03,0.59,49.49,30.25,68.83,0.24,25.74,1.29,,63.54,31-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
31-May-2019 - 00:00,13.14,7.55,1.14,0.59,64.72,27.02,57.38,0.2,26.17,1.13,83.3,66.5,01-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Jun-2019 - 00:00,12.07,8.01,2.71,0.73,42.92,24.44,49.43,0.18,25.68,1.1,85.33,68.82,02-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Jun-2019 - 00:00,6.17,10.74,4.08,0.47,25.99,25.27,55.44,0.05,25.61,1.5,,74.6,03-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Jun-2019 - 00:00,10.34,8.29,3.79,0.55,31.48,17.83,34.37,0.25,25.41,1.16,,74.56,04-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Jun-2019 - 00:00,5.6,8.23,5.92,0.35,30.29,23.66,51.98,0.12,25.74,1.26,,68.2,05-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Jun-2019 - 00:00,5.98,7.84,4.13,0.39,29.66,23.66,49.36,0.14,26.05,1.28,92.0,73.52,06-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Jun-2019 - 00:00,9.04,8.54,6.98,1.16,31.52,19.2,25.93,0.15,22.16,0.69,,90.0,07-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Jun-2019 - 00:00,10.72,35.92,9.67,0.88,44.31,26.0,15.33,0.16,,,,,08-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Jun-2019 - 00:00,15.26,14.03,5.6,0.79,47.46,22.44,49.54,0.15,25.39,0.65,85.5,65.15,09-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Jun-2019 - 00:00,6.36,9.74,1.71,0.4,,14.04,34.32,0.06,23.17,1.16,,68.48,10-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Jun-2019 - 00:00,2.76,5.66,3.48,0.37,21.57,5.18,21.28,0.08,23.09,1.41,,71.19,11-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Jun-2019 - 00:00,2.84,5.29,2.27,0.26,15.33,6.18,20.83,0.06,22.19,1.71,,71.81,12-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Jun-2019 - 00:00,1.75,4.6,4.38,0.28,12.47,6.95,29.19,0.06,22.81,2.18,,73.95,13-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Jun-2019 - 00:00,2.69,4.41,5.98,0.24,8.61,8.5,27.46,0.05,22.6,2.09,,73.76,14-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Jun-2019 - 00:00,4.15,4.25,5.77,0.36,12.3,14.81,38.58,0.06,22.51,1.63,,72.64,15-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Jun-2019 - 00:00,3.05,3.94,4.1,0.28,12.34,14.49,43.02,0.08,22.56,1.86,,67.32,16-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Jun-2019 - 00:00,1.7,4.12,6.96,0.29,15.13,14.76,44.57,0.05,22.5,1.91,,63.08,17-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Jun-2019 - 00:00,3.48,4.1,3.29,0.35,12.68,16.97,50.35,0.08,22.51,1.84,,63.95,18-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Jun-2019 - 00:00,2.17,4.36,3.11,0.21,11.58,18.9,51.66,0.07,22.46,1.71,,65.69,19-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Jun-2019 - 00:00,2.48,4.21,3.49,0.31,17.83,17.23,48.6,0.08,22.57,1.92,,64.93,20-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Jun-2019 - 00:00,1.8,3.66,3.59,0.24,16.93,11.3,38.55,0.07,22.64,2.16,,65.78,21-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Jun-2019 - 00:00,2.74,3.76,2.57,0.34,24.42,15.81,43.3,0.08,22.42,1.67,,70.89,22-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Jun-2019 - 00:00,2.5,3.59,3.22,0.35,30.32,7.39,25.84,0.08,22.49,1.67,,72.99,23-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Jun-2019 - 00:00,3.53,3.22,2.18,0.63,38.22,7.8,21.0,0.07,22.26,1.29,,79.48,24-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Jun-2019 - 00:00,4.87,4.11,3.33,0.58,36.29,13.09,33.93,0.06,22.31,1.31,,73.44,25-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Jun-2019 - 00:00,3.53,3.85,5.71,0.41,32.47,21.27,59.29,0.12,23.97,1.54,,68.11,26-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Jun-2019 - 00:00,4.82,4.46,2.68,0.4,29.78,19.1,53.1,0.14,25.36,1.77,,71.06,27-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Jun-2019 - 00:00,2.41,3.61,3.92,0.64,28.75,17.71,50.11,0.12,27.87,2.17,,70.87,28-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Jun-2019 - 00:00,0.9,0.92,2.7,0.59,32.75,20.39,61.11,0.09,27.37,2.45,,63.45,29-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Jun-2019 - 00:00,0.93,0.83,6.22,0.88,34.45,15.85,54.34,0.08,23.81,2.35,,66.28,30-Jun-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Jun-2019 - 00:00,0.68,1.3,5.2,0.83,30.66,14.42,46.17,0.1,29.51,2.31,,69.94,01-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Jul-2019 - 00:00,0.79,1.05,7.93,0.84,32.53,17.01,52.5,0.09,25.22,2.42,,66.01,02-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Jul-2019 - 00:00,0.81,0.95,6.42,0.91,37.62,11.76,41.09,0.06,21.82,2.27,,66.06,03-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Jul-2019 - 00:00,0.64,0.88,6.13,0.92,28.92,10.19,41.38,0.07,22.07,1.94,,69.28,04-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Jul-2019 - 00:00,6.32,4.39,3.34,1.03,28.74,9.52,38.82,0.09,24.95,1.9,,72.5,05-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Jul-2019 - 00:00,12.41,8.78,3.79,0.88,26.65,10.79,38.71,0.11,27.69,1.92,,76.99,06-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Jul-2019 - 00:00,10.28,8.76,3.75,1.58,25.96,11.08,32.17,0.12,27.54,1.43,,77.3,07-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Jul-2019 - 00:00,6.97,8.08,3.21,1.54,31.9,11.91,38.59,0.09,27.26,1.38,,69.39,08-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Jul-2019 - 00:00,7.39,12.54,8.78,2.13,25.65,11.37,41.11,0.14,28.81,2.09,,61.66,09-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Jul-2019 - 00:00,6.09,11.48,1.8,1.73,24.96,8.93,27.82,0.14,28.91,1.41,,73.71,10-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Jul-2019 - 00:00,6.46,11.17,2.39,1.37,29.62,9.95,23.56,0.13,28.65,1.52,,72.55,11-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Jul-2019 - 00:00,8.76,11.86,2.02,1.38,31.69,12.84,24.82,0.16,28.91,1.38,,70.33,12-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Jul-2019 - 00:00,11.17,10.33,2.24,1.33,30.67,13.84,37.8,0.17,28.9,1.14,,67.28,13-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Jul-2019 - 00:00,10.36,11.07,1.92,1.42,31.56,13.29,38.53,0.15,29.08,1.11,,68.07,14-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Jul-2019 - 00:00,7.44,10.26,3.47,1.45,33.38,12.68,29.7,0.11,29.01,1.2,,68.3,15-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Jul-2019 - 00:00,8.99,9.77,2.67,1.41,32.84,11.11,28.72,0.14,29.0,1.26,,69.53,16-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Jul-2019 - 00:00,9.9,10.84,2.49,1.57,30.49,17.39,35.85,0.16,28.96,1.08,,71.61,17-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Jul-2019 - 00:00,9.04,12.32,3.35,1.21,29.45,15.67,35.83,0.13,29.26,0.93,,72.36,18-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Jul-2019 - 00:00,12.54,17.75,3.6,1.12,26.31,36.55,40.7,0.21,29.0,0.95,,74.06,19-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Jul-2019 - 00:00,10.47,15.21,3.96,0.36,27.97,10.98,23.39,0.14,29.36,1.1,,77.71,20-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Jul-2019 - 00:00,7.84,13.12,3.61,0.5,28.61,7.63,18.48,0.11,29.07,1.29,,75.71,21-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Jul-2019 - 00:00,8.14,11.99,1.73,0.44,29.92,7.59,17.99,0.11,29.15,1.14,,79.61,22-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Jul-2019 - 00:00,8.81,8.94,4.05,0.56,33.46,8.55,19.09,0.06,25.71,1.2,,80.16,23-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Jul-2019 - 00:00,10.54,9.09,2.96,0.52,29.15,8.61,24.23,0.1,22.59,1.15,,81.04,24-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Jul-2019 - 00:00,9.49,9.64,2.26,0.56,32.93,11.28,30.47,0.11,23.23,1.19,,73.67,25-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Jul-2019 - 00:00,11.88,9.89,1.85,0.63,28.67,7.73,22.67,0.09,22.37,1.08,,76.88,26-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Jul-2019 - 00:00,10.19,8.75,4.15,0.54,25.95,10.1,28.38,0.12,23.02,1.31,,77.02,27-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Jul-2019 - 00:00,9.09,8.91,2.73,0.59,30.89,12.66,37.64,0.1,23.83,1.61,,71.11,28-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Jul-2019 - 00:00,9.26,8.94,3.01,0.64,33.61,11.92,39.04,0.08,22.79,1.42,,75.32,29-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Jul-2019 - 00:00,8.59,8.62,2.93,0.48,31.61,14.44,39.19,0.13,23.31,1.44,,73.96,30-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Jul-2019 - 00:00,9.52,7.69,2.1,0.61,30.09,11.38,35.46,0.13,23.47,1.42,,72.91,31-Jul-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
31-Jul-2019 - 00:00,9.25,7.64,3.04,0.48,31.74,11.04,34.62,0.13,22.91,1.4,,69.0,01-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Aug-2019 - 00:00,7.07,7.42,2.9,0.44,31.13,9.24,32.5,0.11,22.88,1.5,,67.74,02-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Aug-2019 - 00:00,8.49,6.97,2.71,0.43,29.08,10.27,35.23,0.09,22.81,1.57,,71.59,03-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Aug-2019 - 00:00,7.36,7.02,3.18,0.48,31.79,8.69,30.96,0.07,22.29,1.57,,70.22,04-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Aug-2019 - 00:00,6.24,6.85,1.94,0.58,29.0,9.18,32.71,0.07,22.23,1.62,,73.27,05-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Aug-2019 - 00:00,7.88,6.81,2.91,0.35,23.71,6.27,18.26,0.09,22.4,1.64,,79.59,06-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Aug-2019 - 00:00,7.13,6.49,2.53,0.54,24.71,4.35,14.16,0.09,22.5,1.81,,81.34,07-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Aug-2019 - 00:00,7.55,6.6,2.29,0.49,21.47,6.16,15.57,0.1,22.5,1.95,,82.99,08-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Aug-2019 - 00:00,8.82,6.79,3.29,0.53,21.6,6.82,17.74,0.1,22.38,1.8,,83.67,09-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Aug-2019 - 00:00,9.36,6.41,2.04,0.48,24.58,5.08,14.05,0.13,23.01,1.63,,83.63,10-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Aug-2019 - 00:00,8.24,6.27,2.38,0.35,26.41,5.83,17.59,0.09,22.91,1.83,,78.41,11-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Aug-2019 - 00:00,6.75,6.56,1.8,0.17,24.67,7.21,23.75,0.08,22.56,1.68,,76.84,12-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Aug-2019 - 00:00,11.09,8.36,10.31,0.58,22.58,10.06,28.47,0.08,22.34,1.27,,78.92,13-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Aug-2019 - 00:00,10.24,9.98,6.08,0.93,24.65,8.61,22.96,0.09,22.38,1.27,,78.47,14-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Aug-2019 - 00:00,11.39,8.57,5.63,0.48,24.13,10.76,24.92,0.13,23.97,1.29,,79.91,15-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Aug-2019 - 00:00,12.51,8.96,1.31,0.41,20.06,9.0,16.31,0.13,26.23,1.35,,78.94,16-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Aug-2019 - 00:00,11.65,8.62,4.2,0.37,17.61,10.32,21.58,0.13,26.43,1.39,,79.11,17-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Aug-2019 - 00:00,17.99,10.69,2.95,0.56,13.47,14.43,31.72,0.21,27.56,1.09,,82.12,18-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Aug-2019 - 00:00,21.72,13.64,2.12,0.47,14.21,15.63,31.3,0.22,28.25,0.69,93.75,86.08,19-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Aug-2019 - 00:00,19.57,11.34,2.89,1.06,13.19,12.17,25.78,0.15,25.83,0.86,95.67,78.41,20-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Aug-2019 - 00:00,13.81,12.76,6.0,1.86,10.29,9.76,24.55,0.15,23.51,0.87,,83.92,21-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Aug-2019 - 00:00,9.0,10.37,10.33,1.16,15.77,10.12,27.01,0.14,21.95,1.25,,79.69,22-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Aug-2019 - 00:00,8.3,12.64,9.32,0.42,19.89,12.34,31.33,0.14,21.65,1.27,,80.64,23-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Aug-2019 - 00:00,7.91,13.77,9.21,0.34,19.84,9.65,25.2,0.17,21.59,1.44,,79.74,24-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Aug-2019 - 00:00,6.5,12.6,8.31,0.35,19.75,9.79,23.19,0.13,21.59,1.47,,78.57,25-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Aug-2019 - 00:00,5.75,11.39,8.36,0.37,20.31,10.74,26.91,0.11,21.5,1.45,,73.97,26-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Aug-2019 - 00:00,14.81,15.98,5.41,0.82,21.72,12.16,30.23,0.16,21.44,1.21,,77.08,27-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Aug-2019 - 00:00,16.65,18.47,9.73,0.38,25.45,5.65,21.24,1.0,21.85,1.39,,72.91,28-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Aug-2019 - 00:00,26.13,10.43,3.99,0.34,26.71,10.37,29.5,0.16,22.16,1.05,,76.92,29-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Aug-2019 - 00:00,22.31,8.91,8.29,0.78,27.88,11.49,30.28,0.15,21.81,1.13,88.0,75.84,30-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Aug-2019 - 00:00,8.55,4.96,6.5,0.63,,10.5,29.0,0.12,22.12,1.7,,71.59,31-Aug-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
31-Aug-2019 - 00:00,9.95,4.95,6.24,0.6,,14.62,39.19,0.13,22.53,1.52,,75.29,01-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Sep-2019 - 00:00,7.99,4.94,8.29,0.78,,12.27,32.12,0.12,22.76,1.41,,77.14,02-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Sep-2019 - 00:00,6.92,4.89,8.36,0.79,,7.46,18.84,0.1,22.78,1.34,,80.73,03-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Sep-2019 - 00:00,9.17,4.84,7.05,0.67,23.55,8.12,16.53,0.13,26.44,1.38,,81.39,04-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Sep-2019 - 00:00,8.92,4.79,6.34,0.56,22.75,10.02,26.97,0.16,30.5,1.29,,82.14,05-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Sep-2019 - 00:00,8.64,4.88,6.87,0.58,23.16,8.41,20.72,0.14,26.48,1.59,,79.91,06-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Sep-2019 - 00:00,6.52,4.88,6.95,0.53,24.56,8.92,23.15,0.1,24.35,1.8,,78.34,07-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Sep-2019 - 00:00,3.92,5.0,7.44,0.95,19.59,10.0,12.18,0.1,19.15,1.56,,76.5,08-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Sep-2019 - 00:00,3.98,4.94,6.95,1.48,19.51,9.13,22.0,0.1,19.97,1.68,,75.52,09-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Sep-2019 - 00:00,4.09,4.94,6.33,0.87,19.84,10.13,24.96,0.14,22.14,1.57,,73.72,10-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Sep-2019 - 00:00,7.8,4.91,6.79,0.47,26.02,12.69,33.78,0.39,23.48,1.16,,73.9,11-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Sep-2019 - 00:00,10.22,4.94,6.89,0.43,28.01,12.28,35.08,0.18,23.51,1.17,,74.56,12-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Sep-2019 - 00:00,10.94,5.0,7.19,0.41,23.84,11.72,35.02,0.14,22.78,1.17,,78.32,13-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Sep-2019 - 00:00,12.28,5.01,7.2,0.46,23.63,12.61,31.93,0.1,22.68,1.11,,73.09,14-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Sep-2019 - 00:00,10.91,5.02,7.84,0.4,22.95,12.52,34.89,0.09,20.54,1.23,,73.19,15-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Sep-2019 - 00:00,9.3,5.06,7.18,0.58,26.6,13.48,37.97,0.06,20.26,1.25,,70.51,16-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Sep-2019 - 00:00,9.11,4.95,7.13,0.36,24.65,9.62,23.85,0.12,22.65,1.27,,77.11,17-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Sep-2019 - 00:00,7.24,4.91,8.83,0.31,20.29,11.21,20.73,0.12,24.58,1.22,,85.98,18-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Sep-2019 - 00:00,8.29,7.7,5.44,0.24,15.05,73.0,,0.4,19.76,0.65,81.5,84.58,19-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Sep-2019 - 00:00,10.23,25.37,6.92,0.4,26.22,16.33,38.36,0.74,21.02,0.93,97.0,77.41,20-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Sep-2019 - 00:00,11.93,18.45,7.36,0.43,30.87,11.19,34.4,0.13,21.09,1.05,90.5,73.85,21-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Sep-2019 - 00:00,18.99,16.66,6.75,0.46,35.65,16.75,47.22,0.92,20.22,0.74,83.33,70.27,22-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Sep-2019 - 00:00,16.84,16.11,6.46,0.41,35.53,10.51,31.56,0.07,20.99,0.52,79.38,80.06,23-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Sep-2019 - 00:00,20.8,19.43,12.7,0.42,40.36,12.51,30.66,0.13,21.88,0.55,80.52,81.22,24-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Sep-2019 - 00:00,19.54,16.86,16.85,0.6,51.68,13.92,27.53,0.14,23.67,0.67,82.86,82.47,25-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Sep-2019 - 00:00,22.43,20.96,10.74,0.59,37.02,12.46,44.36,0.23,24.26,0.56,84.67,81.33,26-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Sep-2019 - 00:00,19.75,15.16,6.35,0.62,32.38,11.62,31.55,0.2,24.43,0.73,95.0,77.01,27-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Sep-2019 - 00:00,28.55,17.93,6.28,0.75,41.95,32.83,61.04,0.39,24.29,0.5,81.75,81.79,28-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Sep-2019 - 00:00,24.67,18.89,5.24,0.63,47.89,27.36,54.28,0.35,25.68,0.64,81.21,72.11,29-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Sep-2019 - 00:00,24.78,17.09,5.61,0.66,42.07,43.09,73.33,0.32,25.73,0.75,91.83,69.18,30-Sep-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Sep-2019 - 00:00,26.13,14.74,5.02,0.57,37.48,22.01,50.29,0.32,23.73,0.97,93.6,68.53,01-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Oct-2019 - 00:00,20.24,15.28,5.81,0.66,45.25,25.84,44.93,0.24,23.98,0.61,88.56,78.35,02-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Oct-2019 - 00:00,19.3,13.29,5.63,0.55,56.14,11.04,22.22,0.21,25.69,0.68,88.5,74.11,03-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Oct-2019 - 00:00,29.09,14.48,5.91,0.71,61.12,26.37,46.65,0.38,25.31,0.56,77.56,77.73,04-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Oct-2019 - 00:00,24.38,14.3,5.55,0.81,60.86,27.74,42.83,0.24,23.58,0.6,86.65,80.99,05-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Oct-2019 - 00:00,37.77,15.29,5.16,0.6,37.01,26.51,51.51,0.3,22.71,0.49,83.5,80.17,06-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Oct-2019 - 00:00,36.67,17.93,5.77,0.53,5.08,31.5,58.93,0.28,22.23,0.52,77.91,76.23,07-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Oct-2019 - 00:00,48.86,10.5,10.94,0.61,32.54,29.66,53.64,0.2,22.37,0.53,79.91,79.26,08-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Oct-2019 - 00:00,23.89,14.36,4.3,0.67,61.95,16.15,26.7,0.17,22.87,0.59,79.34,76.86,09-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Oct-2019 - 00:00,41.69,14.57,5.03,0.82,57.92,32.53,49.16,0.27,22.14,0.47,81.27,77.74,10-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Oct-2019 - 00:00,41.2,18.2,5.81,0.71,33.67,37.16,71.23,0.17,21.34,0.49,85.68,77.54,11-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Oct-2019 - 00:00,36.81,18.63,5.54,0.63,37.35,45.65,78.81,0.25,22.53,0.48,84.79,75.4,12-Oct-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
