from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,SR,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
28-Apr-2019 - 00:00,4.91,3.94,2.52,,3.28,4.29,0.52,1.01,3.15,175.74,37.1,433.91,0.0,7.2,0.32,50.16,73.46,171.11,29-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
29-Apr-2019 - 00:00,5.6,4.28,2.49,,4.02,4.85,0.66,1.0,3.84,175.41,37.01,443.54,0.0,6.94,0.34,49.84,73.97,164.36,30-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
30-Apr-2019 - 00:00,5.19,4.11,2.55,0.01,3.34,4.2,0.8,0.73,3.32,175.87,15.6,429.82,0.0,6.81,0.28,52.78,60.38,180.25,01-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
01-May-2019 - 00:00,8.05,6.07,3.13,1.68,2.99,4.93,0.89,1.19,5.97,176.28,1.26,430.07,0.0,9.7,0.3,53.08,52.24,158.99,02-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-May-2019 - 00:00,7.3,5.33,2.7,0.13,3.39,4.2,0.51,0.97,3.73,177.31,1.34,385.48,0.0,8.77,0.41,61.62,71.5,214.58,03-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-May-2019 - 00:00,5.69,4.41,2.6,0.28,2.42,3.93,0.45,0.81,2.95,177.0,1.33,414.09,0.0,7.74,0.33,59.28,47.35,144.61,04-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-May-2019 - 00:00,5.2,4.23,2.46,0.18,3.1,3.79,0.41,0.85,3.24,176.56,1.29,416.68,0.0,5.87,0.34,47.72,69.12,219.48,05-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
05-May-2019 - 00:00,6.33,5.68,2.39,1.87,5.42,4.15,0.46,1.08,4.77,176.42,1.28,447.28,0.0,7.19,0.55,38.58,87.66,226.32,06-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
06-May-2019 - 00:00,4.51,4.17,2.37,3.66,5.36,1.62,1.12,2.64,3.68,176.32,1.25,401.49,0.0,7.79,0.65,40.97,114.37,264.38,07-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
07-May-2019 - 00:00,4.45,4.09,2.24,3.13,3.92,2.48,1.97,5.14,2.41,176.23,1.24,401.64,0.0,8.01,0.76,39.32,129.56,279.73,08-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
08-May-2019 - 00:00,4.51,4.31,2.45,3.67,7.48,2.02,1.15,4.41,3.49,176.4,1.25,395.8,0.0,9.95,0.65,34.5,137.88,344.17,09-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
09-May-2019 - 00:00,5.43,5.32,2.81,5.67,5.55,3.8,0.45,6.27,4.7,176.65,1.26,279.96,0.0,9.52,0.65,37.84,133.44,341.95,10-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-May-2019 - 00:00,4.7,4.72,2.78,5.63,3.47,3.76,0.4,3.69,3.9,178.04,1.35,186.15,0.0,6.45,0.35,35.3,63.73,178.11,11-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-May-2019 - 00:00,4.61,5.21,3.47,8.18,3.83,3.48,0.31,0.67,3.66,177.54,1.31,3.46,0.0,8.43,0.49,24.59,64.75,177.44,12-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-May-2019 - 00:00,6.55,6.48,3.18,10.01,5.9,4.17,0.41,0.75,5.74,176.39,1.22,3.99,0.0,9.36,0.68,43.13,149.13,299.18,13-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-May-2019 - 00:00,5.45,4.98,2.38,8.21,5.29,4.41,0.48,1.0,5.04,176.83,1.24,3.67,0.0,11.33,0.7,33.72,123.92,297.42,14-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-May-2019 - 00:00,4.55,4.39,2.54,7.58,2.6,4.12,0.35,0.82,3.13,177.71,1.3,4.24,0.05,14.15,0.37,45.98,45.65,105.48,15-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-May-2019 - 00:00,4.92,4.92,2.81,6.78,3.38,3.96,0.34,0.78,3.43,178.78,1.4,125.05,0.07,17.66,0.44,33.39,68.52,102.61,16-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
16-May-2019 - 00:00,5.63,5.87,3.3,8.56,4.14,4.46,0.34,1.03,4.2,177.18,1.33,317.83,0.0,21.21,0.47,38.16,79.26,148.24,17-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-May-2019 - 00:00,4.98,5.22,3.09,8.97,4.3,4.12,0.27,1.02,3.84,178.11,1.39,295.63,0.0,23.62,0.38,45.82,61.26,143.13,18-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-May-2019 - 00:00,2.6,3.33,3.3,7.53,2.63,4.22,0.32,0.98,3.33,176.85,1.31,332.38,0.0,26.06,0.32,48.97,37.88,76.62,19-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-May-2019 - 00:00,4.07,3.86,2.32,7.45,5.58,4.17,0.31,0.39,1.89,175.78,1.22,330.44,0.0,26.65,0.48,45.25,64.5,140.13,20-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-May-2019 - 00:00,3.87,3.71,2.76,7.63,3.4,3.92,0.41,0.77,4.92,176.21,1.25,263.22,0.0,16.13,0.46,36.99,62.06,278.79,21-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-May-2019 - 00:00,5.01,5.09,4.38,9.57,3.76,4.81,0.64,0.89,4.46,175.29,1.18,326.81,0.0,8.38,0.43,48.75,65.63,162.58,22-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
22-May-2019 - 00:00,4.18,4.54,4.49,8.34,4.18,3.48,0.67,0.65,5.83,175.93,1.23,199.9,0.0,8.61,0.49,32.49,64.7,179.78,23-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-May-2019 - 00:00,5.48,5.45,4.37,10.08,4.06,4.51,0.56,0.8,6.28,176.29,1.27,234.35,0.02,8.02,0.49,33.12,74.73,205.53,24-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-May-2019 - 00:00,5.24,5.13,4.2,8.13,2.21,3.89,0.33,0.69,2.98,176.9,1.34,316.5,0.07,10.14,0.27,30.12,77.75,149.03,25-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-May-2019 - 00:00,5.33,5.26,4.29,7.04,1.96,4.04,0.27,0.7,2.57,175.9,1.27,397.02,0.0,9.05,0.26,55.79,28.06,78.81,26-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-May-2019 - 00:00,6.44,6.14,4.3,8.8,3.13,5.53,0.48,1.0,3.85,175.04,1.19,,0.0,8.32,0.34,56.25,39.09,87.1,27-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-May-2019 - 00:00,6.97,6.56,4.32,11.0,3.32,5.11,0.64,1.08,3.93,174.91,1.16,523.89,0.0,7.55,0.34,62.18,37.08,97.73,28-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
28-May-2019 - 00:00,6.6,6.14,4.15,12.71,3.39,5.54,0.69,1.05,4.39,174.57,1.13,406.99,0.0,5.52,0.3,47.3,42.38,110.37,29-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
29-May-2019 - 00:00,5.23,4.9,3.93,10.74,5.34,5.29,0.79,0.89,5.9,174.24,1.1,441.94,0.0,6.94,0.5,41.26,69.5,178.77,30-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
30-May-2019 - 00:00,5.66,5.39,4.13,11.37,5.07,5.19,0.93,0.96,7.26,174.02,1.08,455.7,0.0,8.75,0.52,34.1,65.66,202.75,31-May-2019 - 00:00,"F-Block, Sirsa - HSPCB"
31-May-2019 - 00:00,4.8,4.58,3.95,9.83,3.7,4.55,0.86,0.93,6.2,173.96,1.08,552.92,0.0,9.76,0.35,30.3,85.31,290.89,01-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
01-Jun-2019 - 00:00,4.5,4.33,3.92,9.3,4.52,3.91,0.73,0.82,6.42,174.01,1.07,386.95,0.0,10.49,0.39,33.23,61.26,185.8,02-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-Jun-2019 - 00:00,3.61,3.64,3.93,8.22,5.28,5.35,0.74,0.91,5.01,174.47,1.1,240.24,0.0,13.67,0.52,42.0,78.48,216.87,03-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-Jun-2019 - 00:00,4.14,4.2,4.11,9.0,5.26,4.86,0.96,0.9,4.7,174.39,1.1,435.66,0.0,16.74,0.48,32.68,79.48,219.71,04-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-Jun-2019 - 00:00,4.16,4.22,4.12,7.38,4.14,4.83,0.78,0.88,4.07,175.32,1.16,372.56,0.0,7.6,0.44,44.14,77.0,310.5,05-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
05-Jun-2019 - 00:00,5.13,5.04,4.2,9.12,4.12,4.98,0.74,0.88,3.72,174.62,1.11,429.46,0.0,9.16,0.4,40.56,78.89,215.81,06-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
06-Jun-2019 - 00:00,5.24,5.12,4.2,10.09,3.36,4.22,0.69,0.9,3.38,175.38,1.16,458.98,0.0,9.65,0.31,43.97,56.21,186.02,07-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
07-Jun-2019 - 00:00,3.54,3.72,4.09,8.39,4.0,4.16,0.58,0.76,3.81,175.38,1.16,436.31,0.0,8.31,0.4,47.82,56.88,163.06,08-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
08-Jun-2019 - 00:00,5.13,4.71,3.79,9.87,4.15,5.12,0.83,0.85,4.26,174.71,1.11,383.19,0.0,9.33,0.36,46.54,53.33,156.27,09-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
09-Jun-2019 - 00:00,5.58,5.08,3.82,10.92,5.2,5.09,1.11,0.94,5.2,174.55,1.09,372.3,0.0,7.39,0.41,42.52,64.6,199.21,10-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-Jun-2019 - 00:00,5.9,5.74,4.33,12.04,4.1,4.13,0.96,0.8,4.86,174.04,1.06,353.87,0.0,6.61,0.38,34.74,53.84,189.19,11-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-Jun-2019 - 00:00,7.69,6.51,4.51,12.84,3.47,2.12,0.53,0.48,4.37,172.96,1.01,379.49,0.0,8.78,0.33,23.45,78.28,286.17,12-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-Jun-2019 - 00:00,8.09,4.89,4.05,9.51,2.85,0.43,0.01,0.1,1.3,173.28,1.05,381.61,0.0,12.69,0.29,31.33,78.16,319.77,13-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-Jun-2019 - 00:00,6.8,3.75,3.88,6.06,2.17,0.41,0.01,0.09,1.15,173.36,1.06,382.33,0.0,15.87,0.31,42.01,60.29,204.39,14-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-Jun-2019 - 00:00,5.34,2.81,4.13,8.11,3.34,0.41,,0.06,1.72,172.74,1.01,125.7,0.0,16.39,0.3,50.92,59.99,191.88,15-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-Jun-2019 - 00:00,7.14,4.25,4.18,9.03,2.99,0.36,0.01,0.07,2.05,173.1,1.03,428.55,0.0,6.74,0.28,32.26,96.51,278.74,16-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
16-Jun-2019 - 00:00,8.05,5.03,4.26,9.53,1.74,0.35,0.01,0.06,1.42,176.89,1.31,291.22,0.53,9.08,0.3,18.73,138.6,164.11,17-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-Jun-2019 - 00:00,7.59,4.18,3.64,7.6,1.86,0.26,,0.04,0.98,174.72,1.17,417.62,0.0,7.8,0.29,22.88,69.38,203.71,18-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-Jun-2019 - 00:00,7.58,4.35,3.87,10.06,1.06,0.3,0.18,0.23,1.04,175.92,1.26,346.72,0.12,8.54,0.25,31.4,40.73,79.4,19-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-Jun-2019 - 00:00,7.73,4.62,4.07,9.73,2.54,0.3,0.2,0.37,1.37,173.77,1.1,422.5,0.0,9.09,0.34,32.24,68.7,151.74,20-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-Jun-2019 - 00:00,7.97,4.82,4.09,9.9,2.19,0.25,0.18,0.3,1.23,174.5,1.2,193.36,0.0,7.85,0.31,40.17,74.08,199.62,21-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-Jun-2019 - 00:00,7.91,4.73,4.03,8.61,2.24,0.41,0.28,0.52,2.02,173.87,1.25,431.13,0.0,7.91,0.36,53.05,54.64,96.44,22-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
22-Jun-2019 - 00:00,8.66,5.34,4.06,10.82,3.42,0.4,0.25,0.47,2.76,172.85,1.02,395.49,0.0,7.07,0.43,51.19,103.31,171.5,23-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-Jun-2019 - 00:00,8.08,4.87,4.04,9.13,2.89,0.32,0.22,0.38,1.53,173.09,1.03,387.59,0.0,10.37,0.41,53.6,90.82,183.25,24-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-Jun-2019 - 00:00,7.31,4.3,4.07,7.71,1.59,0.28,0.18,0.4,0.98,174.33,1.13,321.84,0.0,13.16,0.32,35.58,74.01,139.54,25-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-Jun-2019 - 00:00,7.42,4.38,4.07,9.35,1.58,0.26,0.16,0.34,1.24,173.13,1.06,393.84,0.0,13.27,0.34,33.52,109.63,69.06,26-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-Jun-2019 - 00:00,8.08,4.87,4.04,11.3,1.78,0.28,0.17,0.28,1.68,172.09,0.97,404.65,0.0,10.77,0.34,40.71,31.46,90.63,27-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-Jun-2019 - 00:00,7.56,4.27,3.8,7.68,1.74,0.22,0.17,0.31,1.63,173.05,1.04,388.27,0.0,8.98,0.29,41.48,68.3,245.73,28-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
28-Jun-2019 - 00:00,7.69,4.39,3.81,7.91,1.54,0.22,0.19,0.32,1.91,172.81,1.03,216.71,0.0,8.94,0.27,29.91,57.11,256.1,29-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
29-Jun-2019 - 00:00,8.16,4.88,3.98,8.39,1.68,0.21,0.16,0.31,1.46,171.63,0.94,337.19,0.0,9.46,0.26,24.65,87.3,270.52,30-Jun-2019 - 00:00,"F-Block, Sirsa - HSPCB"
30-Jun-2019 - 00:00,8.68,5.37,4.08,9.53,2.26,0.27,0.2,0.44,2.14,171.9,0.96,297.86,0.0,12.98,0.29,30.61,80.34,277.46,01-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
01-Jul-2019 - 00:00,7.37,4.31,4.02,7.54,1.34,0.22,0.16,0.3,1.5,172.29,0.98,273.37,0.21,9.99,0.22,24.76,105.17,345.24,02-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-Jul-2019 - 00:00,4.09,3.27,4.01,4.33,1.47,0.23,0.16,0.22,1.65,173.06,1.05,364.49,0.0,7.06,0.24,36.17,68.24,171.44,03-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-Jul-2019 - 00:00,3.04,3.49,4.21,3.96,2.78,0.28,0.2,0.3,2.45,171.65,0.95,402.84,0.01,9.61,0.41,41.21,125.08,206.77,04-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-Jul-2019 - 00:00,6.11,4.75,3.55,7.69,1.99,0.22,0.16,0.27,1.41,172.99,1.04,312.0,0.0,9.28,0.3,22.58,103.1,184.16,05-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
05-Jul-2019 - 00:00,4.97,4.26,3.69,6.12,1.5,0.14,0.12,0.23,1.03,172.43,1.01,383.47,0.0,6.85,0.23,37.59,172.12,418.9,06-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
06-Jul-2019 - 00:00,6.71,10.64,6.06,4.52,1.02,0.07,0.1,0.13,0.76,158.22,1.24,251.28,0.0,11.44,0.21,63.81,47.88,167.23,07-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
07-Jul-2019 - 00:00,7.83,15.83,7.89,3.34,1.25,0.07,0.12,0.18,0.96,145.01,1.09,307.48,0.0,15.5,0.23,72.49,49.77,206.96,08-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
08-Jul-2019 - 00:00,7.92,16.01,8.07,5.48,1.63,0.09,0.14,0.19,2.35,160.18,8.85,159.07,0.08,18.26,0.29,65.62,84.29,175.49,09-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
09-Jul-2019 - 00:00,7.91,15.97,8.02,7.03,0.81,0.07,0.13,0.15,0.94,179.16,1.78,171.59,0.0,21.48,0.55,51.92,131.89,275.15,10-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-Jul-2019 - 00:00,6.12,11.45,5.61,7.0,1.84,0.1,0.15,0.23,2.49,171.9,2.43,305.79,0.0,10.86,0.31,23.48,103.77,371.92,11-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-Jul-2019 - 00:00,4.44,8.36,4.17,6.92,1.18,0.44,0.13,0.22,1.73,171.85,2.36,239.16,0.0,7.58,0.25,5.09,182.08,510.04,12-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-Jul-2019 - 00:00,3.91,8.42,4.59,6.99,1.06,0.13,0.11,0.2,1.35,172.75,2.34,255.86,0.0,9.36,0.19,15.47,219.06,587.46,13-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-Jul-2019 - 00:00,5.7,6.54,4.71,5.97,1.07,0.11,0.14,0.21,1.18,173.16,2.33,277.89,0.01,9.83,0.17,21.07,115.26,496.73,14-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-Jul-2019 - 00:00,4.24,8.08,3.98,8.06,1.06,0.09,0.12,0.23,0.9,173.15,2.5,230.68,0.0,6.57,0.2,25.72,107.51,372.55,15-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-Jul-2019 - 00:00,3.95,7.96,3.99,7.32,1.08,0.11,0.13,0.23,1.51,173.78,2.68,196.57,0.03,6.32,0.22,19.93,76.57,156.1,16-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
16-Jul-2019 - 00:00,3.61,7.76,3.95,7.05,1.03,0.11,0.13,0.24,1.26,174.88,2.77,124.03,0.27,6.69,0.21,43.08,28.99,51.08,17-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-Jul-2019 - 00:00,6.51,6.16,4.14,6.58,0.88,0.12,0.15,0.25,1.2,173.01,2.61,223.68,1.05,6.32,0.21,45.49,44.74,34.84,18-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-Jul-2019 - 00:00,9.17,4.72,4.51,8.18,1.18,0.11,0.15,0.22,1.22,172.36,2.42,296.37,0.29,6.09,0.24,33.92,58.27,81.98,19-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-Jul-2019 - 00:00,9.08,4.74,4.38,7.98,1.04,0.11,0.13,0.2,1.21,172.58,2.36,280.47,0.22,5.95,0.24,32.67,40.38,137.12,20-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-Jul-2019 - 00:00,9.22,4.5,4.72,8.52,1.11,0.11,0.13,0.23,1.13,173.88,2.24,223.53,0.03,5.53,0.36,35.67,70.1,121.18,21-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-Jul-2019 - 00:00,9.55,4.87,4.88,9.01,2.11,0.18,0.16,0.26,1.8,173.04,2.3,247.03,0.53,6.77,0.38,47.85,57.45,121.96,22-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
22-Jul-2019 - 00:00,7.25,8.31,5.25,6.84,1.71,0.16,0.14,0.23,2.21,173.09,2.42,212.93,0.26,6.39,0.4,27.37,59.42,111.44,23-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-Jul-2019 - 00:00,6.05,11.99,5.96,8.02,1.77,0.14,0.15,0.27,1.76,172.5,2.13,316.23,0.06,7.92,0.38,58.78,94.57,231.54,24-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-Jul-2019 - 00:00,6.03,11.94,5.91,7.97,1.67,0.13,0.16,0.37,1.92,172.25,2.24,263.32,0.8,8.9,0.31,48.12,74.33,177.68,25-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-Jul-2019 - 00:00,6.09,11.97,5.9,7.97,1.0,0.08,0.14,0.28,1.34,175.32,2.61,107.12,0.38,8.36,0.21,30.69,32.08,55.43,26-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-Jul-2019 - 00:00,6.07,11.99,5.94,7.97,1.4,0.12,0.14,0.28,2.24,174.48,2.4,122.58,0.95,6.55,0.31,26.58,36.67,61.08,27-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-Jul-2019 - 00:00,6.08,12.0,5.94,7.98,1.52,0.09,0.17,0.34,1.21,174.99,2.27,155.13,0.83,9.18,0.2,35.99,44.71,56.85,28-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
28-Jul-2019 - 00:00,6.1,12.01,5.95,7.97,1.54,0.12,0.24,0.48,1.65,174.53,2.17,124.09,0.35,10.51,0.9,28.85,34.8,45.82,29-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
29-Jul-2019 - 00:00,6.0,11.95,5.94,7.97,1.57,0.14,0.26,0.48,2.02,173.81,1.95,266.82,0.0,11.06,1.21,31.48,29.25,45.71,30-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
30-Jul-2019 - 00:00,5.63,11.75,5.93,7.93,1.85,0.15,0.3,0.68,1.77,174.2,1.95,292.2,0.0,12.26,0.42,35.29,47.81,63.15,31-Jul-2019 - 00:00,"F-Block, Sirsa - HSPCB"
31-Jul-2019 - 00:00,5.33,11.6,5.94,7.87,1.71,0.13,0.29,0.77,1.3,175.11,2.02,282.24,0.0,14.16,1.64,36.01,53.81,62.42,01-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
01-Aug-2019 - 00:00,5.5,11.69,5.94,8.02,1.57,0.13,0.21,0.42,1.32,174.18,2.12,306.28,0.06,9.67,1.39,37.83,55.43,93.03,02-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-Aug-2019 - 00:00,5.74,11.78,5.89,8.16,1.18,0.1,0.16,0.24,1.04,175.29,2.1,294.7,0.19,8.87,1.22,41.88,41.6,57.28,03-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-Aug-2019 - 00:00,6.68,12.3,5.94,8.18,1.48,0.09,0.17,0.23,1.06,173.65,2.18,258.05,0.06,8.86,0.54,51.84,82.07,59.37,04-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-Aug-2019 - 00:00,6.88,12.39,5.91,8.19,1.87,0.1,0.15,0.28,1.3,172.9,2.02,285.37,0.0,10.94,0.45,44.51,83.48,87.12,05-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
05-Aug-2019 - 00:00,6.55,12.23,5.93,8.03,1.96,0.2,0.17,0.25,1.67,171.61,2.21,249.68,0.0,8.84,0.35,37.29,65.16,94.82,06-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
06-Aug-2019 - 00:00,6.09,11.99,5.93,7.84,1.34,0.1,0.15,0.26,1.12,172.13,2.32,262.85,0.0,7.91,0.38,32.69,33.56,91.73,07-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
07-Aug-2019 - 00:00,6.09,12.01,5.95,7.86,1.99,0.16,0.16,0.27,1.6,171.92,2.29,276.56,0.0,10.32,1.3,36.83,66.91,73.73,08-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
08-Aug-2019 - 00:00,6.09,12.0,5.93,7.91,1.97,0.12,0.16,0.28,1.38,171.41,2.16,270.76,0.0,8.57,0.4,28.87,64.83,86.51,09-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
09-Aug-2019 - 00:00,6.07,12.0,5.95,7.95,1.46,0.11,0.14,0.23,1.13,174.61,2.05,297.81,0.0,8.02,0.26,29.88,55.43,87.78,10-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-Aug-2019 - 00:00,6.09,11.99,5.94,7.98,1.26,0.08,0.12,0.22,0.84,172.78,2.32,292.19,0.0,8.87,0.24,28.95,19.69,52.73,11-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-Aug-2019 - 00:00,6.08,11.99,5.94,7.98,1.6,0.12,0.14,0.24,1.24,171.78,2.14,309.73,0.0,11.07,0.29,28.19,18.71,76.23,12-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-Aug-2019 - 00:00,6.08,12.0,5.94,7.98,1.16,0.08,0.12,0.24,0.91,172.05,2.19,372.53,0.0,13.04,0.23,21.2,65.23,41.07,13-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-Aug-2019 - 00:00,6.08,11.99,5.94,7.98,0.94,0.07,0.11,0.19,0.72,172.23,2.28,237.97,0.0,10.65,0.24,11.44,22.61,75.87,14-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-Aug-2019 - 00:00,6.08,12.0,5.94,7.98,1.36,0.15,0.12,0.24,2.58,172.38,2.36,264.59,0.0,6.24,0.3,16.23,77.27,66.23,15-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-Aug-2019 - 00:00,6.08,12.0,5.95,7.98,1.63,0.11,0.14,0.24,1.54,171.98,2.32,15.76,0.0,7.52,0.34,18.74,61.29,78.9,16-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
16-Aug-2019 - 00:00,5.98,12.0,6.01,7.98,1.24,0.1,0.11,0.2,1.06,172.33,2.39,334.92,0.0,7.6,0.26,23.48,50.25,63.26,17-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-Aug-2019 - 00:00,5.89,11.98,6.05,7.98,0.83,0.06,0.1,0.18,0.71,173.64,2.61,156.32,0.0,7.65,0.22,20.85,33.24,35.6,18-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-Aug-2019 - 00:00,5.89,11.99,6.06,7.98,0.64,0.05,0.08,0.15,0.62,172.58,2.39,327.6,0.0,6.8,0.22,23.29,11.5,19.22,19-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-Aug-2019 - 00:00,5.57,11.73,6.03,7.92,1.02,0.22,0.09,0.14,0.81,173.8,2.14,363.84,0.18,7.28,0.42,31.41,76.03,58.95,20-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-Aug-2019 - 00:00,5.88,12.02,6.14,8.3,1.2,0.24,0.12,0.16,1.15,175.3,1.93,400.05,0.0,7.3,0.29,25.21,28.33,119.04,21-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-Aug-2019 - 00:00,5.99,11.95,6.02,8.99,1.42,0.19,0.15,0.2,1.56,174.85,1.9,432.37,0.0,7.59,1.14,27.17,47.45,126.14,22-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
