from date,NO2,NOx,NO,NH3,SO2,Ozone,CO,PM10,PM2.5,Benzene,Toluene,AT,Temp,BP,RH,RF,WS,WD,SR,to date,station
01-Jan-2019 - 00:00,88.46,96.35,60.53,135.68,11.12,40.87,2.48,467.55,325.25,11.26,78.95,12.96,31.91,742.78,54.79,0.0,1.1,297.31,45.17,02-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Jan-2019 - 00:00,59.55,73.11,50.84,156.86,9.16,45.84,1.96,422.27,330.03,10.75,31.61,14.22,32.14,742.88,56.56,0.0,0.85,238.34,42.26,03-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Jan-2019 - 00:00,84.39,89.66,54.97,147.4,11.56,39.12,1.84,441.2,316.78,8.76,65.56,13.34,32.02,742.99,57.62,0.0,2.6,259.6,42.76,04-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Jan-2019 - 00:00,59.9,43.73,14.49,131.48,7.55,23.66,1.3,339.15,262.44,6.75,27.72,10.81,31.5,742.81,65.23,0.0,1.68,218.77,36.8,05-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Jan-2019 - 00:00,38.24,22.77,2.86,123.87,7.17,43.3,1.49,290.92,217.77,7.27,18.29,12.85,31.53,742.36,59.52,0.0,2.86,167.09,44.54,06-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Jan-2019 - 00:00,47.71,35.82,12.71,127.63,7.44,35.04,1.03,270.81,214.29,5.88,12.16,12.87,31.97,742.22,60.9,0.0,2.99,126.31,27.68,07-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Jan-2019 - 00:00,62.72,46.45,15.96,136.72,6.57,32.17,1.17,252.73,186.41,5.61,17.26,12.91,32.46,742.47,61.05,0.0,2.92,138.32,42.64,08-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Jan-2019 - 00:00,69.51,55.34,22.46,129.81,7.63,37.08,0.94,255.16,167.82,4.9,43.34,12.3,32.46,742.23,60.3,0.0,2.4,258.21,43.48,09-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Jan-2019 - 00:00,73.19,61.26,27.32,77.45,10.26,30.05,0.99,272.93,157.35,5.02,35.11,12.12,31.94,742.0,57.22,0.0,2.69,301.85,49.32,10-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Jan-2019 - 00:00,86.13,82.01,44.4,44.26,9.78,32.76,1.23,273.07,186.18,6.02,31.86,12.72,32.0,742.01,54.22,0.0,1.46,281.42,47.41,11-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
