from date,NO2,NO,NOx,SO2,CO,PM2.5,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
01-Jan-2019 - 00:00,68.11,37.27,62.91,10.95,1.25,277.23,12.71,52.85,0.84,-0.34,67.71,752.47,57.85,0.0,0.28,1.99,18.02,02-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
02-Jan-2019 - 00:00,95.05,62.21,99.45,9.35,1.92,368.12,9.94,55.54,0.7,-0.4,89.85,752.44,48.41,0.0,0.46,2.86,11.57,03-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
03-Jan-2019 - 00:00,54.48,10.0,36.36,7.33,0.9,259.73,9.73,58.74,0.4,-0.3,53.01,752.43,50.14,0.0,0.26,1.84,17.2,04-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
04-Jan-2019 - 00:00,57.12,51.77,69.44,9.7,1.15,243.77,9.53,55.54,0.46,-0.33,65.38,752.27,64.53,0.0,0.26,1.64,19.04,05-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
05-Jan-2019 - 00:00,76.99,21.38,55.75,7.35,1.12,272.48,8.42,56.1,0.53,-0.37,83.08,751.83,45.77,0.0,0.28,1.82,11.62,06-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
06-Jan-2019 - 00:00,39.43,3.71,21.71,6.13,0.55,221.44,6.89,59.75,0.59,-0.35,90.65,750.49,36.73,0.0,0.11,0.72,18.96,07-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
07-Jan-2019 - 00:00,38.05,7.44,25.7,7.27,0.73,132.62,9.08,59.1,0.67,-0.4,151.32,750.84,65.3,0.0,0.16,1.05,14.05,08-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
08-Jan-2019 - 00:00,28.11,2.69,16.84,6.65,0.42,117.39,11.92,55.56,0.5,-0.4,193.67,750.55,84.52,0.0,0.12,0.78,22.4,09-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
09-Jan-2019 - 00:00,30.13,2.88,18.01,7.58,0.45,116.31,11.79,55.8,0.5,-0.4,194.0,750.45,86.25,0.0,0.1,0.49,26.18,10-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
10-Jan-2019 - 00:00,47.41,49.13,64.3,10.81,1.03,185.7,11.81,55.72,0.5,-0.4,196.59,750.62,82.81,0.0,0.18,0.97,23.99,11-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
