from date,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
10-Jul-2019 - 00:00,0.1,237.11,48.01,92.17,7.3,34.52,24.15,12.67,109.38,32.34,0.5,1.26,14.48,3.97,0.96,2.25,1.08,0.91,11-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Jul-2019 - 00:00,0.18,260.39,38.64,95.83,6.7,20.29,16.15,13.79,137.84,33.23,0.51,1.31,12.15,4.8,1.08,2.19,0.76,1.16,12-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Jul-2019 - 00:00,0.16,263.51,38.36,81.64,7.8,24.95,19.51,10.49,126.16,32.81,0.5,1.24,10.38,4.25,0.97,2.17,0.71,0.96,13-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Jul-2019 - 00:00,0.2,255.76,33.92,90.78,6.42,23.91,17.82,15.58,91.19,33.31,0.52,1.43,12.86,3.95,1.12,2.5,0.96,1.06,14-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Jul-2019 - 00:00,0.11,227.47,36.48,87.63,5.63,22.37,16.36,13.08,112.13,32.57,0.43,1.5,9.22,3.5,0.89,1.63,0.59,0.82,15-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Jul-2019 - 00:00,-0.14,151.14,66.82,60.06,6.31,23.26,17.42,14.24,93.61,28.94,0.73,1.47,15.9,7.69,1.29,2.59,1.16,1.83,16-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Jul-2019 - 00:00,-0.19,109.68,69.1,78.99,5.79,27.62,19.33,21.65,50.05,28.77,0.56,1.52,17.19,8.21,1.38,2.79,1.29,2.1,17-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Jul-2019 - 00:00,-0.16,160.28,74.53,86.97,5.61,24.32,17.42,18.56,45.88,28.27,0.38,0.95,16.6,5.18,0.94,1.85,0.89,1.37,18-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Jul-2019 - 00:00,-0.07,210.46,78.85,94.11,8.47,31.34,23.44,30.25,46.69,26.56,0.66,0.95,16.61,5.22,1.75,3.06,1.28,1.19,19-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Jul-2019 - 00:00,-0.0,174.72,57.3,131.61,11.84,30.63,25.77,47.02,79.37,29.27,0.93,0.78,9.93,9.32,2.38,4.35,1.89,2.43,20-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Jul-2019 - 00:00,0.01,154.91,64.43,77.1,7.15,29.95,21.65,17.48,60.66,28.31,0.93,0.86,9.52,10.74,3.01,5.08,2.31,2.82,21-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Jul-2019 - 00:00,0.1,155.05,68.16,97.03,11.4,32.63,26.48,25.76,65.54,28.73,1.12,1.14,10.26,8.97,1.83,3.99,1.84,2.1,22-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Jul-2019 - 00:00,0.06,134.33,64.75,107.99,13.63,30.81,27.29,36.88,52.64,29.66,0.95,0.86,7.55,8.36,1.94,4.64,2.07,2.38,23-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Jul-2019 - 00:00,0.1,131.1,55.05,85.51,9.78,23.4,20.27,56.88,64.05,31.32,0.82,0.79,9.12,9.37,1.7,3.45,1.46,1.8,24-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Jul-2019 - 00:00,0.2,207.73,56.92,63.48,5.49,19.81,14.93,27.54,63.45,30.46,0.96,1.05,8.17,4.57,1.96,2.24,0.77,1.01,25-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Jul-2019 - 00:00,0.15,218.58,70.05,28.06,5.6,16.43,13.22,17.52,42.67,27.71,0.73,1.07,6.7,2.43,0.87,1.31,0.43,0.49,26-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Jul-2019 - 00:00,0.06,150.06,83.62,52.18,5.48,17.09,13.47,14.43,42.55,27.57,0.84,1.03,10.09,6.56,1.74,2.75,1.19,1.29,27-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Jul-2019 - 00:00,0.18,134.53,87.16,76.8,5.79,17.16,13.76,14.72,43.84,26.7,0.8,1.4,9.88,6.77,1.38,3.06,1.35,1.67,28-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Jul-2019 - 00:00,0.35,142.19,89.12,75.78,5.54,27.86,19.25,15.29,34.42,26.61,0.58,1.46,9.4,2.87,0.75,1.36,0.41,0.64,29-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
