from date,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
27-Sep-2019 - 00:00,-1.66,130.85,74.02,36.17,9.4,22.13,18.68,28.29,41.13,27.91,0.76,1.34,15.5,3.07,0.76,0.8,0.17,0.59,28-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Sep-2019 - 00:00,-0.38,133.38,75.39,45.99,11.64,25.45,21.63,29.65,38.27,27.9,0.83,1.33,12.98,3.87,1.01,0.68,0.26,0.59,29-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Sep-2019 - 00:00,-0.66,144.13,77.87,42.79,6.35,20.54,16.0,32.63,35.32,27.01,0.83,1.31,12.78,2.19,0.49,0.39,0.03,0.33,30-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Sep-2019 - 00:00,-0.47,154.27,77.66,48.89,6.35,19.4,12.37,38.03,40.01,27.98,0.79,1.29,9.05,2.56,0.72,1.06,0.22,0.48,01-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Oct-2019 - 00:00,0.26,162.19,74.65,52.46,7.33,23.82,18.5,24.38,43.03,27.02,0.86,1.29,9.45,2.59,0.95,0.82,0.28,0.59,02-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Oct-2019 - 00:00,1.1,124.0,69.83,58.27,8.03,25.22,19.64,42.58,49.1,27.29,0.99,0.68,6.05,4.81,1.3,1.8,0.52,1.23,03-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Oct-2019 - 00:00,0.79,154.43,63.37,59.96,13.71,28.76,26.1,42.97,61.85,27.15,0.88,0.82,12.37,7.72,2.0,3.31,1.42,1.97,04-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Oct-2019 - 00:00,0.29,129.47,66.1,69.57,8.34,25.3,19.8,34.28,54.97,26.41,0.68,1.1,13.98,5.82,1.79,1.4,0.35,1.13,05-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Oct-2019 - 00:00,0.24,193.71,57.8,65.44,8.34,28.6,21.44,38.42,58.0,26.21,0.4,1.03,12.62,7.68,1.63,1.47,0.56,1.18,06-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Oct-2019 - 00:00,0.17,151.04,59.85,61.16,7.67,28.72,21.12,46.7,79.56,26.16,0.51,0.91,12.7,7.63,1.73,1.12,0.22,1.64,07-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Oct-2019 - 00:00,0.15,234.23,63.26,58.37,39.12,31.24,43.74,43.3,75.36,26.51,0.59,1.12,13.17,6.78,1.75,1.39,0.49,1.75,08-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Oct-2019 - 00:00,0.0,210.47,57.6,65.83,39.26,30.69,44.36,47.18,66.98,26.04,0.5,0.92,12.46,5.11,1.36,1.49,0.73,1.87,09-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Oct-2019 - 00:00,-0.05,146.08,54.74,61.35,37.64,40.34,49.6,54.08,96.33,26.43,0.62,0.73,21.95,21.79,3.5,6.94,3.89,4.96,10-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Oct-2019 - 00:00,-0.05,127.63,55.66,55.56,28.16,39.12,42.35,61.87,116.87,26.43,0.92,0.71,23.83,24.14,3.76,5.76,3.18,4.8,11-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Oct-2019 - 00:00,-0.04,143.71,55.28,61.88,8.67,37.14,26.69,49.51,98.9,26.06,0.9,0.59,20.75,9.37,1.76,2.79,1.22,2.72,12-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Oct-2019 - 00:00,-0.06,121.22,58.13,56.14,5.59,30.32,20.6,51.7,97.83,26.46,1.05,0.67,22.61,9.9,2.52,3.53,1.53,3.72,13-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Oct-2019 - 00:00,-0.01,190.14,55.93,53.94,13.93,35.14,29.83,46.79,130.09,26.06,1.0,0.63,27.07,22.41,3.86,6.05,3.24,4.63,14-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Oct-2019 - 00:00,0.03,169.3,54.93,54.39,11.02,37.94,29.0,43.87,117.22,24.86,1.03,0.51,26.19,21.89,3.91,6.04,3.28,6.13,15-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Oct-2019 - 00:00,-0.09,134.81,57.43,53.98,33.63,49.26,53.1,52.35,124.38,26.58,1.31,0.62,38.77,42.72,8.51,14.95,8.13,10.34,16-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Oct-2019 - 00:00,-0.17,151.16,57.17,51.32,13.56,50.98,37.96,62.9,138.71,26.0,1.03,0.67,34.15,17.36,5.3,8.18,3.99,5.21,17-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Oct-2019 - 00:00,-0.28,153.57,51.59,49.32,6.98,50.27,32.32,45.47,111.49,26.15,2.26,0.89,8.17,11.59,2.67,5.07,1.99,2.88,18-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Oct-2019 - 00:00,0.73,162.36,52.04,49.79,5.77,34.73,23.09,49.39,86.86,26.32,3.64,1.42,6.48,5.54,1.77,1.81,0.43,1.63,19-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Oct-2019 - 00:00,-0.08,134.76,55.93,53.03,9.1,43.74,30.55,58.82,82.58,25.76,0.95,0.61,5.14,19.66,2.75,4.46,2.23,3.5,20-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Oct-2019 - 00:00,-0.02,190.36,51.82,56.1,6.61,39.88,26.5,39.23,100.78,25.43,0.84,0.7,9.97,13.75,2.96,3.8,1.64,2.86,21-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Oct-2019 - 00:00,-0.09,206.64,52.96,54.36,10.12,40.56,29.67,41.15,114.83,24.82,0.86,0.78,10.58,7.09,2.47,3.25,1.36,2.59,22-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Oct-2019 - 00:00,-0.07,255.32,54.69,51.85,21.4,42.55,39.75,30.84,98.98,23.85,1.08,0.83,13.82,12.18,4.15,6.28,2.77,3.67,23-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Oct-2019 - 00:00,-0.51,216.42,55.59,53.34,31.31,45.7,49.36,31.55,116.78,23.99,1.8,0.64,19.51,19.35,5.6,9.61,5.0,5.39,24-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Oct-2019 - 00:00,-0.58,167.51,59.58,47.14,70.91,57.41,87.26,54.9,160.16,24.4,1.44,0.54,33.06,56.95,12.86,22.89,13.0,16.1,25-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Oct-2019 - 00:00,-0.07,144.97,54.1,48.21,18.96,47.76,40.57,58.54,115.23,24.55,0.81,0.83,22.06,20.62,5.29,8.81,4.77,6.57,26-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Oct-2019 - 00:00,0.03,152.23,58.35,46.01,33.21,48.15,52.18,48.69,126.57,23.53,1.0,0.54,23.42,17.13,4.9,9.98,4.86,5.0,27-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Oct-2019 - 00:00,0.19,196.56,61.62,48.17,14.39,38.58,32.04,34.66,173.0,23.87,0.75,0.76,20.21,10.85,3.35,6.49,3.03,4.04,28-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Oct-2019 - 00:00,0.43,212.62,63.31,41.3,19.28,39.28,36.31,35.63,227.61,23.57,1.55,0.54,24.08,8.64,2.87,5.0,2.42,4.3,29-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Oct-2019 - 00:00,0.19,195.64,70.47,30.21,29.37,47.78,48.91,18.24,207.2,22.75,1.4,0.46,24.2,13.7,3.89,8.31,3.91,5.63,30-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Oct-2019 - 00:00,0.07,216.15,62.74,37.42,57.27,48.62,71.68,22.97,193.31,23.53,1.47,0.5,27.51,27.25,6.87,14.21,7.01,7.31,31-Oct-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Oct-2019 - 00:00,-0.13,188.35,66.02,39.73,36.09,49.01,54.95,20.23,233.13,23.23,1.08,0.48,27.3,23.77,5.8,11.67,6.06,6.71,01-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Nov-2019 - 00:00,-0.06,135.8,59.67,37.51,21.59,52.84,45.37,46.34,289.05,23.64,1.43,0.61,32.17,24.24,7.49,9.9,4.78,5.93,02-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Nov-2019 - 00:00,0.14,217.63,73.48,28.35,10.69,40.43,30.06,13.73,263.39,22.5,1.42,0.69,23.95,9.73,2.24,3.36,1.58,4.17,03-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Nov-2019 - 00:00,0.15,234.77,79.54,41.61,11.2,36.78,28.53,10.66,404.05,21.85,1.27,0.63,20.17,9.86,3.16,4.96,2.22,4.93,04-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Nov-2019 - 00:00,0.18,288.48,67.49,43.31,12.03,36.39,28.98,23.35,202.15,22.51,1.08,0.73,28.72,11.1,3.38,3.75,1.62,3.4,05-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Nov-2019 - 00:00,0.18,264.49,58.89,47.17,24.06,36.09,38.44,26.39,139.51,21.61,1.2,0.79,35.82,11.1,3.42,5.27,2.59,3.31,06-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Nov-2019 - 00:00,0.15,180.22,50.63,46.85,15.21,43.8,35.46,28.48,90.08,22.55,0.9,0.82,31.44,6.25,2.82,3.74,1.4,1.8,07-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Nov-2019 - 00:00,0.11,131.2,68.03,30.63,17.67,51.58,41.57,10.33,142.51,21.01,1.13,0.83,21.52,20.8,4.22,6.83,3.49,5.58,08-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Nov-2019 - 00:00,0.18,137.68,65.18,40.97,14.4,49.77,37.99,26.0,150.57,22.26,1.27,0.51,22.96,20.67,3.45,5.78,2.66,4.77,09-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Nov-2019 - 00:00,0.18,185.81,56.53,46.43,9.36,37.34,27.35,23.96,148.54,21.2,1.2,0.94,16.66,9.47,2.25,2.29,0.88,2.67,10-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Nov-2019 - 00:00,0.24,190.91,46.34,43.49,13.96,43.08,34.08,31.82,149.72,20.69,1.43,0.59,15.29,10.4,3.14,2.92,1.66,3.79,11-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Nov-2019 - 00:00,0.26,183.83,46.36,41.01,15.03,51.71,39.5,32.93,195.97,20.65,1.5,0.45,17.1,6.42,2.33,2.46,1.5,2.86,12-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Nov-2019 - 00:00,0.42,192.33,53.8,41.49,11.92,53.69,38.1,33.73,295.69,20.61,1.58,0.51,22.99,7.26,2.12,2.27,1.2,3.65,13-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Nov-2019 - 00:00,0.29,166.65,60.14,37.76,30.07,62.41,57.26,31.79,319.64,20.79,1.61,0.43,27.45,16.16,4.06,7.87,3.98,5.03,14-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Nov-2019 - 00:00,0.03,189.27,69.59,30.36,49.17,77.15,80.38,32.8,315.84,20.97,2.02,0.43,31.46,32.9,6.79,13.11,6.38,8.92,15-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Nov-2019 - 00:00,0.03,227.63,67.24,35.0,26.5,54.82,50.37,31.2,382.19,20.95,1.55,0.63,28.15,13.26,3.85,6.88,3.07,5.85,16-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Nov-2019 - 00:00,0.1,243.05,63.27,39.99,7.69,38.89,26.83,29.66,169.48,22.39,1.11,1.09,14.94,5.52,2.03,1.04,0.3,2.07,17-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Nov-2019 - 00:00,0.22,319.08,61.84,42.34,5.55,31.0,20.93,27.03,95.64,21.47,0.84,1.16,7.55,3.51,1.41,0.95,0.43,1.33,18-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Nov-2019 - 00:00,0.14,271.39,67.57,41.2,23.44,36.95,38.41,30.32,93.15,20.09,1.05,0.84,12.11,8.88,2.49,4.11,2.0,3.19,19-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Nov-2019 - 00:00,0.08,230.44,67.65,41.39,34.83,45.48,52.05,27.22,111.88,19.12,1.28,0.61,20.29,9.59,3.39,5.94,3.24,3.78,20-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Nov-2019 - 00:00,-0.02,181.76,65.96,41.34,43.54,52.03,62.51,31.73,149.44,19.64,1.53,0.5,20.67,26.36,8.16,12.43,6.08,7.25,21-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Nov-2019 - 00:00,-0.25,168.11,66.37,39.09,139.94,73.87,151.32,38.15,218.01,20.1,2.53,0.47,80.05,88.69,19.99,36.9,21.16,26.88,22-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Nov-2019 - 00:00,-0.39,154.63,59.93,38.97,47.57,59.43,69.67,41.09,194.59,20.15,1.43,0.59,48.25,44.54,8.54,14.28,8.16,8.62,23-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Nov-2019 - 00:00,-0.22,281.13,57.03,31.59,8.95,43.65,30.38,20.58,142.81,20.35,1.15,0.73,13.49,10.82,2.87,3.27,1.98,3.17,24-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Nov-2019 - 00:00,-0.09,307.58,60.42,34.72,5.84,39.33,25.59,30.68,158.75,20.61,0.89,0.71,10.77,7.49,2.41,1.97,0.94,2.25,25-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Nov-2019 - 00:00,-0.08,139.98,61.4,35.15,23.23,48.38,44.32,34.04,155.57,20.65,1.16,0.45,15.06,23.49,4.65,6.82,3.57,8.01,26-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Nov-2019 - 00:00,-0.05,118.98,50.58,33.23,24.95,48.79,45.91,45.88,137.94,21.37,1.13,0.93,21.41,18.99,4.02,6.3,3.5,5.32,27-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Nov-2019 - 00:00,-0.19,96.31,63.14,31.26,6.81,39.98,26.71,32.56,96.78,20.74,0.74,1.09,6.73,9.68,2.18,2.16,0.93,2.83,28-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Nov-2019 - 00:00,-0.24,113.02,72.56,41.76,4.87,30.57,20.16,31.51,48.18,19.47,0.77,1.51,8.15,4.55,1.51,0.74,0.26,1.43,29-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Nov-2019 - 00:00,-0.08,104.94,77.49,40.32,13.66,42.31,33.43,22.01,80.68,19.65,0.84,0.88,17.15,13.7,2.3,2.66,1.19,2.28,30-Nov-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Nov-2019 - 00:00,-0.03,241.02,80.9,45.4,16.47,39.87,34.39,17.94,127.67,18.15,0.97,0.66,25.31,9.59,2.37,3.09,1.32,2.88,01-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Dec-2019 - 00:00,-0.06,239.27,71.16,44.82,23.86,46.23,43.68,27.84,163.31,16.36,0.92,0.66,32.26,7.8,2.33,3.48,1.51,2.71,02-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Dec-2019 - 00:00,-0.06,238.67,68.14,42.74,27.97,50.57,49.28,25.49,192.83,17.46,1.02,0.78,32.69,11.34,2.35,3.52,2.05,3.25,03-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Dec-2019 - 00:00,-0.02,246.31,62.88,39.52,41.4,51.72,60.63,22.9,173.09,17.94,1.43,0.78,18.91,9.36,3.04,5.27,3.1,3.77,04-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Dec-2019 - 00:00,0.05,162.4,63.05,36.96,50.43,47.24,65.48,26.83,128.24,18.28,1.49,0.62,18.09,5.74,10.26,2.6,3.6,2.81,05-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Dec-2019 - 00:00,0.13,153.5,55.02,42.58,62.68,47.28,75.29,39.69,189.27,17.54,1.05,0.57,43.76,17.17,3.86,5.44,3.37,3.5,06-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Dec-2019 - 00:00,0.16,187.15,71.97,38.81,34.84,46.82,52.78,17.67,208.79,16.8,0.81,0.58,29.57,20.6,3.85,7.16,3.58,6.26,07-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Dec-2019 - 00:00,0.11,169.54,72.14,40.83,75.92,39.64,81.82,26.01,227.51,16.92,1.17,0.52,47.86,38.43,9.45,14.61,7.27,9.49,08-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Dec-2019 - 00:00,0.11,178.43,67.99,40.86,53.81,43.49,66.18,19.72,201.78,16.99,1.14,0.58,45.64,26.89,5.5,11.02,5.62,7.44,09-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Dec-2019 - 00:00,0.16,187.14,68.47,40.24,54.08,40.6,64.86,25.65,179.36,16.43,0.97,0.49,36.79,19.89,4.79,9.99,4.79,6.13,10-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Dec-2019 - 00:00,0.17,204.36,71.56,37.65,48.68,42.49,61.54,27.8,200.69,16.4,0.89,0.55,51.46,23.27,6.37,11.05,5.69,8.27,11-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Dec-2019 - 00:00,0.09,156.32,67.83,33.03,91.64,57.48,103.88,29.03,263.07,16.85,1.6,0.58,58.88,46.81,13.56,22.03,11.95,14.27,12-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Dec-2019 - 00:00,-0.14,140.55,63.0,20.48,31.1,52.02,52.55,46.23,221.19,17.36,0.81,1.32,34.97,19.52,4.87,7.28,3.81,6.34,13-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Dec-2019 - 00:00,-0.74,213.49,85.88,34.29,4.91,27.31,18.46,32.38,96.2,16.81,0.76,1.36,14.96,5.07,1.38,0.51,0.0,2.21,14-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Dec-2019 - 00:00,-0.0,131.4,77.55,23.46,9.72,35.58,26.7,16.84,97.73,16.56,1.0,0.6,9.48,13.26,2.14,2.53,0.78,3.01,15-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Dec-2019 - 00:00,0.12,244.31,79.79,19.72,9.65,27.56,22.38,19.65,99.55,15.97,0.79,0.83,7.29,4.91,1.96,1.05,0.44,2.32,16-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Dec-2019 - 00:00,0.08,308.09,82.5,9.01,6.77,25.07,18.75,15.91,99.23,12.76,0.62,1.13,4.89,3.97,1.1,0.02,0.0,2.27,17-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Dec-2019 - 00:00,0.02,225.62,77.4,12.02,13.17,23.93,23.26,16.34,100.99,11.94,1.36,0.96,5.18,7.2,1.18,1.64,0.78,2.15,18-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Dec-2019 - 00:00,0.03,258.62,74.4,23.26,19.64,27.36,30.27,25.25,134.47,13.01,1.13,0.7,9.78,8.79,1.82,2.95,1.66,3.59,19-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Dec-2019 - 00:00,-0.01,185.11,88.7,25.68,41.92,46.35,58.19,16.85,235.15,11.04,0.98,0.64,17.97,21.41,5.27,7.18,3.85,7.64,20-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Dec-2019 - 00:00,0.0,228.32,87.08,22.89,13.86,38.58,31.61,7.26,231.76,11.99,1.3,0.62,12.02,12.78,2.71,3.73,1.23,5.48,21-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Dec-2019 - 00:00,0.02,257.62,86.09,25.54,14.58,33.7,29.59,7.66,221.78,12.91,0.93,0.67,9.55,14.9,2.58,3.06,1.13,4.73,22-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Dec-2019 - 00:00,0.01,215.84,92.5,23.6,11.99,26.08,23.47,10.71,133.22,12.57,0.89,0.97,11.2,7.01,1.37,1.13,0.17,3.21,23-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Dec-2019 - 00:00,0.02,222.99,85.62,20.1,14.72,26.07,25.65,13.27,154.04,12.23,0.85,0.87,6.38,9.38,1.46,1.54,0.29,3.54,24-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Dec-2019 - 00:00,0.0,159.57,84.57,36.87,30.75,43.94,47.97,23.87,246.64,11.64,0.96,0.67,11.75,24.24,3.82,6.18,2.99,6.68,25-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Dec-2019 - 00:00,0.01,238.15,89.2,35.94,10.49,27.44,22.98,7.64,142.81,10.07,0.82,1.03,6.82,8.5,1.41,0.77,0.0,2.96,26-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Dec-2019 - 00:00,0.0,221.69,83.18,36.87,7.86,30.19,22.35,7.99,216.51,10.59,0.86,0.89,5.42,9.96,1.55,1.48,0.33,3.46,27-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Dec-2019 - 00:00,-0.0,156.3,80.48,42.35,19.76,33.03,33.38,13.09,224.31,9.47,0.98,0.66,6.25,14.4,2.52,3.26,1.46,4.81,28-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Dec-2019 - 00:00,-0.02,221.96,91.74,36.8,45.84,31.21,53.27,6.3,254.75,8.15,1.08,0.52,14.25,25.55,4.08,6.09,2.21,7.95,29-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Dec-2019 - 00:00,-0.01,179.85,85.14,42.23,21.41,42.71,39.84,15.29,318.94,8.83,0.93,0.65,14.67,15.53,3.21,4.84,1.74,7.6,30-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Dec-2019 - 00:00,-0.02,177.61,94.5,25.53,26.28,46.1,45.54,1.78,263.01,8.4,1.05,0.84,16.88,13.21,2.77,4.67,2.08,7.06,31-Dec-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Dec-2019 - 00:00,-0.05,158.44,85.55,6.1,3.1,26.62,16.63,,213.86,8.77,1.13,1.77,10.33,4.64,0.88,0.0,0.0,3.77,01-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
