from date,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,BP,station
18-Jan-2019 - 00:00,,78.55,73.27,,0.13,275.77,0.87,1.17,64.22,20.06,10.69,10.13,39.95,19-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
19-Jan-2019 - 00:00,,84.25,75.5,,0.13,261.87,0.91,1.15,63.96,20.3,10.92,10.41,36.95,20-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
20-Jan-2019 - 00:00,0.0,0.0,74.93,,0.16,276.46,0.92,1.22,64.97,21.3,11.19,12.99,10.95,21-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
21-Jan-2019 - 00:00,929.18,100.61,78.73,,-0.07,257.57,1.29,1.16,46.73,22.1,11.09,12.14,12.46,22-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
22-Jan-2019 - 00:00,836.12,67.21,82.95,,-0.47,263.43,2.15,1.1,16.58,23.3,10.99,12.33,33.33,23-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
23-Jan-2019 - 00:00,882.69,35.05,87.62,,-0.46,260.91,2.24,1.05,16.87,22.7,10.75,11.95,37.66,24-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
24-Jan-2019 - 00:00,807.58,70.16,81.66,,-0.28,262.41,1.58,1.3,32.33,22.84,10.8,12.54,32.0,25-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
25-Jan-2019 - 00:00,,40.86,83.88,,0.17,258.41,0.56,1.09,65.81,23.42,11.02,12.41,10.28,26-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
26-Jan-2019 - 00:00,,32.0,82.81,,0.17,240.64,0.55,1.09,65.94,22.73,10.78,11.95,12.91,27-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
27-Jan-2019 - 00:00,,26.66,82.31,,0.16,293.83,0.73,1.08,65.49,22.59,10.79,11.8,18.32,28-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
28-Jan-2019 - 00:00,,30.23,77.1,,0.15,299.31,0.91,1.1,64.99,22.39,10.74,11.66,36.06,29-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
29-Jan-2019 - 00:00,,76.63,84.59,,0.14,264.56,1.31,1.13,64.27,22.83,10.68,12.14,20.06,30-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
30-Jan-2019 - 00:00,,83.95,81.74,,0.13,276.25,1.13,1.06,64.06,22.72,10.55,12.18,12.49,31-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
31-Jan-2019 - 00:00,,178.37,72.65,,0.14,282.51,0.92,1.11,64.51,23.39,10.81,12.58,21.87,01-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
01-Feb-2019 - 00:00,,68.73,69.33,,0.15,282.72,1.03,1.14,64.84,23.21,10.76,12.45,45.85,02-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
02-Feb-2019 - 00:00,,75.69,79.2,,0.14,272.02,0.89,1.13,64.65,23.01,10.71,12.3,35.07,03-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
03-Feb-2019 - 00:00,,45.51,80.52,,0.15,276.12,1.07,1.1,64.81,23.55,10.96,12.58,12.85,04-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
04-Feb-2019 - 00:00,,74.35,92.71,,0.15,282.29,1.18,1.1,64.76,22.86,10.77,12.1,7.64,05-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
05-Feb-2019 - 00:00,,76.51,87.8,,0.14,276.46,0.92,1.08,64.58,22.43,10.58,11.85,6.95,06-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
06-Feb-2019 - 00:00,,106.81,77.72,,0.16,277.73,0.77,1.05,65.28,23.11,10.97,12.14,10.67,07-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
07-Feb-2019 - 00:00,850.2,75.91,79.34,,0.15,220.78,0.55,1.05,64.94,22.04,10.51,11.52,11.09,08-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
08-Feb-2019 - 00:00,,6.85,80.48,,0.18,154.66,0.53,1.04,66.43,22.41,10.82,11.61,12.32,09-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
09-Feb-2019 - 00:00,,6.26,79.17,,0.18,216.95,0.59,1.12,66.73,22.11,10.77,11.6,31.71,10-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
10-Feb-2019 - 00:00,,5.37,84.95,,0.17,251.71,0.8,1.12,66.05,22.16,10.8,11.36,42.22,11-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
11-Feb-2019 - 00:00,,50.37,94.36,,0.16,297.91,1.03,1.07,65.73,20.7,10.41,10.31,67.89,12-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
12-Feb-2019 - 00:00,,90.36,91.91,,0.14,296.19,1.01,1.18,64.75,22.3,11.14,11.16,49.99,13-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
13-Feb-2019 - 00:00,,81.61,89.03,,0.13,287.72,0.95,1.17,64.24,22.06,11.09,11.01,6.14,14-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
14-Feb-2019 - 00:00,,120.0,83.79,,0.15,275.09,0.84,1.07,65.23,22.0,10.74,11.26,25.41,15-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
15-Feb-2019 - 00:00,,61.59,72.65,,0.19,197.87,0.53,1.03,66.85,21.1,10.44,10.66,23.27,16-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
16-Feb-2019 - 00:00,,67.36,80.11,,0.18,129.78,0.56,1.13,66.62,21.93,10.65,11.29,8.26,17-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
17-Feb-2019 - 00:00,,40.51,80.15,,0.19,141.71,0.64,1.11,67.24,22.6,11.01,11.59,14.23,18-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
18-Feb-2019 - 00:00,,43.16,81.88,,0.2,102.8,0.58,1.11,67.5,21.6,10.82,10.78,19.47,19-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
19-Feb-2019 - 00:00,,34.65,81.14,,0.2,140.09,0.51,1.2,67.41,22.16,10.99,11.17,19.38,20-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
20-Feb-2019 - 00:00,,28.31,79.09,,0.18,229.59,0.52,1.08,67.12,21.62,10.82,10.81,62.65,21-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
21-Feb-2019 - 00:00,,57.19,78.87,,0.17,278.01,0.88,1.11,66.4,21.86,10.82,11.05,46.22,22-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
22-Feb-2019 - 00:00,,71.75,69.1,,0.18,213.38,0.66,1.11,65.69,23.05,11.38,11.67,59.89,23-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
23-Feb-2019 - 00:00,,34.12,74.33,,0.19,137.98,0.53,1.13,40.58,22.05,11.39,10.67,32.18,24-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
24-Feb-2019 - 00:00,,61.9,89.39,,0.19,125.59,0.51,1.12,16.41,22.27,11.38,10.88,15.99,25-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
25-Feb-2019 - 00:00,,75.28,93.97,,0.17,106.6,0.61,1.17,16.6,21.31,11.27,10.21,12.07,26-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
26-Feb-2019 - 00:00,,57.43,94.87,,0.16,78.76,0.76,1.07,16.92,21.65,11.08,10.57,16.66,27-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
27-Feb-2019 - 00:00,,34.12,93.7,,0.17,75.19,0.73,1.0,17.33,20.0,10.27,9.73,15.37,28-Feb-2019 - 00:00,,"Manali, Chennai - CPCB"
28-Feb-2019 - 00:00,238.53,42.66,96.36,,0.17,78.27,0.73,0.72,11.63,11.24,4.11,7.17,17.13,01-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
01-Mar-2019 - 00:00,,41.68,96.27,,0.18,160.12,0.82,0.87,38.37,13.94,5.38,11.17,28.97,02-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
02-Mar-2019 - 00:00,,37.29,91.33,,0.18,183.73,0.68,0.83,203.31,63.74,28.9,47.13,81.66,03-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
03-Mar-2019 - 00:00,,47.64,95.8,,0.17,219.88,0.72,0.83,165.99,50.02,19.13,35.12,48.89,04-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
04-Mar-2019 - 00:00,141.82,47.61,95.87,,0.13,86.08,0.78,0.9,89.35,26.13,9.81,18.29,17.54,05-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
05-Mar-2019 - 00:00,15.9,76.43,94.98,,0.05,86.8,1.06,0.81,86.4,173.58,168.45,136.13,37.4,06-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
06-Mar-2019 - 00:00,971.46,96.49,92.82,,-0.15,87.28,1.26,0.89,18.52,31.01,18.89,23.81,23.09,07-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
07-Mar-2019 - 00:00,,74.19,93.32,,0.2,75.18,1.23,0.88,22.92,58.62,48.74,37.02,3.02,08-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
08-Mar-2019 - 00:00,,65.98,97.3,,0.19,55.56,0.89,0.84,7.08,20.21,10.71,15.34,7.58,09-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
09-Mar-2019 - 00:00,,68.79,97.27,,0.19,45.99,0.72,0.91,19.58,48.86,44.82,33.52,4.84,10-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
10-Mar-2019 - 00:00,,52.03,96.46,,0.19,65.62,0.9,0.86,25.75,165.23,159.04,167.07,14.65,11-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
11-Mar-2019 - 00:00,,55.66,90.93,,0.18,63.65,0.71,0.86,10.15,37.17,20.62,29.08,18.78,12-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
12-Mar-2019 - 00:00,,95.1,88.17,,0.18,74.07,0.77,0.83,21.27,65.53,49.78,43.06,21.4,13-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
13-Mar-2019 - 00:00,,146.49,88.43,,0.17,79.56,0.64,0.86,21.41,57.69,38.96,43.99,15.26,14-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
14-Mar-2019 - 00:00,894.63,80.93,75.31,,0.18,86.91,0.63,0.84,20.61,42.91,23.85,35.42,12.55,15-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
15-Mar-2019 - 00:00,239.96,55.58,79.52,,0.18,112.45,0.65,0.81,23.75,48.76,32.6,38.26,15.52,16-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
16-Mar-2019 - 00:00,,48.24,89.65,,0.18,145.85,0.67,0.82,37.1,59.72,46.19,43.69,25.16,17-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
17-Mar-2019 - 00:00,,88.46,84.14,,0.18,154.38,0.74,0.85,14.05,43.65,21.59,32.95,29.73,18-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
18-Mar-2019 - 00:00,39.94,13.71,92.12,,0.18,97.52,0.81,0.89,61.77,86.45,72.46,69.53,13.38,19-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
19-Mar-2019 - 00:00,822.74,48.36,94.98,,0.18,58.48,0.89,0.56,51.58,88.93,62.39,67.37,7.59,20-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
20-Mar-2019 - 00:00,,127.75,92.85,,0.18,84.46,0.92,0.72,29.03,74.54,48.44,48.22,1.35,21-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
21-Mar-2019 - 00:00,918.35,92.8,88.67,,0.18,67.45,0.98,0.69,14.05,45.16,28.09,25.39,7.08,22-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
22-Mar-2019 - 00:00,44.51,78.43,93.99,,0.04,67.3,0.9,0.69,28.26,30.31,16.66,22.59,21.06,23-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
23-Mar-2019 - 00:00,,68.4,95.46,,-0.47,61.79,0.83,0.58,15.66,41.13,21.02,33.72,11.94,24-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
24-Mar-2019 - 00:00,,67.23,93.58,,-0.41,64.63,0.97,0.71,21.08,72.97,43.02,45.86,11.28,25-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
25-Mar-2019 - 00:00,,60.53,96.52,,-0.44,106.06,0.73,0.7,13.58,53.02,31.55,28.31,10.36,26-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
26-Mar-2019 - 00:00,,70.6,83.88,,-0.43,58.57,0.74,0.68,23.28,65.69,44.77,47.92,12.21,27-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
27-Mar-2019 - 00:00,,56.41,96.61,,-0.43,62.01,0.82,0.67,2.76,32.38,11.92,21.78,9.36,28-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
28-Mar-2019 - 00:00,,59.47,87.98,,-0.42,71.92,0.87,0.7,2.02,29.05,9.04,20.28,9.94,29-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
29-Mar-2019 - 00:00,,58.8,97.09,,-0.42,63.33,0.81,0.74,1.75,29.87,9.34,20.52,9.71,30-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
30-Mar-2019 - 00:00,,63.06,95.5,,-0.4,68.49,0.94,0.71,4.76,30.42,11.07,21.23,9.92,31-Mar-2019 - 00:00,,"Manali, Chennai - CPCB"
31-Mar-2019 - 00:00,,73.59,92.52,,-0.39,73.81,1.06,1.1,1.68,29.19,9.6,19.59,9.53,01-Apr-2019 - 00:00,,"Manali, Chennai - CPCB"
01-Apr-2019 - 00:00,,102.23,96.01,,-0.43,60.0,1.05,1.2,1.34,28.31,10.8,17.51,10.03,02-Apr-2019 - 00:00,,"Manali, Chennai - CPCB"
02-Apr-2019 - 00:00,,72.25,,,-0.5,64.74,1.24,1.08,1.33,28.33,10.81,17.52,9.44,03-Apr-2019 - 00:00,,"Manali, Chennai - CPCB"
03-Apr-2019 - 00:00,,53.31,,,-0.5,62.32,1.03,1.06,1.46,28.74,10.39,18.36,10.83,04-Apr-2019 - 00:00,,"Manali, Chennai - CPCB"
04-Apr-2019 - 00:00,897.12,22.09,82.81,,-0.49,70.82,1.01,1.3,1.55,29.19,10.02,19.16,8.05,05-Apr-2019 - 00:00,,"Manali, Chennai - CPCB"
05-Apr-2019 - 00:00,969.22,23.81,,,-0.48,60.43,1.0,1.11,1.62,28.93,9.89,19.04,9.77,06-Apr-2019 - 00:00,,"Manali, Chennai - CPCB"
06-Apr-2019 - 00:00,966.64,18.83,,,-0.48,67.59,1.01,1.19,1.81,29.68,9.16,20.52,9.96,07-Apr-2019 - 00:00,,"Manali, Chennai - CPCB"
07-Apr-2019 - 00:00,967.76,14.39,,,-0.48,71.7,1.24,0.95,1.81,29.63,9.22,20.41,11.06,08-Apr-2019 - 00:00,,"Manali, Chennai - CPCB"
08-Apr-2019 - 00:00,971.73,20.22,,,-0.48,64.25,1.17,1.06,1.72,29.75,9.25,20.5,9.77,09-Apr-2019 - 00:00,,"Manali, Chennai - CPCB"
09-Apr-2019 - 00:00,973.76,20.49,,,-0.48,58.3,1.14,1.03,1.78,30.0,9.51,20.49,10.85,10-Apr-2019 - 00:00,,"Manali, Chennai - CPCB"
10-Apr-2019 - 00:00,925.7,40.69,80.61,,-0.48,54.01,1.05,1.16,1.84,29.92,9.39,20.58,10.4,11-Apr-2019 - 00:00,985.39,"Manali, Chennai - CPCB"
11-Apr-2019 - 00:00,832.36,88.1,74.37,,-0.09,57.9,0.96,1.18,1.76,29.87,9.28,20.59,10.2,12-Apr-2019 - 00:00,928.2,"Manali, Chennai - CPCB"
12-Apr-2019 - 00:00,846.43,49.15,74.92,,0.23,61.64,1.16,1.11,1.58,29.84,9.77,20.07,9.63,13-Apr-2019 - 00:00,928.2,"Manali, Chennai - CPCB"
13-Apr-2019 - 00:00,811.0,47.74,72.96,,0.02,65.71,0.92,1.09,1.36,28.29,10.73,17.56,10.22,14-Apr-2019 - 00:00,928.2,"Manali, Chennai - CPCB"
14-Apr-2019 - 00:00,843.44,36.48,74.79,,-0.11,63.22,0.98,0.98,1.42,28.83,10.39,18.44,10.72,15-Apr-2019 - 00:00,928.2,"Manali, Chennai - CPCB"
15-Apr-2019 - 00:00,799.21,23.14,73.89,,0.24,58.48,1.08,1.03,1.46,28.85,10.32,18.53,10.47,16-Apr-2019 - 00:00,928.2,"Manali, Chennai - CPCB"
16-Apr-2019 - 00:00,836.85,25.51,74.07,,0.25,111.02,1.11,1.11,1.48,28.84,10.26,18.58,10.23,17-Apr-2019 - 00:00,946.78,"Manali, Chennai - CPCB"
17-Apr-2019 - 00:00,776.36,23.09,67.01,,0.11,63.94,1.17,1.07,3.16,28.21,10.08,18.38,10.51,18-Apr-2019 - 00:00,957.18,"Manali, Chennai - CPCB"
18-Apr-2019 - 00:00,926.02,16.67,76.71,,-0.07,49.75,1.06,1.09,1.44,28.7,10.39,18.3,11.05,19-Apr-2019 - 00:00,958.74,"Manali, Chennai - CPCB"
19-Apr-2019 - 00:00,872.54,21.16,74.62,,-0.43,81.73,1.17,1.17,1.62,31.33,26.47,20.27,10.59,20-Apr-2019 - 00:00,956.68,"Manali, Chennai - CPCB"
20-Apr-2019 - 00:00,848.55,20.65,71.86,,-0.12,71.49,1.2,1.04,3.7,29.9,10.63,22.4,10.62,21-Apr-2019 - 00:00,953.27,"Manali, Chennai - CPCB"
21-Apr-2019 - 00:00,799.69,14.22,70.12,,0.23,72.12,1.18,1.04,1.62,29.41,12.21,18.56,11.26,22-Apr-2019 - 00:00,953.71,"Manali, Chennai - CPCB"
22-Apr-2019 - 00:00,934.92,20.82,75.13,,-0.26,89.25,0.91,0.89,3.07,31.31,9.78,22.46,9.17,23-Apr-2019 - 00:00,961.5,"Manali, Chennai - CPCB"
23-Apr-2019 - 00:00,895.52,25.43,70.23,,-0.43,82.35,0.94,1.04,8.77,38.58,17.83,23.72,8.38,24-Apr-2019 - 00:00,962.8,"Manali, Chennai - CPCB"
24-Apr-2019 - 00:00,862.27,22.22,71.55,,-0.43,80.96,0.81,1.11,3.66,34.06,12.79,22.17,9.33,25-Apr-2019 - 00:00,967.42,"Manali, Chennai - CPCB"
25-Apr-2019 - 00:00,842.09,28.81,71.4,,-0.43,79.67,0.8,1.2,2.2,32.21,10.49,22.22,10.57,26-Apr-2019 - 00:00,964.66,"Manali, Chennai - CPCB"
26-Apr-2019 - 00:00,831.66,33.09,72.49,,-0.4,87.01,1.02,1.08,1.82,30.84,9.14,21.7,7.45,27-Apr-2019 - 00:00,959.05,"Manali, Chennai - CPCB"
27-Apr-2019 - 00:00,858.52,20.22,73.48,,-0.39,80.19,1.05,1.22,1.77,30.8,9.34,21.47,11.02,28-Apr-2019 - 00:00,957.47,"Manali, Chennai - CPCB"
28-Apr-2019 - 00:00,842.48,21.17,74.74,,-0.41,80.82,0.93,1.13,1.68,30.61,9.69,20.93,8.54,29-Apr-2019 - 00:00,958.12,"Manali, Chennai - CPCB"
29-Apr-2019 - 00:00,934.87,17.84,78.5,,-0.42,71.1,0.9,1.14,1.83,30.64,9.28,21.36,10.51,30-Apr-2019 - 00:00,960.96,"Manali, Chennai - CPCB"
30-Apr-2019 - 00:00,842.01,38.84,74.99,,-0.42,167.95,0.86,1.3,1.63,30.83,9.74,21.08,8.92,01-May-2019 - 00:00,973.19,"Manali, Chennai - CPCB"
01-May-2019 - 00:00,785.87,13.36,68.13,,-0.45,186.6,0.65,1.45,2.08,30.19,8.98,21.28,7.91,02-May-2019 - 00:00,977.16,"Manali, Chennai - CPCB"
02-May-2019 - 00:00,758.27,13.33,59.53,,-0.38,115.9,1.24,1.23,1.79,30.67,9.09,21.58,9.63,03-May-2019 - 00:00,962.77,"Manali, Chennai - CPCB"
03-May-2019 - 00:00,750.23,12.82,57.41,,-0.36,112.95,1.41,0.99,9.7,34.46,15.28,23.41,9.12,04-May-2019 - 00:00,962.12,"Manali, Chennai - CPCB"
04-May-2019 - 00:00,839.64,37.38,64.64,,-0.39,95.5,1.14,1.2,3.72,31.28,10.24,21.49,6.35,05-May-2019 - 00:00,961.46,"Manali, Chennai - CPCB"
05-May-2019 - 00:00,862.71,54.53,70.66,,-0.38,84.66,1.25,1.07,3.25,28.69,9.79,20.16,9.65,06-May-2019 - 00:00,957.59,"Manali, Chennai - CPCB"
06-May-2019 - 00:00,879.41,47.74,71.69,,-0.35,88.88,1.44,1.09,2.45,29.03,8.97,21.22,10.55,07-May-2019 - 00:00,957.4,"Manali, Chennai - CPCB"
07-May-2019 - 00:00,847.09,45.6,69.23,,-0.35,102.66,1.65,1.24,2.34,30.54,9.14,21.76,9.69,08-May-2019 - 00:00,959.79,"Manali, Chennai - CPCB"
08-May-2019 - 00:00,718.31,49.77,53.28,,-0.38,114.94,1.2,1.25,2.52,27.41,8.59,18.82,9.56,09-May-2019 - 00:00,962.55,"Manali, Chennai - CPCB"
09-May-2019 - 00:00,779.39,46.27,57.73,,-0.37,107.2,1.36,1.37,2.77,25.84,8.73,17.22,9.7,10-May-2019 - 00:00,962.97,"Manali, Chennai - CPCB"
10-May-2019 - 00:00,793.53,60.01,62.56,,-0.38,92.43,1.19,1.39,2.1,27.19,9.95,17.25,8.57,11-May-2019 - 00:00,960.09,"Manali, Chennai - CPCB"
11-May-2019 - 00:00,911.48,112.9,73.41,,-0.35,88.19,1.57,1.19,117.62,109.45,110.03,96.04,10.15,12-May-2019 - 00:00,958.57,"Manali, Chennai - CPCB"
12-May-2019 - 00:00,936.57,85.87,78.44,,-0.37,76.04,1.24,1.07,40.46,85.67,57.95,61.28,9.8,13-May-2019 - 00:00,958.24,"Manali, Chennai - CPCB"
13-May-2019 - 00:00,893.43,104.23,77.43,,-0.37,82.29,1.3,1.2,33.37,79.36,52.34,56.76,10.09,14-May-2019 - 00:00,958.45,"Manali, Chennai - CPCB"
14-May-2019 - 00:00,921.93,75.56,78.89,,-0.38,75.15,1.19,1.25,30.38,58.66,35.19,43.17,9.68,15-May-2019 - 00:00,958.68,"Manali, Chennai - CPCB"
15-May-2019 - 00:00,,80.96,75.65,,-0.37,80.96,1.29,0.97,33.31,21.1,11.8,17.02,10.91,16-May-2019 - 00:00,958.7,"Manali, Chennai - CPCB"
16-May-2019 - 00:00,,71.23,75.76,,-0.37,95.07,1.32,0.95,26.11,16.53,8.76,13.23,10.29,17-May-2019 - 00:00,959.45,"Manali, Chennai - CPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,18-May-2019 - 00:00,,"Manali, Chennai - CPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,19-May-2019 - 00:00,,"Manali, Chennai - CPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,20-May-2019 - 00:00,,"Manali, Chennai - CPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,21-May-2019 - 00:00,,"Manali, Chennai - CPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,22-May-2019 - 00:00,,"Manali, Chennai - CPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,23-May-2019 - 00:00,,"Manali, Chennai - CPCB"
23-May-2019 - 00:00,982.23,125.98,72.72,,-0.36,61.23,1.24,1.53,23.12,17.67,10.14,13.46,9.76,24-May-2019 - 00:00,960.58,"Manali, Chennai - CPCB"
24-May-2019 - 00:00,,82.44,76.72,,-0.35,87.44,1.43,1.14,21.36,15.24,9.04,10.83,11.17,25-May-2019 - 00:00,988.61,"Manali, Chennai - CPCB"
25-May-2019 - 00:00,,74.55,75.04,,-0.35,89.75,1.47,1.26,17.84,14.28,7.86,10.11,10.06,26-May-2019 - 00:00,,"Manali, Chennai - CPCB"
26-May-2019 - 00:00,984.1,79.59,73.15,,-0.35,92.57,1.47,1.13,20.14,17.06,9.44,12.04,11.33,27-May-2019 - 00:00,,"Manali, Chennai - CPCB"
27-May-2019 - 00:00,,78.25,75.79,,-0.36,84.64,1.33,1.36,24.02,14.09,8.92,10.53,9.95,28-May-2019 - 00:00,,"Manali, Chennai - CPCB"
28-May-2019 - 00:00,,79.57,74.35,,-0.35,89.89,1.55,1.27,26.71,16.7,10.22,12.65,10.34,29-May-2019 - 00:00,,"Manali, Chennai - CPCB"
