from date,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,BP,station
01-Jan-2019 - 00:00,,179.51,63.67,,0.11,277.43,0.95,1.21,29.43,21.19,10.75,12.31,23.17,02-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
02-Jan-2019 - 00:00,40.0,68.96,71.2,,0.12,264.98,0.82,1.27,30.04,21.74,11.09,12.92,18.1,03-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
03-Jan-2019 - 00:00,,159.0,78.05,,0.12,254.23,0.89,1.22,36.68,21.55,10.92,12.79,15.31,04-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
04-Jan-2019 - 00:00,,93.36,77.9,,0.12,262.69,0.9,1.27,63.6,21.87,11.07,13.21,27.29,05-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
05-Jan-2019 - 00:00,,113.72,77.55,,0.12,265.75,0.88,1.23,57.51,21.41,10.81,12.67,15.79,06-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
06-Jan-2019 - 00:00,,154.98,77.58,,0.12,257.33,0.84,1.17,63.62,20.91,10.61,11.96,23.58,07-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
07-Jan-2019 - 00:00,53.89,94.04,81.38,,0.12,263.34,0.96,1.21,63.59,21.15,10.85,12.06,19.26,08-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
08-Jan-2019 - 00:00,,58.54,79.35,,0.12,250.9,0.92,1.19,98.16,21.58,11.08,12.62,20.8,09-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
09-Jan-2019 - 00:00,79.18,153.22,76.95,,0.12,255.69,0.66,1.24,191.41,21.57,11.03,12.64,23.72,10-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
10-Jan-2019 - 00:00,35.05,147.37,80.76,,0.13,263.36,0.77,1.16,156.66,21.16,10.96,11.94,20.98,11-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
11-Jan-2019 - 00:00,,263.13,79.63,,0.13,272.35,0.82,1.18,64.07,20.53,10.56,11.27,29.89,12-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
12-Jan-2019 - 00:00,,98.61,71.64,,0.13,267.77,0.89,1.17,62.16,20.66,10.66,11.38,12.26,13-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
13-Jan-2019 - 00:00,,12.1,76.05,,0.12,273.42,0.87,1.22,63.82,20.59,10.67,11.21,15.28,14-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
14-Jan-2019 - 00:00,,32.05,75.02,,0.12,261.82,0.88,1.18,63.75,20.47,10.52,11.24,28.47,15-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
15-Jan-2019 - 00:00,,17.11,81.35,,0.11,260.4,1.0,1.19,63.12,20.2,10.61,10.74,31.27,16-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
16-Jan-2019 - 00:00,,34.84,82.37,,0.13,263.71,0.81,1.13,63.86,21.01,11.17,11.32,26.53,17-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
17-Jan-2019 - 00:00,,80.9,91.47,,0.12,267.41,0.8,1.21,63.78,20.45,11.05,10.68,40.46,18-Jan-2019 - 00:00,,"Manali, Chennai - CPCB"
